SS,Blackspruce_50,BlackspruceMixCD_50,Bog_50,Fen_50,GrassHerb_50,Jackpine_50,JackpineMixCD_50,JackpineMixWet_50,Shrub_50,Swamp_50,Tamarack_50,TamarackMixCD_50,TamarackMixDC_50,Tremblingaspen_50,TremblingaspenMixCD_50,TremblingaspenMixD_50,TremblingaspenMixDC_50,Water_50,Whitebirch_50,WhitebirchMixD_50,Whitespruce_50,WhitespruceMixWet_50,wtage_50,Blackspruce_150,BlackspruceMixCD_150,BlackspruceMixDC_150,Bog_150,Fen_150,GrassHerb_150,Jackpine_150,JackpineMixC_150,JackpineMixCD_150,JackpineMixWet_150,Shrub_150,Swamp_150,Tamarack_150,TamarackMixCD_150,TamarackMixDC_150,Tremblingaspen_150,TremblingaspenMixCD_150,TremblingaspenMixD_150,TremblingaspenMixDC_150,Water_150,Whitebirch_150,WhitebirchMixD_150,WhitebirchMixDC_150,Whitespruce_150,WhitespruceMixC_150,WhitespruceMixCD_150,WhitespruceMixWet_150,wtage_150,Blackspruce_500,BlackspruceMixCD_500,BlackspruceMixDC_500,Bog_500,Fen_500,GrassHerb_500,Jackpine_500,JackpineMixC_500,JackpineMixCD_500,JackpineMixWet_500,Marsh_500,Shrub_500,Swamp_500,Tamarack_500,TamarackMixCD_500,TamarackMixDC_500,Tremblingaspen_500,TremblingaspenMixCD_500,TremblingaspenMixD_500,TremblingaspenMixDC_500,Water_500,Whitebirch_500,WhitebirchMixD_500,WhitebirchMixDC_500,WhitebirchMixWet_500,Whitespruce_500,WhitespruceMixC_500,WhitespruceMixCD_500,WhitespruceMixWet_500,wtage_500
BG_15_1,0,0,0,0,0,3673.279462,0,0,1204.074876,0,0,0,0,2974.874936,0,0,0,0,0,0,0,0,89,7769.468384,0,0,0,0,0,30943.12956,0,0,5561.116467,4749.180324,0,0,0,0,21656.73175,0,0,0,0,0,0,0,0,0,0,0,97.66666667,281111.3499,64507.57803,0,0,0,0,192087.5897,0,0,157680.793,0,4749.180324,0,0,0,0,85209.40716,0,0,0,0,0,32.19649678,0,0,0,0,0,0,98.342723
BG_15_10,281.4087672,6324.372737,0,0,0,1246.324582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.63636364,20655.09503,36128.8988,0,0,0,0,13835.91547,0,0,0,0,0,60.36220452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.35897436,241431.5534,243425.6846,0,0,0,0,107150.1876,0,36025.14886,34345.68633,0,0,0,31707.54774,46159.22018,0,45131.28182,0,0,0,0,0,0,0,0,0,0,0,0,86.91277259
BG_15_100,108.8624753,0,0,0,0,7600.334688,0,0,0,0,0,0,0,143.5447483,0,0,0,0,0,0,0,0,91.22222222,22233.12315,0,0,0,0,0,34270.81214,0,0,0,0,0,0,0,0,14175.41621,0,0,0,0,0,0,0,0,0,0,0,86.2,267110.8003,44826.32604,0,0,0,0,76384.26551,0,0,60742.991,0,0,0,60535.47712,0,0,255091.538,0,0,14250.72898,0,0,0,6435.823817,0,0,0,0,0,89.16666667
BG_15_11,0,6169.259969,0,0,0,1683.752854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,48776.00569,0,0,0,0,21906.75395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,103876.1669,338523.492,0,0,0,0,205514.2277,0,0,66947.15951,0,0,0,0,0,0,70515.92222,0,0,0,0,0,0,0,0,0,0,0,0,88.83957219
BG_15_12,6600.167866,0,0,0,0,1252.109899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,47435.88178,7835.835316,0,0,0,0,10100.24759,0,5306.857067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.85714286,285415.3366,293944.4972,0,0,0,0,69290.81389,0,116494.9495,5503.177078,0,0,0,0,0,0,14729.91659,0,0,0,0,0,0,0,0,0,0,0,0,93.0969163
BG_15_13,2077.953952,0,0,0,0,0,4801.230046,0,0,0,0,0,0,973.3748961,0,0,0,0,0,0,0,0,89,24839.79888,882.6784885,0,0,0,0,0,0,33516.17261,0,0,0,0,0,0,11442.11525,0,0,0,0,0,0,0,0,0,0,0,95.36363636,405976.7775,110054.7312,0,0,0,0,66480.00867,0,125926.8203,0,0,0,0,0,0,0,69227.06326,0,0,7713.968285,0,0,0,0,0,0,0,0,0,100.5
BG_15_14,2039.168193,0,0,0,0,5813.250561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.33333333,11487.57217,0,0,0,0,0,58499.57856,0,0,0,0,0,0,0,0,692.3857652,0,0,0,0,0,0,0,0,0,0,0,95.66666667,448605.8074,86931.05134,0,0,0,0,215272.6229,0,17698.83424,0,0,0,0,0,0,0,6924.964657,0,0,9943.470908,0,0,0,0,0,0,0,0,0,99.66225166
BG_15_15,577.0075789,0,0,0,0,7275.31143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.33333333,15601.11788,1064.415573,0,0,0,0,47206.81564,0,0,0,0,0,0,0,0,6806.894991,0,0,0,0,0,0,0,0,0,0,0,92.80952381,248720.4014,37473.43627,0,0,0,0,303688.8203,0,44421.09783,116784.5825,0,0,0,0,0,0,34290.13393,0,0,0,0,0,0,0,0,0,0,0,0,93.19463087
BG_15_16,162.5981113,0,0,0,0,0,0,6597.053762,0,0,0,1092.63282,0,0,0,0,0,0,0,0,0,0,97.57142857,9971.792459,0,0,0,0,0,12050.52798,0,0,31632.54714,0,0,0,13431.79922,0,3593.518594,0,0,0,0,0,0,0,0,0,0,0,94.42857143,165693.6482,12203.97454,0,0,0,0,132170.6823,0,49292.65508,237540.8963,0,4011.383496,0,40167.76655,61243.12266,0,83051.77251,0,0,0,0,0,0,0,0,0,0,0,0,89.88145897
BG_15_17,7851.627181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.66666667,47890.58448,0,0,0,0,773.0727744,22015.35972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.66666667,251845.2194,36083.99822,0,0,0,82282.36339,190964.2163,0,20532.06146,50551.74034,0,16258.29398,0,37569.74263,49006.73205,0,25233.53647,0,0,0,25051.49195,0,0,0,0,0,0,0,0,93.68438538
