"","model","formula","lam(Blackspruce_150)","SElam(Blackspruce_150)","lam(Bog_150)","SElam(Bog_150)","lam(Fen_150)","SElam(Fen_150)","lam(Int)","SElam(Int)","lam(Jackpine_150)","SElam(Jackpine_150)","lam(Shrub_150)","SElam(Shrub_150)","lam(Swamp_150)","SElam(Swamp_150)","lam(Tamarack_150)","SElam(Tamarack_150)","lam(Tremblingaspen_150)","SElam(Tremblingaspen_150)","lam(Water_150)","SElam(Water_150)","lam(Whitebirch_150)","SElam(Whitebirch_150)","lam(Whitespruce_150)","SElam(Whitespruce_150)","lam(wtage_150)","SElam(wtage_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/4","~Julian + 1 ~ Fen_150 + 1",NA,NA,NA,NA,-5.90083959610486,18.5048594935606,-2.93883814731873,4.34663645591539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.334446661047829,0.354811721271045,0.668935986808064,0.338110302913897,0,7421.79862663949,81.804185344896,4,98,171.608370689792,0,0.0280619744645236,NA,0.0280619744645236
"2","1/4/11","~Julian + 1 ~ Fen_150 + Whitebirch_150 + 1",NA,NA,NA,NA,-5.79410009167105,18.4056470702274,-2.93924043090301,4.32343591340705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.200577646313664,0.118211429867367,NA,NA,NA,NA,-0.339503781882017,0.351205674795814,0.701421669655488,0.338299069818498,0,27679.2118759035,80.904622558741,5,98,171.809245117482,0.200874427689939,0.0253804254199226,NA,0.0534423998844462
"3","1","~Julian + 1 ~ 1",NA,NA,NA,NA,NA,NA,-1.63286891176502,0.261037264147407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.329261070195247,0.353708902597536,0.665617380128755,0.337506634025746,0,3.48124258447789,83.0190422940518,3,98,172.038084588104,0.429713898311576,0.0226363832209667,NA,0.0760787831054129
"4","1/11","~Julian + 1 ~ Whitebirch_150 + 1",NA,NA,NA,NA,NA,NA,-1.65762621134577,0.266133402453099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.209644526466383,0.117757702690949,NA,NA,NA,NA,-0.334701650708295,0.350155809511801,0.698414353854295,0.337721658151865,0,13.194274985664,82.0474343864132,4,98,172.094868772826,0.486498083034348,0.0220027269178375,NA,0.0980815100232503
"5","1/7","~Julian + 1 ~ Swamp_150 + 1",NA,NA,NA,NA,NA,NA,-4.45195544207084,11.3925052183781,NA,NA,NA,NA,-16.0366178840593,63.5053081540298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.33468291388975,0.354278722204683,0.670933201836436,0.337548253807047,0,84525.7784021006,82.1183795029485,4,98,172.236759005897,0.628388316104832,0.0204958264979587,NA,0.118577336521209
"6","1/7/11","~Julian + 1 ~ Swamp_150 + Whitebirch_150 + 1",NA,NA,NA,NA,NA,NA,-4.66874641915827,13.2826770745622,NA,NA,NA,NA,-17.1058817107997,74.0399595709309,NA,NA,NA,NA,NA,NA,0.203242704906641,0.118078375384184,NA,NA,NA,NA,-0.340088606612643,0.350818035970478,0.703255705294064,0.337841131119862,0,438982.51070091,81.1968142097072,5,98,172.393628419414,0.785257729622373,0.0189496710624141,NA,0.137527007583623
"7","1/4/8","~Julian + 1 ~ Fen_150 + Tamarack_150 + 1",NA,NA,NA,NA,-5.95087939496614,18.351437523495,-2.95799765501453,4.31104871871153,NA,NA,NA,NA,NA,NA,0.221566616589971,0.207435099474667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.342671484302176,0.358506066411998,0.668438540457799,0.339943177106839,0,9117.22707134328,81.3123007960848,5,98,172.62460159217,1.01623090237757,0.0168828782456654,NA,0.154409885829289
"8","1/4/6","~Julian + 1 ~ Fen_150 + Shrub_150 + 1",NA,NA,NA,NA,-5.91850215626992,18.4562976769462,-2.95730701907012,4.33548356817535,NA,NA,0.175158796221442,0.154749828500529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.338251309620875,0.352453200255766,0.687557073886198,0.337206543999117,0,15990.0581828769,81.3400757607706,5,98,172.680151521541,1.07178083174909,0.0164204091604013,NA,0.17083029498969
"9","1/4/12","~Julian + 1 ~ Fen_150 + Whitespruce_150 + 1",NA,NA,NA,NA,-5.82517554971453,18.5458871255032,-2.94017643634637,4.35621049779498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.149295570268939,0.155630498137605,NA,NA,-0.342241496739296,0.361091921140144,0.65565292388988,0.342398387349139,0,15814.2678635957,81.4485353791946,5,98,172.897070758389,1.28870006859705,0.0147326394581597,NA,0.18556293444785
"10","1/7/8","~Julian + 1 ~ Swamp_150 + Tamarack_150 + 1",NA,NA,NA,NA,NA,NA,-5.10699619658664,11.628542847816,NA,NA,NA,NA,-19.6683421489993,64.8125937227132,0.267580476848618,0.213593392066921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.347327069153082,0.358746182027338,0.674767391314718,0.339634220713189,0,108064.236765816,81.4546607271641,5,98,172.909321454328,1.3009507645362,0.0146426727350057,NA,0.200205607182855
