"","model","formula","lam(Blackspruce_150)","SElam(Blackspruce_150)","lam(Bog_150)","SElam(Bog_150)","lam(Fen_150)","SElam(Fen_150)","lam(Int)","SElam(Int)","lam(Jackpine_150)","SElam(Jackpine_150)","lam(Shrub_150)","SElam(Shrub_150)","lam(Swamp_150)","SElam(Swamp_150)","lam(Tamarack_150)","SElam(Tamarack_150)","lam(Tremblingaspen_150)","SElam(Tremblingaspen_150)","lam(Water_150)","SElam(Water_150)","lam(Whitebirch_150)","SElam(Whitebirch_150)","lam(Whitespruce_150)","SElam(Whitespruce_150)","lam(wtage_150)","SElam(wtage_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/6/9","~Julian + 1 ~ Shrub_150 + Tremblingaspen_150 + 1",NA,NA,NA,NA,NA,NA,-0.0121376821048962,0.422197268863176,NA,NA,-0.566064966295173,0.438815623903811,NA,NA,NA,NA,-0.436994658544441,0.206698327187883,NA,NA,NA,NA,NA,NA,NA,NA,-2.13869581286678,0.487135721019738,-0.474523021692173,0.185579589276125,0,28.0280131732541,140.79949320171,5,98,291.59898640342,0,0.0492328594635433,NA,0.0492328594635433
"2","1/6/8","~Julian + 1 ~ Shrub_150 + Tamarack_150 + 1",NA,NA,NA,NA,NA,NA,-0.051459768427473,0.411020735677204,NA,NA,-0.586252264600605,0.448166979038639,NA,NA,0.321420169264962,0.12515401901412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.07036838605133,0.471184861099349,-0.413999761313282,0.18650837107543,0,32.571581723993,140.840740629507,5,98,291.681481259014,0.0824948555938363,0.0472434418767395,NA,0.0964763013402828
"3","6/8/11","~1 ~ Shrub_150 + Tamarack_150 + Whitebirch_150 + 1",NA,NA,NA,NA,NA,NA,-0.111356622465707,0.450330900752316,NA,NA,-0.560977741533991,0.443874897890094,NA,NA,0.367806778314537,0.124553568082328,NA,NA,NA,NA,0.21484575284052,0.074281306916264,NA,NA,NA,NA,-1.99477485715526,0.514760612811524,NA,NA,0,89.3308384602702,141.022451826532,5,98,292.044903653064,0.445917249643969,0.0393935718123408,NA,0.135869873152624
"4","1/9/13","~Julian + 1 ~ Tremblingaspen_150 + wtage_150 + 1",NA,NA,NA,NA,NA,NA,0.00902315431040933,0.419130332435795,NA,NA,NA,NA,NA,NA,NA,NA,-0.379116711678172,0.20634331139142,NA,NA,NA,NA,NA,NA,-0.216754243812115,0.104854659009152,-2.11835197609059,0.492352794762024,-0.450358182354056,0.188035338226159,0,42.8959100381614,141.114599614438,5,98,292.229199228876,0.630212825456283,0.035925769922345,NA,0.171795643074969
"5","1/8/13","~Julian + 1 ~ Tamarack_150 + wtage_150 + 1",NA,NA,NA,NA,NA,NA,-0.0282347271008571,0.410521006005571,NA,NA,NA,NA,NA,NA,0.271893357380875,0.12737308579461,NA,NA,NA,NA,NA,NA,NA,NA,-0.252327415079953,0.112780733586575,-2.06161334265865,0.480465315060436,-0.397199464971713,0.18872634876086,0,36.7755151650927,141.192361111198,5,98,292.384722222397,0.785735818977173,0.0332379855963217,NA,0.20503362867129
"6","8/11/13","~1 ~ Tamarack_150 + Whitebirch_150 + wtage_150 + 1",NA,NA,NA,NA,NA,NA,-0.0780468613110112,0.451097078105245,NA,NA,NA,NA,NA,NA,0.318214770970057,0.126156137397552,NA,NA,NA,NA,0.209669945778351,0.0750366781276522,NA,NA,-0.231091566767228,0.109356534515563,-1.99268145124534,0.523471518879464,NA,NA,0,90.0600791471814,141.249630901572,5,98,292.499261803144,0.900275399724364,0.0313879347669112,NA,0.236421563438201
"7","1/4/13","~Julian + 1 ~ Fen_150 + wtage_150 + 1",NA,NA,NA,NA,0.225627413519239,0.101926447797502,-0.0232166221153058,0.395575573517436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.244754327362236,0.111148500931246,-2.05283771265873,0.464373857403707,-0.438230560224527,0.188890816925844,0,39.6727127478371,141.338361765828,5,98,292.676723531656,1.07773712823609,0.0287228424885766,NA,0.265144405926778
"8","1/4/9","~Julian + 1 ~ Fen_150 + Tremblingaspen_150 + 1",NA,NA,NA,NA,0.19162245456071,0.103304066204953,0.0175386014813408,0.421976908487693,NA,NA,NA,NA,NA,NA,NA,NA,-0.352130375439294,0.20672896296505,NA,NA,NA,NA,NA,NA,NA,NA,-2.11671028550014,0.494061099396817,-0.435640119514877,0.185816505544696,0,45.6191644046599,141.378912424825,5,98,292.75782484965,1.15883844623067,0.0275814115905507,NA,0.292725817517329
"9","1/8/11","~Julian + 1 ~ Tamarack_150 + Whitebirch_150 + 1",NA,NA,NA,NA,NA,NA,-0.0388037753831966,0.42163795332252,NA,NA,NA,NA,NA,NA,0.306338593822715,0.128384172199486,NA,NA,NA,NA,0.178516369744605,0.0810527789171836,NA,NA,NA,NA,-2.03514718626592,0.491895435944056,-0.323604632534543,0.192325454457535,0,72.1900428373615,141.408533972123,5,98,292.817067944246,1.21808154082635,0.0267763893666213,NA,0.31950220688395
"10","1/9/11","~Julian + 1 ~ Tremblingaspen_150 + Whitebirch_150 + 1",NA,NA,NA,NA,NA,NA,-0.0217481252220672,0.424703705666292,NA,NA,NA,NA,NA,NA,NA,NA,-0.410663127212077,0.210883744386586,NA,NA,0.155280272204751,0.0812543538091691,NA,NA,NA,NA,-2.07149729830805,0.49679768348613,-0.379073813187372,0.191310902894429,0,70.6646667682438,141.478347002147,5,98,292.956694004294,1.35770760087411,0.0249708083198336,NA,0.344473015203784
