"","model","formula","lam(Int)","SElam(Int)","lam(Shrub_50)","SElam(Shrub_50)","lam(Tamarack_50)","SElam(Tamarack_50)","lam(Tremblingaspen_50)","SElam(Tremblingaspen_50)","lam(Whitebirch_50)","SElam(Whitebirch_50)","lam(wtage_50)","SElam(wtage_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/6/9","~Julian + 1 ~ Shrub_50 + Tremblingaspen_50 + 1",-2.46702368454294,8.59679292028794,-14.1256262197741,46.8395998871367,NA,NA,-0.489362416426265,0.243328087874647,NA,NA,NA,NA,-2.16157611775877,0.502175006028985,-0.473265117451545,0.184330557774263,0,160318.537414664,139.703768417487,5,98,289.407536834973,0,0.284911711585306,NA,0.284911711585306
"2","6/8/11","~1 ~ Shrub_50 + Tamarack_50 + Whitebirch_50 + 1",-39.3153915498442,17.6872239458843,-218.554062474413,97.5211459616545,0.307820433464902,0.122974135274294,NA,NA,8.02116028905011,2.88193947839097,NA,NA,-1.92153956242764,0.494448345333703,NA,NA,1,860588.672052432,140.420305984377,5,98,290.840611968753,1.43307513378011,0.13916242574564,NA,0.424074137330946
"3","1/6/8","~Julian + 1 ~ Shrub_50 + Tamarack_50 + 1",-2.45164185919586,9.43787846325295,-13.5171193409885,51.4389182188705,0.25467175855298,0.123171462641972,NA,NA,NA,NA,NA,NA,-2.00477161230087,0.459905133272881,-0.395458054089545,0.188802084047722,0,239667.763346546,140.724830227441,5,98,291.449660454882,2.04212361990875,0.10262869155307,NA,0.526702828884016
"4","1/9/13","~Julian + 1 ~ Tremblingaspen_50 + wtage_50 + 1",0.0394640148239349,0.432312249095183,NA,NA,NA,NA,-0.469305854387855,0.245983185618064,NA,NA,-0.22559802445738,0.111588886157191,-2.16423691208506,0.505861685413957,-0.473457680853186,0.18710156503243,0,40.2539732221324,140.824351759801,5,98,291.648703519602,2.24116668462818,0.0929067225086421,NA,0.619609551392658
"5","6/9/11","~1 ~ Shrub_50 + Tremblingaspen_50 + Whitebirch_50 + 1",-37.1269256942963,206.083488214623,-206.025607427072,1123.93993147006,NA,NA,-0.410334355289077,0.241949607292381,6.90998487867112,2.74167788389182,NA,NA,-1.93437695691696,0.497476528829958,NA,NA,0,89729323.5926226,141.071515314073,5,98,292.143030628146,2.73549379317228,0.0725613529643039,NA,0.692170904356962
"6","1/6/13","~Julian + 1 ~ Shrub_50 + wtage_50 + 1",-2.27107987009434,9.55577391846921,-12.7253145511514,52.0836193255248,NA,NA,NA,NA,NA,NA,-0.22634048124523,0.118686235815778,-2.03761491007704,0.453032608590901,-0.453652152188807,0.188762209430333,0,236749.465630219,141.159786252058,5,98,292.319572504116,2.91203566914265,0.0664308471284686,NA,0.758601751485431
"7","1/9","~Julian + 1 ~ Tremblingaspen_50 + 1",-0.0151267364635855,0.400606558159156,NA,NA,NA,NA,-0.466236719706865,0.244832260177588,NA,NA,NA,NA,-2.06312508653582,0.470790640402962,-0.440579200181122,0.187290482460555,0,24.5364594868148,142.396486485658,4,98,292.792972971316,3.38543613634249,0.0524290737592916,NA,0.811030825244722
"8","1/8/9","~Julian + 1 ~ Tamarack_50 + Tremblingaspen_50 + 1",-0.0307019677711319,0.417565975170363,NA,NA,0.188425917994599,0.126754215869226,-0.411593072632779,0.247920937719352,NA,NA,NA,NA,-2.0689300977746,0.487982825425978,-0.402437921915303,0.188649368489316,0,35.7914126297805,141.401918892226,5,98,292.803837784452,3.39630094947819,0.0521450299339619,NA,0.863175855178684
"9","6/8/9","~1 ~ Shrub_50 + Tamarack_50 + Tremblingaspen_50 + 1",-2.98791546699818,15.8012568634873,-16.0003461109402,86.146692923397,0.235953019395272,0.124117420993011,-0.378218386362924,0.245529944427887,NA,NA,NA,NA,-1.92801964197176,0.501169804564143,NA,NA,0,698791.511768465,141.415183182089,5,98,292.830366364178,3.42282952920448,0.0514579301613476,NA,0.914633785340032
"10","1/6","~Julian + 1 ~ Shrub_50 + 1",-2.77398177141813,12.3647434160623,-15.328540426242,67.4110348735889,NA,NA,NA,NA,NA,NA,NA,NA,-1.96924231302026,0.431842041688349,-0.434391322427279,0.189240503052417,0,294830.661163597,142.537345596155,4,98,293.074691192311,3.66715435733732,0.0455405059094135,NA,0.960174291249445
"11","1/6/11","~Julian + 1 ~ Shrub_50 + Whitebirch_50 + 1",-13.6309277998411,20.536025009343,-76.1898291628095,114.408245259036,NA,NA,NA,NA,2.6396424524295,4.42298912880563,NA,NA,-1.99692752886971,0.460320292176867,-0.393225917120921,0.190241448633462,1,878678.793510587,141.671435113589,5,98,293.342870227179,3.93533339220528,0.0398257087505549,NA,1
