"","model","formula","lam(Blackspruce_500)","SElam(Blackspruce_500)","lam(Bog_500)","SElam(Bog_500)","lam(Fen_500)","SElam(Fen_500)","lam(Int)","SElam(Int)","lam(Jackpine_500)","SElam(Jackpine_500)","lam(Swamp_500)","SElam(Swamp_500)","lam(Tamarack_500)","SElam(Tamarack_500)","lam(Whitebirch_500)","SElam(Whitebirch_500)","lam(Whitespruce_500)","SElam(Whitespruce_500)","lam(wtage_500)","SElam(wtage_500)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","4/12/13","~1 ~ Fen_500 + Whitespruce_500 + wtage_500 + 1",NA,NA,NA,NA,0.476343781979601,0.178496048139571,0.654674804783827,7.2651709295941,NA,NA,NA,NA,NA,NA,NA,NA,-1.24308334428016,0.583852947779232,0.862348596966683,0.272722556142108,-4.4019485817476,7.47865656103679,0,5358.48767220311,62.6567806380342,5,98,135.313561276068,0,0.206116231723816,NA,0.206116231723816
"2","3/4/12","~1 ~ Bog_500 + Fen_500 + Whitespruce_500 + 1",NA,NA,-1.40721483810088,0.69656101855813,1.32269772387477,0.392202392063873,-1.35671624120703,0.78742921392428,NA,NA,NA,NA,NA,NA,NA,NA,-0.983252398010767,0.594494777979052,NA,NA,-2.26288010368881,0.816182918344316,0,37.7009166139627,62.8336973656156,5,98,135.667394731231,0.353833455162913,0.172694392281244,NA,0.37881062400506
"3","7/12/13","~1 ~ Swamp_500 + Whitespruce_500 + wtage_500 + 1",NA,NA,NA,NA,NA,NA,1.27888591899735,1.16668540427982,NA,NA,0.402481967473847,0.164777278832397,NA,NA,NA,NA,-1.24208386196037,0.620948469095625,0.729998568391409,0.210235043260847,-4.98975379300462,1.0841238750268,0,174.183070506535,63.0867285541493,5,98,136.173457108299,0.859895832230222,0.134087466920765,NA,0.512898090925824
"4","3/4/13","~1 ~ Bog_500 + Fen_500 + wtage_500 + 1",NA,NA,-1.20228327790599,0.689954900022592,1.08040708425295,0.359803910464086,-0.83053210154683,1.07554186930894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41681006088771,0.221729593096471,-2.6339362469579,1.17537798079282,0,99.4741579966284,63.3512608543711,5,98,136.702521708742,1.38896043267388,0.102920827232012,NA,0.615818918157836
"5","2/3/4","~1 ~ Blackspruce_500 + Bog_500 + Fen_500 + 1",0.409090283432282,0.276804042943642,-1.43755634717573,0.786463205619485,1.2519551349935,0.39797966696584,-1.22005681911406,0.735485164254899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.21782561069576,0.780934324405874,0,34.3796718649993,63.7846593165785,5,98,137.569318633157,2.25575735708861,0.0667237901202308,NA,0.682542708278067
"6","3/4","~1 ~ Bog_500 + Fen_500 + 1",NA,NA,-1.29174150661684,0.674848897167124,1.12828922104274,0.368593491483172,-1.11773754629387,0.71621238698772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.22263615856077,0.780859985529179,0,32.058131114967,64.8648502393583,4,98,137.729700478717,2.41613920264831,0.0615820628117844,NA,0.744124771089851
"7","3/4/7","~1 ~ Bog_500 + Fen_500 + Swamp_500 + 1",NA,NA,-1.45593292203372,0.620513053033053,0.960929992548748,0.383556712821223,-0.866318828226932,1.00036622436684,NA,NA,0.432340616044296,0.318998811020193,NA,NA,NA,NA,NA,NA,NA,NA,-2.57580160740377,1.10560846664684,0,97.6994194373565,64.0628905944046,5,98,138.125781188809,2.81221991274094,0.0505180291262874,NA,0.794642800216139
"8","3/4/5","~1 ~ Bog_500 + Fen_500 + Jackpine_500 + 1",NA,NA,-1.46278429718692,0.780167403386592,1.21255617784227,0.393056198797181,-1.18794422786315,0.736460234419663,-0.343076437885098,0.299786690946312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.22892700604675,0.787578743386843,0,34.5001215206875,64.1737979362364,5,98,138.347595872473,3.03403459640452,0.0452147311047099,NA,0.839857531320849
"9","12/13","~1 ~ Whitespruce_500 + wtage_500 + 1",NA,NA,NA,NA,NA,NA,-0.288847438981559,2.02562110340366,NA,NA,NA,NA,NA,NA,NA,NA,-0.981026655335956,0.552038004347301,0.688429449764157,0.260135786173956,-3.19809751811075,2.19743380424998,0,361.346305416501,65.1817933371006,4,98,138.363586674201,3.05002539813287,0.0448546625688593,NA,0.884712193889708
"10","3/4/11","~1 ~ Bog_500 + Fen_500 + Whitebirch_500 + 1",NA,NA,-1.49130828259329,0.801783529121337,1.21865201969787,0.392993046604976,-1.20519514790856,0.709846160061948,NA,NA,NA,NA,NA,NA,0.302515774360841,0.233065679436741,NA,NA,NA,NA,-2.19217548273677,0.757495844090499,0,32.013236710123,64.1868008159698,5,98,138.37360163194,3.06004035587128,0.0446306152182101,NA,0.929342809107918
"11","8/12/13","~1 ~ Tamarack_500 + Whitespruce_500 + wtage_500 + 1",NA,NA,NA,NA,NA,NA,0.47983389334457,5.64956965994805,NA,NA,NA,NA,0.382928856651774,0.2805628158131,NA,NA,-1.12893524838872,0.580643908040705,0.883538949843713,0.304472421357281,-4.11549256094585,5.88254040806445,0,3205.78098745798,64.3655495882187,5,98,138.731099176437,3.41753790036898,0.0373252966502013,NA,0.966668105758119
"12","11/12/13","~1 ~ Whitebirch_500 + Whitespruce_500 + wtage_500 + 1",NA,NA,NA,NA,NA,NA,-0.405162938426507,1.88808543296591,NA,NA,NA,NA,NA,NA,0.293732534999932,0.21825402551684,-1.06837617661099,0.564359321327186,0.746235531936987,0.271039342183046,-3.12779093682566,2.04946529168645,0,307.805221328199,64.4787061557295,5,98,138.957412311459,3.64385103539064,0.0333318942418807,NA,1
