"","model","formula","lam(Blackspruce_150)","SElam(Blackspruce_150)","lam(Bog_150)","SElam(Bog_150)","lam(Fen_150)","SElam(Fen_150)","lam(Int)","SElam(Int)","lam(Jackpine_150)","SElam(Jackpine_150)","lam(Shrub_150)","SElam(Shrub_150)","lam(Swamp_150)","SElam(Swamp_150)","lam(Tamarack_150)","SElam(Tamarack_150)","lam(Tremblingaspen_150)","SElam(Tremblingaspen_150)","lam(Water_150)","SElam(Water_150)","lam(Whitebirch_150)","SElam(Whitebirch_150)","lam(Whitespruce_150)","SElam(Whitespruce_150)","lam(wtage_150)","SElam(wtage_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/2/11","~Julian + 1 ~ Blackspruce_150 + Whitebirch_150 + 1",-0.972576696984779,0.393737413440855,NA,NA,NA,NA,1.11882812351778,1.32171043508164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.332431675105123,0.131197975823696,NA,NA,NA,NA,-5.04295677262916,1.22672244406721,0.7832265118321,0.349212265612505,0,934.422945999336,54.3137705173263,5,98,118.627541034653,0,0.189673519617488,NA,0.189673519617488
"2","1/2/7","~Julian + 1 ~ Blackspruce_150 + Swamp_150 + 1",-1.02349426303922,0.391821373766325,NA,NA,NA,NA,1.62959654177034,1.49017007188184,NA,NA,NA,NA,0.36943933847986,0.17357401594072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.53207675335465,1.40633862051997,0.669653157903814,0.32194666602161,0,460.400121394168,54.7437421092205,5,98,119.487484218441,0.859943183788516,0.123387854704793,NA,0.313061374322281
"3","1/2","~Julian + 1 ~ Blackspruce_150 + 1",-0.909570354355985,0.371373742877172,NA,NA,NA,NA,3.00803413965292,1.49246014872687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.78583951040966,1.46526679759018,0.612955385201573,0.314080167622462,0,169.712214745122,56.1523766197558,4,98,120.304753239512,1.6772122048591,0.0819982720045397,NA,0.39505964632682
"4","1/2/10","~Julian + 1 ~ Blackspruce_150 + Water_150 + 1",-0.981282920822312,0.384661808810261,NA,NA,NA,NA,2.82049652533502,1.48052868922796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.436241252428429,0.557815618415295,NA,NA,NA,NA,NA,NA,-6.6546681049298,1.44200110156957,0.591674044275725,0.310662382917864,0,167.396213747775,55.39899031849,5,98,120.79798063698,2.17043960232752,0.0640769352827661,NA,0.459136581609587
"5","1/2/9","~Julian + 1 ~ Blackspruce_150 + Tremblingaspen_150 + 1",-0.960183159460065,0.363464603937226,NA,NA,NA,NA,2.73610231501871,1.24546483326401,NA,NA,NA,NA,NA,NA,NA,NA,-0.317238620656257,0.31275396409538,NA,NA,NA,NA,NA,NA,NA,NA,-6.54822968312699,1.20101951519943,0.630898481624305,0.32113716701136,0,117.37886878863,55.5787057266682,5,98,121.157411453336,2.52987041868379,0.0535367892447769,NA,0.512673370854363
"6","1/5/8","~Julian + 1 ~ Jackpine_150 + Tamarack_150 + 1",NA,NA,NA,NA,NA,NA,2.72511264127394,1.12302015314883,0.721896267394955,0.282211060296758,NA,NA,NA,NA,0.542281238958637,0.221669826182949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.49922327663044,1.08225697971158,0.558544482868878,0.317623775806445,0,102.909726639972,55.6350849198355,5,98,121.270169839671,2.64262880501849,0.0506019378933268,NA,0.56327530874769
"7","5/8/11","~1 ~ Jackpine_150 + Tamarack_150 + Whitebirch_150 + 1",NA,NA,NA,NA,NA,NA,1.98634653785081,1.41484682704893,0.8508005837412,0.311800201230214,NA,NA,NA,NA,0.629553706314666,0.245519854346051,NA,NA,NA,NA,0.307421752505133,0.122953347629052,NA,NA,NA,NA,-5.7723586180457,1.37610507581139,NA,NA,0,660.083597907226,55.6423306417798,5,98,121.28466128356,2.65712024890702,0.0502366154322962,NA,0.613511924179986
"8","1/2/3","~Julian + 1 ~ Blackspruce_150 + Bog_150 + 1",-0.888589866756681,0.364224302709146,-8.43465644981006,111.576019176612,NA,NA,1.79038961590334,16.5471659981535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.77184315490332,1.45218716724503,0.617288472840581,0.313887866033467,0,505870.740768951,55.719950927794,5,98,121.439901855588,2.8123608209354,0.0464847297361066,NA,0.659996653916093
"9","1/2/5","~Julian + 1 ~ Blackspruce_150 + Jackpine_150 + 1",-0.812071573362005,0.403225811115981,NA,NA,NA,NA,2.70695382151363,1.2802559504033,0.234586930453914,0.271896096229182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.51290344900656,1.22593037102886,0.581113112526483,0.3135914839995,0,153.81113500068,55.7776904657423,5,98,121.555380931485,2.92783989683198,0.0438767395095053,NA,0.703873393425598
"10","1/2/13","~Julian + 1 ~ Blackspruce_150 + wtage_150 + 1",-0.963893742507598,0.381337324993837,NA,NA,NA,NA,2.64077324379703,1.43822183890856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150270085416364,0.235408886149233,-6.43973362966715,1.39013445326364,0.62251447520782,0.313668115325722,0,156.192498081102,55.9150495068774,5,98,121.830099013755,3.2025579791022,0.0382454763073994,NA,0.742118869732998
"11","1/2/12","~Julian + 1 ~ Blackspruce_150 + Whitespruce_150 + 1",-0.875445179675843,0.377662435661955,NA,NA,NA,NA,2.69196314700798,1.69083630210896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0928532875392159,0.14539511528971,NA,NA,-6.47200876430797,1.67686995791237,0.605144032691228,0.315964730420625,0,477.16329007328,55.9734526964633,5,98,121.946905392927,3.31936435827397,0.0360757933903073,NA,0.778194663123305
"12","1/2/8","~Julian + 1 ~ Blackspruce_150 + Tamarack_150 + 1",-0.843053889309165,0.388614186369727,NA,NA,NA,NA,2.71927361325609,1.69347104899672,NA,NA,NA,NA,NA,NA,0.120117928220732,0.21015052432832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.49733435110558,1.66849905672908,0.619219539071213,0.316518970656562,0,280.623330889842,55.9966752889282,5,98,121.993350577856,3.36580954320387,0.0352476727130703,NA,0.813442335836375
