"","model","formula","lam(Blackspruce_50)","SElam(Blackspruce_50)","lam(Bog_50)","SElam(Bog_50)","lam(Fen_50)","SElam(Fen_50)","lam(Int)","SElam(Int)","lam(Jackpine_50)","SElam(Jackpine_50)","lam(Shrub_50)","SElam(Shrub_50)","lam(Swamp_50)","SElam(Swamp_50)","lam(Tamarack_50)","SElam(Tamarack_50)","lam(Tremblingaspen_50)","SElam(Tremblingaspen_50)","lam(Water_50)","SElam(Water_50)","lam(Whitebirch_50)","SElam(Whitebirch_50)","lam(Whitespruce_50)","SElam(Whitespruce_50)","lam(wtage_50)","SElam(wtage_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/9","~Julian + 1 ~ Tremblingaspen_50 + 1",NA,NA,NA,NA,NA,NA,0.838813574325206,0.357831399303123,NA,NA,NA,NA,NA,NA,NA,NA,-0.708302380929821,0.19434134278969,NA,NA,NA,NA,NA,NA,NA,NA,-1.9008159092686,0.415844482907995,-0.185895029852619,0.11848370732366,0,55.492630882645,279.355768950363,4,98,566.711537900726,0,0.0519176584539226,NA,0.0519176584539226
"2","9","~1 ~ Tremblingaspen_50 + 1",NA,NA,NA,NA,NA,NA,0.837778547004254,0.366347041282303,NA,NA,NA,NA,NA,NA,NA,NA,-0.699686182787199,0.194978142688066,NA,NA,NA,NA,NA,NA,NA,NA,-1.89498063253767,0.424191713906897,NA,NA,0,58.1395636212158,280.61799395647,3,98,567.23598791294,0.524450012214402,0.0399422222502685,NA,0.0918598807041911
"3","1/4/9","~Julian + 1 ~ Fen_50 + Tremblingaspen_50 + 1",NA,NA,NA,NA,0.0808520631673733,0.0637433976979473,0.847334828613594,0.360365612770698,NA,NA,NA,NA,NA,NA,NA,NA,-0.697824865154905,0.193863308756864,NA,NA,NA,NA,NA,NA,NA,NA,-1.91441900591421,0.41812738599672,-0.197689138527508,0.11904928414574,0,77.7175474595563,278.732614156157,5,98,567.465228312313,0.753690411587399,0.0356166692799535,NA,0.127476549984145
"4","1/9/11","~Julian + 1 ~ Tremblingaspen_50 + Whitebirch_50 + 1",NA,NA,NA,NA,NA,NA,0.856680243461411,0.366423988163877,NA,NA,NA,NA,NA,NA,NA,NA,-0.69815250177807,0.193963710030378,NA,NA,0.0746656419094666,0.0599502530001165,NA,NA,NA,NA,-1.92582336891631,0.424084129485642,-0.167288280740336,0.119076029535785,0,91.7292176685649,278.75434902798,5,98,567.50869805596,0.797160155234565,0.0348508976583276,NA,0.162327447642472
"5","9/11","~1 ~ Tremblingaspen_50 + Whitebirch_50 + 1",NA,NA,NA,NA,NA,NA,0.859828535234555,0.374927599246684,NA,NA,NA,NA,NA,NA,NA,NA,-0.688908589002535,0.19439019893672,NA,NA,0.0887018322229031,0.0581851914770183,NA,NA,NA,NA,-1.9261255577284,0.432264083624636,NA,NA,0,98.2874246097814,279.762010600226,4,98,567.524021200453,0.812483299727205,0.0345849052492368,NA,0.196912352891709
"6","1/7/9","~Julian + 1 ~ Swamp_50 + Tremblingaspen_50 + 1",NA,NA,NA,NA,NA,NA,0.843780796682713,0.359028702792103,NA,NA,NA,NA,0.0711650102236317,0.0656352940087106,NA,NA,-0.700923837263744,0.194006441592764,NA,NA,NA,NA,NA,NA,NA,NA,-1.90941940482779,0.416792741807595,-0.195041412607983,0.118973569501624,0,72.2155779639374,278.892386559565,5,98,567.78477311913,1.07323521840431,0.03035743197242,NA,0.227269784864129
"7","1/5/9","~Julian + 1 ~ Jackpine_50 + Tremblingaspen_50 + 1",NA,NA,NA,NA,NA,NA,0.863421661797499,0.366753205031344,-0.0907295087199789,0.0990029412970337,NA,NA,NA,NA,NA,NA,-0.710156009725268,0.191994585610906,NA,NA,NA,NA,NA,NA,NA,NA,-1.93236038009777,0.42457475066642,-0.181028537680189,0.117862102035009,0,59.1204467505487,278.925538180418,5,98,567.851076360837,1.13953846011111,0.0293675329354308,NA,0.25663731779956
"8","1/2/9","~Julian + 1 ~ Blackspruce_50 + Tremblingaspen_50 + 1",0.0740416637824858,0.0966937007004988,NA,NA,NA,NA,0.854894248512966,0.361289314447827,NA,NA,NA,NA,NA,NA,NA,NA,-0.68233101071983,0.196214355304361,NA,NA,NA,NA,NA,NA,NA,NA,-1.92088911411401,0.418779721011933,-0.191137507253477,0.118301372970545,0,59.7006850131102,279.064692109078,5,98,568.129384218156,1.4178463174303,0.0255525167196982,NA,0.282189834519258
"9","1/9/10","~Julian + 1 ~ Tremblingaspen_50 + Water_50 + 1",NA,NA,NA,NA,NA,NA,0.846837765297022,0.36137494122848,NA,NA,NA,NA,NA,NA,NA,NA,-0.69979045029008,0.19415747541035,0.056760237245205,0.075043568574556,NA,NA,NA,NA,NA,NA,-1.91148754812523,0.419588646496579,-0.191470206653113,0.118756279737372,0,60.9273794226764,279.106273132377,5,98,568.212546264754,1.50100836402851,0.0245118038236722,NA,0.30670163834293
"10","5/9","~1 ~ Jackpine_50 + Tremblingaspen_50 + 1",NA,NA,NA,NA,NA,NA,0.870137535500842,0.377607047230593,-0.0958072562204559,0.0990253158338529,NA,NA,NA,NA,NA,NA,-0.701897386677627,0.192471936485229,NA,NA,NA,NA,NA,NA,NA,NA,-1.93559228344076,0.435187960609562,NA,NA,0,62.7605869735188,280.138408136659,4,98,568.276816273318,1.56527837259182,0.0237366385776968,NA,0.330438276920627
"11","4/9","~1 ~ Fen_50 + Tremblingaspen_50 + 1",NA,NA,NA,NA,0.0695241726275527,0.0641772722021085,0.843835818886044,0.369348316272643,NA,NA,NA,NA,NA,NA,NA,NA,-0.689676602046645,0.194652420689869,NA,NA,NA,NA,NA,NA,NA,NA,-1.90473402430199,0.427018912510776,NA,NA,0,79.0391734145044,280.148946294924,4,98,568.297892589849,1.58635468912314,0.0234878115158898,NA,0.353926088436517
"12","1/6/9","~Julian + 1 ~ Shrub_50 + Tremblingaspen_50 + 1",NA,NA,NA,NA,NA,NA,0.852962289546555,0.364007502820751,NA,NA,-0.0478557586521461,0.0996792288912693,NA,NA,NA,NA,-0.711862847342506,0.194337652546616,NA,NA,NA,NA,NA,NA,NA,NA,-1.91853854868825,0.422477268002845,-0.189342836278943,0.118197048025837,0,57.7609677922478,279.228187668594,5,98,568.456375337188,1.74483743646226,0.0216984375148967,NA,0.375624525951413
"13","4/9/11","~1 ~ Fen_50 + Tremblingaspen_50 + Whitebirch_50 + 1",NA,NA,NA,NA,0.0717976973388665,0.0639664832543208,0.86654129014863,0.378192861680167,NA,NA,NA,NA,NA,NA,NA,NA,-0.678411564808172,0.194043633624016,NA,NA,0.0904948909057776,0.0581586836167198,NA,NA,NA,NA,-1.93681489550952,0.435314424354533,NA,NA,0,100.108666009092,279.261804450367,5,98,568.523608900735,1.81207100000881,0.0209811302081618,NA,0.396605656159575
"14","1/3/9","~Julian + 1 ~ Bog_50 + Tremblingaspen_50 + 1",NA,NA,0.0356804928513455,0.0814059142506169,NA,NA,0.835579214242229,0.356130160111742,NA,NA,NA,NA,NA,NA,NA,NA,-0.70344556546458,0.194417547926198,NA,NA,NA,NA,NA,NA,NA,NA,-1.89712885429932,0.414082606173638,-0.19176020525233,0.119594396279665,0,55.9298179441547,279.267222209206,5,98,568.534444418412,1.82290651768631,0.0208677668694325,NA,0.417473423029008
"15","7/9","~1 ~ Swamp_50 + Tremblingaspen_50 + 1",NA,NA,NA,NA,NA,NA,0.841323032418697,0.368117686780645,NA,NA,NA,NA,0.0608295110369788,0.0659826659962742,NA,NA,-0.692646512681837,0.194751365451262,NA,NA,NA,NA,NA,NA,NA,NA,-1.901176063765,0.425792450080442,NA,NA,0,73.9111144042826,280.272482112127,4,98,568.544964224254,1.83342632352799,0.0207582926059218,NA,0.43823171563493
