"","model","formula","lam(Blackspruce_500)","SElam(Blackspruce_500)","lam(Fen_500)","SElam(Fen_500)","lam(Int)","SElam(Int)","lam(Shrub_500)","SElam(Shrub_500)","lam(Swamp_500)","SElam(Swamp_500)","lam(Tamarack_500)","SElam(Tamarack_500)","lam(Tremblingaspen_500)","SElam(Tremblingaspen_500)","lam(Whitebirch_500)","SElam(Whitebirch_500)","lam(Whitespruce_500)","SElam(Whitespruce_500)","lam(wtage_500)","SElam(wtage_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/2/9","~Julian + 1 ~ Blackspruce_500 + Tremblingaspen_500 + 1",-1.04420145334266,0.38695868638872,NA,NA,-2.8348673614243,0.517811458108163,NA,NA,NA,NA,NA,NA,-0.824628773814749,0.443295950143957,NA,NA,NA,NA,NA,NA,0.470258437260337,0.478263762995011,1.1430897706999,0.491041457098552,0,11.3620826721279,54.4858838204962,5,98,118.971767640992,0,0.155677575984999,NA,0.155677575984999
"2","1/2/6","~Julian + 1 ~ Blackspruce_500 + Shrub_500 + 1",-0.997386257687861,0.416758012454556,NA,NA,-2.77187999209731,0.512108492823907,0.49520101533783,0.202017564083211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.456883797381511,0.475323606802838,1.20619581009206,0.49056832116537,0,18.7435814243852,54.5392461769738,5,98,119.078492353948,0.106724712955256,0.147588012293105,NA,0.303265588278104
"3","2/4/7","~1 ~ Blackspruce_500 + Fen_500 + Swamp_500 + 1",-1.44388326383081,0.457482293672941,0.957421777812318,0.338224116032421,-3.09436117611362,0.641463359084327,NA,NA,-1.52508406428155,0.904024494919291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.551013854177946,0.437534573778328,NA,NA,0,28.9690573769758,54.8493832023151,5,98,119.69876640463,0.726998763637866,0.108233146691569,NA,0.411498734969673
"4","2/9/13","~1 ~ Blackspruce_500 + Tremblingaspen_500 + wtage_500 + 1",-1.09948514400103,0.412050441557069,NA,NA,-3.08453095983317,0.627465815452334,NA,NA,NA,NA,NA,NA,-0.822278908323047,0.43278340991604,NA,NA,NA,NA,-0.803223216007604,0.519010934804497,-0.443359739869741,0.419729390024373,NA,NA,0,19.7460356091826,55.3668745101588,5,98,120.733749020318,1.76198137932528,0.064508458720495,NA,0.476007193690168
"5","1/2/13","~Julian + 1 ~ Blackspruce_500 + wtage_500 + 1",-1.0849523389462,0.40348465681478,NA,NA,-2.85467770922878,0.544052015299258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.765690469938963,0.513785531555971,0.481069516656653,0.474925904271958,1.13607829150517,0.488734048613764,0,12.441102482169,55.5982619282873,5,98,121.196523856575,2.22475621558232,0.0511830764862562,NA,0.527190270176424
"6","1/2/7","~Julian + 1 ~ Blackspruce_500 + Swamp_500 + 1",-1.15109781022691,0.371223602301092,NA,NA,-2.7803220064021,0.523563861267214,NA,NA,-1.10081198505088,1.0086491957342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.488446131972276,0.474264732781346,1.15889643855969,0.490497312299563,0,27.9493444568588,55.6076847746412,5,98,121.215369549282,2.24360190829007,0.0507030513738295,NA,0.577893321550254
"7","2/6/13","~1 ~ Blackspruce_500 + Shrub_500 + wtage_500 + 1",-1.06823815844983,0.432808591770245,NA,NA,-3.10116171084446,0.62768846635443,0.489634942279166,0.210394562271748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.865257447915329,0.494587993786888,-0.371051448882033,0.410322903751605,NA,NA,0,27.407145465278,55.6247854901687,5,98,121.249570980337,2.27780333934503,0.0498433644963489,NA,0.627736686046603
"8","2/6/9","~1 ~ Blackspruce_500 + Shrub_500 + Tremblingaspen_500 + 1",-1.01516705825797,0.409438587755721,NA,NA,-2.90828818580041,0.561485335346299,0.348339302112747,0.216704373560621,NA,NA,NA,NA,-0.717390138041463,0.431742521733911,NA,NA,NA,NA,NA,NA,-0.393949272013616,0.416045164163791,NA,NA,0,21.8365342560847,55.7410592248026,5,98,121.482118449605,2.51035080861278,0.0443721332775583,NA,0.672108819324161
"9","1/6/13","~Julian + 1 ~ Shrub_500 + wtage_500 + 1",NA,NA,NA,NA,-2.59335465061289,0.454602239986112,0.616662791878186,0.19201199130142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.824317618314034,0.475756756549941,0.453635105375998,0.471807514165538,1.15159558820384,0.478579058709332,0,16.8151079416629,55.7972798256597,5,98,121.594559651319,2.6227920103271,0.0419463341388815,NA,0.714055153463042
"10","2/7/9","~1 ~ Blackspruce_500 + Swamp_500 + Tremblingaspen_500 + 1",-1.12551605304009,0.371960569667896,NA,NA,-2.85233703616737,0.539078103671769,NA,NA,-0.776085892156056,0.79558507202426,NA,NA,-0.71520229162787,0.39717601512604,NA,NA,NA,NA,NA,NA,-0.416866002464834,0.413426328506789,NA,NA,0,22.5746570806986,55.878849222413,5,98,121.757698444826,2.78593080383358,0.0386606252193043,NA,0.752715778682347
