"","model","formula","lam(Blackspruce_150)","SElam(Blackspruce_150)","lam(Bog_150)","SElam(Bog_150)","lam(Fen_150)","SElam(Fen_150)","lam(Int)","SElam(Int)","lam(Jackpine_150)","SElam(Jackpine_150)","lam(Shrub_150)","SElam(Shrub_150)","lam(Swamp_150)","SElam(Swamp_150)","lam(Tamarack_150)","SElam(Tamarack_150)","lam(Tremblingaspen_150)","SElam(Tremblingaspen_150)","lam(Water_150)","SElam(Water_150)","lam(Whitebirch_150)","SElam(Whitebirch_150)","lam(Whitespruce_150)","SElam(Whitespruce_150)","lam(wtage_150)","SElam(wtage_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","2/5/8","~1 ~ Blackspruce_150 + Jackpine_150 + Tamarack_150 + 1",1.21428011352166,0.270895918476246,NA,NA,NA,NA,0.346036740742777,0.507505258030932,0.716565214092723,0.243828440116357,NA,NA,NA,NA,0.876935534607698,0.193999687771524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.01623986143065,0.560743149322396,NA,NA,0,88.972833952471,206.000977183985,5,98,422.001954367971,0,0.147968637179647,NA,0.147968637179647
"2","1/9/10","~Julian + 1 ~ Tremblingaspen_150 + Water_150 + 1",NA,NA,NA,NA,NA,NA,0.317624381773022,0.479162848896886,NA,NA,NA,NA,NA,NA,NA,NA,-0.967235061150372,0.228646352236067,-0.312831908929431,0.202325243551981,NA,NA,NA,NA,NA,NA,-2.00463158631331,0.53030518597278,0.278440270086431,0.149448758494118,0,70.0164529913105,206.276064656664,5,98,422.552129313328,0.550174945357071,0.112383021039417,NA,0.260351658219063
"3","2/8/9","~1 ~ Blackspruce_150 + Tamarack_150 + Tremblingaspen_150 + 1",0.374930408592369,0.152853985400025,NA,NA,NA,NA,0.509687905770898,0.594924010748616,NA,NA,NA,NA,NA,NA,0.297614970606531,0.13240653652914,-0.6369496653162,0.236495949049573,NA,NA,NA,NA,NA,NA,NA,NA,-2.17616451354699,0.657870064683091,NA,NA,0,135.133672358172,206.605735090937,5,98,423.211470181874,1.20951581390335,0.0808214526521343,NA,0.341173110871198
"4","5/9/10","~1 ~ Jackpine_150 + Tremblingaspen_150 + Water_150 + 1",NA,NA,NA,NA,NA,NA,0.338973380151341,0.511461490247229,-0.186079985659494,0.12619150708487,NA,NA,NA,NA,NA,NA,-0.934758004141373,0.220565063986801,-0.371535888132809,0.215707538790168,NA,NA,NA,NA,NA,NA,-1.99527783662538,0.568463891567338,NA,NA,0,83.3105931188719,206.881899476329,5,98,423.763798952658,1.76184458468754,0.0613182826968696,NA,0.402491393568067
"5","9/10","~1 ~ Tremblingaspen_150 + Water_150 + 1",NA,NA,NA,NA,NA,NA,0.187941503183071,0.431311445322159,NA,NA,NA,NA,NA,NA,NA,NA,-0.964064337815032,0.228866849996178,-0.331377813429428,0.214148340396364,NA,NA,NA,NA,NA,NA,-1.81911813981709,0.48339297675447,NA,NA,0,54.3578453838752,208.000662189237,4,98,424.001324378473,1.99937001050296,0.0544517688766774,NA,0.456943162444745
"6","6/9/10","~1 ~ Shrub_150 + Tremblingaspen_150 + Water_150 + 1",NA,NA,NA,NA,NA,NA,0.169288990702365,0.432783163591649,NA,NA,-0.215500501350228,0.203772604361779,NA,NA,NA,NA,-0.97605078684144,0.2298923495918,-0.297482215901278,0.210319510141676,NA,NA,NA,NA,NA,NA,-1.81475121511986,0.482828994166309,NA,NA,0,54.8197566287207,207.093184559972,5,98,424.186369119943,2.18441475197295,0.0496398016407732,NA,0.506582964085518
"7","1/9","~Julian + 1 ~ Tremblingaspen_150 + 1",NA,NA,NA,NA,NA,NA,0.335550155586472,0.463170300043734,NA,NA,NA,NA,NA,NA,NA,NA,-0.909127198667906,0.224798524818397,NA,NA,NA,NA,NA,NA,NA,NA,-1.98278120043723,0.517833909346689,0.284063509886406,0.150771433179258,0,65.1562532089889,208.374545177803,4,98,424.749090355605,2.74713598763481,0.037465943482702,NA,0.54404890756822
"8","1/6/9","~Julian + 1 ~ Shrub_150 + Tremblingaspen_150 + 1",NA,NA,NA,NA,NA,NA,0.284098298362088,0.460649062336938,NA,NA,-0.222626408169417,0.209355324673923,NA,NA,NA,NA,-0.926443317739712,0.226445876535807,NA,NA,NA,NA,NA,NA,NA,NA,-1.94168273503571,0.512940713151934,0.246721935531016,0.153396514043163,0,64.1498624652095,207.50029740787,5,98,425.00059481574,2.9986404477699,0.0330387170097416,NA,0.577087624577961
"9","7/9/10","~1 ~ Swamp_150 + Tremblingaspen_150 + Water_150 + 1",NA,NA,NA,NA,NA,NA,0.179367896430904,0.432594639501271,NA,NA,NA,NA,-0.117617804089203,0.140967610199632,NA,NA,-0.985906675782004,0.23068284083053,-0.343121857167691,0.216549523507805,NA,NA,NA,NA,NA,NA,-1.81883674879217,0.483796161927904,NA,NA,0,54.5381642254366,207.538329068781,5,98,425.076658137563,3.07470376959202,0.031805793399383,NA,0.608893417977345
"10","2/9/10","~1 ~ Blackspruce_150 + Tremblingaspen_150 + Water_150 + 1",0.121156967725982,0.126578871759939,NA,NA,NA,NA,0.22569011079881,0.445299711678719,NA,NA,NA,NA,NA,NA,NA,NA,-0.89347960061557,0.237586708236073,-0.288087613726568,0.215138599037421,NA,NA,NA,NA,NA,NA,-1.86102266061715,0.497797056778984,NA,NA,0,69.040344722885,207.542926760186,5,98,425.085853520371,3.08389915240082,0.0316598958294699,NA,0.640553313806814
"11","4/9/10","~1 ~ Fen_150 + Tremblingaspen_150 + Water_150 + 1",NA,NA,NA,NA,-0.10646617656624,0.12501433147177,0.234433763791945,0.457845985743662,NA,NA,NA,NA,NA,NA,NA,NA,-0.979455846811039,0.227953747364983,-0.331961987009969,0.210230286896702,NA,NA,NA,NA,NA,NA,-1.878196188993,0.512237513614146,NA,NA,0,62.6949414173057,207.575070943783,5,98,425.150141887567,3.14818751959632,0.0306583967421472,NA,0.671211710548962
"12","1/8/9","~Julian + 1 ~ Tamarack_150 + Tremblingaspen_150 + 1",NA,NA,NA,NA,NA,NA,0.413452901529025,0.502334917916908,NA,NA,NA,NA,NA,NA,0.131191450454581,0.100396196676437,-0.867274195566986,0.225933478850256,NA,NA,NA,NA,NA,NA,NA,NA,-2.0803348685292,0.55804061230617,0.308164887838915,0.14927735073158,0,88.4133342657821,207.602245937241,5,98,425.204491874482,3.20253750651113,0.0298364734715689,NA,0.70104818402053
"13","3/9/10","~1 ~ Bog_150 + Tremblingaspen_150 + Water_150 + 1",NA,NA,-0.122137450424414,0.162892956366162,NA,NA,0.211032926953796,0.44453468736578,NA,NA,NA,NA,NA,NA,NA,NA,-0.96595197026553,0.227223631890325,-0.335715098951855,0.21382890529207,NA,NA,NA,NA,NA,NA,-1.85009875830696,0.497780003322959,NA,NA,0,58.5773071864723,207.627910500056,5,98,425.255821000113,3.25386663214204,0.0290804760906983,NA,0.730128660111229
"14","1/2/9","~Julian + 1 ~ Blackspruce_150 + Tremblingaspen_150 + 1",0.143176930725492,0.121528218735061,NA,NA,NA,NA,0.36537518646132,0.48287789077835,NA,NA,NA,NA,NA,NA,NA,NA,-0.836994724567095,0.230325959165954,NA,NA,NA,NA,NA,NA,NA,NA,-2.01704987375945,0.538172985276528,0.244549498592612,0.153254881811343,0,84.4322223141448,207.677527546844,5,98,425.355055093687,3.35310072571673,0.0276727998946917,NA,0.757801460005921
"15","8/9/10","~1 ~ Tamarack_150 + Tremblingaspen_150 + Water_150 + 1",NA,NA,NA,NA,NA,NA,0.224146762874752,0.451237010000089,NA,NA,NA,NA,NA,NA,0.0864325141173934,0.104194835298746,-0.935172233900941,0.230841985951352,-0.331795896023965,0.218258356494648,NA,NA,NA,NA,NA,NA,-1.8642948821674,0.504809519815432,NA,NA,0,67.0119079562804,207.677606517728,5,98,425.355213035456,3.35325866748582,0.0276706146354932,NA,0.785472074641414
"16","6/9","~1 ~ Shrub_150 + Tremblingaspen_150 + 1",NA,NA,NA,NA,NA,NA,0.186440779996806,0.423988744008805,NA,NA,-0.27409845898539,0.21869991590342,NA,NA,NA,NA,-0.929058857653875,0.226719302300046,NA,NA,NA,NA,NA,NA,NA,NA,-1.80067824435012,0.476696953910059,NA,NA,0,52.3952093031205,208.787180735885,4,98,425.57436147177,3.57240710379949,0.024798837782396,NA,0.81027091242381
"17","9/10/11","~1 ~ Tremblingaspen_150 + Water_150 + Whitebirch_150 + 1",NA,NA,NA,NA,NA,NA,0.187804028135565,0.429927000032221,NA,NA,NA,NA,NA,NA,NA,NA,-0.955071032989612,0.228287538156639,-0.323022609429205,0.215697135828726,-0.0733533174777162,0.192853217077935,NA,NA,NA,NA,-1.81849554986295,0.4818212566189,NA,NA,0,54.3378693235922,207.910253692912,5,98,425.820507385824,3.81855301785345,0.0219271113295029,NA,0.832198023753313
"18","6/8/9","~1 ~ Shrub_150 + Tamarack_150 + Tremblingaspen_150 + 1",NA,NA,NA,NA,NA,NA,0.242293279484074,0.455699827914214,NA,NA,-0.311231466215344,0.22224622132584,NA,NA,0.141008620732671,0.102318913336403,-0.890451508264715,0.227777749562797,NA,NA,NA,NA,NA,NA,NA,NA,-1.87669662993168,0.510174202069084,NA,NA,0,69.3769636906221,207.93309148443,5,98,425.86618296886,3.86422860088987,0.0214320194532403,NA,0.853630043206553
"19","9/10/13","~1 ~ Tremblingaspen_150 + Water_150 + wtage_150 + 1",NA,NA,NA,NA,NA,NA,0.191808035301811,0.433351874862436,NA,NA,NA,NA,NA,NA,NA,NA,-0.963982007187498,0.228023648169754,-0.325740742873565,0.217758301592481,NA,NA,NA,NA,0.0623532737004839,0.176657022921736,-1.82632737387981,0.485555358855386,NA,NA,0,55.1740483578116,207.938746180773,5,98,425.877492361547,3.87553799357602,0.0213111698970047,NA,0.874941213103558
