"","model","formula","lam(Blackspruce_500)","SElam(Blackspruce_500)","lam(Bog_500)","SElam(Bog_500)","lam(Int)","SElam(Int)","lam(Jackpine_500)","SElam(Jackpine_500)","lam(Swamp_500)","SElam(Swamp_500)","lam(Tamarack_500)","SElam(Tamarack_500)","lam(Tremblingaspen_500)","SElam(Tremblingaspen_500)","lam(Water_500)","SElam(Water_500)","lam(Whitespruce_500)","SElam(Whitespruce_500)","lam(wtage_500)","SElam(wtage_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/9/10","~Julian + 1 ~ Tremblingaspen_500 + Water_500 + 1",NA,NA,NA,NA,0.242045601708151,0.325571055900295,NA,NA,NA,NA,NA,NA,-0.539326617506137,0.160304585657583,-0.360824978567753,0.20174925301222,NA,NA,NA,NA,-1.68674261529432,0.377900545732784,0.364962730665333,0.160888377511144,0,27.5861939833917,213.894406622294,5,98,437.788813244588,0,0.203997072926072,NA,0.203997072926072
"2","2/3/8","~1 ~ Blackspruce_500 + Bog_500 + Tamarack_500 + 1",0.544262644185758,0.164987917414049,-0.375535039952925,0.219169021251814,0.37119533562366,0.413941155106907,NA,NA,NA,NA,0.522205047633519,0.156541471193291,NA,NA,NA,NA,NA,NA,NA,NA,-1.82825195682004,0.484617533830489,NA,NA,0,56.5830276867278,214.584163644899,5,98,439.168327289798,1.37951404521027,0.102344914419048,NA,0.30634198734512
"3","3/9/10","~1 ~ Bog_500 + Tremblingaspen_500 + Water_500 + 1",NA,NA,-0.29055061264223,0.208057135875718,0.141727815562098,0.320843159932596,NA,NA,NA,NA,NA,NA,-0.468953384470399,0.155580988856021,-0.383430487388928,0.203716385562414,NA,NA,NA,NA,-1.54390294494757,0.375917371181429,NA,NA,0,26.9803912732929,215.011845340812,5,98,440.023690681624,2.23487743703623,0.0667308207777775,NA,0.373072808122897
"4","2/8/9","~1 ~ Blackspruce_500 + Tamarack_500 + Tremblingaspen_500 + 1",0.444258650727193,0.165775149135438,NA,NA,0.292997263225628,0.37387551384661,NA,NA,NA,NA,0.303867941170806,0.156858630918066,-0.305769790495339,0.165279882556931,NA,NA,NA,NA,NA,NA,-1.71477795591439,0.440760724205693,NA,NA,0,43.2054469376844,215.061558128241,5,98,440.123116256482,2.33430301189412,0.0634945540604095,NA,0.436567362183307
"5","5/9/10","~1 ~ Jackpine_500 + Tremblingaspen_500 + Water_500 + 1",NA,NA,NA,NA,0.236270190982964,0.359924897750204,-0.246875523553269,0.150192360676721,NA,NA,NA,NA,-0.595743909899994,0.168349305792827,-0.478532192633505,0.215597118896805,NA,NA,NA,NA,-1.6524905425676,0.423379190667925,NA,NA,0,35.7866075267882,215.069970379505,5,98,440.13994075901,2.35112751442171,0.0629626622581633,NA,0.49953002444147
"6","1/2/9","~Julian + 1 ~ Blackspruce_500 + Tremblingaspen_500 + 1",0.179911444273099,0.126787466885018,NA,NA,0.306025378480464,0.346730263924746,NA,NA,NA,NA,NA,NA,-0.447878583880487,0.156199666365793,NA,NA,NA,NA,NA,NA,-1.72873463419554,0.407049683582715,0.298028248377082,0.166724277622471,0,34.4133997505856,215.2962267975,5,98,440.592453594999,2.8036403504114,0.0502135780964723,NA,0.549743602537942
"7","1/9","~Julian + 1 ~ Tremblingaspen_500 + 1",NA,NA,NA,NA,0.306067242861286,0.326287702607628,NA,NA,NA,NA,NA,NA,-0.449054183496315,0.153437402281212,NA,NA,NA,NA,NA,NA,-1.70795234743866,0.385277132294452,0.363810498269416,0.159611132488735,0,28.3028114627756,216.302464459045,4,98,440.60492891809,2.81611567350171,0.0499013376289118,NA,0.599644940166854
"8","9/10","~1 ~ Tremblingaspen_500 + Water_500 + 1",NA,NA,NA,NA,0.134260421618488,0.306451271755686,NA,NA,NA,NA,NA,NA,-0.490318347374853,0.156102873292096,-0.356784039086302,0.201084088154618,NA,NA,NA,NA,-1.50045076417826,0.361979657635293,NA,NA,0,23.8454001293528,216.418020496964,4,98,440.836040993928,3.04722774934061,0.0444556370045382,NA,0.644100577171392
"9","2/9/10","~1 ~ Blackspruce_500 + Tremblingaspen_500 + Water_500 + 1",0.174219181198766,0.131354548365341,NA,NA,0.176812504099553,0.328476728726178,NA,NA,NA,NA,NA,NA,-0.474676145325785,0.158597113037845,-0.28727443766536,0.203670591649094,NA,NA,NA,NA,-1.56898107159834,0.387055812791719,NA,NA,0,30.2703490245174,215.547041675412,5,98,441.094083350823,3.30527010623547,0.0390745200023031,NA,0.683175097173695
"10","1/3/9","~Julian + 1 ~ Bog_500 + Tremblingaspen_500 + 1",NA,NA,-0.217702248476754,0.206556779896811,0.304353035885314,0.337222253459767,NA,NA,NA,NA,NA,NA,-0.42515866384627,0.153739193966414,NA,NA,NA,NA,NA,NA,-1.72641953885454,0.396715470292484,0.338760760235421,0.159998168356087,0,31.1603890170769,215.583489830261,5,98,441.166979660522,3.37816641593457,0.037675967990929,NA,0.720851065164624
