"","model","formula","lam(Blackspruce_150)","SElam(Blackspruce_150)","lam(Bog_150)","SElam(Bog_150)","lam(Fen_150)","SElam(Fen_150)","lam(Int)","SElam(Int)","lam(Jackpine_150)","SElam(Jackpine_150)","lam(Shrub_150)","SElam(Shrub_150)","lam(Swamp_150)","SElam(Swamp_150)","lam(Tamarack_150)","SElam(Tamarack_150)","lam(Tremblingaspen_150)","SElam(Tremblingaspen_150)","lam(Water_150)","SElam(Water_150)","lam(Whitebirch_150)","SElam(Whitebirch_150)","lam(Whitespruce_150)","SElam(Whitespruce_150)","lam(wtage_150)","SElam(wtage_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/6/9","~Julian + 1 ~ Shrub_150 + Tremblingaspen_150 + 1",NA,NA,NA,NA,NA,NA,0.86799116725985,0.243194786673138,NA,NA,-0.219132250107686,0.150637708774424,NA,NA,NA,NA,-0.390630167560283,0.11527438325784,NA,NA,NA,NA,NA,NA,NA,NA,-1.46915954832005,0.304276196734101,0.320686968814764,0.11276274739789,0,32.5086200495985,339.082798260227,5,98,688.165596520453,0,0.221873189159325,NA,0.221873189159325
"2","1/9","~Julian + 1 ~ Tremblingaspen_150 + 1",NA,NA,NA,NA,NA,NA,0.861353101452048,0.23318872901814,NA,NA,NA,NA,NA,NA,NA,NA,-0.369591452441438,0.114745409440386,NA,NA,NA,NA,NA,NA,NA,NA,-1.43915316322715,0.293362016049582,0.35159793313389,0.112664954939778,0,29.117381054485,340.618928402534,4,98,689.237856805068,1.07226028461446,0.129797540583767,NA,0.351670729743092
"3","1/2/9","~Julian + 1 ~ Blackspruce_150 + Tremblingaspen_150 + 1",0.104339647217132,0.0904107990385417,NA,NA,NA,NA,0.875962748322807,0.241138791358783,NA,NA,NA,NA,NA,NA,NA,NA,-0.331651464530727,0.119029163558827,NA,NA,NA,NA,NA,NA,NA,NA,-1.46306026726835,0.302239848210594,0.327826535867093,0.113959379897661,0,35.5473485211865,339.957406018421,5,98,689.914812036841,1.74921551638806,0.0925267915044069,NA,0.444197521247499
"4","1/9/11","~Julian + 1 ~ Tremblingaspen_150 + Whitebirch_150 + 1",NA,NA,NA,NA,NA,NA,0.855050582518582,0.234416488689095,NA,NA,NA,NA,NA,NA,NA,NA,-0.367939242272553,0.114167018811465,NA,NA,-0.149835126470398,0.175975461191517,NA,NA,NA,NA,-1.44103449988245,0.294271535545173,0.339936263827145,0.112896817356715,0,29.6266970410206,340.077610036406,5,98,690.155220072812,1.98962355235903,0.0820471615248623,NA,0.526244682772361
"5","1/3/9","~Julian + 1 ~ Bog_150 + Tremblingaspen_150 + 1",NA,NA,0.0723634192737783,0.0644454312140793,NA,NA,0.868118186597874,0.237136820243404,NA,NA,NA,NA,NA,NA,NA,NA,-0.36654767280918,0.115134912710475,NA,NA,NA,NA,NA,NA,NA,NA,-1.452364314113,0.297608561525743,0.338926505885938,0.113174573331095,0,36.7480559938482,340.098333812018,5,98,690.196667624035,2.03107110358201,0.0803643320771117,NA,0.606609014849473
"6","1/9/10","~Julian + 1 ~ Tremblingaspen_150 + Water_150 + 1",NA,NA,NA,NA,NA,NA,0.894829227047945,0.246414620794063,NA,NA,NA,NA,NA,NA,NA,NA,-0.390627726228867,0.116756730137623,-0.0838099264797798,0.093510661467312,NA,NA,NA,NA,NA,NA,-1.48659725155441,0.30890586988342,0.349696676432109,0.111363670364149,0,33.3034470818919,340.158696577912,5,98,690.317393155824,2.15179663537094,0.0756568270200973,NA,0.68226584186957
"7","1/4/9","~Julian + 1 ~ Fen_150 + Tremblingaspen_150 + 1",NA,NA,NA,NA,0.0616984737090821,0.0721052210149715,0.854540057587999,0.232315461647241,NA,NA,NA,NA,NA,NA,NA,NA,-0.357857473138517,0.115864653102649,NA,NA,NA,NA,NA,NA,NA,NA,-1.43297671909931,0.292187979405149,0.348517137321593,0.11289374906281,0,31.7319003831499,340.285838296397,5,98,690.571676592793,2.40608007234016,0.0666240725867778,NA,0.748889914456348
"8","1/8/9","~Julian + 1 ~ Tamarack_150 + Tremblingaspen_150 + 1",NA,NA,NA,NA,NA,NA,0.866489598680905,0.235999825635003,NA,NA,NA,NA,NA,NA,-0.0576360129459858,0.0905939572096256,-0.385440826702967,0.117062183991663,NA,NA,NA,NA,NA,NA,NA,NA,-1.44776179479135,0.296551892746945,0.341945647431852,0.113410011312149,0,30.0544108885349,340.408846497766,5,98,690.817692995531,2.65209647507822,0.0589127632730085,NA,0.807802677729356
"9","1/5/9","~Julian + 1 ~ Jackpine_150 + Tremblingaspen_150 + 1",NA,NA,NA,NA,NA,NA,0.862140235714189,0.233443725886561,0.0115314355417534,0.0881905702132101,NA,NA,NA,NA,NA,NA,-0.370480103286883,0.115120821785251,NA,NA,NA,NA,NA,NA,NA,NA,-1.44050455631732,0.293727246906828,0.3522580214371,0.112737251579823,0,29.2120175625133,340.610406047226,5,98,691.220812094452,3.05521557399891,0.0481585268399614,NA,0.855961204569318
"10","1/7/9","~Julian + 1 ~ Swamp_150 + Tremblingaspen_150 + 1",NA,NA,NA,NA,NA,NA,0.859793354430651,0.232883855535914,NA,NA,NA,NA,-0.010391653312681,0.0865248874829461,NA,NA,-0.371290488306594,0.115579008925067,NA,NA,NA,NA,NA,NA,NA,NA,-1.43716480561792,0.29305721635626,0.351276815733228,0.112734342694712,0,29.1497489504854,340.61166839683,5,98,691.223336793661,3.05774027320763,0.0480977722974626,NA,0.90405897686678
"11","1/9/12","~Julian + 1 ~ Tremblingaspen_150 + Whitespruce_150 + 1",NA,NA,NA,NA,NA,NA,0.859629577700732,0.233391095376225,NA,NA,NA,NA,NA,NA,NA,NA,-0.368211538778111,0.115417113576097,NA,NA,NA,NA,-0.0120411746960937,0.10475696295981,NA,NA,-1.43720901433132,0.293531251454562,0.352069243368544,0.112783899636605,0,29.2649628538515,340.612144418882,5,98,691.224288837764,3.05869231731049,0.048074882145765,NA,0.952133859012545
"12","1/9/13","~Julian + 1 ~ Tremblingaspen_150 + wtage_150 + 1",NA,NA,NA,NA,NA,NA,0.863671668892985,0.236403379989546,NA,NA,NA,NA,NA,NA,NA,NA,-0.370446954891907,0.115260685516567,NA,NA,NA,NA,NA,NA,0.00558082342462188,0.0806031755885124,-1.4420966378961,0.297645460760446,0.35139095480102,0.112610991491908,0,30.1744877431106,340.616495873158,5,98,691.232991746316,3.06739522586292,0.0478661409874549,NA,1
