"","model","formula","lam(Blackspruce_500)","SElam(Blackspruce_500)","lam(Bog_500)","SElam(Bog_500)","lam(Int)","SElam(Int)","lam(Jackpine_500)","SElam(Jackpine_500)","lam(Shrub_500)","SElam(Shrub_500)","lam(Tamarack_500)","SElam(Tamarack_500)","lam(Tremblingaspen_500)","SElam(Tremblingaspen_500)","lam(Water_500)","SElam(Water_500)","lam(Whitebirch_500)","SElam(Whitebirch_500)","lam(Whitespruce_500)","SElam(Whitespruce_500)","lam(wtage_500)","SElam(wtage_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/2/9","~Julian + 1 ~ Blackspruce_500 + Tremblingaspen_500 + 1",0.189750706849712,0.0914168852362799,NA,NA,0.877398331660056,0.23334951974093,NA,NA,NA,NA,NA,NA,-0.227278663098168,0.101792479722046,NA,NA,NA,NA,NA,NA,NA,NA,-1.4377810961467,0.293899830795984,0.322753386590934,0.118473316019531,0,30.8833206085596,341.767100373163,5,98,693.534200746325,0,0.218357154214762,NA,0.218357154214762
"2","1/9/10","~Julian + 1 ~ Tremblingaspen_500 + Water_500 + 1",NA,NA,NA,NA,0.872938052301031,0.225313223171906,NA,NA,NA,NA,NA,NA,-0.281333376946165,0.104099619758809,-0.191190518487127,0.118436691031425,NA,NA,NA,NA,NA,NA,-1.42628973689569,0.284699601854177,0.386496260817009,0.113214046175073,0,25.914017420058,342.29084241491,5,98,694.58168482982,1.0474840834944,0.129332939072542,NA,0.347690093287304
"3","1/2/13","~Julian + 1 ~ Blackspruce_500 + wtage_500 + 1",0.255046623375369,0.097855097286616,NA,NA,0.841074734058648,0.223829104114259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.192450626462564,0.0975772330716246,-1.38031810031284,0.282575221912597,0.316898305754654,0.119985696917651,0,26.8243625038059,342.316111049827,5,98,694.632222099655,1.09802135332927,0.126105816453012,NA,0.473795909740316
"4","1/9/13","~Julian + 1 ~ Tremblingaspen_500 + wtage_500 + 1",NA,NA,NA,NA,0.854222967056547,0.216025388162435,NA,NA,NA,NA,NA,NA,-0.228593233275348,0.0995823514069848,NA,NA,NA,NA,NA,NA,-0.13565948894118,0.0983007128106541,-1.39336192015365,0.273507005241691,0.420620194965575,0.115425721678282,0,23.4599624866453,342.890426241921,5,98,695.780852483841,2.24665173751566,0.0710089677591127,NA,0.544804877499429
"5","1/9","~Julian + 1 ~ Tremblingaspen_500 + 1",NA,NA,NA,NA,0.850339845541482,0.214176529002806,NA,NA,NA,NA,NA,NA,-0.227507479450817,0.0998076693012627,NA,NA,NA,NA,NA,NA,NA,NA,-1.37853659745569,0.272260691431594,0.393358089625439,0.114303715392595,0,22.9075602260336,343.896600021128,4,98,695.793200042257,2.2589992959314,0.0705719245626663,NA,0.615376802062095
"6","1/2","~Julian + 1 ~ Blackspruce_500 + 1",0.200112226087885,0.0936106128155299,NA,NA,0.831192435039384,0.215869256254067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.34710050693775,0.274684692017777,0.297751372641058,0.120749988383568,0,24.9603832241556,344.386277041526,4,98,696.772554083052,3.23835333672696,0.0432481897030956,NA,0.65862499176519
"7","1/9/11","~Julian + 1 ~ Tremblingaspen_500 + Whitebirch_500 + 1",NA,NA,NA,NA,0.855848273518206,0.215565968549003,NA,NA,NA,NA,NA,NA,-0.293731969108888,0.120163482361134,NA,NA,0.129047879610062,0.124613191589454,NA,NA,NA,NA,-1.38763431125424,0.273228294167479,0.400626028810446,0.11414905717159,0,24.2422074083867,343.392820889558,5,98,696.785641779117,3.2514410327916,0.0429661040913138,NA,0.701591095856504
"8","1/6/9","~Julian + 1 ~ Shrub_500 + Tremblingaspen_500 + 1",NA,NA,NA,NA,0.864855547181747,0.221365714814852,NA,NA,-0.102055237695695,0.105981117516256,NA,NA,-0.250033463185695,0.102126838566214,NA,NA,NA,NA,NA,NA,NA,NA,-1.40359927048419,0.280893426610078,0.369167665079176,0.11583857869949,0,24.9431526190206,343.40084604316,5,98,696.80169208632,3.26749133999476,0.0426226743875408,NA,0.744213770244045
"9","1/2/5","~Julian + 1 ~ Blackspruce_500 + Jackpine_500 + 1",0.252651460545934,0.102201190421917,NA,NA,0.85710685994539,0.224140612375094,0.140155383338574,0.1005133206984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.39239327391958,0.284213332267184,0.318271012501087,0.120218446278899,0,28.2907161465291,343.417338618782,5,98,696.834677237565,3.30047649123935,0.0419254817612904,NA,0.786139252005335
"10","1/3/9","~Julian + 1 ~ Bog_500 + Tremblingaspen_500 + 1",NA,NA,-0.100343558742962,0.11835458212205,0.839622166069396,0.214200035087106,NA,NA,NA,NA,NA,NA,-0.216737573641417,0.100440316014591,NA,NA,NA,NA,NA,NA,NA,NA,-1.37108467972568,0.271842605426994,0.380686108256013,0.11516408386843,0,23.1958206678226,343.488686399352,5,98,696.977372798703,3.44317205237803,0.0390384094083349,NA,0.82517766141367
"11","1/2/8","~Julian + 1 ~ Blackspruce_500 + Tamarack_500 + 1",0.288479980906276,0.116222020632843,NA,NA,0.844142136094353,0.223006843724098,NA,NA,NA,NA,0.153042105758012,0.114008877818339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.37476553923306,0.282919864576558,0.290435672771602,0.1201110380308,0,30.3218416684099,343.522811376225,5,98,697.045622752451,3.51142200612537,0.0377286986110105,NA,0.862906360024681
"12","1/2/12","~Julian + 1 ~ Blackspruce_500 + Whitespruce_500 + 1",0.180178898482211,0.0946738689758338,NA,NA,0.843637118479961,0.221459499640175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.139113037584836,0.112936885116855,NA,NA,-1.37405783223205,0.280997451004713,0.299802810347148,0.119788881055586,0,27.2264680768823,343.538095555902,5,98,697.076191111805,3.54199036547914,0.0371564308643915,NA,0.900062790889072
"13","1/8/9","~Julian + 1 ~ Tamarack_500 + Tremblingaspen_500 + 1",NA,NA,NA,NA,0.854729299315085,0.216794364660722,NA,NA,NA,NA,-0.0780706748935367,0.096468780444355,-0.250069392659513,0.103363959294104,NA,NA,NA,NA,NA,NA,NA,NA,-1.38770428063694,0.275178107041027,0.383339812646634,0.114749233528436,0,23.5915169907274,343.556314934741,5,98,697.112629869482,3.57842912315709,0.0364855934513532,NA,0.936548384340426
"14","1/9/12","~Julian + 1 ~ Tremblingaspen_500 + Whitespruce_500 + 1",NA,NA,NA,NA,0.851310289534757,0.216117485069908,NA,NA,NA,NA,NA,NA,-0.194799107397079,0.108579970954578,NA,NA,NA,NA,-0.0852910654616662,0.121141922112721,NA,NA,-1.38332641301662,0.274377882059094,0.386843581994437,0.114622997402808,0,24.285438659327,343.635618662967,5,98,697.271237325935,3.73703657960914,0.0337039066335865,NA,0.970252290974012
"15","2/9/13","~1 ~ Blackspruce_500 + Tremblingaspen_500 + wtage_500 + 1",0.318277745147046,0.0951819313209119,NA,NA,0.781495202226023,0.213368796339093,NA,NA,NA,NA,NA,NA,-0.196428604259431,0.101097885977755,NA,NA,NA,NA,NA,NA,-0.173157473673132,0.0984098666088124,-1.29365187380942,0.271953283483277,NA,NA,0,24.9967574051865,343.760480295956,5,98,697.520960591911,3.98675984558588,0.029747709025988,NA,1
