"","model","formula","lam(Blackspruce_50)","SElam(Blackspruce_50)","lam(Bog_50)","SElam(Bog_50)","lam(Fen_50)","SElam(Fen_50)","lam(Int)","SElam(Int)","lam(Jackpine_50)","SElam(Jackpine_50)","lam(Shrub_50)","SElam(Shrub_50)","lam(Swamp_50)","SElam(Swamp_50)","lam(Tamarack_50)","SElam(Tamarack_50)","lam(Tremblingaspen_50)","SElam(Tremblingaspen_50)","lam(Water_50)","SElam(Water_50)","lam(Whitebirch_50)","SElam(Whitebirch_50)","lam(Whitespruce_50)","SElam(Whitespruce_50)","lam(wtage_50)","SElam(wtage_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","6/8/10","~1 ~ Shrub_50 + Tamarack_50 + Water_50 + 1",NA,NA,NA,NA,NA,NA,-1.52116547124752,0.23818447939991,NA,NA,0.296570321764086,0.083653066066948,NA,NA,0.535674663732439,0.127192442264274,NA,NA,0.254932099244582,0.101064410579443,NA,NA,NA,NA,NA,NA,0.295425427362373,0.233709565202047,NA,NA,0,12.0602434977019,120.86162881892,5,98,251.72325763784,0,0.256900704262642,NA,0.256900704262642
"2","6/8/13","~1 ~ Shrub_50 + Tamarack_50 + wtage_50 + 1",NA,NA,NA,NA,NA,NA,-1.50802685827079,0.237332438587684,NA,NA,0.296196167833791,0.0807831808558425,NA,NA,0.500774929450742,0.122238075596619,NA,NA,NA,NA,NA,NA,NA,NA,-0.252627677325532,0.14552899384904,0.290102730021423,0.234539786598611,NA,NA,0,12.3023477123765,121.658242438156,5,98,253.316484876311,1.59322723847086,0.11582448978762,NA,0.372725194050262
"3","6/8","~1 ~ Shrub_50 + Tamarack_50 + 1",NA,NA,NA,NA,NA,NA,-1.46207167437337,0.228974918209972,NA,NA,0.288802301889889,0.0827597358179077,NA,NA,0.503927085480717,0.12436153224589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.294632522959577,0.233700529246678,NA,NA,0,11.3154034035751,122.796837024223,4,98,253.593674048447,1.87041641060637,0.100834588856748,NA,0.47355978290701
"4","6/8/12","~1 ~ Shrub_50 + Tamarack_50 + Whitespruce_50 + 1",NA,NA,NA,NA,NA,NA,-3.00647940932761,5.29122978351143,NA,NA,0.28284547706983,0.0826842306829918,NA,NA,0.497595092662874,0.123420387141983,NA,NA,NA,NA,NA,NA,-9.78991130751294,32.5934432301903,NA,NA,0.291591389883367,0.234511943138059,NA,NA,0,195953.149566517,121.826369977891,5,98,253.652739955781,1.92948231794099,0.0979001896318348,NA,0.571459972538845
"5","1/6/8","~Julian + 1 ~ Shrub_50 + Tamarack_50 + 1",NA,NA,NA,NA,NA,NA,-1.43634719478807,0.232174148177185,NA,NA,0.290653552516876,0.082668011773004,NA,NA,0.493703713958841,0.124669009125669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150777072840475,0.265165062895261,-0.324116258062612,0.237788419252804,0,17.6314940302507,121.835954985345,5,98,253.671909970689,1.94865233284901,0.0969662984115079,NA,0.668426270950353
"6","4/6/8","~1 ~ Fen_50 + Shrub_50 + Tamarack_50 + 1",NA,NA,NA,NA,-0.783852034644042,1.87618501844158,-1.53521239560426,0.317185591518663,NA,NA,0.284405003804449,0.0829500113243033,NA,NA,0.501187925667637,0.123717422529797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.294270095654963,0.233744999529208,NA,NA,0,639.299536354043,122.410324496466,5,98,254.820648992932,3.0973913550913,0.0545978206956223,NA,0.723024091645975
"7","6/8/11","~1 ~ Shrub_50 + Tamarack_50 + Whitebirch_50 + 1",NA,NA,NA,NA,NA,NA,-2.9818633434153,6.20411830135139,NA,NA,0.286983697985998,0.0825949573624315,NA,NA,0.496616171163825,0.12447736206852,NA,NA,NA,NA,-14.8859296335429,59.9426319560183,NA,NA,NA,NA,0.293319818853737,0.233995201159634,NA,NA,0,652314.454582744,122.432432405667,5,98,254.864864811333,3.14160717349282,0.0534040218543139,NA,0.776428113500289
"8","3/6/8","~1 ~ Bog_50 + Shrub_50 + Tamarack_50 + 1",NA,NA,-0.305641381868727,0.595105221665899,NA,NA,-1.48510121304426,0.239823740885892,NA,NA,0.285222738187627,0.0829055718711168,NA,NA,0.502575277475017,0.123844674251126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.294579366600461,0.23366664907054,NA,NA,0,64.5468679015858,122.518942624988,5,98,255.037885249977,3.31462761213606,0.0489782263638613,NA,0.825406339864151
"9","6/7/8","~1 ~ Shrub_50 + Swamp_50 + Tamarack_50 + 1",NA,NA,NA,NA,NA,NA,-1.53770931297636,1.49126520014675,NA,NA,0.286965755206075,0.0827887473101162,-0.873851378236197,14.5911530613745,0.502288857027436,0.123861339630034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.293665022585919,0.233934589963482,NA,NA,0,38539.156305877,122.524690106906,5,98,255.049380213813,3.32612257597222,0.0486975323081533,NA,0.874103872172304
"10","2/6/8","~1 ~ Blackspruce_50 + Shrub_50 + Tamarack_50 + 1",-0.159944683896418,0.262240143078729,NA,NA,NA,NA,-1.47522655640566,0.23274517444299,NA,NA,0.271634237481528,0.0867720472829649,NA,NA,0.46795330019709,0.135369035204691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.291348128102392,0.234510361427321,NA,NA,0,14.0383763575996,122.605985733502,5,98,255.211971467005,3.48871382916408,0.0448952828818404,NA,0.918999155054144
