"","model","formula","lam(Blackspruce_150)","SElam(Blackspruce_150)","lam(Bog_150)","SElam(Bog_150)","lam(Fen_150)","SElam(Fen_150)","lam(Int)","SElam(Int)","lam(Jackpine_150)","SElam(Jackpine_150)","lam(Shrub_150)","SElam(Shrub_150)","lam(Tremblingaspen_150)","SElam(Tremblingaspen_150)","lam(Water_150)","SElam(Water_150)","lam(Whitebirch_150)","SElam(Whitebirch_150)","lam(Whitespruce_150)","SElam(Whitespruce_150)","lam(wtage_150)","SElam(wtage_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/9/13","~Julian + 1 ~ Tremblingaspen_150 + wtage_150 + 1",NA,NA,NA,NA,NA,NA,-1.89382682300596,0.388522778349779,NA,NA,NA,NA,-0.78429189240213,0.468961394255207,NA,NA,NA,NA,NA,NA,-0.416344997313576,0.108218268755219,-0.857494584337932,0.39407842962583,-0.776420833133967,0.350150477494232,0,40.777938967426,70.9153212916151,5,98,151.83064258323,0,0.18492788100233,NA,0.18492788100233
"2","1/12/13","~Julian + 1 ~ Whitespruce_150 + wtage_150 + 1",NA,NA,NA,NA,NA,NA,-10.5721176421044,35.7232703128093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-37.3424033341245,148.100524560492,-0.449915343358928,0.109727139589318,-0.847034948038743,0.388815119212551,-0.773205545560441,0.348956593913722,0,2888867.49786643,71.5766209134823,5,98,153.153241826965,1.3225992437344,0.095456084617442,NA,0.280383965619772
"3","1/10/12","~Julian + 1 ~ Water_150 + Whitespruce_150 + 1",NA,NA,NA,NA,NA,NA,-11.1662324902064,39.9305859252327,NA,NA,NA,NA,NA,NA,0.42910382501156,0.109271614082891,NA,NA,-40.087195586654,165.538731956897,NA,NA,-0.864545798230728,0.398845038569462,-0.781731511490022,0.35075928979127,0,3498705.14085088,71.7856776012348,5,98,153.57135520247,1.74071261923939,0.077448221781697,NA,0.357832187401469
"4","1/6/13","~Julian + 1 ~ Shrub_150 + wtage_150 + 1",NA,NA,NA,NA,NA,NA,-4.94777670626753,107.609071369467,NA,NA,-14.3253472962459,458.473774712595,NA,NA,NA,NA,NA,NA,NA,NA,-0.456385081190491,0.108276241875432,-0.851469895414838,0.390596945531449,-0.776733067947127,0.35022129545874,0,28248751.202638,71.8248550298265,5,98,153.649710059653,1.81906747642284,0.0744726674678583,NA,0.432304854869328
"5","1/13","~Julian + 1 ~ wtage_150 + 1",NA,NA,NA,NA,NA,NA,-1.68885183663545,0.313094457773353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.468354603212153,0.108139572112355,-0.828025454646425,0.385517504090131,-0.758204042502321,0.348714353140088,0,26.7112850922959,73.0291284957681,4,98,154.058256991536,2.22761440830607,0.0607130527794581,NA,0.493017907648786
"6","1/6/10","~Julian + 1 ~ Shrub_150 + Water_150 + 1",NA,NA,NA,NA,NA,NA,-9.64801789157303,142.850666160791,NA,NA,-34.6354353660885,608.520472330466,NA,NA,0.437268473724678,0.107876618183152,NA,NA,NA,NA,NA,NA,-0.87588751809189,0.401272616683065,-0.789072961634407,0.351909823282033,0,48400848.3030101,72.0494949340459,5,98,154.098989868092,2.26834728486162,0.0594890507270391,NA,0.552506958375825
"7","1/5/13","~Julian + 1 ~ Jackpine_150 + wtage_150 + 1",NA,NA,NA,NA,NA,NA,-1.70638597115408,0.323844284096019,-0.389049206015614,0.300635269111253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.419097109100551,0.107439875512327,-0.863946668072641,0.393635250015198,-0.773821226614148,0.350984724196844,0,31.4943971247188,72.1021236383489,5,98,154.204247276698,2.3736046934676,0.056439178405269,NA,0.608946136781094
"8","6/9/13","~1 ~ Shrub_150 + Tremblingaspen_150 + wtage_150 + 1",NA,NA,NA,NA,NA,NA,-3.81368200798715,34.7020119701723,NA,NA,-8.09664545997798,147.826329213455,-0.821744905494377,0.476551745233199,NA,NA,NA,NA,NA,NA,-0.332402649616606,0.108431999629683,-0.619081086378285,0.37194338169694,NA,NA,0,2531545.22762964,72.1170009227875,5,98,154.234001845575,2.40335926234491,0.0556057317783378,NA,0.664551868559432
"9","1/11/13","~Julian + 1 ~ Whitebirch_150 + wtage_150 + 1",NA,NA,NA,NA,NA,NA,-3.18864623744929,8.90950920819999,NA,NA,NA,NA,NA,NA,NA,NA,-10.0754371874691,57.6279097719386,NA,NA,-0.461202222882915,0.108271236157609,-0.837861355010425,0.388042492065994,-0.762019699931385,0.348711999605517,0,432287.533997708,72.3373547551917,5,98,154.674709510383,2.84406692715334,0.0446088581742533,NA,0.709160726733685
"10","9/13","~1 ~ Tremblingaspen_150 + wtage_150 + 1",NA,NA,NA,NA,NA,NA,-1.99652759479731,0.381330203998306,NA,NA,NA,NA,-0.770278708049138,0.468792699756748,NA,NA,NA,NA,NA,NA,-0.350605091637862,0.107885137365227,-0.611295284231807,0.3689862200194,NA,NA,0,33.1921677363464,73.4743935950581,4,98,154.948787190116,3.11814460688612,0.0388960854016003,NA,0.748056812135285
"11","9/12/13","~1 ~ Tremblingaspen_150 + Whitespruce_150 + wtage_150 + 1",NA,NA,NA,NA,NA,NA,-9.41652216798709,24.9528901724399,NA,NA,NA,NA,-0.719219950955629,0.486339684322721,NA,NA,NA,NA,-31.1738060329458,103.439771528597,-0.337537385033498,0.110417443228335,-0.614776393212519,0.370603837108843,NA,NA,0,1209689.00760108,72.5782249153824,5,98,155.156449830765,3.32580724753467,0.0350600495536166,NA,0.783116861688902
"12","1/2/13","~Julian + 1 ~ Blackspruce_150 + wtage_150 + 1",0.26860172122033,0.289788486800787,NA,NA,NA,NA,-1.68877376365382,0.319626244803178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.529108614232711,0.12806368395499,-0.86357258875602,0.393145702995955,-0.79413000584827,0.352541600964468,0,30.7578713283676,72.6107578463273,5,98,155.221515692655,3.39087310942452,0.0339377974379585,NA,0.81705465912686
"13","6/9/10","~1 ~ Shrub_150 + Tremblingaspen_150 + Water_150 + 1",NA,NA,NA,NA,NA,NA,-4.25943829232262,98.3863437977336,NA,NA,-10.209010439186,419.091318534175,-0.774348511212804,0.46755346462982,0.304413487147675,0.112631360949185,NA,NA,NA,NA,NA,NA,-0.612556217354708,0.371195991123613,NA,NA,0,18665211.3279975,72.6417261922125,5,98,155.283452384425,3.45280980119492,0.0329029071160181,NA,0.849957566242878
