"","model","formula","lam(Blackspruce_50)","SElam(Blackspruce_50)","lam(Bog_50)","SElam(Bog_50)","lam(Fen_50)","SElam(Fen_50)","lam(Int)","SElam(Int)","lam(Jackpine_50)","SElam(Jackpine_50)","lam(Shrub_50)","SElam(Shrub_50)","lam(Swamp_50)","SElam(Swamp_50)","lam(Tamarack_50)","SElam(Tamarack_50)","lam(Tremblingaspen_50)","SElam(Tremblingaspen_50)","lam(Water_50)","SElam(Water_50)","lam(Whitebirch_50)","SElam(Whitebirch_50)","lam(Whitespruce_50)","SElam(Whitespruce_50)","lam(wtage_50)","SElam(wtage_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/9/10","~Julian + 1 ~ Tremblingaspen_50 + Water_50 + 1",NA,NA,NA,NA,NA,NA,-6.30694877465767,14.1051603189094,NA,NA,NA,NA,NA,NA,NA,NA,0.455611051359623,0.110791206431704,-33.7654330484483,84.1569125217331,NA,NA,NA,NA,NA,NA,-0.770918735727027,0.26361293957974,-0.554826850264416,0.201995894216503,0,886953.005398002,161.019263375765,5,98,332.038526751529,0,0.243887064555357,NA,0.243887064555357
"2","1/2/9","~Julian + 1 ~ Blackspruce_50 + Tremblingaspen_50 + 1",0.328540660397359,0.195785565863758,NA,NA,NA,NA,-0.753110349133283,0.223095913095946,NA,NA,NA,NA,NA,NA,NA,NA,0.588130295025459,0.130991041319145,NA,NA,NA,NA,NA,NA,NA,NA,-0.776257646894413,0.26499777876881,-0.55492171062963,0.201810193734822,0,12.7211688445254,161.419671750839,5,98,332.839343501677,0.80081675014776,0.163415639837967,NA,0.407302704393325
"3","1/9","~Julian + 1 ~ Tremblingaspen_50 + 1",NA,NA,NA,NA,NA,NA,-0.72436297596851,0.214418020107551,NA,NA,NA,NA,NA,NA,NA,NA,0.485267074256322,0.110022482205432,NA,NA,NA,NA,NA,NA,NA,NA,-0.750134034278224,0.259512980921894,-0.548445852294713,0.201467237989367,0,11.1471316906645,162.846759716184,4,98,333.693519432367,1.65499268083761,0.106613370163901,NA,0.513916074557226
"4","1/3/9","~Julian + 1 ~ Bog_50 + Tremblingaspen_50 + 1",NA,NA,0.166858635099822,0.131113849236259,NA,NA,-0.718608039841453,0.217472069809035,NA,NA,NA,NA,NA,NA,NA,NA,0.497206712423236,0.110867921076433,NA,NA,NA,NA,NA,NA,NA,NA,-0.776210125030185,0.264082507277686,-0.57128876296452,0.203686050260601,0,11.7997407222697,162.293657494449,5,98,334.587314988898,2.54878823736829,0.068190901664965,NA,0.582106976222191
"5","1/9/12","~Julian + 1 ~ Tremblingaspen_50 + Whitespruce_50 + 1",NA,NA,NA,NA,NA,NA,-0.777289617142723,0.246412266827933,NA,NA,NA,NA,NA,NA,NA,NA,0.474146724800363,0.110239977636081,NA,NA,NA,NA,-0.509598192701999,0.83865080503008,NA,NA,-0.753081997433246,0.260288973623061,-0.546745347118979,0.201668716158954,0,87.9134570918891,162.294009249996,5,98,334.588018499992,2.54949174846234,0.0681669193552499,NA,0.650273895577441
"6","1/6/9","~Julian + 1 ~ Shrub_50 + Tremblingaspen_50 + 1",NA,NA,NA,NA,NA,NA,-0.740359835879564,0.220422290296531,NA,NA,-0.279337208064723,0.39027429518696,NA,NA,NA,NA,0.475077631427227,0.110080454657561,NA,NA,NA,NA,NA,NA,NA,NA,-0.757877205744837,0.261167738322544,-0.549430542819443,0.201546627924923,0,19.0968101431923,162.401961755293,5,98,334.803923510586,2.76539675905633,0.0611914141759481,NA,0.711465309753389
"7","1/8/9","~Julian + 1 ~ Tamarack_50 + Tremblingaspen_50 + 1",NA,NA,NA,NA,NA,NA,-0.724441983741028,0.218386053878679,NA,NA,NA,NA,NA,NA,-0.192879975800348,0.230859482461973,0.456235120424134,0.113802981388971,NA,NA,NA,NA,NA,NA,NA,NA,-0.770205374269933,0.264196542391878,-0.555907797010522,0.202084615841534,0,11.9145083044795,162.442519410945,5,98,334.885038821889,2.84651207035984,0.05875928791987,NA,0.770224597673259
"8","1/9/11","~Julian + 1 ~ Tremblingaspen_50 + Whitebirch_50 + 1",NA,NA,NA,NA,NA,NA,-0.739510423989988,0.22680504601044,NA,NA,NA,NA,NA,NA,NA,NA,0.479473185815917,0.110231964809247,NA,NA,-0.302406068680685,0.768389152968811,NA,NA,NA,NA,-0.757093912783169,0.260689179751294,-0.553064982261783,0.20164648021274,0,72.7096953513735,162.575783318044,5,98,335.151566636088,3.11303988455899,0.0514281313709642,NA,0.821652729044223
"9","1/7/9","~Julian + 1 ~ Swamp_50 + Tremblingaspen_50 + 1",NA,NA,NA,NA,NA,NA,-1.11194791550311,1403.02903082337,NA,NA,NA,NA,-3.92801813011386,13889.2814507121,NA,NA,0.481372627561929,0.110110722963386,NA,NA,NA,NA,NA,NA,NA,NA,-0.749881327482568,0.259553932098464,-0.546588231622778,0.201545679577498,0,23772161972.0937,162.590251085372,5,98,335.180502170744,3.14197541921487,0.0506894376416868,NA,0.87234216668591
"10","1/4/9","~Julian + 1 ~ Fen_50 + Tremblingaspen_50 + 1",NA,NA,NA,NA,-0.135574822872124,0.373811996578214,-0.73268726761909,0.216716871318231,NA,NA,NA,NA,NA,NA,NA,NA,0.481114094237396,0.110347934127044,NA,NA,NA,NA,NA,NA,NA,NA,-0.74860808468996,0.259351004863514,-0.545963279812693,0.201563082762711,0,17.3256691382498,162.743517589258,5,98,335.487035178516,3.44850842698622,0.0434865221506715,NA,0.915828688836581
