"","model","formula","lam(Blackspruce_50)","SElam(Blackspruce_50)","lam(Bog_50)","SElam(Bog_50)","lam(Fen_50)","SElam(Fen_50)","lam(Int)","SElam(Int)","lam(Jackpine_50)","SElam(Jackpine_50)","lam(Shrub_50)","SElam(Shrub_50)","lam(Swamp_50)","SElam(Swamp_50)","lam(Tamarack_50)","SElam(Tamarack_50)","lam(Tremblingaspen_50)","SElam(Tremblingaspen_50)","lam(Water_50)","SElam(Water_50)","lam(Whitebirch_50)","SElam(Whitebirch_50)","lam(Whitespruce_50)","SElam(Whitespruce_50)","lam(wtage_50)","SElam(wtage_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","5/6/9","~1 ~ Jackpine_50 + Shrub_50 + Tremblingaspen_50 + 1",NA,NA,NA,NA,NA,NA,-0.0836010613130877,1.20234585123334,-0.514456855220113,0.288890209072494,0.262400951492393,0.102707257164476,NA,NA,NA,NA,-0.967704230409623,0.57787038589618,NA,NA,NA,NA,NA,NA,NA,NA,-3.18866129334252,1.24191970253646,NA,NA,0,336.285696188725,79.2431649863121,5,98,168.486329972624,0,0.0982398741903512,NA,0.0982398741903512
"2","4/5/9","~1 ~ Fen_50 + Jackpine_50 + Tremblingaspen_50 + 1",NA,NA,NA,NA,-16.2795269359902,69.8077167230531,-2.26522394100171,9.15445417187831,-0.458860577039623,0.272440699199738,NA,NA,NA,NA,NA,NA,-1.07292536006633,0.596388879050551,NA,NA,NA,NA,NA,NA,NA,NA,-3.01320367395198,1.19103185134234,NA,NA,0,224200.540398997,80.0445160758321,5,98,170.089032151664,1.60270217903999,0.0440824213543509,NA,0.142322295544702
"3","4/6/9","~1 ~ Fen_50 + Shrub_50 + Tremblingaspen_50 + 1",NA,NA,NA,NA,-16.4057031240745,86.748428099798,-2.10690088644643,11.3564205367959,NA,NA,0.218964727846949,0.098665295845564,NA,NA,NA,NA,-1.08744377837867,0.630094219090975,NA,NA,NA,NA,NA,NA,NA,NA,-3.18248268563339,1.28973696509096,NA,NA,0,894793.00420848,80.1746113169172,5,98,170.349222633834,1.86289266121028,0.0387048863042496,NA,0.181027181848952
"4","6/9/10","~1 ~ Shrub_50 + Tremblingaspen_50 + Water_50 + 1",NA,NA,NA,NA,NA,NA,-0.133535717959133,1.12240299055779,NA,NA,0.239074912420622,0.0996880505637199,NA,NA,NA,NA,-0.970368697150844,0.610885417551759,0.186648544789554,0.10741107355178,NA,NA,NA,NA,NA,NA,-3.06775451046767,1.16759837191629,NA,NA,0,296.330695654355,80.1827373426287,5,98,170.365474685257,1.87914471263329,0.0383916438348352,NA,0.219418825683787
"5","5/9/12","~1 ~ Jackpine_50 + Tremblingaspen_50 + Whitespruce_50 + 1",NA,NA,NA,NA,NA,NA,-2.05173212386419,10.5038369458845,-0.473738445734442,0.272904149468337,NA,NA,NA,NA,NA,NA,-1.01314601204024,0.578348339100452,NA,NA,NA,NA,-11.8129593056664,64.3720331790297,NA,NA,-3.01618677432935,1.19199805147271,NA,NA,1,192775.161598014,80.2192416742185,5,98,170.438483348437,1.95215337581283,0.0370154538052331,NA,0.25643427948902
"6","6/9","~1 ~ Shrub_50 + Tremblingaspen_50 + 1",NA,NA,NA,NA,NA,NA,-0.056621023115136,1.18415845461012,NA,NA,0.227824716348113,0.098759663538655,NA,NA,NA,NA,-1.03754196929478,0.620377869877636,NA,NA,NA,NA,NA,NA,NA,NA,-3.1293311987487,1.23200560058096,NA,NA,0,332.555957438644,81.2216938028165,4,98,170.443387605633,1.95705763300882,0.0369247983472355,NA,0.293359077836256
"7","2/6/10","~1 ~ Blackspruce_50 + Shrub_50 + Water_50 + 1",0.551389886450348,0.259366256866131,NA,NA,NA,NA,-0.379951040227582,0.788779020481216,NA,NA,0.370163058216841,0.115333776358185,NA,NA,NA,NA,NA,NA,0.318995374099926,0.11525354979821,NA,NA,NA,NA,NA,NA,-2.673429207704,0.833592700865336,NA,NA,0,143.562879121718,80.3392141552769,5,98,170.678428310554,2.19209833792962,0.0328306659069679,NA,0.326189743743223
"8","5/9","~1 ~ Jackpine_50 + Tremblingaspen_50 + 1",NA,NA,NA,NA,NA,NA,-0.2458352774452,1.07481367210102,-0.438862329342635,0.27217123993386,NA,NA,NA,NA,NA,NA,-1.02324507529896,0.587890049134457,NA,NA,NA,NA,NA,NA,NA,NA,-2.94468910250759,1.12384946139507,NA,NA,0,104.666083296895,81.3469972173044,4,98,170.693994434609,2.20766446198473,0.0325761345991602,NA,0.358765878342384
"9","6/9/12","~1 ~ Shrub_50 + Tremblingaspen_50 + Whitespruce_50 + 1",NA,NA,NA,NA,NA,NA,-1.75296308190249,11.747551921301,NA,NA,0.222518131281715,0.0983315606219783,NA,NA,NA,NA,-1.03911420012422,0.617446312881525,NA,NA,NA,NA,-10.9177963906227,72.0236465010971,NA,NA,-3.16576212190264,1.27141685482642,NA,NA,0,625704.711606652,80.4143984184578,5,98,170.828796836916,2.3424668642914,0.0304528245956784,NA,0.389218702938062
"10","3/5/9","~1 ~ Bog_50 + Jackpine_50 + Tremblingaspen_50 + 1",NA,NA,-7.32486952939733,36.6483522444281,NA,NA,-1.26574032758318,5.57190515198408,-0.445197894020649,0.27182074021491,NA,NA,NA,NA,NA,NA,-1.05893513561789,0.594466838523914,NA,NA,NA,NA,NA,NA,NA,NA,-2.99212444396224,1.17058398665021,NA,NA,0,62081.917289355,80.4395238233453,5,98,170.879047646691,2.39271767406655,0.0296972172677079,NA,0.41891592020577
"11","3/6/9","~1 ~ Bog_50 + Shrub_50 + Tremblingaspen_50 + 1",NA,NA,-6.98492317013509,38.7717185871884,NA,NA,-1.03497950751915,5.9027682389341,NA,NA,0.221221397757594,0.0986972140059697,NA,NA,NA,NA,-1.07445080092478,0.62754412052117,NA,NA,NA,NA,NA,NA,NA,NA,-3.16778690782443,1.27348576322647,NA,NA,0,179525.192550923,80.4431482396197,5,98,170.886296479239,2.39996650661521,0.0295897770118611,NA,0.448505697217631
"12","6/10/13","~1 ~ Shrub_50 + Water_50 + wtage_50 + 1",NA,NA,NA,NA,NA,NA,-0.162945952998981,0.886465377200929,NA,NA,0.315259515985319,0.10625295358513,NA,NA,NA,NA,NA,NA,0.506509006382053,0.161979202026398,NA,NA,NA,NA,0.444660505634307,0.199561802912807,-2.86544943048649,0.942391756647454,NA,NA,0,176.469616689309,80.4787080836873,5,98,170.957416167375,2.47108619475054,0.0285560575331691,NA,0.4770617547508
"13","9/10/13","~1 ~ Tremblingaspen_50 + Water_50 + wtage_50 + 1",NA,NA,NA,NA,NA,NA,-0.412946206077992,0.918359349299984,NA,NA,NA,NA,NA,NA,NA,NA,-0.939842479741275,0.5987732716039,0.387089354575882,0.162396076642385,NA,NA,NA,NA,0.339701405313368,0.196262352695385,-2.76205227178397,0.95848599104201,NA,NA,0,175.456663274989,80.6139359958102,5,98,171.22787199162,2.74154201899634,0.0249441961092204,NA,0.502005950860021
"14","5/9/10","~1 ~ Jackpine_50 + Tremblingaspen_50 + Water_50 + 1",NA,NA,NA,NA,NA,NA,-0.306308282299528,1.02666435686605,-0.414048831974759,0.275106834271127,NA,NA,NA,NA,NA,NA,-0.976899360756392,0.582724853051789,0.1465655933969,0.106890671321761,NA,NA,NA,NA,NA,NA,-2.89011690172517,1.0736776133285,NA,NA,0,213.808236186278,80.6517361559591,5,98,171.303472311918,2.81714233929412,0.0240188998482668,NA,0.526024850708287
"15","5/9/11","~1 ~ Jackpine_50 + Tremblingaspen_50 + Whitebirch_50 + 1",NA,NA,NA,NA,NA,NA,-2.32955258315516,9.44969297582291,-0.451529881128636,0.27047235304724,NA,NA,NA,NA,NA,NA,-1.048722528243,0.592079305714469,NA,NA,-20.6253469317559,90.7096386633264,NA,NA,NA,NA,-2.97997039999978,1.15786603043681,NA,NA,0,373643.467619295,80.6655687798949,5,98,171.33113755979,2.84480758716569,0.0236889427864792,NA,0.549713793494767
"16","6/9/11","~1 ~ Shrub_50 + Tremblingaspen_50 + Whitebirch_50 + 1",NA,NA,NA,NA,NA,NA,-2.07737116014176,9.07750368343964,NA,NA,0.224039099529201,0.0983895374740208,NA,NA,NA,NA,-1.06396191262779,0.625496451370173,NA,NA,-19.5776875222173,87.0099440805069,NA,NA,NA,NA,-3.11365354306565,1.21927977813262,NA,NA,1,897427.678602354,80.6853829671683,5,98,171.370765934337,2.88443596171251,0.0232241852396302,NA,0.572937978734397
"17","6/8/9","~1 ~ Shrub_50 + Tamarack_50 + Tremblingaspen_50 + 1",NA,NA,NA,NA,NA,NA,0.511809235878041,2.16097970700497,NA,NA,0.22463683146292,0.0987551100402705,NA,NA,0.19632427915252,0.182361064669745,-0.99559568648144,0.622968040546151,NA,NA,NA,NA,NA,NA,NA,NA,-3.74704517144906,2.23616911757931,NA,NA,0,1150.86135944796,80.7194177103231,5,98,171.438835420646,2.95250544802215,0.0224470557759675,NA,0.595385034510364
"18","2/6/9","~1 ~ Blackspruce_50 + Shrub_50 + Tremblingaspen_50 + 1",0.23286250195868,0.237952040029288,NA,NA,NA,NA,-0.249180294655186,1.01625194503474,NA,NA,0.270471034818151,0.109830045601256,NA,NA,NA,NA,-0.91422618776903,0.61571291244298,NA,NA,NA,NA,NA,NA,NA,NA,-2.93453613451408,1.05578362067415,NA,NA,0,244.828693978663,80.7329405606732,5,98,171.465881121346,2.97955114872235,0.0221455507978655,NA,0.61753058530823
"19","2/6/8","~1 ~ Blackspruce_50 + Shrub_50 + Tamarack_50 + 1",0.595632266846648,0.277168387575867,NA,NA,NA,NA,0.249061521401682,1.41527943084388,NA,NA,0.348441649197004,0.113885597160365,NA,NA,0.45297366076082,0.20986536598888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.33964259998956,1.4749122910032,NA,NA,0,490.240191475948,80.7706473593954,5,98,171.541294718791,3.0549647461666,0.0213260602478062,NA,0.638856645556036
