"","model","formula","lam(Bog_500)","SElam(Bog_500)","lam(Int)","SElam(Int)","lam(Jackpine_500)","SElam(Jackpine_500)","lam(Shrub_500)","SElam(Shrub_500)","lam(Tamarack_500)","SElam(Tamarack_500)","lam(Tremblingaspen_500)","SElam(Tremblingaspen_500)","lam(Water_500)","SElam(Water_500)","lam(Whitebirch_500)","SElam(Whitebirch_500)","lam(wtage_500)","SElam(wtage_500)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","3/5/11","~1 ~ Bog_500 + Jackpine_500 + Whitebirch_500 + 1",-26.4602050235121,79.0019683062071,-9.74952257954138,29.0345033275703,-0.482737453556392,0.234465286042142,NA,NA,NA,NA,NA,NA,NA,NA,-1.58838925733799,1.01294817088217,NA,NA,-3.0741316543582,1.29118196624362,1,324887.319411607,77.0998470779415,5,98,164.199694155883,0,0.218192400719861,NA,0.218192400719861
"2","3/8/13","~1 ~ Bog_500 + Tamarack_500 + wtage_500 + 1",-25.2022358028695,67.909234775421,-6.62952964345935,24.9747446668599,NA,NA,NA,NA,0.59960608950816,0.205892278172418,NA,NA,NA,NA,NA,NA,0.498366470275946,0.18461433097433,-5.39361235067242,1.4062106755718,1,311607.81421763,77.1955419807784,5,98,164.391083961557,0.19138980567385,0.198280430202929,NA,0.41647283092279
"3","3/5/8","~1 ~ Bog_500 + Jackpine_500 + Tamarack_500 + 1",-24.5338720435375,66.349599010245,-6.2030945235332,24.4113398122103,-0.512175860759022,0.250659029473974,NA,NA,0.555299385180231,0.211107663707623,NA,NA,NA,NA,NA,NA,NA,NA,-5.55915389975198,1.51478621404316,0,261477.779197415,78.1042492393952,5,98,166.20849847879,2.00880432290731,0.0799159201774958,NA,0.496388751100286
"4","3/11/13","~1 ~ Bog_500 + Whitebirch_500 + wtage_500 + 1",-27.8404625708711,82.1785422380988,-10.1674687353348,30.1965527581519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.05456971292496,0.874108669618844,0.257372117114595,0.172808934546244,-2.97222737408711,1.18439899467345,1,400445.720780412,78.2831309748617,5,98,166.566261949723,2.36656779384037,0.0668260750034175,NA,0.563214826103703
"5","3/11","~1 ~ Bog_500 + Whitebirch_500 + 1",-30.7137506329073,97.8830579277164,-11.3331129360565,35.9572179515201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.15814228193929,0.909823581504444,NA,NA,-2.83024778337755,1.03674363507069,0,446925.920256614,79.3063068417615,4,98,166.612613683523,2.41291952763996,0.0652951317764409,NA,0.628509957880144
"6","3/10/11","~1 ~ Bog_500 + Water_500 + Whitebirch_500 + 1",-30.1593641654929,89.1380562698049,-11.2485343975943,32.7481969226098,NA,NA,NA,NA,NA,NA,NA,NA,0.222400991307303,0.142871823085226,-1.3118613649303,1.03946694337066,NA,NA,-2.81367984212267,1.02002842485953,0,555402.643763757,78.3558505404468,5,98,166.711701080894,2.51200692501055,0.0621389982609787,NA,0.690648956141123
"7","3/5/9","~1 ~ Bog_500 + Jackpine_500 + Tremblingaspen_500 + 1",-29.1887241019711,95.0380059052314,-10.6642350386519,34.9098818155478,-0.406317726501968,0.229296679212079,NA,NA,NA,NA,-0.523980860154365,0.289688662665924,NA,NA,NA,NA,NA,NA,-2.81271764910315,0.983990492864067,0,464507.754064598,78.5147581795276,5,98,167.029516359055,2.82982220317209,0.0530092350221868,NA,0.74365819116331
"8","3/6/11","~1 ~ Bog_500 + Shrub_500 + Whitebirch_500 + 1",-30.5083547023078,81.6466184947441,-11.0402225486899,30.0012491945863,NA,NA,0.232638047085704,0.181867401883133,NA,NA,NA,NA,NA,NA,-1.09835610528941,0.873229940865189,NA,NA,-3.07254995122971,1.2315578130356,0,359916.854369621,78.6563979292489,5,98,167.312795858498,3.11310170261481,0.0460085106889624,NA,0.789666701852272
"9","3/8/11","~1 ~ Bog_500 + Tamarack_500 + Whitebirch_500 + 1",-29.3368522371076,87.2054494669244,-10.395826346846,32.0591114829523,NA,NA,NA,NA,0.270229229459588,0.226661369022413,NA,NA,NA,NA,-1.03963747235789,0.87625776953864,NA,NA,-3.25406341655749,1.62165273804869,0,386342.997371121,78.6970336417757,5,98,167.394067283551,3.19437312766843,0.0441763987625941,NA,0.833843100614866
"10","3/9/13","~1 ~ Bog_500 + Tremblingaspen_500 + wtage_500 + 1",-27.8744918258438,81.2031099960252,-10.1659443794462,29.8315405828717,NA,NA,NA,NA,NA,NA,-0.439004800038176,0.29646565794348,NA,NA,NA,NA,0.335474547418908,0.192463940881722,-2.81825800560748,1.00491087649428,0,368239.572846365,78.7582145751923,5,98,167.516429150385,3.31673499450156,0.0415546632980295,NA,0.875397763912896
"11","3/8/10","~1 ~ Bog_500 + Tamarack_500 + Water_500 + 1",-28.7169821323154,84.1656561089915,-9.59077487271195,30.9723385647954,NA,NA,NA,NA,0.41611496055591,0.2243088475371,NA,NA,0.255548399800529,0.138220995823173,NA,NA,NA,NA,-3.6220573139583,2.23060126597663,0,538925.835460439,79.0081820371872,5,98,168.016364074374,3.81666991849133,0.0323638573549981,NA,0.907761621267894
"12","3/13","~1 ~ Bog_500 + wtage_500 + 1",-19.1744797141321,39.7995306477505,-6.6616804078588,14.6471490040051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.300413347234172,0.177203427626666,-3.02734697059284,1.21935984052842,1,89179.7805933955,80.0096825949682,4,98,168.019365189936,3.81967103405327,0.0323153299352261,NA,0.94007695120312
