"","model","formula","lam(Blackspruce_50)","SElam(Blackspruce_50)","lam(Bog_50)","SElam(Bog_50)","lam(Fen_50)","SElam(Fen_50)","lam(Int)","SElam(Int)","lam(Jackpine_50)","SElam(Jackpine_50)","lam(Shrub_50)","SElam(Shrub_50)","lam(Swamp_50)","SElam(Swamp_50)","lam(Tamarack_50)","SElam(Tamarack_50)","lam(Tremblingaspen_50)","SElam(Tremblingaspen_50)","lam(Water_50)","SElam(Water_50)","lam(Whitebirch_50)","SElam(Whitebirch_50)","lam(Whitespruce_50)","SElam(Whitespruce_50)","lam(wtage_50)","SElam(wtage_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/5/12","~Julian + 1 ~ Jackpine_50 + Whitespruce_50 + 1",NA,NA,NA,NA,NA,NA,-2.62164035473418,7.21981664437171,0.202669035408095,0.134623087783447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.0766089620299,44.4457242780139,NA,NA,-1.75228029030273,0.291822946855655,-1.01246152856076,0.19410258465318,0,164638.673171379,175.981974994633,5,98,361.963949989266,0,0.103225320844901,NA,0.103225320844901
"2","1/12","~Julian + 1 ~ Whitespruce_50 + 1",NA,NA,NA,NA,NA,NA,-3.04940480381551,9.14745577273214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.7589719177476,56.314996683114,NA,NA,-1.736299459642,0.29308828460043,-0.995319104064565,0.194165889077414,1,245466.221655661,177.064161891709,4,98,362.128323783419,0.164373794153391,0.0950808215335318,NA,0.198306142378433
"3","1/9/12","~Julian + 1 ~ Tremblingaspen_50 + Whitespruce_50 + 1",NA,NA,NA,NA,NA,NA,-2.79171655769804,8.09595396184746,NA,NA,NA,NA,NA,NA,NA,NA,-0.144311231075573,0.149159562408068,NA,NA,NA,NA,-18.2741732303697,49.8392192231579,NA,NA,-1.76296668002374,0.296110697886275,-1.01031050849395,0.193982452762657,0,195549.17380441,176.553762063654,5,98,363.107524127309,1.14357413804322,0.0582723151014344,NA,0.256578457479867
"4","1/7/12","~Julian + 1 ~ Swamp_50 + Whitespruce_50 + 1",NA,NA,NA,NA,NA,NA,-2.52070290880708,6.19373178477792,NA,NA,NA,NA,0.100650005043373,0.102582870322365,NA,NA,NA,NA,NA,NA,NA,NA,-16.5232425534301,38.1245359761374,NA,NA,-1.74658723407699,0.293137127365298,-1.00742022683277,0.194761755157676,0,146943.520323461,176.712351889117,5,98,363.424703778234,1.46075378896842,0.0497264649574893,NA,0.306304922437356
"5","1/5","~Julian + 1 ~ Jackpine_50 + 1",NA,NA,NA,NA,NA,NA,0.105217653016211,0.223884066849228,0.234979329445032,0.133894759287108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.74592568594446,0.288307981252572,-1.01934410646161,0.193095527174349,0,9.47125211633423,177.782984325007,4,98,363.565968650014,1.60201866074897,0.0463353352147098,NA,0.352640257652066
"6","1/4/12","~Julian + 1 ~ Fen_50 + Whitespruce_50 + 1",NA,NA,NA,NA,0.0918510440259143,0.108855083257184,-3.30521173863123,11.1859688990831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.3778009365057,68.8680003779707,NA,NA,-1.74965905392806,0.294133796673011,-1.00683822644247,0.194847571054717,0,427456.960092408,176.787512269073,5,98,363.575024538145,1.61107454887951,0.0461260056824627,NA,0.398766263334529
"7","1/8/12","~Julian + 1 ~ Tamarack_50 + Whitespruce_50 + 1",NA,NA,NA,NA,NA,NA,-3.17797684511032,9.88530129284274,NA,NA,NA,NA,NA,NA,-0.08499895654097,0.143885725799808,NA,NA,NA,NA,NA,NA,-20.5717117411033,60.8588019912233,NA,NA,-1.73944144043501,0.289885989055369,-1.01035960812438,0.195536856278967,0,285906.4846653,176.876129368143,5,98,363.752258736287,1.78830874702101,0.0422143329383884,NA,0.440980596272917
"8","1/3/12","~Julian + 1 ~ Bog_50 + Whitespruce_50 + 1",NA,NA,0.0482630817076517,0.153349925041946,NA,NA,-3.03415455493063,9.10919418860896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.7161804883882,56.0790890923347,NA,NA,-1.74610906782051,0.294940221482119,-1.00112673535504,0.19523782922563,0,244214.586048242,177.019191524152,5,98,364.038383048303,2.0744330590378,0.036587170656894,NA,0.477567766929811
"9","1/2/12","~Julian + 1 ~ Blackspruce_50 + Whitespruce_50 + 1",-0.0378017859338092,0.145111010007567,NA,NA,NA,NA,-3.06996803440852,9.40206207285841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.8920946061486,57.8831859078249,NA,NA,-1.73649532633816,0.294755659090315,-0.9912982257951,0.194950852029476,0,261753.861228703,177.029908876992,5,98,364.059817753984,2.09586776471843,0.0361971467844886,NA,0.5137649137143
"10","1/6/12","~Julian + 1 ~ Shrub_50 + Whitespruce_50 + 1",NA,NA,NA,NA,NA,NA,-2.95402403721319,8.52032278271421,NA,NA,-0.0339428849647204,0.141347058467215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.2145403214805,52.4528087641508,NA,NA,-1.74316556113813,0.295628077769942,-0.995163546831774,0.194283309484526,0,213864.056661131,177.033921327637,5,98,364.067842655274,2.10389266600799,0.0360521985128962,NA,0.549817112227196
"11","1/12/13","~Julian + 1 ~ Whitespruce_50 + wtage_50 + 1",NA,NA,NA,NA,NA,NA,-3.03580361995852,9.07454102689417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.6935524900483,55.8660354272408,-0.00719527921911545,0.162047582921576,-1.73879374200521,0.293716091146849,-0.996121162790637,0.19455444901784,0,242341.422545816,177.063146023509,5,98,364.126292047019,2.16234205775328,0.0350138308684049,NA,0.584830943095601
"12","1/10/12","~Julian + 1 ~ Water_50 + Whitespruce_50 + 1",NA,NA,NA,NA,NA,NA,-3.09568437179552,9.48674336301029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00204922045801771,0.170241049923259,NA,NA,-20.0656942980305,58.4040939441223,NA,NA,-1.73890500178376,0.294187131089737,-0.995812118151139,0.194781558259774,0,265199.620055134,177.063574990734,5,98,364.127149981468,2.16319999220224,0.0349988143035962,NA,0.619829757399197
"13","1/5/11","~Julian + 1 ~ Jackpine_50 + Whitebirch_50 + 1",NA,NA,NA,NA,NA,NA,0.0818577336224239,0.262453336577883,0.220736336304732,0.134126877321034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.511009020151289,1.39751012799527,NA,NA,NA,NA,-1.7644806366446,0.291692849234312,-1.02436545554244,0.193133171745843,0,159.179136648302,177.071775568316,5,98,364.143551136631,2.17960114736564,0.0347129774272352,NA,0.654542734826432
"14","1/11/12","~Julian + 1 ~ Whitebirch_50 + Whitespruce_50 + 1",NA,NA,NA,NA,NA,NA,-2.57878870787101,6.32156425884536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.330652650890775,4.29403262408149,-16.7177315291187,38.8241613815848,NA,NA,-1.75117285165317,0.297951146139953,-0.995733401048658,0.194453436545505,1,118030.91494265,177.072367315533,5,98,364.144734631066,2.18078464180013,0.0346924421958726,NA,0.689235177022305
"15","1","~Julian + 1 ~ 1",NA,NA,NA,NA,NA,NA,0.112849826909209,0.223712819702678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.72790695085389,0.290079634450714,-1.00081745274634,0.193228771944905,0,8.85253065799121,179.24865341619,3,98,364.49730683238,2.53335684311469,0.0290853833735553,NA,0.71832056039586
"16","1/5/7","~Julian + 1 ~ Jackpine_50 + Swamp_50 + 1",NA,NA,NA,NA,NA,NA,0.106137505289549,0.223679285478763,0.248276298334363,0.134815438148124,NA,NA,0.127720463642549,0.103639447453567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.75809879179131,0.287862580423254,-1.03399899139924,0.193615113416389,0,11.6798262926102,177.249426167011,5,98,364.498852334023,2.5349023447572,0.0290629163015091,NA,0.747383476697369
"17","1/2/5","~Julian + 1 ~ Blackspruce_50 + Jackpine_50 + 1",0.177227263193665,0.183852855359279,NA,NA,NA,NA,0.113369640828536,0.222174958396169,0.330013445927529,0.169748707221524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.76090976185916,0.285980989443546,-1.03841495018553,0.19351135567433,0,10.8549576709226,177.312691065318,5,98,364.625382130635,2.6614321413698,0.0272812078846521,NA,0.774664684582021
"18","1/4/5","~Julian + 1 ~ Fen_50 + Jackpine_50 + 1",NA,NA,NA,NA,0.120779715391889,0.109334156537541,0.109382129161471,0.224048254800507,0.247476231055536,0.134819302693208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.76029375947326,0.288549134922841,-1.03378863921651,0.193689362534872,0,10.5818028435781,177.342010600363,5,98,364.684021200726,2.72007121146055,0.0264929477317876,NA,0.801157632313809
"19","1/11","~Julian + 1 ~ Whitebirch_50 + 1",NA,NA,NA,NA,NA,NA,0.0869895243474431,0.276196065993971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.570608794642234,1.65769103304106,NA,NA,NA,NA,-1.75197997185309,0.294153020334016,-1.00827497817306,0.193255843860836,0,207.968537278129,178.365689937096,4,98,364.731379874191,2.76742988492595,0.0258729814646271,NA,0.827030613778436
"20","1/5/9","~Julian + 1 ~ Jackpine_50 + Tremblingaspen_50 + 1",NA,NA,NA,NA,NA,NA,0.115788380089823,0.225283264039548,0.217419838905684,0.134377621635782,NA,NA,NA,NA,NA,NA,-0.108487344169614,0.154882369970926,NA,NA,NA,NA,NA,NA,NA,NA,-1.76336627485067,0.290568571470324,-1.02829361275767,0.192875355788307,0,9.92103835549179,177.522229128133,5,98,365.044458256265,3.08050826699957,0.0221239348304107,NA,0.849154548608847
"21","1/3/5","~Julian + 1 ~ Bog_50 + Jackpine_50 + 1",NA,NA,0.0489701023767048,0.149762735525038,NA,NA,0.110270599963699,0.224493764276231,0.234421636677658,0.134026560852043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.75268880437883,0.28931232053649,-1.02541633960812,0.194237602355787,0,9.55555168255509,177.735081554071,5,98,365.470163108142,3.50621311887608,0.017882232471542,NA,0.867036781080389
"22","1/5/6","~Julian + 1 ~ Jackpine_50 + Shrub_50 + 1",NA,NA,NA,NA,NA,NA,0.109327348202272,0.225393106496147,0.235820525444836,0.133665455380722,-0.0399601217907178,0.14562803478253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.75103469227898,0.290215268537342,-1.01883755997576,0.193064976242299,0,9.65112285873088,177.742141578361,5,98,365.484283156721,3.52033316745553,0.0177564280894834,NA,0.884793209169872
"23","1/5/8","~Julian + 1 ~ Jackpine_50 + Tamarack_50 + 1",NA,NA,NA,NA,NA,NA,0.105147395181573,0.223483183432063,0.231461027673028,0.140039289506006,NA,NA,NA,NA,-0.0128364344448088,0.151513079760694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.74543775683138,0.287853755492025,-1.02078929293897,0.193817673286343,0,9.6895576053672,177.779365412237,5,98,365.558730824473,3.59478083520787,0.0171076163062154,NA,0.901900825476088
"24","1/5/10","~Julian + 1 ~ Jackpine_50 + Water_50 + 1",NA,NA,NA,NA,NA,NA,0.105014717995433,0.224093258774822,0.234695099434805,0.134549681311925,NA,NA,NA,NA,NA,NA,NA,NA,-0.00393962478450716,0.186593549705296,NA,NA,NA,NA,NA,NA,-1.74572287056497,0.288464064250087,-1.01909286837201,0.193459002969442,0,9.53399904890634,177.782759700422,5,98,365.565519400844,3.601569411578,0.0170496465649732,NA,0.918950472041061
"25","1/5/13","~Julian + 1 ~ Jackpine_50 + wtage_50 + 1",NA,NA,NA,NA,NA,NA,0.105197827712254,0.223855472052004,0.234248631201835,0.141277753984827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00278663280742059,0.172182004021059,-1.74584371321158,0.288304872992248,-1.01944012766771,0.193186648550431,0,9.69269789540568,177.782853553603,5,98,365.565707107206,3.60175711794051,0.0170480464764917,NA,0.935998518517552
"26","1/9","~Julian + 1 ~ Tremblingaspen_50 + 1",NA,NA,NA,NA,NA,NA,0.124848885504158,0.22504480423533,NA,NA,NA,NA,NA,NA,NA,NA,-0.138818624176997,0.15043680152456,NA,NA,NA,NA,NA,NA,NA,NA,-1.75122146512625,0.29203090128524,-1.01569958109523,0.193089789545711,0,9.1050475435957,178.783656994759,4,98,365.567313989519,3.60336400025335,0.0170343548752503,NA,0.953032873392803
"27","1/9/11","~Julian + 1 ~ Tremblingaspen_50 + Whitebirch_50 + 1",NA,NA,NA,NA,NA,NA,0.0940305979232592,0.312252539529225,NA,NA,NA,NA,NA,NA,NA,NA,-0.152962093075451,0.151182575928539,NA,NA,-0.658939673600821,2.24757970203387,NA,NA,NA,NA,-1.78007337935979,0.296999637007386,-1.02555858161707,0.193112959213386,0,388.161799842214,177.80167649429,5,98,365.603352988579,3.63940299931352,0.0167301533365246,NA,0.969763026729327
"28","1/7","~Julian + 1 ~ Swamp_50 + 1",NA,NA,NA,NA,NA,NA,0.115021401143369,0.223657110434712,NA,NA,NA,NA,0.104941742667356,0.102666956685985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.73884009890382,0.290043290358217,-1.01306548303906,0.193804384412082,0,11.742434662056,178.862637213846,4,98,365.725274427691,3.76132443842556,0.0157407353549483,NA,0.985503762084276
"29","1/4","~Julian + 1 ~ Fen_50 + 1",NA,NA,NA,NA,0.0969651662307211,0.108607382215839,0.11727983488392,0.223992723080399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.74009710936326,0.290599317621859,-1.01229060356512,0.193824322425843,0,10.5627388763556,178.945000012935,4,98,365.89000002587,3.92605003660412,0.0144962379157244,NA,1
