"","model","formula","lam(Blackspruce_150)","SElam(Blackspruce_150)","lam(Bog_150)","SElam(Bog_150)","lam(Fen_150)","SElam(Fen_150)","lam(Int)","SElam(Int)","lam(Swamp_150)","SElam(Swamp_150)","lam(Tremblingaspen_150)","SElam(Tremblingaspen_150)","lam(Water_150)","SElam(Water_150)","lam(Whitebirch_150)","SElam(Whitebirch_150)","lam(Whitespruce_150)","SElam(Whitespruce_150)","lam(wtage_150)","SElam(wtage_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/9/11","~Julian + 1 ~ Tremblingaspen_150 + Whitebirch_150 + 1",NA,NA,NA,NA,NA,NA,-3.46491801293886,32.0323540602614,NA,NA,0.539120501443684,0.152670420358866,NA,NA,-21.2412818294422,207.22483915505,NA,NA,NA,NA,-1.90820656673301,0.433252851353964,0.55845739484777,0.219695808696933,0,3691027.10146855,136.249446957643,5,98,282.498893915286,0,0.316106839556831,NA,0.316106839556831
"2","1/9/12","~Julian + 1 ~ Tremblingaspen_150 + Whitespruce_150 + 1",NA,NA,NA,NA,NA,NA,-0.168163977173954,0.377437867302485,NA,NA,0.499489572608832,0.15082508458493,NA,NA,NA,NA,0.175902016571564,0.0880012026147517,NA,NA,-2.0252255953722,0.451406635259134,0.595214561930991,0.21490509165012,0,49.6212997493454,136.96160870466,5,98,283.923217409319,1.42432349403379,0.155076494686945,NA,0.471183334243776
"3","1/9","~Julian + 1 ~ Tremblingaspen_150 + 1",NA,NA,NA,NA,NA,NA,-0.230970613093532,0.347468398145093,NA,NA,0.514796225915681,0.149452843271502,NA,NA,NA,NA,NA,NA,NA,NA,-1.9151657238999,0.42052326836824,0.613002386037331,0.21833509108958,0,23.0053334549926,138.314315564012,4,98,284.628631128024,2.12973721273892,0.108985151691694,NA,0.58016848593547
"4","9/11/12","~1 ~ Tremblingaspen_150 + Whitebirch_150 + Whitespruce_150 + 1",NA,NA,NA,NA,NA,NA,-3.71924198565065,36.7514532899226,NA,NA,0.47497453344284,0.15531806370641,NA,NA,-21.2199120794969,237.80977591205,0.195829860434324,0.0926334971507109,NA,NA,-1.48663497465994,0.400196287975201,NA,NA,0,8095105.70048015,137.646810539486,5,98,285.293621078972,2.79472716368605,0.0781567694583717,NA,0.658325255393842
"5","1/4/9","~Julian + 1 ~ Fen_150 + Tremblingaspen_150 + 1",NA,NA,NA,NA,0.144771781030434,0.149979581754258,-0.239976738011694,0.350366626484805,NA,NA,0.542144158084141,0.153382048379636,NA,NA,NA,NA,NA,NA,NA,NA,-1.91993477460809,0.422852359738058,0.610169097570781,0.218466879387601,0,23.6335359575279,137.930425637908,5,98,285.860851275817,3.36195736053139,0.0588564586908302,NA,0.717181714084672
"6","1/7/9","~Julian + 1 ~ Swamp_150 + Tremblingaspen_150 + 1",NA,NA,NA,NA,NA,NA,-0.244803508287343,0.353339158383008,-0.249860205478883,0.445653672544785,0.498428187984428,0.151005314299431,NA,NA,NA,NA,NA,NA,NA,NA,-1.92182103217861,0.423602782835281,0.612747541464002,0.218161013333467,0,23.6483626192613,138.058671868797,5,98,286.117343737594,3.61844982230804,0.0517723045534762,NA,0.768954018638148
"7","1/9/13","~Julian + 1 ~ Tremblingaspen_150 + wtage_150 + 1",NA,NA,NA,NA,NA,NA,-0.241483655916091,0.350752900872252,NA,NA,0.502871510614693,0.150898230378322,NA,NA,NA,NA,NA,NA,0.125789918717828,0.191086135198754,-1.90907145661614,0.422934797751435,0.593295117537187,0.221406385550931,0,23.9705092118407,138.087041601012,5,98,286.174083202023,3.67518928673752,0.0503241767608331,NA,0.819278195398981
"8","9/11","~1 ~ Tremblingaspen_150 + Whitebirch_150 + 1",NA,NA,NA,NA,NA,NA,-3.28859869113624,21.336793098395,NA,NA,0.500765209671496,0.152804233752331,NA,NA,-18.0508061041745,138.062426980745,NA,NA,NA,NA,-1.36931423916067,0.37230113109997,NA,NA,0,1469328.71768248,139.10010124922,4,98,286.20020249844,3.70130858315446,0.0496712336001137,NA,0.868949428999095
"9","1/3/9","~Julian + 1 ~ Bog_150 + Tremblingaspen_150 + 1",NA,NA,0.0636320383193554,0.131228312576491,NA,NA,-0.245632748636148,0.347135565889922,NA,NA,0.521951256469299,0.150755176572242,NA,NA,NA,NA,NA,NA,NA,NA,-1.90251781755906,0.419538191153014,0.606840784355112,0.219716985190767,0,22.9013850195874,138.212340785219,5,98,286.424681570439,3.92578765515339,0.0443976450550438,NA,0.913347074054139
"10","1/9/10","~Julian + 1 ~ Tremblingaspen_150 + Water_150 + 1",NA,NA,NA,NA,NA,NA,-0.242332721217872,0.34773339018693,NA,NA,0.50156883505246,0.152768610048178,-0.102784756723825,0.266870332923852,NA,NA,NA,NA,NA,NA,-1.90707768636383,0.41906069049748,0.609917943433572,0.218720274510317,0,23.2391892074586,138.224792122967,5,98,286.449584245934,3.95069033064829,0.0438482623538689,NA,0.957195336408008
"11","1/2/9","~Julian + 1 ~ Blackspruce_150 + Tremblingaspen_150 + 1",0.0701736727465143,0.193929911228114,NA,NA,NA,NA,-0.239705144604601,0.348609818998631,NA,NA,0.5366524910822,0.161681444549341,NA,NA,NA,NA,NA,NA,NA,NA,-1.90788320393946,0.421545891219142,0.606590968990978,0.219948485463633,0,24.2420393136703,138.248880154869,5,98,286.497760309737,3.99886639445185,0.0428046635919921,NA,1
