"","model","formula","lam(Blackspruce_50)","SElam(Blackspruce_50)","lam(Bog_50)","SElam(Bog_50)","lam(Fen_50)","SElam(Fen_50)","lam(Int)","SElam(Int)","lam(Jackpine_50)","SElam(Jackpine_50)","lam(Shrub_50)","SElam(Shrub_50)","lam(Swamp_50)","SElam(Swamp_50)","lam(Tamarack_50)","SElam(Tamarack_50)","lam(Tremblingaspen_50)","SElam(Tremblingaspen_50)","lam(Water_50)","SElam(Water_50)","lam(Whitebirch_50)","SElam(Whitebirch_50)","lam(Whitespruce_50)","SElam(Whitespruce_50)","lam(wtage_50)","SElam(wtage_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/9/10","~Julian + 1 ~ Tremblingaspen_50 + Water_50 + 1",NA,NA,NA,NA,NA,NA,-7.02820887038709,18.1408103599676,NA,NA,NA,NA,NA,NA,NA,NA,0.255429147493153,0.144745122917192,-40.7720246187011,108.226952374331,NA,NA,NA,NA,NA,NA,-1.76938885748246,0.391162241812898,0.581634771867816,0.228195056311338,0,815331.774645532,139.942317745457,5,98,289.884635490915,0,0.110663438023487,NA,0.110663438023487
"2","1/10/12","~Julian + 1 ~ Water_50 + Whitespruce_50 + 1",NA,NA,NA,NA,NA,NA,-7.55510258377957,14.2205784907236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-44.0726468565458,84.8413310975712,NA,NA,0.177405634121876,0.0914650112446519,NA,NA,-1.75455920106014,0.400194793662274,0.505776406824839,0.231471563546507,0,950237.580945835,140.212354925853,5,98,290.424709851705,0.540074360790584,0.0844750584854913,NA,0.195138496508978
"3","1/10","~Julian + 1 ~ Water_50 + 1",NA,NA,NA,NA,NA,NA,-6.41783013803994,13.6733616967883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-37.0027397021003,81.5784415313775,NA,NA,NA,NA,NA,NA,-1.68687486087895,0.381552096076562,0.536092288047924,0.233345722019494,0,387716.875383762,141.309408169889,4,98,290.618816339779,0.734180848864014,0.0766617648064799,NA,0.271800261315458
"4","1/7/10","~Julian + 1 ~ Swamp_50 + Water_50 + 1",NA,NA,NA,NA,NA,NA,-7.32490970145883,259.265736914171,NA,NA,NA,NA,-1.97737524568897,2561.06229980818,NA,NA,NA,NA,-41.3640753998427,102.638961851414,NA,NA,NA,NA,NA,NA,-1.70206523382282,0.383057959236188,0.544995012110411,0.232218852775363,0,379110776.503956,140.805521168738,5,98,291.611042337476,1.7264068465617,0.0466787991555025,NA,0.318479060470961
"5","1/9","~Julian + 1 ~ Tremblingaspen_50 + 1",NA,NA,NA,NA,NA,NA,-0.263312625156712,0.311356813960867,NA,NA,NA,NA,NA,NA,NA,NA,0.287899432433636,0.143522645014994,NA,NA,NA,NA,NA,NA,NA,NA,-1.76273986969221,0.384355556334376,0.597459961641081,0.228637554234902,0,15.3130321883266,141.810344617285,4,98,291.620689234569,1.73605374365491,0.0464541885039951,NA,0.364933248974956
"6","1/2/10","~Julian + 1 ~ Blackspruce_50 + Water_50 + 1",-0.153748192671765,0.173290453001332,NA,NA,NA,NA,-6.66267864652996,13.9046741800879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-38.5253493407051,82.9577449788497,NA,NA,NA,NA,NA,NA,-1.70096084225301,0.383169005903159,0.543909784773597,0.231869788798282,0,404959.302003433,140.903374706709,5,98,291.806749413418,1.92211392250334,0.0423274809976789,NA,0.407260729972635
"7","1/10/11","~Julian + 1 ~ Water_50 + Whitebirch_50 + 1",NA,NA,NA,NA,NA,NA,-8.6006779599513,17.074889485602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-37.8449810361467,85.2594515876023,-19.7423001153067,90.3324171225338,NA,NA,NA,NA,-1.67545133357242,0.383031591569888,0.520335736226181,0.234757152257091,0,471298.189546697,141.060088092143,5,98,292.120176184286,2.23554069337166,0.0361878402841406,NA,0.443448570256775
"8","1/6/10","~Julian + 1 ~ Shrub_50 + Water_50 + 1",NA,NA,NA,NA,NA,NA,-4.74505647187372,8.43697966036052,NA,NA,-0.201810988174456,0.352735968851916,NA,NA,NA,NA,NA,NA,-26.9507769737595,50.3555878739686,NA,NA,NA,NA,NA,NA,-1.69777309291292,0.384042057706691,0.537607276220856,0.232382211739385,0,150082.348367562,141.07479978586,5,98,292.149599571721,2.26496408080635,0.0356593528659529,NA,0.479107923122728
"9","1/9/12","~Julian + 1 ~ Tremblingaspen_50 + Whitespruce_50 + 1",NA,NA,NA,NA,NA,NA,-0.227269169872953,0.328604989515863,NA,NA,NA,NA,NA,NA,NA,NA,0.305976966154893,0.144117537889561,NA,NA,NA,NA,0.157637732481798,0.105413386670078,NA,NA,-1.82735395016063,0.404014262044727,0.576256212684206,0.226725022696537,0,25.6164995633655,141.107981764431,5,98,292.215963528863,2.33132803794837,0.0344955208909882,NA,0.513603444013716
"10","1/4/10","~Julian + 1 ~ Fen_50 + Water_50 + 1",NA,NA,NA,NA,-0.100840117079335,0.231130182933946,-5.87156829047576,11.3504923529056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-33.7559517108156,67.7227371307195,NA,NA,NA,NA,NA,NA,-1.69275776397621,0.381369791712515,0.541938364682691,0.232857455919666,0,267917.723343085,141.182349779487,5,98,292.364699558975,2.48006406806007,0.0320232266174391,NA,0.545626670631156
