"","model","formula","lam(Blackspruce_150)","SElam(Blackspruce_150)","lam(Bog_150)","SElam(Bog_150)","lam(Fen_150)","SElam(Fen_150)","lam(Int)","SElam(Int)","lam(Jackpine_150)","SElam(Jackpine_150)","lam(Shrub_150)","SElam(Shrub_150)","lam(Swamp_150)","SElam(Swamp_150)","lam(Tamarack_150)","SElam(Tamarack_150)","lam(Tremblingaspen_150)","SElam(Tremblingaspen_150)","lam(Water_150)","SElam(Water_150)","lam(Whitebirch_150)","SElam(Whitebirch_150)","lam(Whitespruce_150)","SElam(Whitespruce_150)","lam(wtage_150)","SElam(wtage_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","6/8","~1 ~ Shrub_150 + Tamarack_150 + 1",NA,NA,NA,NA,NA,NA,1.07210938712744,0.833044044464816,NA,NA,0.22488802149518,0.0832115088233964,NA,NA,0.732477733887975,0.163794801182427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.70621739656445,0.776889549580676,NA,NA,0,493.44648248834,59.9096452435702,4,98,127.81929048714,0,0.128823666206814,NA,0.128823666206814
"2","6/8/12","~1 ~ Shrub_150 + Tamarack_150 + Whitespruce_150 + 1",NA,NA,NA,NA,NA,NA,1.06279193058806,0.79790296633789,NA,NA,0.24526877411669,0.0845945144402675,NA,NA,0.691586705707726,0.164209764072794,NA,NA,NA,NA,NA,NA,0.216780749007803,0.136030123503627,NA,NA,-4.72779570993202,0.73335941309685,NA,NA,0,497.618927608958,58.9174004979057,5,98,127.834800995811,0.0155105086709142,0.127828469899111,NA,0.256652136105925
"3","6/8/9","~1 ~ Shrub_150 + Tamarack_150 + Tremblingaspen_150 + 1",NA,NA,NA,NA,NA,NA,0.951104284132436,0.858173099975031,NA,NA,0.205871495264468,0.0847445913445948,NA,NA,0.652331819520419,0.171520624714188,-0.555558728394151,0.503639952409137,NA,NA,NA,NA,NA,NA,NA,NA,-4.71649920941497,0.780022184610578,NA,NA,0,508.602260412058,59.1464338933933,5,98,128.292867786787,0.473577299646138,0.10166223438848,NA,0.358314370494405
"4","3/6/8","~1 ~ Bog_150 + Shrub_150 + Tamarack_150 + 1",NA,NA,0.208924190270199,0.173490124342197,NA,NA,1.02343020219177,0.843307721620636,NA,NA,0.22914774142886,0.0833911690056122,NA,NA,0.753734220176578,0.168040097632319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.70000186681286,0.783269632367547,NA,NA,0,494.590954523353,59.4178491828507,5,98,128.835698365701,1.01640787856101,0.0774971065909968,NA,0.435811477085402
"5","6/8/11","~1 ~ Shrub_150 + Tamarack_150 + Whitebirch_150 + 1",NA,NA,NA,NA,NA,NA,-0.198998922875734,7.28812876405477,NA,NA,0.225343192480945,0.0829939399434033,NA,NA,0.710660535227085,0.165220166735045,NA,NA,NA,NA,-8.50051022211416,46.9041425853449,NA,NA,NA,NA,-4.69325799157405,0.775672008801211,NA,NA,0,895985.183244371,59.4948061833434,5,98,128.989612366687,1.17032187954638,0.07175687012019,NA,0.507568347205592
"6","2/6/8","~1 ~ Blackspruce_150 + Shrub_150 + Tamarack_150 + 1",0.263605774811427,0.366303648903033,NA,NA,NA,NA,1.0296348989427,0.827583415134394,NA,NA,0.240674501037004,0.0860598928273269,NA,NA,0.827652648392027,0.220093647362279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.68791093853145,0.767360964615419,NA,NA,0,507.325980603371,59.6499097157465,5,98,129.299819431493,1.48052894435253,0.0614473105425912,NA,0.569015657748183
"7","6/7/8","~1 ~ Shrub_150 + Swamp_150 + Tamarack_150 + 1",NA,NA,NA,NA,NA,NA,1.07820890673645,0.834565159089676,NA,NA,0.217601033824562,0.0840592632472798,-0.140905364870647,0.279231987611372,0.744086262469219,0.162818947877233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.7132402102825,0.779026789346609,NA,NA,0,493.088634667945,59.7357256058157,5,98,129.471451211631,1.65216072449107,0.0563940794322114,NA,0.625409737180394
"8","6/8/10","~1 ~ Shrub_150 + Tamarack_150 + Water_150 + 1",NA,NA,NA,NA,NA,NA,1.04237911742109,0.827793270836356,NA,NA,0.22211502890026,0.0832454828754364,NA,NA,0.733301133591379,0.165828425460472,NA,NA,-0.274942514032294,0.560291601844038,NA,NA,NA,NA,NA,NA,-4.69570961944695,0.768570735632489,NA,NA,0,495.004257315307,59.7383818445437,5,98,129.476763689087,1.65747320194703,0.0562444820655126,NA,0.681654219245907
"9","5/6/8","~1 ~ Jackpine_150 + Shrub_150 + Tamarack_150 + 1",NA,NA,NA,NA,NA,NA,1.04684316143805,0.821653780787912,-0.190107957142175,0.347486169124392,0.207047484688153,0.0882238189904469,NA,NA,0.702064621550535,0.170984913303582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.69492036478587,0.761762734224888,NA,NA,0,505.674092671516,59.7559452946167,5,98,129.511890589233,1.69260010209308,0.0552652593495096,NA,0.736919478595417
"10","6/8/13","~1 ~ Shrub_150 + Tamarack_150 + wtage_150 + 1",NA,NA,NA,NA,NA,NA,1.06233535338803,0.840006181430907,NA,NA,0.238264867600412,0.0883997483560737,NA,NA,0.723467143246763,0.164320894537316,NA,NA,NA,NA,NA,NA,NA,NA,-0.13540043347105,0.28929435171913,-4.70644564536934,0.783386310033678,NA,NA,0,496.406826413175,59.8170546597402,5,98,129.63410931948,1.81481883233999,0.05198915423707,NA,0.788908632832487
