"","model","formula","lam(Blackspruce_50)","SElam(Blackspruce_50)","lam(Bog_50)","SElam(Bog_50)","lam(Fen_50)","SElam(Fen_50)","lam(Int)","SElam(Int)","lam(Jackpine_50)","SElam(Jackpine_50)","lam(Shrub_50)","SElam(Shrub_50)","lam(Swamp_50)","SElam(Swamp_50)","lam(Tamarack_50)","SElam(Tamarack_50)","lam(Tremblingaspen_50)","SElam(Tremblingaspen_50)","lam(Whitebirch_50)","SElam(Whitebirch_50)","lam(Whitespruce_50)","SElam(Whitespruce_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","6/8/12","~1 ~ Shrub_50 + Tamarack_50 + Whitespruce_50 + 1",NA,NA,NA,NA,NA,NA,1.31966632014882,0.836193202304131,NA,NA,0.347244206126174,0.094570547571666,NA,NA,0.590262181270241,0.160118728688201,NA,NA,NA,NA,0.300771023995683,0.114266384662071,-4.86736455326793,0.76595916917711,NA,NA,0,274.705733821662,62.4017103310477,5,98,134.803420662095,0,0.313594948816049,NA,0.313594948816049
"2","6/7/8","~1 ~ Shrub_50 + Swamp_50 + Tamarack_50 + 1",NA,NA,NA,NA,NA,NA,0.445112387329909,2.6183875842392,NA,NA,0.34196384677867,0.0949027005155909,0.19745300613473,0.105461771128849,0.567200706586101,0.161232911686904,NA,NA,NA,NA,NA,NA,-3.9267779883471,2.68644234885192,NA,NA,0,2075.08385451893,63.3735955355361,5,98,136.747191071072,1.94377040897689,0.118654626714618,NA,0.432249575530667
"3","6/8","~1 ~ Shrub_50 + Tamarack_50 + 1",NA,NA,NA,NA,NA,NA,0.612785385247061,2.9484348459745,NA,NA,0.33153738696098,0.0940108483115079,NA,NA,0.556074524341848,0.157102248297538,NA,NA,NA,NA,NA,NA,-4.04279319860103,3.02068264617052,NA,NA,0,2639.9499584228,64.4379812122618,4,98,136.875962424524,2.07254176242824,0.111255716059966,NA,0.543505291590633
"4","4/6/8","~1 ~ Fen_50 + Shrub_50 + Tamarack_50 + 1",NA,NA,NA,NA,0.196191254651365,0.109588547883456,0.443517664199892,2.60652559750398,NA,NA,0.342386601425108,0.094941383683442,NA,NA,0.567545866120401,0.161138558355741,NA,NA,NA,NA,NA,NA,-3.92239282249469,2.67461718180992,NA,NA,0,2056.40951471036,63.4528424261588,5,98,136.905684852318,2.10226419022226,0.109614546159828,NA,0.653119837750461
"5","2/5/9","~1 ~ Blackspruce_50 + Jackpine_50 + Tremblingaspen_50 + 1",-0.957701682202415,0.295823357824062,NA,NA,NA,NA,2.09410988035159,1.54560650222852,-0.894466967350405,0.311819691165437,NA,NA,NA,NA,NA,NA,-0.861678509629518,0.450722644833482,NA,NA,NA,NA,-5.69035599034641,1.51777358860714,NA,NA,0,219.225608467299,63.9602698139286,5,98,137.920539627857,3.11711896576196,0.0659926055331906,NA,0.719112443283651
"6","5/6/8","~1 ~ Jackpine_50 + Shrub_50 + Tamarack_50 + 1",NA,NA,NA,NA,NA,NA,1.04975488301237,4.6634200805375,-0.340950051991801,0.366184329793869,0.342957533354201,0.0960399562707012,NA,NA,0.473513760761254,0.174268771118103,NA,NA,NA,NA,NA,NA,-4.5265720796868,4.73951765295079,NA,NA,0,6691.79354513918,63.966808444551,5,98,137.933616889102,3.13019622700665,0.0655625119058239,NA,0.784674955189475
"7","6/8/9","~1 ~ Shrub_50 + Tamarack_50 + Tremblingaspen_50 + 1",NA,NA,NA,NA,NA,NA,0.768684822935765,3.72070333765887,NA,NA,0.315386255602869,0.0940947592920223,NA,NA,0.512058086941134,0.16135436721275,-0.379738390553925,0.46804752289017,NA,NA,NA,NA,-4.25922056536503,3.79975982759018,NA,NA,0,4300.10974631646,64.0178089585626,5,98,138.035617917125,3.23219725502983,0.0623026246263534,NA,0.846977579815829
"8","3/6/8","~1 ~ Bog_50 + Shrub_50 + Tamarack_50 + 1",NA,NA,0.17802564547543,0.169802208278685,NA,NA,0.510000836444129,2.72481180628181,NA,NA,0.33876570152176,0.0947875616694806,NA,NA,0.567254624075288,0.159525337093399,NA,NA,NA,NA,NA,NA,-3.96656748685338,2.79390311185207,NA,NA,0,2251.43619001952,64.0477923365412,5,98,138.095584673082,3.29216401098702,0.0604623087944323,NA,0.907439888610261
"9","6/8/11","~1 ~ Shrub_50 + Tamarack_50 + Whitebirch_50 + 1",NA,NA,NA,NA,NA,NA,-0.303285269778563,5.58391234700593,NA,NA,0.329454492488066,0.0937110674225864,NA,NA,0.550174395064967,0.156982067892192,NA,NA,-9.80412681922887,44.0064177156153,NA,NA,-4.12193212950464,3.33400163592711,NA,NA,1,292493.345201636,64.2467446127328,5,98,138.493489225466,3.6900685633702,0.0495542435839355,NA,0.956994132194196
"10","1/6/8","~Julian + 1 ~ Shrub_50 + Tamarack_50 + 1",NA,NA,NA,NA,NA,NA,0.633238946487804,3.04932066876368,NA,NA,0.336761685464001,0.0952246063937729,NA,NA,0.56875017116364,0.161769464620016,NA,NA,NA,NA,NA,NA,-4.0698432270281,3.1226943243275,0.0836689191332408,0.266196414839131,0,2857.19098875627,64.3884759453188,5,98,138.776951890638,3.97353122854221,0.0430058678058035,NA,1
