"","model","formula","lam(Blackspruce_150)","SElam(Blackspruce_150)","lam(Bog_150)","SElam(Bog_150)","lam(Fen_150)","SElam(Fen_150)","lam(Int)","SElam(Int)","lam(Jackpine_150)","SElam(Jackpine_150)","lam(Shrub_150)","SElam(Shrub_150)","lam(Swamp_150)","SElam(Swamp_150)","lam(Tamarack_150)","SElam(Tamarack_150)","lam(Tremblingaspen_150)","SElam(Tremblingaspen_150)","lam(Water_150)","SElam(Water_150)","lam(Whitebirch_150)","SElam(Whitebirch_150)","lam(Whitespruce_150)","SElam(Whitespruce_150)","lam(wtage_150)","SElam(wtage_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","8","~1 ~ Tamarack_150 + 1",NA,NA,NA,NA,NA,NA,1.27324008286719,0.391697139602686,NA,NA,NA,NA,NA,NA,0.128328907768468,0.0777742316510257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.98030238240096,0.450030997305929,NA,NA,0,81.3310099127278,329.818033367314,3,98,665.636066734629,0,0.0274651820123579,NA,0.0274651820123579
"2","8/10","~1 ~ Tamarack_150 + Water_150 + 1",NA,NA,NA,NA,NA,NA,1.31948757897371,0.414144910862736,NA,NA,NA,NA,NA,NA,0.125261971211341,0.0775238169556166,NA,NA,-0.119967875903315,0.117816144179304,NA,NA,NA,NA,NA,NA,-2.03894246017378,0.473224928569765,NA,NA,0,92.4263801879485,329.183814132658,4,98,666.367628265317,0.731561530688168,0.0190513569211782,NA,0.0465165389335361
"3","7","~1 ~ Swamp_150 + 1",NA,NA,NA,NA,NA,NA,1.28186232424257,0.396585439489437,NA,NA,NA,NA,0.0863197658432571,0.0666648305226994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.98431650340296,0.455964856388424,NA,NA,0,88.2443268407594,330.37016235235,3,98,666.7403247047,1.10425797007133,0.0158123314762518,NA,0.062328870409788
"4","10","~1 ~ Water_150 + 1",NA,NA,NA,NA,NA,NA,1.34440956292408,0.422333321925534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.120838437762931,0.114698603945764,NA,NA,NA,NA,NA,NA,-2.0565401758181,0.482625826082084,NA,NA,0,92.4742635879041,330.387701170964,3,98,666.775402341928,1.13933560729913,0.0155374197234121,NA,0.0778662901332001
"5","2/8","~1 ~ Blackspruce_150 + Tamarack_150 + 1",0.0889523127478505,0.0961696020048772,NA,NA,NA,NA,1.29161437230847,0.400116792103768,NA,NA,NA,NA,NA,NA,0.159189335403845,0.0851111325183914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.00525980986453,0.458462671548612,NA,NA,0,87.4440062132561,329.394190405879,4,98,666.788380811758,1.15231407712918,0.0154369201920583,NA,0.0933032103252584
"6","7/8","~1 ~ Swamp_150 + Tamarack_150 + 1",NA,NA,NA,NA,NA,NA,1.26739957260094,0.392058655854438,NA,NA,NA,NA,0.0616805223682398,0.0697617658656554,0.112540254199334,0.0809165105183455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.97580069365223,0.450518690075784,NA,NA,0,95.7248863826781,329.471370070679,4,98,666.942740141358,1.30667340672881,0.0142903200786082,NA,0.107593530403867
"7","8/12","~1 ~ Tamarack_150 + Whitespruce_150 + 1",NA,NA,NA,NA,NA,NA,1.2817436273398,0.396434590105854,NA,NA,NA,NA,NA,NA,0.124893264672301,0.0775793281833941,NA,NA,NA,NA,NA,NA,0.0463091409508198,0.0757458675481348,NA,NA,-1.9912225455439,0.454851335049859,NA,NA,0,85.048509796634,329.646695553121,4,98,667.293391106241,1.65732437161262,0.0119922056313651,NA,0.119585736035232
"8","5/8","~1 ~ Jackpine_150 + Tamarack_150 + 1",NA,NA,NA,NA,NA,NA,1.27702810272626,0.393280340173416,-0.0526650040959727,0.0937847555813548,NA,NA,NA,NA,0.117931769250383,0.0796664186884273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.98602643529431,0.451494209152042,NA,NA,0,84.0888869814864,329.659015028269,4,98,667.318030056538,1.68196332190905,0.0118453742519209,NA,0.131431110287153
"9","5","~1 ~ Jackpine_150 + 1",NA,NA,NA,NA,NA,NA,1.30044149982077,0.400995537350549,-0.0791224811031478,0.0908395023526763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.00364938328833,0.460335711454933,NA,NA,0,82.3735061086565,330.684135397001,3,98,667.368270794001,1.73220405937263,0.0115515203940373,NA,0.14298263068119
"10","8/11","~1 ~ Tamarack_150 + Whitebirch_150 + 1",NA,NA,NA,NA,NA,NA,1.2937353984875,0.402349552799799,NA,NA,NA,NA,NA,NA,0.124562489235002,0.0780522300374998,NA,NA,NA,NA,-0.0485891608148398,0.107338212905849,NA,NA,NA,NA,-2.00465332226241,0.461270669607816,NA,NA,0,86.5758686807187,329.700881513217,4,98,667.401763026435,1.76569629180619,0.0113596879978197,NA,0.15434231867901
"11","3/8","~1 ~ Bog_150 + Tamarack_150 + 1",NA,NA,0.0358795170129684,0.0811300473423937,NA,NA,1.28026390110032,0.39434740842852,NA,NA,NA,NA,NA,NA,0.128685616209271,0.0778702217107963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.98918083778086,0.45267870252922,NA,NA,0,82.6484943402723,329.729645346823,4,98,667.459290693645,1.82322395901622,0.0110375943533692,NA,0.165379913032379
"12","5/10","~1 ~ Jackpine_150 + Water_150 + 1",NA,NA,NA,NA,NA,NA,1.35713636372613,0.427898195893411,-0.103686230938569,0.092000520724261,NA,NA,NA,NA,NA,NA,NA,NA,-0.143212628132401,0.117112258944039,NA,NA,NA,NA,NA,NA,-2.07660944984247,0.487636537637842,NA,NA,0,95.8238684056902,329.739562353934,4,98,667.479124707868,1.84305797323873,0.0109286754192508,NA,0.17630858845163
