"","model","formula","lam(Blackspruce_150)","SElam(Blackspruce_150)","lam(Bog_150)","SElam(Bog_150)","lam(Fen_150)","SElam(Fen_150)","lam(Int)","SElam(Int)","lam(Jackpine_150)","SElam(Jackpine_150)","lam(Shrub_150)","SElam(Shrub_150)","lam(Swamp_150)","SElam(Swamp_150)","lam(Tamarack_150)","SElam(Tamarack_150)","lam(Tremblingaspen_150)","SElam(Tremblingaspen_150)","lam(Water_150)","SElam(Water_150)","lam(Whitebirch_150)","SElam(Whitebirch_150)","lam(Whitespruce_150)","SElam(Whitespruce_150)","lam(wtage_150)","SElam(wtage_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","3/6/12","~1 ~ Bog_150 + Shrub_150 + Whitespruce_150 + 1",NA,NA,0.236658753406817,0.0773031539651787,NA,NA,-0.916238791810731,0.232569742399523,NA,NA,-0.759858679431995,0.649485950759776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212023788580666,0.0939605880357523,NA,NA,-0.496909750104865,0.244395148001779,NA,NA,0,81.6559173069864,158.132793662628,5,98,326.265587325255,0,0.0982130912567581,NA,0.0982130912567581
"2","4/7/12","~1 ~ Fen_150 + Swamp_150 + Whitespruce_150 + 1",NA,NA,NA,NA,0.442713870076346,0.131219211782617,-0.857475947707409,0.200537023976474,NA,NA,NA,NA,-0.556753999271637,0.380102258441419,NA,NA,NA,NA,NA,NA,NA,NA,0.208481249413305,0.0977906300084578,NA,NA,-0.496372861613859,0.245339794617176,NA,NA,0,17.824558845796,158.619310470102,5,98,327.238620940203,0.973033614948008,0.0603778738710229,NA,0.158590965127781
"3","4/6/7","~1 ~ Fen_150 + Shrub_150 + Swamp_150 + 1",NA,NA,NA,NA,0.408772468036067,0.129092951224867,-0.939919356360845,0.237948386293946,NA,NA,-0.745983261399379,0.669640161085467,-0.549578145150711,0.374777255572415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.482049314288358,0.241585467227012,NA,NA,0,48.4454875108508,158.64422167524,5,98,327.28844335048,1.02285602522448,0.0588923679611147,NA,0.217483333088896
"4","3/12","~1 ~ Bog_150 + Whitespruce_150 + 1",NA,NA,0.245042024092609,0.077567960621802,NA,NA,-0.814423215405264,0.191501663274911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.205637455311932,0.09768743074513,NA,NA,-0.485299617091656,0.241805486126273,NA,NA,0,13.058594356922,159.86827496066,4,98,327.736549921321,1.47096259606548,0.0470710527425035,NA,0.264554385831399
"5","3/6","~1 ~ Bog_150 + Shrub_150 + 1",NA,NA,0.225931026235894,0.0772591743119986,NA,NA,-0.898339341643795,0.230365430478604,NA,NA,-0.736620403946193,0.664570191761803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.471200431879606,0.238439292294071,NA,NA,0,84.4795416787652,159.870666124767,4,98,327.741332249534,1.4757449242789,0.0469586325918002,NA,0.311513018423199
"6","4/6/12","~1 ~ Fen_150 + Shrub_150 + Whitespruce_150 + 1",NA,NA,NA,NA,0.231127428829126,0.103061330729181,-0.917354335842243,0.230860708460178,NA,NA,-0.753612178245002,0.648682214600503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.213688162210765,0.094245329138132,NA,NA,-0.471146412909136,0.239417592541511,NA,NA,0,53.4773242947988,159.108098271472,5,98,328.216196542945,1.95060921768936,0.0370339444565144,NA,0.348546962879714
"7","4/7","~1 ~ Fen_150 + Swamp_150 + 1",NA,NA,NA,NA,0.422493542138286,0.130112276623953,-0.837719903763054,0.195535382401904,NA,NA,NA,NA,-0.549048865955404,0.376747601931921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.47393670538768,0.239845802100949,NA,NA,0,15.6185998967616,160.20374992327,4,98,328.40749984654,2.14191252128438,0.0336557277823422,NA,0.382202690662056
"8","3/6/11","~1 ~ Bog_150 + Shrub_150 + Whitebirch_150 + 1",NA,NA,0.230357070216365,0.0773157394844668,NA,NA,-0.907546925662228,0.231143095630283,NA,NA,-0.745405732619732,0.658713922509767,NA,NA,NA,NA,NA,NA,NA,NA,0.134724401635611,0.0973184029282501,NA,NA,NA,NA,-0.478891055444623,0.240451017307625,NA,NA,0,83.3341344246621,159.205032059197,5,98,328.410064118394,2.14447679313878,0.033612604215641,NA,0.415815294877697
"9","3/11/12","~1 ~ Bog_150 + Whitebirch_150 + Whitespruce_150 + 1",NA,NA,0.249582455684283,0.0776580834503756,NA,NA,-0.82433021555701,0.193370914431768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131079545462449,0.104227802078783,0.20465185815497,0.0987836480599444,NA,NA,-0.490583667192537,0.243337370352546,NA,NA,0,13.3063899640707,159.304232987559,5,98,328.608465975117,2.34287864986192,0.0304382546428931,NA,0.44625354952059
"10","3/12/13","~1 ~ Bog_150 + Whitespruce_150 + wtage_150 + 1",NA,NA,0.243757777424579,0.0777317676218002,NA,NA,-0.823837598959798,0.193584883654427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.255245365046774,0.107361493279376,-0.151175583204341,0.130288354631371,-0.49269583271006,0.243597277216377,NA,NA,0,13.3038901126493,159.32450876586,5,98,328.649017531721,2.38343020646522,0.029827309959511,NA,0.476080859480101
"11","3","~1 ~ Bog_150 + 1",NA,NA,0.234149897416782,0.0774585193343574,NA,NA,-0.796784292757111,0.186892838484675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.463195082713025,0.236678563952306,NA,NA,0,12.2833331547069,161.416443541838,3,98,328.832887083676,2.56729975842075,0.0272074175304823,NA,0.503288277010583
"12","3/6/7","~1 ~ Bog_150 + Shrub_150 + Swamp_150 + 1",NA,NA,0.236436923243223,0.0765285426966643,NA,NA,-0.909591174936195,0.232463608945313,NA,NA,-0.749951202510626,0.667105714531666,-0.197212239861066,0.264925021883203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.473754741913775,0.238559551950814,NA,NA,0,88.760473560859,159.464863615004,5,98,328.929727230009,2.66413990475354,0.025921417728019,NA,0.529209694738602
"13","2/3/12","~1 ~ Blackspruce_150 + Bog_150 + Whitespruce_150 + 1",0.148685592430146,0.172872510502523,0.253068659938671,0.0787229423821727,NA,NA,-0.825881104233481,0.193244752026094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233501309068177,0.102732566484705,NA,NA,-0.4838012279713,0.241672458242608,NA,NA,0,13.0221462705465,159.502018605206,5,98,329.004037210411,2.73844988515611,0.0249759803266861,NA,0.554185675065288
"14","3/7/12","~1 ~ Bog_150 + Swamp_150 + Whitespruce_150 + 1",NA,NA,0.253784302189574,0.0770485544550064,NA,NA,-0.822238132967323,0.193078331854438,NA,NA,NA,NA,-0.170909906330332,0.262594125381113,NA,NA,NA,NA,NA,NA,NA,NA,0.201878305679797,0.0979076639005397,NA,NA,-0.48676682341599,0.241781554530685,NA,NA,0,14.0623971125481,159.574213288589,5,98,329.148426577179,2.88283925192349,0.0232363971663521,NA,0.577422072231641
"15","4/7/11","~1 ~ Fen_150 + Swamp_150 + Whitebirch_150 + 1",NA,NA,NA,NA,0.430831625924373,0.130628509697317,-0.847493097928514,0.197464657317474,NA,NA,NA,NA,-0.552015284535327,0.378162344476747,NA,NA,NA,NA,NA,NA,0.13364023043888,0.100977835773944,NA,NA,NA,NA,-0.480803704121573,0.24173272508876,NA,NA,0,16.1787426059456,159.587278920047,5,98,329.174557840094,2.9089705148391,0.0229347737059071,NA,0.600356845937548
"16","3/5/6","~1 ~ Bog_150 + Jackpine_150 + Shrub_150 + 1",NA,NA,0.240308949499147,0.0807767775658733,NA,NA,-0.905734086026754,0.230822834103185,-0.121567748801748,0.174290800243786,-0.730504364042387,0.661975829486365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.468596269662962,0.237993212907414,NA,NA,0,83.8179229380147,159.62020208773,5,98,329.24040417546,2.97481685020489,0.0221919829118818,NA,0.622548828849429
"17","3/5/12","~1 ~ Bog_150 + Jackpine_150 + Whitespruce_150 + 1",NA,NA,0.255969118844881,0.08097710334705,NA,NA,-0.820732354059057,0.19244657009802,-0.0912562099773881,0.177279300334562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.200524064989026,0.0988923846790811,NA,NA,-0.484319504187142,0.241615786035487,NA,NA,0,13.1491002324182,159.733303367796,5,98,329.466606735591,3.20101941033568,0.0198187768383658,NA,0.642367605687795
"18","3/10/12","~1 ~ Bog_150 + Water_150 + Whitespruce_150 + 1",NA,NA,0.242524535877324,0.0777082641354503,NA,NA,-0.814928221438017,0.192025205477828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0865737370763945,0.196765624852324,NA,NA,0.207776451696138,0.0967782515047954,NA,NA,-0.488754353836999,0.242746210639729,NA,NA,0,13.1926213925287,159.756828308135,5,98,329.51365661627,3.2480692910143,0.0193579826248097,NA,0.661725588312605
"19","3/6/9","~1 ~ Bog_150 + Shrub_150 + Tremblingaspen_150 + 1",NA,NA,0.229806434925065,0.0776513539770614,NA,NA,-0.898250909709476,0.230145647442318,NA,NA,-0.721523341063918,0.663046677636101,NA,NA,NA,NA,0.06965533268362,0.162331175194416,NA,NA,NA,NA,NA,NA,NA,NA,-0.472596042831801,0.238469838853143,NA,NA,0,84.7407617681821,159.780773074438,5,98,329.561546148877,3.29595882362145,0.0188999656924821,NA,0.680625554005087
"20","3/4/12","~1 ~ Bog_150 + Fen_150 + Whitespruce_150 + 1",NA,NA,0.197864503318285,0.135514101627553,0.0768586456784784,0.176886296347519,-0.816928273295884,0.192044328972528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.208160393633467,0.0977894372382845,NA,NA,-0.485901283814788,0.242239796327546,NA,NA,0,18.4304132578966,159.781410243478,5,98,329.562820486957,3.29723316170117,0.0188879270552192,NA,0.699513481060306
"21","4/12","~1 ~ Fen_150 + Whitespruce_150 + 1",NA,NA,NA,NA,0.24433633369705,0.103233634222998,-0.816323158163471,0.189772429583536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.207765782768343,0.0979358946357523,NA,NA,-0.460153791823199,0.236997821120974,NA,NA,0,7.77989000201584,160.808106109039,4,98,329.616212218079,3.35062489282359,0.0183903684222208,NA,0.717903849482527
"22","3/11","~1 ~ Bog_150 + Whitebirch_150 + 1",NA,NA,0.238750251845228,0.0775149315504381,NA,NA,-0.805925654847551,0.188655256156766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131878569206267,0.100996019657513,NA,NA,NA,NA,-0.469597937522774,0.238385229473696,NA,NA,0,12.5411164138301,160.813786967098,4,98,329.627573934197,3.36198660894144,0.01828619153678,NA,0.736190041019307
"23","3/9/12","~1 ~ Bog_150 + Tremblingaspen_150 + Whitespruce_150 + 1",NA,NA,0.247636096785495,0.0778124829925819,NA,NA,-0.815608131009336,0.191591843502684,NA,NA,NA,NA,NA,NA,NA,NA,0.0551203915810211,0.166986140752707,NA,NA,NA,NA,0.199130329483814,0.0998942290486975,NA,NA,-0.485135023337044,0.241531597152789,NA,NA,0,13.1367636212588,159.81518233649,5,98,329.630364672981,3.36477734772552,0.0182606933386523,NA,0.754450734357959
"24","3/4/6","~1 ~ Bog_150 + Fen_150 + Shrub_150 + 1",NA,NA,0.196044746315717,0.133952945776576,0.0488415196799925,0.175701015743272,-0.899290286247039,0.230533224878337,NA,NA,-0.733495397651685,0.664542805536291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.471427156798291,0.238689731587838,NA,NA,0,119.348656582098,159.834051971851,5,98,329.668103943702,3.40251661844684,0.0179193513416427,NA,0.772370085699602
"25","3/6/13","~1 ~ Bog_150 + Shrub_150 + wtage_150 + 1",NA,NA,0.22485617567075,0.0774110685789569,NA,NA,-0.899082568018426,0.230501025032362,NA,NA,-0.730757866587399,0.665161270064669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0419499025892376,0.155139534468802,-0.4711851875385,0.23845394763029,NA,NA,0,84.5858232439858,159.835924338889,5,98,329.671848677779,3.40626135252347,0.0178858311297054,NA,0.790255916829307
"26","3/6/8","~1 ~ Bog_150 + Shrub_150 + Tamarack_150 + 1",NA,NA,0.226843067429823,0.0775356306655471,NA,NA,-0.900236845219711,0.231306078034623,NA,NA,-0.75266349373876,0.673461991787153,NA,NA,0.0373354837983497,0.172865800956919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.471614430032522,0.238648243553689,NA,NA,0,86.603289890561,159.847934667015,5,98,329.695869334029,3.43028200877404,0.017672301277603,NA,0.807928218106911
