"","model","formula","lam(Blackspruce_150)","SElam(Blackspruce_150)","lam(Bog_150)","SElam(Bog_150)","lam(Fen_150)","SElam(Fen_150)","lam(Int)","SElam(Int)","lam(Jackpine_150)","SElam(Jackpine_150)","lam(Shrub_150)","SElam(Shrub_150)","lam(Swamp_150)","SElam(Swamp_150)","lam(Tamarack_150)","SElam(Tamarack_150)","lam(Tremblingaspen_150)","SElam(Tremblingaspen_150)","lam(Water_150)","SElam(Water_150)","lam(Whitebirch_150)","SElam(Whitebirch_150)","lam(Whitespruce_150)","SElam(Whitespruce_150)","lam(wtage_150)","SElam(wtage_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","11/12/13","~1 ~ Whitebirch_150 + Whitespruce_150 + wtage_150 + 1",NA,NA,NA,NA,NA,NA,-2.67316190852495,8.77304197951655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.8375034707357,56.7143405211179,-0.496010700025489,0.426356901008775,0.743862404501859,0.218694015273543,-1.79650402703335,0.496764600319611,NA,NA,0,210296.327544752,127.540463406524,5,98,265.080926813048,0,0.184136554095814,NA,0.184136554095814
"2","12/13","~1 ~ Whitespruce_150 + wtage_150 + 1",NA,NA,NA,NA,NA,NA,-0.502805396684475,0.416680054331152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.739473335038785,0.519275831174429,0.745959205113666,0.219280946187195,-1.75819188669788,0.47841366131594,NA,NA,0,23.9589508492178,129.098888878306,4,98,266.197777756611,1.11685094356358,0.105346208748329,NA,0.289482762844143
"3","3/12/13","~1 ~ Bog_150 + Whitespruce_150 + wtage_150 + 1",NA,NA,-7.05415487393927,33.4558686158884,NA,NA,-1.50128618466941,4.95867044313432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.740438646282244,0.522172373963342,0.719872701572951,0.219948775072782,-1.7697304541317,0.484523898306335,NA,NA,0,72167.5200002684,128.274108308926,5,98,266.548216617852,1.4672898048039,0.0884142116311949,NA,0.377896974475338
"4","11/13","~1 ~ Whitebirch_150 + wtage_150 + 1",NA,NA,NA,NA,NA,NA,-3.2388944039415,18.5619812409309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.8116433861322,120.086337656421,NA,NA,0.58473940658208,0.203849131303449,-1.74113216826049,0.485258355376443,NA,NA,0,910822.748783778,129.636912686233,4,98,267.273825372465,2.19289855941742,0.0615117580580578,NA,0.439408732533396
"5","8/12/13","~1 ~ Tamarack_150 + Whitespruce_150 + wtage_150 + 1",NA,NA,NA,NA,NA,NA,-0.526852296471051,0.416318028358231,NA,NA,NA,NA,NA,NA,0.170656299348884,0.173698954173714,NA,NA,NA,NA,NA,NA,-0.740449683921359,0.509085513581909,0.801980236941795,0.229663479465127,-1.75037559097083,0.476421878524532,NA,NA,0,23.6157923368863,128.658791909748,5,98,267.317583819497,2.2366570064487,0.0601805446168254,NA,0.499589277150221
"6","3/11/13","~1 ~ Bog_150 + Whitebirch_150 + wtage_150 + 1",NA,NA,-9.21399201590278,70.8123805102814,NA,NA,-4.3974042354644,18.5705592130166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.8020969752771,99.2536795955852,NA,NA,0.560602175338327,0.204507716028003,-1.75567566900296,0.492928976921919,NA,NA,0,631579.769901184,128.765731785766,5,98,267.531463571532,2.45053675848413,0.0540770155805434,NA,0.553666292730765
"7","2/12/13","~1 ~ Blackspruce_150 + Whitespruce_150 + wtage_150 + 1",-0.13871280887686,0.206946972634808,NA,NA,NA,NA,-0.520917915944453,0.421344965669568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.848567824167011,0.558763229948076,0.827450696987929,0.249708320184813,-1.75960342171038,0.480204973346086,NA,NA,0,27.5031165365548,128.870348920067,5,98,267.740697840135,2.65977102708672,0.0487055073342184,NA,0.602371800064983
"8","5/12/13","~1 ~ Jackpine_150 + Whitespruce_150 + wtage_150 + 1",NA,NA,NA,NA,NA,NA,-0.502847204100576,0.424275969819223,0.109010183818031,0.198852340636936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.751766558479603,0.525322081243187,0.815471226837674,0.254784869107445,-1.77446594727023,0.487054911007569,NA,NA,0,26.5606912224138,128.952440701436,5,98,267.904881402872,2.82395458982444,0.0448669000066146,NA,0.647238700071597
"9","1/12/13","~Julian + 1 ~ Whitespruce_150 + wtage_150 + 1",NA,NA,NA,NA,NA,NA,-0.424158329385634,0.461138970541891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.69718048691297,0.512570675030056,0.719356103888598,0.223819785563955,-1.85409641540793,0.525378960066047,0.111618209517975,0.222242129205247,0,31.8793087424213,128.976479367946,5,98,267.952958735891,2.87203192284329,0.0438012196445786,NA,0.691039919716176
"10","9/12/13","~1 ~ Tremblingaspen_150 + Whitespruce_150 + wtage_150 + 1",NA,NA,NA,NA,NA,NA,-0.510542511802074,0.415833458903923,NA,NA,NA,NA,NA,NA,NA,NA,-0.060987928274397,0.185662404566076,NA,NA,NA,NA,-0.734326517091057,0.515812082598482,0.75200113793578,0.222174253112578,-1.75508092870222,0.477095759172321,NA,NA,0,23.7587204093264,129.043691505508,5,98,268.087383011016,3.00645619796813,0.0409540016206546,NA,0.731993921336831
