"","model","formula","lam(Blackspruce_500)","SElam(Blackspruce_500)","lam(Bog_500)","SElam(Bog_500)","lam(Fen_500)","SElam(Fen_500)","lam(Int)","SElam(Int)","lam(Jackpine_500)","SElam(Jackpine_500)","lam(Shrub_500)","SElam(Shrub_500)","lam(Swamp_500)","SElam(Swamp_500)","lam(Tamarack_500)","SElam(Tamarack_500)","lam(Tremblingaspen_500)","SElam(Tremblingaspen_500)","lam(Water_500)","SElam(Water_500)","lam(Whitebirch_500)","SElam(Whitebirch_500)","lam(Whitespruce_500)","SElam(Whitespruce_500)","lam(wtage_500)","SElam(wtage_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","9/10/13","~1 ~ Tremblingaspen_500 + Water_500 + wtage_500 + 1",NA,NA,NA,NA,NA,NA,-0.736726626430443,0.27106273155703,NA,NA,NA,NA,NA,NA,NA,NA,0.585234916268477,0.145080892863886,0.414853129106673,0.100901057542775,NA,NA,NA,NA,0.346314289003108,0.138878431545136,-1.10128606614145,0.323067558144059,NA,NA,0,25.0896786931676,154.452417765743,5,98,318.904835531485,0,0.174526604284754,NA,0.174526604284754
"2","2/9/10","~1 ~ Blackspruce_500 + Tremblingaspen_500 + Water_500 + 1",0.44874159487931,0.20154209961423,NA,NA,NA,NA,-0.741901131880768,0.273118674696161,NA,NA,NA,NA,NA,NA,NA,NA,0.709533699389592,0.163631856317432,0.621753065609101,0.132235019136339,NA,NA,NA,NA,NA,NA,-1.10253270147877,0.322966326706187,NA,NA,0,28.2972513242635,154.512102386607,5,98,319.024204773213,0.119369241727895,0.164414810907475,NA,0.338941415192229
"3","4/9/10","~1 ~ Fen_500 + Tremblingaspen_500 + Water_500 + 1",NA,NA,NA,NA,0.294989977912499,0.127976223243431,-0.760351498358371,0.257421159684669,NA,NA,NA,NA,NA,NA,NA,NA,0.613921016848191,0.144603877769463,0.482167062614261,0.10088581968957,NA,NA,NA,NA,NA,NA,-1.03033780388153,0.300552066263922,NA,NA,0,22.1607206318446,154.943031826552,5,98,319.886063653104,0.981228121619097,0.106853969287462,NA,0.44579538447969
"4","9/10/11","~1 ~ Tremblingaspen_500 + Water_500 + Whitebirch_500 + 1",NA,NA,NA,NA,NA,NA,-0.71482890526747,0.270372256845762,NA,NA,NA,NA,NA,NA,NA,NA,0.856318865140033,0.205038430297266,0.504358411632414,0.104746641225058,-0.361351895423952,0.197833736488487,NA,NA,NA,NA,-1.11147573057327,0.325530476034017,NA,NA,0,26.2641064479844,155.074667728022,5,98,320.149335456045,1.2444999245597,0.0936746143545489,NA,0.539469998834239
"5","3/9/10","~1 ~ Bog_500 + Tremblingaspen_500 + Water_500 + 1",NA,NA,0.244877490391132,0.112362237789453,NA,NA,-0.747807475013507,0.251786444991112,NA,NA,NA,NA,NA,NA,NA,NA,0.545374230876767,0.138856285217141,0.464123599196999,0.0981243474794979,NA,NA,NA,NA,NA,NA,-1.02175484926879,0.296788670468543,NA,NA,0,21.9157800909421,155.244671135699,5,98,320.489342271397,1.58450673991206,0.0790297070310587,NA,0.618499705865298
"6","3/5/8","~1 ~ Bog_500 + Jackpine_500 + Tamarack_500 + 1",NA,NA,0.359964422772123,0.116047339881341,NA,NA,-0.776132063523472,0.277700434856594,-0.620811242904183,0.182225083468632,NA,NA,NA,NA,-0.514701529596592,0.230023184554625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.10446245771664,0.319405600158646,NA,NA,0,15.2721919157507,155.520758294658,5,98,321.041516589315,2.13668105782995,0.0599635370222098,NA,0.678463242887508
"7","1/9/10","~Julian + 1 ~ Tremblingaspen_500 + Water_500 + 1",NA,NA,NA,NA,NA,NA,-0.637428595176965,0.260038281263066,NA,NA,NA,NA,NA,NA,NA,NA,0.582850279373155,0.144464569487825,0.476468220143042,0.101122449523514,NA,NA,NA,NA,NA,NA,-1.18094588632423,0.318768477917118,0.371224093526508,0.212635741012042,0,25.2109358959904,155.593234415745,5,98,321.18646883149,2.2816333000045,0.0557713635765758,NA,0.734234606464083
"8","4/5/8","~1 ~ Fen_500 + Jackpine_500 + Tamarack_500 + 1",NA,NA,NA,NA,0.389960582298593,0.132133192281018,-0.756670472894793,0.278772885416399,-0.618442410951289,0.181323190277134,NA,NA,NA,NA,-0.556531222181823,0.228432076448331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11238903656681,0.32466989077965,NA,NA,0,13.0117747496832,155.647805197643,5,98,321.295610395286,2.39077486380035,0.0528094292055217,NA,0.787044035669605
"9","7/9/10","~1 ~ Swamp_500 + Tremblingaspen_500 + Water_500 + 1",NA,NA,NA,NA,NA,NA,-0.748843826420161,0.253178050896592,NA,NA,NA,NA,0.222045502981366,0.119477012263241,NA,NA,0.581964420464805,0.141404332268315,0.4474608178017,0.0997480643037653,NA,NA,NA,NA,NA,NA,-1.01763230618915,0.297476860522031,NA,NA,0,20.8203341513854,155.704462300933,5,98,321.408924601866,2.50408907038121,0.0499005814460765,NA,0.836944617115682
"10","5/9/10","~1 ~ Jackpine_500 + Tremblingaspen_500 + Water_500 + 1",NA,NA,NA,NA,NA,NA,-0.719176561847183,0.257818907321408,-0.307629785951091,0.204506763822332,NA,NA,NA,NA,NA,NA,0.45289463031215,0.156550134426888,0.332002090602773,0.120125857807371,NA,NA,NA,NA,NA,NA,-1.05760458907373,0.308041937873325,NA,NA,0,23.9892432699242,155.883797709985,5,98,321.767595419971,2.86275988848581,0.0417081788833231,NA,0.878652795999005
