"","model","formula","lam(Blackspruce_50)","SElam(Blackspruce_50)","lam(Bog_50)","SElam(Bog_50)","lam(Fen_50)","SElam(Fen_50)","lam(Int)","SElam(Int)","lam(Jackpine_50)","SElam(Jackpine_50)","lam(Shrub_50)","SElam(Shrub_50)","lam(Swamp_50)","SElam(Swamp_50)","lam(Tamarack_50)","SElam(Tamarack_50)","lam(Tremblingaspen_50)","SElam(Tremblingaspen_50)","lam(Water_50)","SElam(Water_50)","lam(Whitebirch_50)","SElam(Whitebirch_50)","lam(Whitespruce_50)","SElam(Whitespruce_50)","lam(wtage_50)","SElam(wtage_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/5","~Julian + 1 ~ Jackpine_50 + 1",NA,NA,NA,NA,NA,NA,0.776722248099661,0.218691006078854,0.306532796758159,0.0854955663247902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2669382137179,0.282735631256065,-0.30276325622407,0.114567990624835,0,26.3852555945493,333.053436682391,4,98,674.106873364782,0,0.168334052282832,NA,0.168334052282832
"2","1/5/7","~Julian + 1 ~ Jackpine_50 + Swamp_50 + 1",NA,NA,NA,NA,NA,NA,0.793925915649949,0.223110833778749,0.314659018108009,0.0858053182091224,NA,NA,0.0850934984025011,0.0760931249282873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.29360773132646,0.287789212261413,-0.310180093730002,0.114301716734273,0,27.7402226619027,332.600221924984,5,98,675.200443849968,1.09357048518518,0.0974330201386319,NA,0.265767072421464
"3","1/4/5","~Julian + 1 ~ Fen_50 + Jackpine_50 + 1",NA,NA,NA,NA,0.0827105032060034,0.0783611710902226,0.793152297975477,0.222733056501983,0.314180271679471,0.0858236994157459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2921029662694,0.287364451330768,-0.311115279222468,0.114455948077839,0,27.6219228055676,332.641484288459,5,98,675.282968576918,1.17609521213569,0.0934945181830316,NA,0.359261590604496
"4","1/5/12","~Julian + 1 ~ Jackpine_50 + Whitespruce_50 + 1",NA,NA,NA,NA,NA,NA,0.789340996196114,0.22183198269736,0.317538310130626,0.0863781769498751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0813872884544789,0.0842303963784448,NA,NA,-1.28663616286908,0.286337305676232,-0.30987809130141,0.114482906759317,0,27.4665660689404,332.679166678582,5,98,675.358333357163,1.25145999238055,0.0900369746488816,NA,0.449298565253377
"5","1/5/9","~Julian + 1 ~ Jackpine_50 + Tremblingaspen_50 + 1",NA,NA,NA,NA,NA,NA,0.789010850658736,0.222611555020375,0.294140784968892,0.08605412893969,NA,NA,NA,NA,NA,NA,-0.0769231553431929,0.103121437655059,NA,NA,NA,NA,NA,NA,NA,NA,-1.2852416771659,0.287365084577861,-0.307667520175288,0.114221609769162,0,28.3167407441932,332.762991090266,5,98,675.525982180533,1.41910881575041,0.0827973456665456,NA,0.532095910919923
"6","1/5/6","~Julian + 1 ~ Jackpine_50 + Shrub_50 + 1",NA,NA,NA,NA,NA,NA,0.771515556665694,0.217213723244067,0.306735015992566,0.0852595094641106,-0.0735453516887503,0.113810823453339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.26164011321534,0.2806428323271,-0.307397280762765,0.114910120552172,0,25.9904300853419,332.80279107008,5,98,675.60558214016,1.49870877537717,0.0795667286666283,NA,0.611662639586551
"7","1/5/10","~Julian + 1 ~ Jackpine_50 + Water_50 + 1",NA,NA,NA,NA,NA,NA,0.778684452908019,0.21958473101772,0.31292510413088,0.086231598588341,NA,NA,NA,NA,NA,NA,NA,NA,0.0577538448342608,0.084881291136143,NA,NA,NA,NA,NA,NA,-1.27166777619879,0.283637035781994,-0.306434562007052,0.114655407045214,0,26.7018428956956,332.851349586444,5,98,675.702699172888,1.59582580810593,0.0757953926282355,NA,0.687458032214787
"8","1/5/13","~Julian + 1 ~ Jackpine_50 + wtage_50 + 1",NA,NA,NA,NA,NA,NA,0.773535406836676,0.218331339914087,0.301545454255646,0.0880994120477766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0231479442228754,0.102552479835696,-1.2626008090075,0.282331042648297,-0.303740193476643,0.114790324319485,0,27.0518998923815,333.028466219339,5,98,676.056932438679,1.95005907389634,0.0634924419647208,NA,0.750950474179507
"9","1/5/8","~Julian + 1 ~ Jackpine_50 + Tamarack_50 + 1",NA,NA,NA,NA,NA,NA,0.778283128832061,0.219376030084493,0.302860518840546,0.0890969982740821,NA,NA,NA,NA,-0.0150585683562318,0.104888237600816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.26886284315543,0.283526660528699,-0.303463716482324,0.114620618056441,0,27.4579742160672,333.043022565574,5,98,676.086045131147,1.97917176636474,0.0625749180947001,NA,0.813525392274208
"10","1/5/11","~Julian + 1 ~ Jackpine_50 + Whitebirch_50 + 1",NA,NA,NA,NA,NA,NA,0.777147126168812,0.219160133323607,0.307642684118979,0.0859346076288683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0132620318227594,0.0953327815308673,NA,NA,NA,NA,-1.26792688032201,0.283339837276643,-0.30145101291942,0.114966476307768,0,26.598204164616,333.044245492962,5,98,676.088490985924,1.98161762114125,0.0624984402864788,NA,0.876023832560686
