,SS,Blackspruce_150,BlackspruceMixCD_150,BlackspruceMixDC_150,Bog_150,Fen_150,GrassHerb_150,Jackpine_150,JackpineMixC_150,JackpineMixCD_150,JackpineMixWet_150,Shrub_150,Swamp_150,Tamarack_150,TamarackMixCD_150,TamarackMixDC_150,Tremblingaspen_150,TremblingaspenMixCD_150,TremblingaspenMixD_150,TremblingaspenMixDC_150,Water_150,Whitebirch_150,WhitebirchMixD_150,WhitebirchMixDC_150,Whitespruce_150,WhitespruceMixC_150,WhitespruceMixCD_150,WhitespruceMixWet_150,wtage_150
1,BG_15_1,7769.468384,0,0,0,0,0,30943.12956,0,0,5561.116467,4749.180324,0,0,0,0,21656.73175,0,0,0,0,0,0,0,0,0,0,0,97.66666667
2,BG_15_10,20655.09503,36128.8988,0,0,0,0,13835.91547,0,0,0,0,0,60.36220452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.35897436
3,BG_15_100,22233.12315,0,0,0,0,0,34270.81214,0,0,0,0,0,0,0,0,14175.41621,0,0,0,0,0,0,0,0,0,0,0,86.2
4,BG_15_11,0,48776.00569,0,0,0,0,21906.75395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
5,BG_15_12,47435.88178,7835.835316,0,0,0,0,10100.24759,0,5306.857067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.85714286
6,BG_15_13,24839.79888,882.6784885,0,0,0,0,0,0,33516.17261,0,0,0,0,0,0,11442.11525,0,0,0,0,0,0,0,0,0,0,0,95.36363636
7,BG_15_14,11487.57217,0,0,0,0,0,58499.57856,0,0,0,0,0,0,0,0,692.3857652,0,0,0,0,0,0,0,0,0,0,0,95.66666667
8,BG_15_15,15601.11788,1064.415573,0,0,0,0,47206.81564,0,0,0,0,0,0,0,0,6806.894991,0,0,0,0,0,0,0,0,0,0,0,92.80952381
9,BG_15_16,9971.792459,0,0,0,0,0,12050.52798,0,0,31632.54714,0,0,0,13431.79922,0,3593.518594,0,0,0,0,0,0,0,0,0,0,0,94.42857143
10,BG_15_17,47890.58448,0,0,0,0,773.0727744,22015.35972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.66666667
11,BG_15_18,0,0,0,0,0,2230.997169,0,0,0,0,0,0,0,0,0,0,0,0,0,68450.00731,0,0,0,0,0,0,0,0
12,BG_15_19,26428.75756,5924.747572,0,0,0,1671.079566,0,0,0,0,0,0,18825.88331,0,0,17829.93298,0,0,0,0,0,0,0,0,0,0,0,85.19047619
13,BG_15_2,44638.12585,1464.426093,0,0,0,0,2517.530119,8084.086502,0,0,0,0,0,0,0,13975.08445,0,0,0,0,0,0,0,0,0,0,0,110.5
14,BG_15_20,0,24049.82687,0,0,0,0,8490.598459,0,0,28337.10394,0,0,0,0,0,9803.281785,0,0,0,0,0,0,0,0,0,0,0,79
15,BG_15_21,0,17692.56995,0,1829.566082,2606.057264,0,33079.28853,0,0,7604.481116,0,0,0,0,0,7867.318366,0,0,0,0,0,0,0,0,0,0,0,87.59649123
16,BG_15_22,267.4562215,54695.74781,0,0,0,0,11014.96968,0,1553.050564,0,0,0,0,0,0,3147.406699,0,0,0,0,0,0,0,0,0,0,0,91.59259259
17,BG_15_23,5161.488456,16870.98196,0,0,0,0,8611.044477,0,11072.08237,14633.61702,0,0,0,0,0,14331.03943,0,0,0,0,0,0,0,0,0,0,0,88.64285714
18,BG_15_24,36551.12736,23912.78287,0,0,0,0,553.0916365,0,0,9663.076831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.4561404
19,BG_15_26,4536.65193,0,0,0,1451.509522,0,22777.48297,0,0,0,0,786.3817336,37893.45659,0,0,3233.293514,0,0,0,0,0,0,0,0,0,0,0,81.25806452
20,BG_15_27,3665.289648,0,0,0,0,28738.3262,10657.91981,0,0,0,0,0,17162.19199,0,0,0,0,0,0,10455.71381,0,0,0,0,0,0,0,89
21,BG_15_28,110.805947,0,0,0,0,20286.94838,0,0,0,9337.325515,0,0,26284.49509,0,0,14659.57803,0,0,0,0,0,0,0,0,0,0,0,87.26086957
22,BG_15_29,29268.09016,1675.963803,0,0,0,0,12621.82722,0,0,4199.817167,0,0,0,0,0,22913.76065,0,0,0,0,0,0,0,0,0,0,0,87.33333333
23,BG_15_3,40910.77701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29768.53494,0,0,0,0,0,0,0,0,0,0,0,117.8235294
24,BG_15_30,10525.58939,0,0,0,0,0,0,0,13781.55214,0,0,0,0,0,0,46372.2479,0,0,0,0,0,0,0,0,0,0,0,87.0952381
25,BG_15_31,0,12922.50237,0,0,0,0,30637.47249,0,0,0,0,0,0,0,0,27119.88076,0,0,0,0,0,0,0,0,0,0,0,85.66666667
26,BG_15_32,5723.709093,4924.858891,0,0,0,0,33689.81472,0,0,0,0,0,0,0,0,26339.66781,0,0,0,0,0,0,0,0,0,0,0,87.33333333
27,BG_15_33,35729.38688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34946.81637,0,0,0.781475688,0,0,3.111972143,0,0,0,0,0,94.83333333
28,BG_15_34,55953.58968,0,0,0,0,0,14726.08955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.3333333
29,BG_15_35,6562.045229,0,0,0,0,0,36184.80166,0,0,0,0,0,0,0,11150.31109,0,16782.42906,0,0,0,0,0,0,0,0,0,0,85.38888889
30,BG_15_36,0,0,0,0,0,0,45187.2366,0,0,12401.76893,0,0,4706.023686,0,0,8384.780312,0,0,0,0,0,0,0,0,0,0,0,83.23076923
31,BG_15_37,0,0,0,0,0,0,10685.70505,0,0,0,0,0,52431.72025,0,0,0,0,0,0,7562.322707,0,0,0,0,0,0,0,84.16129032
32,BG_15_38,30185.6573,22969.56091,0,0,0,0,13700.49892,0,0,0,0,0,3823.683607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.20930233
33,BG_15_39,10748.03731,24049.85406,0,1206.629536,3776.343101,0,0,0,0,16940.09724,0,1282.50037,12676.50122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.18918919
34,BG_15_4,64213.56094,0,0,0,0,0,6466.76925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.4864865
35,BG_15_40,19633.57544,0,0,0,0,0,1961.101233,0,48052.56636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031.938604,99.51282051
36,BG_15_41,41127.62144,0,0,0,0,0,15972.06633,0,0,0,0,0,13581.07267,0,0,0.834707476,0,0,0,0,0,0,0,0,0,0,0,84
37,BG_15_42,21210.86519,0,0,0,0,0,34650.05162,0,0,0,0,0,0,0,0,14819.53204,0,0,0,0,0,0,0,0,0,0,0,81.96296296
38,BG_15_43,2997.952527,0,0,0,0,0,40098.03029,0,0,0,0,0,0,0,0,27585.8989,0,0,0,0,0,0,0,0,0,0,0,83.09090909
39,BG_15_44,54270.55865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.65763,0,0,0,0,0,0,0,95.36363636
40,BG_15_45,0,67894.87667,0,0,2.895433677,0,2781.330055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
41,BG_15_46,18417.55308,0,0,0,0,0,18962.40776,0,0,0,0,0,0,33298.87157,0,0,0,0,0,0,0,0,0,0,0,0,0,89
42,BG_15_47,0,3230.745543,0,0,0,0,1240.755352,0,0,12952.46846,6861.065463,0,45573.66669,821.4184725,0,0,0,0,0,0,0,0,0,0,0,0,0,85.20689655
43,BG_15_48,20739.7978,0,0,0,0,0,18965.18167,0,0,0,0,0,30977.13585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.78947368
44,BG_15_49,25772.39018,0,0,0,0,0,4238.095805,0,0,143.7552516,0,0,31414.23039,0,0,9111.944701,0,0,0,0,0,0,0,0,0,0,0,86.19298246
45,BG_15_5,5466.741488,20704.37129,0,0,0,0,33013.74718,0,229.9758667,11265.56041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.26315789
46,BG_15_50,8103.035516,0,0,0,0,0,62576.15837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.85714286
47,BG_15_51,47539.98185,0,0,0,0,0,19747.1009,0,0,0,0,0,1628.999921,0,0,1763.38664,0,0,0,0,0,0,0,0,0,0,0,84.38461538
48,BG_15_52,560.4522794,0,0,0,0,0,32259.17401,0,0,0,0,0,0,0,0,37858.97678,0,0,0,0,0,0,0,0,0,0,0,80.33333333
49,BG_15_53,12721.2936,17591.82456,0,0,0,0,7099.466034,0,0,33269.16898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.14285714
50,BG_15_54,8851.835707,26673.19357,0,0,0,0,0,0,0,0,0,0,0,21608.19005,0,0,0,0,0,13547.27116,0,0,0,0,0,0,0,101.5
