,SS,Blackspruce_50,BlackspruceMixCD_50,Bog_50,Fen_50,GrassHerb_50,Jackpine_50,JackpineMixCD_50,JackpineMixWet_50,Shrub_50,Swamp_50,Tamarack_50,TamarackMixCD_50,TamarackMixDC_50,Tremblingaspen_50,TremblingaspenMixCD_50,TremblingaspenMixD_50,TremblingaspenMixDC_50,Water_50,Whitebirch_50,WhitebirchMixD_50,Whitespruce_50,WhitespruceMixWet_50,wtage_50
1,BG_15_1,0,0,0,0,0,3673.279462,0,0,1204.074876,0,0,0,0,2974.874936,0,0,0,0,0,0,0,0,89
2,BG_15_10,281.4087672,6324.372737,0,0,0,1246.324582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.63636364
3,BG_15_100,108.8624753,0,0,0,0,7600.334688,0,0,0,0,0,0,0,143.5447483,0,0,0,0,0,0,0,0,91.22222222
4,BG_15_11,0,6169.259969,0,0,0,1683.752854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
5,BG_15_12,6600.167866,0,0,0,0,1252.109899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
6,BG_15_13,2077.953952,0,0,0,0,0,4801.230046,0,0,0,0,0,0,973.3748961,0,0,0,0,0,0,0,0,89
7,BG_15_14,2039.168193,0,0,0,0,5813.250561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.33333333
8,BG_15_15,577.0075789,0,0,0,0,7275.31143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.33333333
9,BG_15_16,162.5981113,0,0,0,0,0,0,6597.053762,0,0,0,1092.63282,0,0,0,0,0,0,0,0,0,0,97.57142857
10,BG_15_17,7851.627181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.66666667
11,BG_15_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7853.981634,0,0,0,0,0
12,BG_15_19,1138.687504,0,0,0,0,0,0,0,0,0,5526.223272,0,0,1186.343903,0,0,0,0,0,0,0,0,83.44444444
13,BG_15_2,4323.24176,0,0,0,0,0,0,0,0,0,0,0,0,3529.761561,0,0,0,0,0,0,0,0,109
14,BG_15_20,0,2699.788205,0,0,0,0,0,3789.6116,0,0,0,0,0,1362.914346,0,0,0,0,0,0,0,0,79
15,BG_15_21,0,482.6632455,1643.881253,255.1679504,0,5470.005605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
16,BG_15_22,0,7852.458645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
17,BG_15_23,0,0,0,0,0,14.51811764,1356.497074,2252.181832,0,0,0,0,0,4229.588282,0,0,0,0,0,0,0,0,82.33333333
18,BG_15_24,5555.055262,2296.700338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.6923077
19,BG_15_26,0,0,0,0,0,0,0,0,0,0,7852.15582,0,0,0,0,0,0,0,0,0,0,0,69
20,BG_15_27,0,0,0,0,5833.401472,404.7569985,0,0,0,0,248.7465658,0,0,0,0,0,0,1364.986989,0,0,0,0,89
21,BG_15_28,0,0,0,0,2467.591162,0,0,0,0,0,4294.326866,0,0,1090.302991,0,0,0,0,0,0,0,0,89
22,BG_15_29,744.9566004,0,0,0,0,1095.320451,0,170.3315695,0,0,0,0,0,5841.47937,0,0,0,0,0,0,0,0,86
23,BG_15_3,3230.879478,0,0,0,0,0,0,0,0,0,0,0,0,4620.608318,0,0,0,0,0,0,0,0,109
24,BG_15_30,0,0,0,0,0,0,1495.966877,0,0,0,0,0,0,6355.973043,0,0,0,0,0,0,0,0,85.66666667
25,BG_15_31,0,811.0748168,0,0,0,6054.044578,0,0,0,0,0,0,0,986.5432148,0,0,0,0,0,0,0,0,85
26,BG_15_32,0,0,0,0,0,7838.037235,0,0,0,0,0,0,0,14.40059498,0,0,0,0,0,0,0,0,84
27,BG_15_33,4606.106522,0,0,0,0,0,0,0,0,0,0,0,0,3246.819018,0,0,0,0,0,0,0,0,97.33333333
28,BG_15_34,7853.981634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119
