,SS,Blackspruce_500,BlackspruceMixCD_500,BlackspruceMixDC_500,Bog_500,Fen_500,GrassHerb_500,Jackpine_500,JackpineMixC_500,JackpineMixCD_500,JackpineMixWet_500,Marsh_500,Shrub_500,Swamp_500,Tamarack_500,TamarackMixCD_500,TamarackMixDC_500,Tremblingaspen_500,TremblingaspenMixCD_500,TremblingaspenMixD_500,TremblingaspenMixDC_500,Water_500,Whitebirch_500,WhitebirchMixD_500,WhitebirchMixDC_500,WhitebirchMixWet_500,Whitespruce_500,WhitespruceMixC_500,WhitespruceMixCD_500,WhitespruceMixWet_500,wtage_500
1,BG_15_1,281111.3499,64507.57803,0,0,0,0,192087.5897,0,0,157680.793,0,4749.180324,0,0,0,0,85209.40716,0,0,0,0,0,32.19649678,0,0,0,0,0,0,98.342723
2,BG_15_10,241431.5534,243425.6846,0,0,0,0,107150.1876,0,36025.14886,34345.68633,0,0,0,31707.54774,46159.22018,0,45131.28182,0,0,0,0,0,0,0,0,0,0,0,0,86.91277259
3,BG_15_100,267110.8003,44826.32604,0,0,0,0,76384.26551,0,0,60742.991,0,0,0,60535.47712,0,0,255091.538,0,0,14250.72898,0,0,0,6435.823817,0,0,0,0,0,89.16666667
4,BG_15_11,103876.1669,338523.492,0,0,0,0,205514.2277,0,0,66947.15951,0,0,0,0,0,0,70515.92222,0,0,0,0,0,0,0,0,0,0,0,0,88.83957219
5,BG_15_12,285415.3366,293944.4972,0,0,0,0,69290.81389,0,116494.9495,5503.177078,0,0,0,0,0,0,14729.91659,0,0,0,0,0,0,0,0,0,0,0,0,93.0969163
6,BG_15_13,405976.7775,110054.7312,0,0,0,0,66480.00867,0,125926.8203,0,0,0,0,0,0,0,69227.06326,0,0,7713.968285,0,0,0,0,0,0,0,0,0,100.5
7,BG_15_14,448605.8074,86931.05134,0,0,0,0,215272.6229,0,17698.83424,0,0,0,0,0,0,0,6924.964657,0,0,9943.470908,0,0,0,0,0,0,0,0,0,99.66225166
8,BG_15_15,248720.4014,37473.43627,0,0,0,0,303688.8203,0,44421.09783,116784.5825,0,0,0,0,0,0,34290.13393,0,0,0,0,0,0,0,0,0,0,0,0,93.19463087
9,BG_15_16,165693.6482,12203.97454,0,0,0,0,132170.6823,0,49292.65508,237540.8963,0,4011.383496,0,40167.76655,61243.12266,0,83051.77251,0,0,0,0,0,0,0,0,0,0,0,0,89.88145897
10,BG_15_17,251845.2194,36083.99822,0,0,0,82282.36339,190964.2163,0,20532.06146,50551.74034,0,16258.29398,0,37569.74263,49006.73205,0,25233.53647,0,0,0,25051.49195,0,0,0,0,0,0,0,0,93.68438538
11,BG_15_18,111185.7615,0,0,0,0,232101.2721,64047.6913,0,11486.07148,18904.10914,0,0,0,23113.82661,0,0,13920.85289,0,0,0,310618.444,0,0,0,0,0,0,0,0,90.37931034
12,BG_15_19,167105.4672,106805.729,0,0,0,58544.11355,63112.90439,0,16336.59678,14680.55052,0,0,2337.910263,77272.23962,20927.12022,0,123830.1637,0,0,0,124917.09,9509.890983,0,0,0,0,0,0,0,84.28688525
13,BG_15_2,471444.6463,74537.04908,0,0,0,0,100657.2311,21390.00331,0,0,0,0,0,0,0,0,117349.0779,0,0,0,0,0,0,0,0,0,0,0,0,107.2442748
14,BG_15_20,114619.6601,221586.8824,0,0,0,0,178454.1383,0,0,49597.7534,0,0,0,0,20627.09395,0,198895.5764,0,0,0,0,1594.920779,0,0,0,0,0,0,0,81.83154122
15,BG_15_21,72609.21998,298697.9582,0,1829.566082,2606.057264,0,165859.7986,0,0,108944.2143,0,0,0,0,0,0,134828.8901,0,0,0,0,0,0,0,0,0,0,0,0,87.41463415
16,BG_15_22,50955.57953,396749.3563,0,0,0,0,106392.6775,0,117083.587,12190.35906,0,0,0,0,0,0,92038.64719,0,0,0,0,0,9968.470505,0,0,0,0,0,0,89.63380282
17,BG_15_23,175528.879,152319.854,0,1971.93282,196.98,0,47723.46137,0,124473.0864,99719.23822,0,0,0,0,0,0,176214.3397,0,0,0,0,0,7228.734594,0,0,0,0,0,0,94.64263323
18,BG_15_24,373589.989,115052.1234,0,1971.93282,196.98,22158.39534,119074.9815,0,25361.55297,90265.38087,0,0,0,12526.79285,0,3098.086065,22082.22406,0,0,0,0,0,0,0,0,0,0,0,0,98.34466019
19,BG_15_26,152009.1977,8249.917291,0,0,3505.707818,2951.888148,226548.7176,0,51078.93848,51257.52606,0,9222.076558,961.8457686,159050.0486,2185.347552,0,107271.0196,8307.271647,0,0,2778.926607,0,0,0,0,0,0,0,0,85.63911846
20,BG_15_27,229102.2628,20897.25722,0,0,3498.106751,114571.4306,178372.6063,0,51327.54724,3583.119779,0,16258.29398,961.8457686,150716.1937,0,0,4317.510243,0,0,0,11772.23298,0,0,0,0,0,0,0,0,86.66497462
21,BG_15_28,98886.80105,23122.87825,0,0,0,267164.5353,66291.77499,0,2079.819291,18742.60359,0,0,4159.469838,139822.2385,0,0,46085.22707,0,0,0,119020.0552,0,0,0,0,0,0,0,0,87.30508475
22,BG_15_29,242102.2429,58940.07499,0,0,0,57731.94326,40500.68123,0,16342.48242,29673.44893,0,0,5071.395023,68807.84474,11941.14433,0,187090.4056,0,0,16289.99837,31895.18669,16042.70442,0,0,0,2947.207137,0,0,0,87.33333333
23,BG_15_3,486432.1223,635.6446428,0,0,0,0,13581.99232,1529.087139,4839.466681,0,0,0,0,0,0,0,139726.243,0,0,72238.34767,0,0,0,0,0,26188.74305,0,0,40206.73861,115.4556962
24,BG_15_30,252095.0705,47391.53966,0,0,0,0,21699.25997,0,44225.17202,12968.99684,0,0,0,0,21264.52297,0,304871.214,0,0,10244.15075,0,15790.05179,0,0,0,22611.62788,0,0,32215.86436,87.49642005
