OBJECTID,SiteName,data_set,site,station,Buffer,Veg_Type,Origin_Year,Origin_Source,General_Source,PreBackfill_Source,Backfill_Required,Backfill_Method,PostBackfill_Source,Moisture_Reg,Moisture_Source,Pct_of_Larch,NSRNAME,NRNAME,Soil_Type_1,LUF_NAME,HUC_8,BASIN,CWCS_Class,CWCS_Extent,GWA_NAME,FEATURE_TY,YEAR,ORIG_FID,Veg_Moist_preBkfSrs,Combined,Combined2,Combined_ChgByCWCS,UplandGene,Fire_Year,UID,Shape_Length,Shape_Area
1,BG_15_100,BG,15,100,50,Black spruce,1950,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,,,Green Area,,0,42525238,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31698401,45.25684147,48.18525822
2,BG_15_100,BG,15,100,50,Black spruce,1950,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,Fen,ALP,Green Area,,0,42525286,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31698866,68.82944794,60.67721706
3,BG_15_100,BG,15,100,50,Jack pine,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,,,Green Area,,0,42532523,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,31783970,286.3047355,2386.073514
4,BG_15_100,BG,15,100,50,Jack pine,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,Fen,ALP,Green Area,,0,42532638,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,31785853,131.9124364,1008.208258
5,BG_15_100,BG,15,100,50,Trembling aspen,1910,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,,,Green Area,,0,42543992,Trembling aspen::m::AVIE,Decid,Decid,Decid,Decid,0,31911742,66.33936551,132.2692378
6,BG_15_100,BG,15,100,50,Jack pine,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,,,Green Area,LOW-IMPACT-SEISMIC,2012,42878156,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,35509543,200.6405332,290.9790603
7,BG_15_100,BG,15,100,50,Jack pine,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,,,Green Area,,0,42532523,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,71611802,255.5645849,3915.073856
8,BG_15_100,BG,15,100,50,Trembling aspen,1910,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,,,Green Area,,0,42543992,Trembling aspen::m::AVIE,Decid,Decid,Decid,Decid,0,71613342,7.603269144,2.458032279
9,BG_15_100,BG,15,100,50,Trembling aspen,1910,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,,,Green Area,LOW-IMPACT-SEISMIC,2012,42883489,Trembling aspen::m::AVIE,Decid,Decid,Decid,Decid,0,71673320,12.53400905,8.817478249
10,BG_15_11,BG,15,11,50,Black spruce MixCD,1930,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,3,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,,0,41915341,Black spruce MixCD::w::AVIE,TreedBog-BSpr,TreedFen-Larch,TreedFen-Larch,Decid,0,31459691,249.069942,1560.992003
11,BG_15_11,BG,15,11,50,Jack pine,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,,0,41929908,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,31613929,175.9107872,1683.752854
