"","SS","EASTING","NORTHING","X","ALFL_mean","AMCR_mean","AMRE_mean","AMRO_mean","BADO_mean","BARS_mean","BAWW_mean","BBMA_mean","BBWA_mean","BCCH_mean","BCFR_mean","BEAV_mean","BHCO_mean","BHVI_mean","BLJA_mean","BOCH_mean","BOWA_mean","BRCR_mean","BTNW_mean","CANG_mean","CATO_mean","CAWA_mean","CCSP_mean","CEDW_mean","CHSP_mean","CMWA_mean","COGR_mean","COLO_mean","CONI_mean","CONW_mean","CORA_mean","COYE_mean","CRCH_mean","DEJU_mean","DOWO_mean","EAKI_mean","EVGR_mean","GCKI_mean","GRAJ_mean","GRYE_mean","HAWO_mean","HEBA_mean","HENO_mean","HERA_mean","HETH_mean","HEWI_mean","HOAR_mean","KILL_mean","LCSP_mean","LEFL_mean","LEYE_mean","LIBA_mean","LINO_mean","LIRA_mean","LISP_mean","LIWI_mean","MAWA_mean","MOBA_mean","MONO_mean","MORA_mean","MOWA_mean","MOWI_mean","NOFL_mean","NONE_mean","NOWA_mean","NSWO_mean","OCWA_mean","OSFL_mean","OVEN_mean","PAWA_mean","PBGR_mean","PHVI_mean","PIWO_mean","PUFI_mean","RBGR_mean","RBGU_mean","RBNU_mean","RCKI_mean","RESQ_mean","REVI_mean","RNGR_mean","RUGR_mean","RWBL_mean","SAVS_mean","SORA_mean","SOSA_mean","SOSP_mean","SPSA_mean","SWSP_mean","SWTH_mean","TEWA_mean","TRES_mean","UNBL_mean","UNDU_mean","UNKN_mean","UNPA_mean","UNSH_mean","UNSW_mean","UNTH_mean","UNTR_mean","UNVI_mean","UNWA_mean","UNWO_mean","UNYE_mean","WAVI_mean","WETA_mean","WEWP_mean","WISN_mean","WIWA_mean","WIWR_mean","WOFR_mean","WTDE_mean","WTSP_mean","YBFL_mean","YBSA_mean","YRWA_mean","ALFL_max","AMCR_max","AMRE_max","AMRO_max","BADO_max","BARS_max","BAWW_max","BBMA_max","BBWA_max","BCCH_max","BCFR_max","BEAV_max","BHCO_max","BHVI_max","BLJA_max","BOCH_max","BOWA_max","BRCR_max","BTNW_max","CANG_max","CATO_max","CAWA_max","CCSP_max","CEDW_max","CHSP_max","CMWA_max","COGR_max","COLO_max","CONI_max","CONW_max","CORA_max","COYE_max","CRCH_max","DEJU_max","DOWO_max","EAKI_max","EVGR_max","GCKI_max","GRAJ_max","GRYE_max","HAWO_max","HEBA_max","HENO_max","HERA_max","HETH_max","HEWI_max","HOAR_max","KILL_max","LCSP_max","LEFL_max","LEYE_max","LIBA_max","LINO_max","LIRA_max","LISP_max","LIWI_max","MAWA_max","MOBA_max","MONO_max","MORA_max","MOWA_max","MOWI_max","NOFL_max","NONE_max","NOWA_max","NSWO_max","OCWA_max","OSFL_max","OVEN_max","PAWA_max","PBGR_max","PHVI_max","PIWO_max","PUFI_max","RBGR_max","RBGU_max","RBNU_max","RCKI_max","RESQ_max","REVI_max","RNGR_max","RUGR_max","RWBL_max","SAVS_max","SORA_max","SOSA_max","SOSP_max","SPSA_max","SWSP_max","SWTH_max","TEWA_max","TRES_max","UNBL_max","UNDU_max","UNKN_max","UNPA_max","UNSH_max","UNSW_max","UNTH_max","UNTR_max","UNVI_max","UNWA_max","UNWO_max","UNYE_max","WAVI_max","WETA_max","WEWP_max","WISN_max","WIWA_max","WIWR_max","WOFR_max","WTDE_max","WTSP_max","YBFL_max","YBSA_max","YRWA_max"
"1","BG_15_1",489545,6131573,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0.25,0,0.75,0,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","BG_15_10",494935,6131575,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,1.33333333333333,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0.333333333333333,0,0,0,0.333333333333333,0.666666666666667,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"3","BG_15_100",494943,6136970,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0.25,0.5,0,0.5,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.75,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2
"4","BG_15_11",489535,6132175,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"5","BG_15_12",490129,6132179,5,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,1.5,0,0,0,0,0,0,0.5,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"6","BG_15_13",490733,6132185,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.75,0.25,0,0,0.25,0.5,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"7","BG_15_14",491338,6132174,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"8","BG_15_15",491935,6132175,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.75,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"9","BG_15_16",492535,6132175,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.25,0.5,0,0.25,0.75,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,1,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2
"10","BG_15_17",493135,6132175,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.5,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
