"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_50)","SElam(LandCover_NonVeg_v1_50)","lam(Species_Pice_Mar_v1_50)","SElam(Species_Pice_Mar_v1_50)","lam(Species_Pinu_Ban_v1_50)","SElam(Species_Pinu_Ban_v1_50)","lam(Species_Popu_Bal_v1_50)","SElam(Species_Popu_Bal_v1_50)","lam(Species_Popu_Tre_v1_50)","SElam(Species_Popu_Tre_v1_50)","lam(Species_Sali_Spp_v1_50)","SElam(Species_Sali_Spp_v1_50)","lam(SpeciesGroups_Broadleaf_Spp_v1_50)","SElam(SpeciesGroups_Broadleaf_Spp_v1_50)","lam(SpeciesGroups_Needleleaf_Spp_v1_50)","SElam(SpeciesGroups_Needleleaf_Spp_v1_50)","lam(Structure_Biomass_TotalDead_v1_50)","SElam(Structure_Biomass_TotalDead_v1_50)","lam(Structure_Biomass_TotalLiveAboveGround_v1_50)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_50)","lam(Structure_Stand_Age_v1_50)","SElam(Structure_Stand_Age_v1_50)","lam(Structure_Stand_CrownClosure_v1_50)","SElam(Structure_Stand_CrownClosure_v1_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/8/13","~Julian + 1 ~ Species_Popu_Tre_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-2.19540357886066,0.406961727135503,NA,NA,NA,NA,NA,NA,NA,NA,0.948044207582917,0.291770923907529,NA,NA,NA,NA,NA,NA,NA,NA,-1.20775775840063,0.377425389703902,NA,NA,NA,NA,-0.406493358242744,0.365331612075351,0.735529687186364,0.34009294877276,0,11.0823126833433,75.1694283112535,5,98,160.338856622507,0,0.21397389047664,NA,0.21397389047664
"2","1/10/13","~Julian + 1 ~ SpeciesGroups_Broadleaf_Spp_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-2.14951898395431,0.392525716360836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.891853989145278,0.284154406873841,NA,NA,NA,NA,-1.10625739264413,0.353339610370017,NA,NA,NA,NA,-0.395626650893879,0.36230951216315,0.741359002075914,0.340808342532455,0,9.50220657813088,75.6535031839882,5,98,161.307006367976,0.968149745469304,0.131865060098011,NA,0.345838950574651
"3","8/11/13","~1 ~ Species_Popu_Tre_v1_50 + SpeciesGroups_Needleleaf_Spp_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-2.2213846745514,0.472906542161463,NA,NA,NA,NA,NA,NA,NA,NA,1.60914425613092,0.709064772456287,NA,NA,NA,NA,0.724299233857611,0.679478342977179,NA,NA,-1.50393920801128,0.494513313359459,NA,NA,NA,NA,-0.810659368388006,0.384220332962886,NA,NA,0,54.1753286892463,76.4398916516885,5,98,162.879783303377,2.54092668086983,0.0600627987092405,NA,0.405901749283892
"4","8/13","~1 ~ Species_Popu_Tre_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-2.07405288132964,0.427048571506594,NA,NA,NA,NA,NA,NA,NA,NA,0.903116292818105,0.282751499486173,NA,NA,NA,NA,NA,NA,NA,NA,-1.13092362651454,0.372241814607882,NA,NA,NA,NA,-0.804574624409743,0.381416977238124,NA,NA,0,11.3464172785858,77.4529660604143,4,98,162.905932120829,2.56707549832149,0.059282624402145,NA,0.465184373686037
"5","5/8/13","~1 ~ Species_Pice_Mar_v1_50 + Species_Popu_Tre_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-2.13527095895569,0.446186413365822,NA,NA,0.384451301594094,0.326671730850034,NA,NA,NA,NA,1.09249949019842,0.32499801056512,NA,NA,NA,NA,NA,NA,NA,NA,-1.057772386976,0.415748754117767,NA,NA,NA,NA,-0.804367621758642,0.381267465740402,NA,NA,0,17.3480625781328,76.6505703365697,5,98,163.301140673139,2.96228405063223,0.0486529271888548,NA,0.513837300874892
"6","8/12/13","~1 ~ Species_Popu_Tre_v1_50 + Structure_Biomass_TotalDead_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-2.16094249229763,0.457590099949379,NA,NA,NA,NA,NA,NA,NA,NA,0.942274202878147,0.294150390009555,NA,NA,NA,NA,NA,NA,0.24995948713545,0.194827664755908,-1.11918352355091,0.416566551609749,NA,NA,NA,NA,-0.810201038798133,0.383566761297711,NA,NA,0,16.926189361625,76.6615414186876,5,98,163.323082837375,2.98422621486819,0.0481220692968484,NA,0.56195937017174
"7","8/9/13","~1 ~ Species_Popu_Tre_v1_50 + Species_Sali_Spp_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-2.14200112400355,0.444482900065181,NA,NA,NA,NA,NA,NA,NA,NA,0.980710046114516,0.296187066465402,-0.269457509879069,0.334127862403225,NA,NA,NA,NA,NA,NA,-1.24236567880486,0.391170090186586,NA,NA,NA,NA,-0.811044220816557,0.3832571329134,NA,NA,0,13.5632807256648,76.7192123874282,5,98,163.438424774856,3.09956815234935,0.0454253320580984,NA,0.607384702229838
"8","10/12/13","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_50 + Structure_Biomass_TotalDead_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-2.15850059971827,0.455890657861812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.934472932168053,0.296129502275669,NA,NA,0.307897968421416,0.19629461131473,-1.04166781458544,0.399372506027653,NA,NA,NA,NA,-0.804679468565446,0.38132113575151,NA,NA,0,17.1298180765986,76.7942072927074,5,98,163.588414585415,3.2495579629078,0.0421432706388618,NA,0.6495279728687
"9","2/8/13","~1 ~ LandCover_NonVeg_v1_50 + Species_Popu_Tre_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-2.19829793024235,0.46879116895342,-0.248954148360312,0.245788635789402,NA,NA,NA,NA,NA,NA,1.01133102791219,0.30935189616442,NA,NA,NA,NA,NA,NA,NA,NA,-1.45261369793739,0.496624231361557,NA,NA,NA,NA,-0.806485954349439,0.382282551872938,NA,NA,0,16.4756267960538,76.8286741063301,5,98,163.65734821266,3.31849159015309,0.0407154735371051,NA,0.690243446405805
"10","9/10/13","~1 ~ Species_Sali_Spp_v1_50 + SpeciesGroups_Broadleaf_Spp_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-2.15284204613136,0.448707934574572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.322277956500857,0.340893912812714,0.99898279714631,0.310273911841145,NA,NA,NA,NA,-1.21629121297155,0.388013069983177,NA,NA,NA,NA,-0.8060119688953,0.381034288392666,NA,NA,0,13.5425502133295,76.8395972181728,5,98,163.679194436346,3.34033781383843,0.0402731540166423,NA,0.730516600422447
"11","10/11/13","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_50 + SpeciesGroups_Needleleaf_Spp_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-2.23398304347252,0.485397354185036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01479662077127,1.15008853794049,1.18953370759417,1.13394561789457,NA,NA,-1.48238360364003,0.5257760340465,NA,NA,NA,NA,-0.797269569962396,0.379463317084476,NA,NA,0,134.995569663208,76.84221595863,5,98,163.68443191726,3.34557529475299,0.0401678270510623,NA,0.77068442747351
