"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_500)","SElam(LandCover_NonVeg_v1_500)","lam(Species_Abie_Bal_v1_500)","SElam(Species_Abie_Bal_v1_500)","lam(Species_Pice_Gla_v1_500)","SElam(Species_Pice_Gla_v1_500)","lam(Species_Pice_Mar_v1_500)","SElam(Species_Pice_Mar_v1_500)","lam(Species_Pinu_Ban_v1_500)","SElam(Species_Pinu_Ban_v1_500)","lam(Species_Popu_Bal_v1_500)","SElam(Species_Popu_Bal_v1_500)","lam(Species_Popu_Tre_v1_500)","SElam(Species_Popu_Tre_v1_500)","lam(Species_Sali_Spp_v1_500)","SElam(Species_Sali_Spp_v1_500)","lam(SpeciesGroups_Broadleaf_Spp_v1_500)","SElam(SpeciesGroups_Broadleaf_Spp_v1_500)","lam(SpeciesGroups_Needleleaf_Spp_v1_500)","SElam(SpeciesGroups_Needleleaf_Spp_v1_500)","lam(Structure_Biomass_TotalDead_v1_500)","SElam(Structure_Biomass_TotalDead_v1_500)","lam(Structure_Biomass_TotalLiveAboveGround_v1_500)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_500)","lam(Structure_Stand_Age_v1_500)","SElam(Structure_Stand_Age_v1_500)","lam(Structure_Stand_CrownClosure_v1_500)","SElam(Structure_Stand_CrownClosure_v1_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/10/13","~Julian + 1 ~ SpeciesGroups_Broadleaf_Spp_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-2.02051089356301,0.36380109921024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.701152963764146,0.279667804362688,NA,NA,NA,NA,-0.900459663274717,0.344475737819945,NA,NA,NA,NA,-0.376605262921043,0.365300555936084,0.664786645650831,0.341191851370398,0,6.87996334495385,77.6897560075135,5,98,165.379512015027,0,0.0618666789523636,NA,0.0618666789523636
"2","1/8/13","~Julian + 1 ~ Species_Popu_Tre_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-2.02334713541924,0.365606675548442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.694062619888759,0.279583683803746,NA,NA,NA,NA,NA,NA,NA,NA,-0.924873815407256,0.357681106533863,NA,NA,NA,NA,-0.377056384767322,0.367089430774513,0.652888254362788,0.342015997809122,0,7.03976910394393,77.7755069126952,5,98,165.55101382539,0.171501810363452,0.056782650213889,NA,0.118649329166253
"3","9/10/13","~1 ~ Species_Sali_Spp_v1_500 + SpeciesGroups_Broadleaf_Spp_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-2.03895660336657,0.417854636589981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.512606256316755,0.357673462960456,0.869847900530228,0.291598687135129,NA,NA,NA,NA,-1.03722217920298,0.360510729999687,NA,NA,NA,NA,-0.821765486753326,0.382922616601013,NA,NA,0,10.2902857898824,77.9113447463422,5,98,165.822689492684,0.443177477657485,0.0495703558844433,NA,0.168219685050696
"4","8/9/13","~1 ~ Species_Popu_Tre_v1_500 + Species_Sali_Spp_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-2.04884234203134,0.424467360658624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.865494079923656,0.296713253631433,-0.498256567371913,0.362152465189071,NA,NA,NA,NA,NA,NA,-1.07992711488983,0.38477030475301,NA,NA,NA,NA,-0.823061015724268,0.382526860866694,NA,NA,0,10.9503008081037,78.0691392764038,5,98,166.138278552808,0.758766537780645,0.0423343351036867,NA,0.210554020154383
"5","8/13/15","~1 ~ Species_Popu_Tre_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-2.09843603055571,0.440067650169728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.873555388638992,0.30528603360521,NA,NA,NA,NA,NA,NA,NA,NA,-1.73652812010617,0.622002674977236,NA,NA,0.668935157282627,0.388467589858185,-0.804760986290213,0.377759261968129,NA,NA,0,21.3163140837907,78.0710592952395,5,98,166.142118590479,0.762606575452082,0.0422531303651504,NA,0.252807150519533
"6","10/13/15","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-2.08061271651583,0.432236375202267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.852093636461791,0.296065258300218,NA,NA,NA,NA,-1.67761635409075,0.602108855746803,NA,NA,0.657991750824082,0.383076055704723,-0.802281928491183,0.377534411134047,NA,NA,0,20.7702868761639,78.0757644269863,5,98,166.151528853973,0.772016838945717,0.0420547907928836,NA,0.294861941312417
"7","1/6","~Julian + 1 ~ Species_Pinu_Ban_v1_500 + 1",-1.82199573851846,0.305450182440048,NA,NA,NA,NA,NA,NA,NA,NA,-0.647074182743287,0.241594273526108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.362870733195842,0.363563444872847,0.675243380154351,0.3419568887197,0,6.09078794168222,79.4725266328284,4,98,166.945053265657,1.56554125062988,0.0282815911885371,NA,0.323143532500954
"8","10/13","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-1.91953927665079,0.38746842903331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.738486958121313,0.280378537041498,NA,NA,NA,NA,-0.867891713540985,0.343234935143963,NA,NA,NA,NA,-0.789833256948579,0.373807973517371,NA,NA,0,7.87022715472582,79.4923858490553,4,98,166.984771698111,1.60525968308366,0.0277254811851129,NA,0.350869013686067
"9","8/13","~1 ~ Species_Popu_Tre_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-1.92731770014055,0.390763781799141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.741839463028937,0.28170201330706,NA,NA,NA,NA,NA,NA,NA,NA,-0.910038243619603,0.360133026908816,NA,NA,NA,NA,-0.792542407473177,0.37422792073619,NA,NA,0,8.16638855016883,79.4989917790932,4,98,166.997983558186,1.61847154315942,0.0275429322128508,NA,0.378411945898917
"10","2/10/13","~1 ~ LandCover_NonVeg_v1_500 + SpeciesGroups_Broadleaf_Spp_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-2.06764316343516,0.437138775243145,-0.36330525877724,0.298836420302528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.893746339189562,0.315058204975491,NA,NA,NA,NA,-1.31940113315332,0.514925354107288,NA,NA,NA,NA,-0.806912136013158,0.3776641369104,NA,NA,0,15.0883244201757,78.5800386167222,5,98,167.160077233444,1.78056521841754,0.0253987286864848,NA,0.403810674585402
"11","10/11/14","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_500 + SpeciesGroups_Needleleaf_Spp_v1_500 + Structure_Stand_Age_v1_500 + 1",-1.93975590892568,0.393107510002211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48601614703597,0.537843776450169,1.94356425412924,0.814255550076875,NA,NA,NA,NA,-1.84929630469538,0.669401056490095,NA,NA,-0.795663432856393,0.376955481482361,NA,NA,0,69.8752836344552,78.6565425966637,5,98,167.313085193327,1.93357317830049,0.023528092697338,NA,0.42733876728274
