"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_150)","SElam(LandCover_NonVeg_v1_150)","lam(Species_Abie_Bal_v1_150)","SElam(Species_Abie_Bal_v1_150)","lam(Species_Pice_Mar_v1_150)","SElam(Species_Pice_Mar_v1_150)","lam(Species_Pinu_Ban_v1_150)","SElam(Species_Pinu_Ban_v1_150)","lam(Species_Popu_Bal_v1_150)","SElam(Species_Popu_Bal_v1_150)","lam(Species_Popu_Tre_v1_150)","SElam(Species_Popu_Tre_v1_150)","lam(SpeciesGroups_Broadleaf_Spp_v1_150)","SElam(SpeciesGroups_Broadleaf_Spp_v1_150)","lam(SpeciesGroups_Needleleaf_Spp_v1_150)","SElam(SpeciesGroups_Needleleaf_Spp_v1_150)","lam(Structure_Biomass_TotalDead_v1_150)","SElam(Structure_Biomass_TotalDead_v1_150)","lam(Structure_Biomass_TotalLiveAboveGround_v1_150)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_150)","lam(Structure_Stand_Age_v1_150)","SElam(Structure_Stand_Age_v1_150)","lam(Structure_Stand_CrownClosure_v1_150)","SElam(Structure_Stand_CrownClosure_v1_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/11/13","~Julian + 1 ~ SpeciesGroups_Needleleaf_Spp_v1_150 + Structure_Biomass_TotalLiveAboveGround_v1_150 + 1",-0.0817211105176324,0.409094642796756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.420380085101858,0.208929905368454,NA,NA,-0.4202893684591,0.182621764291222,NA,NA,NA,NA,-2.06674892613383,0.470339512099743,-0.393665963825612,0.188197778336988,0,28.9164467287029,139.843656350103,5,98,289.687312700206,0,0.105306878589979,NA,0.105306878589979
"2","1/2/13","~Julian + 1 ~ LandCover_NonVeg_v1_150 + Structure_Biomass_TotalLiveAboveGround_v1_150 + 1",-0.0949818055773897,0.407652356258136,-0.437881502697305,0.278472899992495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.561313197142745,0.201656171578236,NA,NA,NA,NA,-2.04345896017166,0.469864534810854,-0.37338717865532,0.188144342624141,0,27.1518544750016,140.149527368378,5,98,290.299054736756,0.611742036550766,0.0775565790665732,NA,0.182863457656552
"3","1/8/12","~Julian + 1 ~ Species_Popu_Tre_v1_150 + Structure_Biomass_TotalDead_v1_150 + 1",-0.0214274074930636,0.410756470507812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.340768337857743,0.209194715679177,NA,NA,NA,NA,0.278835753485444,0.122292635262557,NA,NA,NA,NA,NA,NA,-2.09460274005135,0.478931916919868,-0.425956121399805,0.186676048810568,0,36.8487816962829,140.550411166063,5,98,291.100822332126,1.41350963192059,0.051941803312948,NA,0.2348052609695
"4","1/10/12","~Julian + 1 ~ SpeciesGroups_Broadleaf_Spp_v1_150 + Structure_Biomass_TotalDead_v1_150 + 1",-0.0251602134714847,0.408532067439058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.334808004682152,0.207869142599197,NA,NA,0.272734380020599,0.123496557486612,NA,NA,NA,NA,NA,NA,-2.08879381320368,0.476369847611993,-0.427588175308157,0.18673272597098,0,36.4971330971705,140.60202691365,5,98,291.204053827299,1.51674112709367,0.049328804351752,NA,0.284134065321252
"5","1/11/12","~Julian + 1 ~ SpeciesGroups_Needleleaf_Spp_v1_150 + Structure_Biomass_TotalDead_v1_150 + 1",-0.0234958867254716,0.407599057220086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.342055909825107,0.221320604516552,0.272742903823727,0.126056769747652,NA,NA,NA,NA,NA,NA,-2.09055000187271,0.47536778334588,-0.437095079590518,0.186889677317209,0,35.0940533738602,140.728314658618,5,98,291.456629317236,1.7693166170302,0.0434764943480545,NA,0.327610559669307
"6","1/6/12","~Julian + 1 ~ Species_Pinu_Ban_v1_150 + Structure_Biomass_TotalDead_v1_150 + 1",-0.0303696408766338,0.400074457268824,NA,NA,NA,NA,NA,NA,0.279499756492116,0.187969553684317,NA,NA,NA,NA,NA,NA,NA,NA,0.422910436880919,0.145717488998514,NA,NA,NA,NA,NA,NA,-2.07063104739982,0.466983267771399,-0.432432215492235,0.187265592485922,0,32.9839044526047,140.971442819073,5,98,291.942885638146,2.25557293794077,0.0340930063806069,NA,0.361703566049914
"7","11/13","~1 ~ SpeciesGroups_Needleleaf_Spp_v1_150 + Structure_Biomass_TotalLiveAboveGround_v1_150 + 1",-0.209261230545988,0.400241554063075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40072817535432,0.214203405524933,NA,NA,-0.471121965569075,0.184583605493639,NA,NA,NA,NA,-1.87825370575885,0.463914295869765,NA,NA,0,26.7507770993482,142.043396056003,4,98,292.086792112007,2.39947941180094,0.0317260793424212,NA,0.393429645392335
"8","1/12/13","~Julian + 1 ~ Structure_Biomass_TotalDead_v1_150 + Structure_Biomass_TotalLiveAboveGround_v1_150 + 1",-0.0848616904019254,0.394673086382377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.226398340580797,0.134726175253397,-0.281209075160005,0.195977412619778,NA,NA,NA,NA,-2.00793569872264,0.459282576196543,-0.381389865089423,0.18924410214885,0,36.5852999478435,141.068827851869,5,98,292.137655703738,2.450343003532,0.0309294015809623,NA,0.424359046973297
"9","1/6/13","~Julian + 1 ~ Species_Pinu_Ban_v1_150 + Structure_Biomass_TotalLiveAboveGround_v1_150 + 1",-0.11469294906895,0.389973392212096,NA,NA,NA,NA,NA,NA,0.308980952292781,0.188703818730893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.540230629095988,0.215402787943662,NA,NA,NA,NA,-1.99870270788493,0.44956964550291,-0.378785549125532,0.190286626665069,0,24.8133836021232,141.087619938057,5,98,292.175239876113,2.48792717590732,0.0303536007946001,NA,0.454712647767897
"10","1/12","~Julian + 1 ~ Structure_Biomass_TotalDead_v1_150 + 1",-0.0553577112009762,0.384930286788709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.325874462787222,0.125560862759383,NA,NA,NA,NA,NA,NA,-2.00071507992234,0.452269441583282,-0.406605051522046,0.188564585847065,0,28.9216594740916,142.097774649815,4,98,292.19554929963,2.50823659942438,0.0300469284476278,NA,0.484759576215525
"11","2/13","~1 ~ LandCover_NonVeg_v1_150 + Structure_Biomass_TotalLiveAboveGround_v1_150 + 1",-0.198817683974108,0.403237559979619,-0.403422414546288,0.255985523734067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.60577870606482,0.203700378537873,NA,NA,NA,NA,-1.88117949690125,0.467542713120422,NA,NA,0,25.7747781577684,142.139051866918,4,98,292.278103733836,2.59079103363047,0.0288319233792567,NA,0.513591499594782
"12","1/7/12","~Julian + 1 ~ Species_Popu_Bal_v1_150 + Structure_Biomass_TotalDead_v1_150 + 1",-0.0714448377153316,0.391987639876921,NA,NA,NA,NA,NA,NA,NA,NA,-0.35318026459277,0.299395490878977,NA,NA,NA,NA,NA,NA,0.318959894784186,0.124548768044149,NA,NA,NA,NA,NA,NA,-2.03330550440545,0.457235180697177,-0.423783019752389,0.188819099213169,0,30.2413198712648,141.140834861894,5,98,292.281669723789,2.59435702358326,0.0287805620068529,NA,0.542372061601635
"13","1/10/13","~Julian + 1 ~ SpeciesGroups_Broadleaf_Spp_v1_150 + Structure_Biomass_TotalLiveAboveGround_v1_150 + 1",-0.0870238793543573,0.394826635088624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.333194205419157,0.216084163643852,NA,NA,NA,NA,-0.293470683815107,0.170047011673144,NA,NA,NA,NA,-2.01756457364484,0.458433106135185,-0.384873130094814,0.190158300116694,0,28.1554489311055,141.141464199567,5,98,292.282928399133,2.59561569892753,0.028762455013261,NA,0.571134516614896
"14","1/7/13","~Julian + 1 ~ Species_Popu_Bal_v1_150 + Structure_Biomass_TotalLiveAboveGround_v1_150 + 1",-0.129666194630891,0.384591612575518,NA,NA,NA,NA,NA,NA,NA,NA,-0.386706686862976,0.290411903509284,NA,NA,NA,NA,NA,NA,NA,NA,-0.393417911803058,0.172012205332672,NA,NA,NA,NA,-1.98366527855801,0.445357473084562,-0.387251001229659,0.190716540425152,0,24.2407992756632,141.159452448417,5,98,292.318904896834,2.6315921966285,0.0282496944734166,NA,0.599384211088312
"15","5/11/13","~1 ~ Species_Pice_Mar_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + Structure_Biomass_TotalLiveAboveGround_v1_150 + 1",-0.246705284392827,0.408675995723675,NA,NA,NA,NA,-0.332145492680469,0.264113480418509,NA,NA,NA,NA,NA,NA,NA,NA,0.653938289284044,0.290967674188887,NA,NA,-0.690427819589161,0.272103625976247,NA,NA,NA,NA,-1.89320784861071,0.466596494077386,NA,NA,0,32.2613701174006,141.221476815638,5,98,292.442953631275,2.75564093106971,0.0265507574165955,NA,0.625934968504908
"16","1/8/13","~Julian + 1 ~ Species_Popu_Tre_v1_150 + Structure_Biomass_TotalLiveAboveGround_v1_150 + 1",-0.0847271507098152,0.393061939947567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.31023006698276,0.219304588742774,NA,NA,NA,NA,NA,NA,-0.28598864662596,0.173926238741945,NA,NA,NA,NA,-2.01393564014892,0.457269834883594,-0.385494724202457,0.190445380411796,0,28.0002617587478,141.353376239329,5,98,292.706752478659,3.01943977845303,0.0232698574532382,NA,0.649204825958146
"17","2/6/13","~1 ~ LandCover_NonVeg_v1_150 + Species_Pinu_Ban_v1_150 + Structure_Biomass_TotalLiveAboveGround_v1_150 + 1",-0.217642418033534,0.409901064834574,-0.366298739830801,0.253138434556637,NA,NA,NA,NA,0.236919028865607,0.194218184074679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.727330397745511,0.237855263937645,NA,NA,NA,NA,-1.90358517824027,0.470555574315363,NA,NA,0,26.4784515261148,141.380970275514,5,98,292.761940551029,3.07462785082322,0.0226365264302057,NA,0.671841352388352
"18","1/13","~Julian + 1 ~ Structure_Biomass_TotalLiveAboveGround_v1_150 + 1",-0.11529294212302,0.375262974115741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.378767754000066,0.174912005172862,NA,NA,NA,NA,-1.94032192351974,0.438377192720466,-0.364913224421889,0.191468923640928,0,22.7762636367576,142.456160971236,4,98,292.912321942471,3.22500924226568,0.0209968855506951,NA,0.692838237939047
"19","1/11/14","~Julian + 1 ~ SpeciesGroups_Needleleaf_Spp_v1_150 + Structure_Stand_Age_v1_150 + 1",-0.0963874818635501,0.379141067170053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.653263596402734,0.265934753456869,NA,NA,NA,NA,-0.372172911230197,0.226988309504737,NA,NA,-2.00095936779402,0.440758475398786,-0.432830475369373,0.189288307581037,0,21.3513876517394,141.46922729918,5,98,292.93845459836,3.25114189815406,0.0207243179649343,NA,0.713562555903981
"20","6/12/13","~1 ~ Species_Pinu_Ban_v1_150 + Structure_Biomass_TotalDead_v1_150 + Structure_Biomass_TotalLiveAboveGround_v1_150 + 1",-0.209892470599861,0.404280646083706,NA,NA,NA,NA,NA,NA,0.347271514088319,0.196397591001186,NA,NA,NA,NA,NA,NA,NA,NA,0.255139723683784,0.145306621486603,-0.47968701901914,0.240865045501954,NA,NA,NA,NA,-1.88548843096798,0.465854606552749,NA,NA,0,40.2482118655728,141.505844717853,5,98,293.011689435705,3.32437673549958,0.0199791728406813,NA,0.733541728744662
