"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_50)","SElam(LandCover_NonVeg_v1_50)","lam(Species_Abie_Bal_v1_50)","SElam(Species_Abie_Bal_v1_50)","lam(Species_Pice_Gla_v1_50)","SElam(Species_Pice_Gla_v1_50)","lam(Species_Pinu_Ban_v1_50)","SElam(Species_Pinu_Ban_v1_50)","lam(Species_Popu_Bal_v1_50)","SElam(Species_Popu_Bal_v1_50)","lam(Species_Popu_Tre_v1_50)","SElam(Species_Popu_Tre_v1_50)","lam(SpeciesGroups_Broadleaf_Spp_v1_50)","SElam(SpeciesGroups_Broadleaf_Spp_v1_50)","lam(SpeciesGroups_Needleleaf_Spp_v1_50)","SElam(SpeciesGroups_Needleleaf_Spp_v1_50)","lam(Structure_Biomass_TotalDead_v1_50)","SElam(Structure_Biomass_TotalDead_v1_50)","lam(Structure_Biomass_TotalLiveAboveGround_v1_50)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_50)","lam(Structure_Stand_Age_v1_50)","SElam(Structure_Stand_Age_v1_50)","lam(Structure_Stand_CrownClosure_v1_50)","SElam(Structure_Stand_CrownClosure_v1_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/11/13","~Julian + 1 ~ SpeciesGroups_Needleleaf_Spp_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-0.090173150590658,0.393697905966312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.420099999379862,0.214319884997432,NA,NA,-0.366114197816787,0.184004698790598,NA,NA,NA,NA,-2.03815067151186,0.454486369229124,-0.421534303446572,0.18863114719783,0,25.622484180055,140.559622277227,5,98,291.119244554453,0,0.103523326598192,NA,0.103523326598192
"2","1/11/14","~Julian + 1 ~ SpeciesGroups_Needleleaf_Spp_v1_50 + Structure_Stand_Age_v1_50 + 1",-0.0909098759548612,0.381363469989692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.674750838613989,0.262650177843909,NA,NA,NA,NA,-0.409213402310606,0.216712355174126,NA,NA,-2.02588688980732,0.442317502467358,-0.454984358476075,0.188507444393117,0,21.3988701741792,140.995215149277,5,98,291.990430298554,0.87118574410033,0.0669672767270083,NA,0.1704906033252
"3","1/2/13","~Julian + 1 ~ LandCover_NonVeg_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-0.122207918259619,0.385361447829691,-0.367093997628007,0.252828356404203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.508113446802314,0.207780682674336,NA,NA,NA,NA,-1.9797942778813,0.446101026573096,-0.382028307160653,0.189318629420753,0,23.0917088016118,141.250526097505,5,98,292.50105219501,1.38180764055693,0.0518779137056626,NA,0.222368517030863
"4","1/8/12","~Julian + 1 ~ Species_Popu_Tre_v1_50 + Structure_Biomass_TotalDead_v1_50 + 1",-0.0338037608866932,0.396553674239252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.359467136724368,0.215345403348501,NA,NA,NA,NA,0.236786683142894,0.127349486641289,NA,NA,NA,NA,NA,NA,-2.06625274776337,0.464418294973385,-0.437592387668012,0.187798086965471,0,31.1830537808191,141.278012800365,5,98,292.55602560073,1.43678104627719,0.0504713799484686,NA,0.272839896979331
"5","1/10/12","~Julian + 1 ~ SpeciesGroups_Broadleaf_Spp_v1_50 + Structure_Biomass_TotalDead_v1_50 + 1",-0.0338518200389612,0.395168212047146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.347453151563492,0.211946417827461,NA,NA,0.231653877935609,0.128658421999576,NA,NA,NA,NA,NA,NA,-2.06262912755316,0.462950969077139,-0.439637942855441,0.187841593472781,0,30.9657649125499,141.364223960631,5,98,292.728447921262,1.60920336680863,0.046302468808463,NA,0.319142365787794
"6","1/11/12","~Julian + 1 ~ SpeciesGroups_Needleleaf_Spp_v1_50 + Structure_Biomass_TotalDead_v1_50 + 1",-0.0318498947039468,0.395761568206424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.362297248494624,0.222035018462821,0.228165492772379,0.131637448274915,NA,NA,NA,NA,NA,NA,-2.06657695531965,0.463230295389946,-0.446374106706996,0.187932206494815,0,30.1619512219487,141.380232531725,5,98,292.760465063451,1.64122050899766,0.0455671339785302,NA,0.364709499766324
"7","1/7/13","~Julian + 1 ~ Species_Popu_Bal_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-0.145153036696133,0.373868606381209,NA,NA,NA,NA,NA,NA,NA,NA,-0.419420229324816,0.298327356947139,NA,NA,NA,NA,NA,NA,NA,NA,-0.362135148841279,0.178020120118556,NA,NA,NA,NA,-1.96158813403271,0.432835888097065,-0.408805884910689,0.191205915978362,0,21.8586882256829,141.523081553465,5,98,293.04616310693,1.92691855247693,0.0395014621956569,NA,0.404210961961981
"8","1/7/12","~Julian + 1 ~ Species_Popu_Bal_v1_50 + Structure_Biomass_TotalDead_v1_50 + 1",-0.0865326124359507,0.38208123655627,NA,NA,NA,NA,NA,NA,NA,NA,-0.414903989061275,0.301678873241699,NA,NA,NA,NA,NA,NA,0.292699900623558,0.1314408745889,NA,NA,NA,NA,NA,NA,-2.01402289572312,0.446441520705416,-0.434804091011109,0.189871387030773,0,26.1066011720826,141.570902538157,5,98,293.141805076314,2.02256052186078,0.0376569188192191,NA,0.4418678807812
"9","1/10/13","~Julian + 1 ~ SpeciesGroups_Broadleaf_Spp_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-0.0796897579619753,0.387088394185257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.336697738479206,0.219415640675468,NA,NA,NA,NA,-0.252862476033366,0.173138102299849,NA,NA,NA,NA,-2.00826881216773,0.451305497800313,-0.408537684074381,0.189972609531421,0,25.8474502625607,141.678073961653,5,98,293.356147923305,2.23690336885181,0.0338299085865058,NA,0.475697789367706
"10","1/11","~Julian + 1 ~ SpeciesGroups_Needleleaf_Spp_v1_50 + 1",-0.0286812298476677,0.379986109856711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.412368818244022,0.218610144238193,NA,NA,NA,NA,NA,NA,NA,NA,-2.03454188138682,0.447170477692222,-0.457729307003131,0.188492132745363,0,21.6869833761589,142.72161529414,4,98,293.443230588281,2.32398603382734,0.032388517056991,NA,0.508086306424697
