"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_500)","SElam(LandCover_NonVeg_v1_500)","lam(Species_Abie_Bal_v1_500)","SElam(Species_Abie_Bal_v1_500)","lam(Species_Pice_Gla_v1_500)","SElam(Species_Pice_Gla_v1_500)","lam(Species_Pice_Mar_v1_500)","SElam(Species_Pice_Mar_v1_500)","lam(Species_Pinu_Ban_v1_500)","SElam(Species_Pinu_Ban_v1_500)","lam(Species_Popu_Bal_v1_500)","SElam(Species_Popu_Bal_v1_500)","lam(Species_Popu_Tre_v1_500)","SElam(Species_Popu_Tre_v1_500)","lam(Species_Sali_Spp_v1_500)","SElam(Species_Sali_Spp_v1_500)","lam(SpeciesGroups_Broadleaf_Spp_v1_500)","SElam(SpeciesGroups_Broadleaf_Spp_v1_500)","lam(SpeciesGroups_Needleleaf_Spp_v1_500)","SElam(SpeciesGroups_Needleleaf_Spp_v1_500)","lam(Structure_Biomass_TotalDead_v1_500)","SElam(Structure_Biomass_TotalDead_v1_500)","lam(Structure_Biomass_TotalLiveAboveGround_v1_500)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_500)","lam(Structure_Stand_Age_v1_500)","SElam(Structure_Stand_Age_v1_500)","lam(Structure_Stand_CrownClosure_v1_500)","SElam(Structure_Stand_CrownClosure_v1_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/3/12","~Julian + 1 ~ Species_Abie_Bal_v1_500 + Structure_Biomass_TotalDead_v1_500 + 1",-0.763232717163086,0.911341623013802,NA,NA,-2.65294298744046,2.54036307800469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.409664670758394,0.150125618216737,NA,NA,NA,NA,NA,NA,-2.0784390285806,0.503911246129302,-0.346289211293668,0.186534590862212,0,644.25246487479,136.428360696169,5,98,282.856721392339,0,0.0935588411969397,NA,0.0935588411969397
"2","2/3/13","~1 ~ LandCover_NonVeg_v1_500 + Species_Abie_Bal_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-0.841887035751399,0.902422984541499,-0.602115510071127,0.363596846803571,-2.41903989449212,2.48228491720576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.644071716448268,0.211763360095819,NA,NA,NA,NA,-1.98611783470112,0.509494495374662,NA,NA,0,535.456226999192,136.599310153541,5,98,283.198620307081,0.341898914742387,0.0788573953091247,NA,0.172416236506064
"3","1/3/13","~Julian + 1 ~ Species_Abie_Bal_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-0.983258084585174,0.888382920885127,NA,NA,-3.22822958254448,2.46742247016011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.480359709305433,0.207195058030603,NA,NA,NA,NA,-2.02284462663748,0.477069340620244,-0.333352134560756,0.188857676530392,0,523.47707934862,136.819225948191,5,98,283.638451896382,0.78173050404331,0.0632898712152853,NA,0.23570610772135
"4","3/12","~1 ~ Species_Abie_Bal_v1_500 + Structure_Biomass_TotalDead_v1_500 + 1",-0.784310280221542,0.882280665738077,NA,NA,-2.50139379564168,2.42034131935483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.432849319179681,0.147683990194746,NA,NA,NA,NA,NA,NA,-1.95436130201236,0.508691690589192,NA,NA,0,575.755662407262,138.189702398503,4,98,284.379404797006,1.52268340466702,0.0436956630573715,NA,0.279401770778721
"5","3/11/13","~1 ~ Species_Abie_Bal_v1_500 + SpeciesGroups_Needleleaf_Spp_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-0.836873964744545,0.873888107808143,NA,NA,-2.44396799184634,2.40754311387279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34678518983202,0.235329966089602,NA,NA,-0.529432162410241,0.195676906679855,NA,NA,NA,NA,-1.95438851398743,0.49743274718597,NA,NA,0,520.281829399934,137.248161778596,5,98,284.496323557192,1.63960216485327,0.0412144726895899,NA,0.320616243468311
"6","1/2/13","~Julian + 1 ~ LandCover_NonVeg_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-0.169293521264649,0.427656667441456,-0.73943465307875,0.336990486513741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.714246040255914,0.212174464388261,NA,NA,NA,NA,-2.06257373391511,0.482748372660306,-0.351743611593633,0.188184747551512,0,29.9135366400411,137.357037725195,5,98,284.71407545039,1.85735405805161,0.0369628563855411,NA,0.357579099853852
"7","3/12/13","~1 ~ Species_Abie_Bal_v1_500 + Structure_Biomass_TotalDead_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-0.834008580228535,0.882878114108871,NA,NA,-2.59130800334493,2.41398574419323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.273761493268594,0.190995320877363,-0.321563801500173,0.254581442448994,NA,NA,NA,NA,-1.96284996637619,0.507312193417977,NA,NA,0,672.126746311327,137.379180558328,5,98,284.758361116656,1.90163972431725,0.0361533890481304,NA,0.393732488901983
"8","3/13","~1 ~ Species_Abie_Bal_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-0.998958305329658,0.873985807068571,NA,NA,-3.07272756395911,2.39961734018009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.525683141238884,0.206700454852115,NA,NA,NA,NA,-1.90963524931829,0.483296102327063,NA,NA,0,481.774918266893,138.405217210588,4,98,284.810434421176,1.95371302883683,0.0352242244867831,NA,0.428956713388766
"9","3/13/15","~1 ~ Species_Abie_Bal_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-0.937546665960256,0.875116276910489,NA,NA,-2.80019669276331,2.41622370625794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.85093415802912,0.318166919964284,NA,NA,0.40797089906655,0.3061567096117,-1.92149216540995,0.484167207768941,NA,NA,0,526.967116693492,137.511790946712,5,98,285.023581893425,2.16686050108581,0.0316633640846128,NA,0.460620077473379
"10","3/6/12","~1 ~ Species_Abie_Bal_v1_500 + Species_Pinu_Ban_v1_500 + Structure_Biomass_TotalDead_v1_500 + 1",-0.768493598360723,0.889749395586431,NA,NA,-2.43314508951121,2.42582844733744,NA,NA,NA,NA,0.193621051422739,0.195993852744638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.502100501975464,0.163739578345626,NA,NA,NA,NA,NA,NA,-1.98405505818585,0.521984099346199,NA,NA,0,589.262793155828,137.696454693824,5,98,285.392909387648,2.53618799530898,0.0263244077019858,NA,0.486944485175364
