"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_150)","SElam(LandCover_NonVeg_v1_150)","lam(Species_Abie_Bal_v1_150)","SElam(Species_Abie_Bal_v1_150)","lam(Species_Pice_Gla_v1_150)","SElam(Species_Pice_Gla_v1_150)","lam(Species_Pice_Mar_v1_150)","SElam(Species_Pice_Mar_v1_150)","lam(Species_Pinu_Ban_v1_150)","SElam(Species_Pinu_Ban_v1_150)","lam(Species_Popu_Bal_v1_150)","SElam(Species_Popu_Bal_v1_150)","lam(Species_Popu_Tre_v1_150)","SElam(Species_Popu_Tre_v1_150)","lam(Species_Sali_Spp_v1_150)","SElam(Species_Sali_Spp_v1_150)","lam(SpeciesGroups_Broadleaf_Spp_v1_150)","SElam(SpeciesGroups_Broadleaf_Spp_v1_150)","lam(SpeciesGroups_Needleleaf_Spp_v1_150)","SElam(SpeciesGroups_Needleleaf_Spp_v1_150)","lam(Structure_Biomass_TotalDead_v1_150)","SElam(Structure_Biomass_TotalDead_v1_150)","lam(Structure_Biomass_TotalLiveAboveGround_v1_150)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_150)","lam(Structure_Stand_Age_v1_150)","SElam(Structure_Stand_Age_v1_150)","lam(Structure_Stand_CrownClosure_v1_150)","SElam(Structure_Stand_CrownClosure_v1_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","10/11","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + 1",-1.5478345831146,0.90804175024005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.14081963418771,3.41999570637231,7.10868505080658,3.9899903243826,NA,NA,NA,NA,NA,NA,NA,NA,-2.30477086782305,0.849436230060236,NA,NA,0,842.230575009889,66.5202508754149,4,98,141.04050175083,0,0.0335010418657611,NA,0.0335010418657611
"2","5/10/11","~1 ~ Species_Pice_Mar_v1_150 + SpeciesGroups_Broadleaf_Spp_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + 1",-1.47082829345751,0.956260743570863,NA,NA,NA,NA,NA,NA,-0.418281568930637,0.354425068069616,NA,NA,NA,NA,NA,NA,NA,NA,5.54664670118659,3.51060474412018,6.66785849517156,4.06140480755899,NA,NA,NA,NA,NA,NA,NA,NA,-2.38947808880216,0.911015169172334,NA,NA,0,1028.69598059025,65.8071924643045,5,98,141.614384928609,0.573883177779123,0.0251443935175683,NA,0.0586454353833294
"3","2/10/11","~1 ~ LandCover_NonVeg_v1_150 + SpeciesGroups_Broadleaf_Spp_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + 1",-1.59527948513953,0.989958702069772,0.929988065199684,0.754434915583939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.89423404751226,4.1126504882808,9.25501441390979,4.82622378240891,NA,NA,NA,NA,NA,NA,NA,NA,-2.38510976465234,0.924132594613726,NA,NA,0,1144.44464721751,65.8934282780788,5,98,141.786856556158,0.746354805327741,0.0230669103026656,NA,0.081712345685995
"4","10/11/15","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",-1.9638065382239,1.00588981138061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.52805203636656,4.82260896305236,11.0534014404437,5.62268253566544,NA,NA,NA,NA,NA,NA,-0.519744468284561,0.466720574948786,-2.25472823436011,0.814580745081506,NA,NA,0,1617.27841278322,65.8955848025104,5,98,141.791169605021,0.750667854190965,0.0230172195459591,NA,0.104729565231954
"5","5/14","~1 ~ Species_Pice_Mar_v1_150 + Structure_Stand_Age_v1_150 + 1",-0.902161908703392,0.754141801253277,NA,NA,NA,NA,NA,NA,-0.476604902736499,0.286753078112484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.596977807672228,0.33521375401218,NA,NA,-2.29790815452818,0.845009803462464,NA,NA,0,35.2675309321013,66.9610413238547,4,98,141.922082647709,0.881580896879427,0.0215588432149483,NA,0.126288408446902
"6","7/10/11","~1 ~ Species_Popu_Bal_v1_150 + SpeciesGroups_Broadleaf_Spp_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + 1",-1.61667095188699,0.959154277081665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.351289818939929,0.40845363603138,NA,NA,NA,NA,6.79167823556956,3.63124456895588,7.68689436405901,4.19574379774118,NA,NA,NA,NA,NA,NA,NA,NA,-2.35833501567418,0.896313096934796,NA,NA,0,937.585511283281,66.0885216265094,5,98,142.177043253019,1.13654150218883,0.018978481557144,NA,0.145266890004046
"7","9/10/11","~1 ~ Species_Sali_Spp_v1_150 + SpeciesGroups_Broadleaf_Spp_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + 1",-1.68253887441413,0.94511899064686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.296342768405741,0.280981954202499,7.0026672080966,3.743439203445,8.12350481043918,4.36506457476061,NA,NA,NA,NA,NA,NA,NA,NA,-2.30298878692183,0.847742886433433,NA,NA,0,972.663739864685,66.1010562790188,5,98,142.202112558038,1.16161080720781,0.0187420776016432,NA,0.16400896760569
"8","13","~1 ~ Structure_Biomass_TotalLiveAboveGround_v1_150 + 1",-0.826138626001075,0.730782846280832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40870164584157,0.247186540691031,NA,NA,NA,NA,-2.28867541564634,0.83090254604258,NA,NA,0,35.4349029030934,68.2094479473895,3,98,142.418895894779,1.37839414394909,0.0168168181638531,NA,0.180825785769543
"9","4/10/11","~1 ~ Species_Pice_Gla_v1_150 + SpeciesGroups_Broadleaf_Spp_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + 1",-1.46586395141645,0.928018939009162,NA,NA,NA,NA,0.203848702455693,0.256612456099464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.47421879660961,3.50769698963223,6.37856500123175,4.07659462286952,NA,NA,NA,NA,NA,NA,NA,NA,-2.35466114100729,0.874947295799413,NA,NA,0,971.745503836403,66.223285837419,5,98,142.446571674838,1.40606992400816,0.0165857115849843,NA,0.197411497354527
"10","6/10/11","~1 ~ Species_Pinu_Ban_v1_150 + SpeciesGroups_Broadleaf_Spp_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + 1",-1.51297869569837,0.958083485764738,NA,NA,NA,NA,NA,NA,NA,NA,0.233197945108023,0.303286732326998,NA,NA,NA,NA,NA,NA,6.15005257630687,3.51258146172035,6.97698510290591,4.09884624946878,NA,NA,NA,NA,NA,NA,NA,NA,-2.37489952801625,0.913070477079436,NA,NA,0,1141.89403869406,66.223518271951,5,98,142.447036543902,1.40653479307218,0.0165818569408676,NA,0.213993354295395
