"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_500)","SElam(LandCover_NonVeg_v1_500)","lam(Species_Abie_Bal_v1_500)","SElam(Species_Abie_Bal_v1_500)","lam(Species_Pice_Gla_v1_500)","SElam(Species_Pice_Gla_v1_500)","lam(Species_Pice_Mar_v1_500)","SElam(Species_Pice_Mar_v1_500)","lam(Species_Pinu_Ban_v1_500)","SElam(Species_Pinu_Ban_v1_500)","lam(Species_Sali_Spp_v1_500)","SElam(Species_Sali_Spp_v1_500)","lam(Structure_Biomass_TotalDead_v1_500)","SElam(Structure_Biomass_TotalDead_v1_500)","lam(Structure_Biomass_TotalLiveAboveGround_v1_500)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_500)","lam(Structure_Stand_Age_v1_500)","SElam(Structure_Stand_Age_v1_500)","lam(Structure_Stand_CrownClosure_v1_500)","SElam(Structure_Stand_CrownClosure_v1_500)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","3/9/14","~1 ~ Species_Abie_Bal_v1_500 + Species_Sali_Spp_v1_500 + Structure_Stand_Age_v1_500 + 1",-0.612581883539403,1.40597753481779,NA,NA,0.537951101405577,0.139817386860264,NA,NA,NA,NA,NA,NA,0.595870253188745,0.227550553357618,NA,NA,NA,NA,0.826342482508192,0.440713199350977,NA,NA,-2.87750131682212,1.50600152699751,0,332.988970745581,62.9171535550692,5,98,135.834307110138,0,0.305203265735067,NA,0.305203265735067
"2","3/9","~1 ~ Species_Abie_Bal_v1_500 + Species_Sali_Spp_v1_500 + 1",-0.580708880541385,1.1521426943144,NA,NA,0.473869656131576,0.145113257812607,NA,NA,NA,NA,NA,NA,0.33392520812049,0.184240781964601,NA,NA,NA,NA,NA,NA,NA,NA,-2.71615580082865,1.26546746701757,0,205.659175151262,65.2538662105572,4,98,138.507732421114,2.67342531097611,0.0801792973827019,NA,0.385382563117769
"3","2/3/14","~1 ~ LandCover_NonVeg_v1_500 + Species_Abie_Bal_v1_500 + Structure_Stand_Age_v1_500 + 1",-0.269922508749752,1.48778871180355,0.702332427144402,0.416939439267189,0.41899516315513,0.138970138962421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0069793138463,0.493091371650346,NA,NA,-3.15385189849997,1.58199500704372,0,412.879487297315,64.2946673635028,5,98,138.589334727006,2.75502761686718,0.076973729724416,NA,0.462356292842185
"4","3/12/14","~1 ~ Species_Abie_Bal_v1_500 + Structure_Biomass_TotalDead_v1_500 + Structure_Stand_Age_v1_500 + 1",-0.0233517188498879,2.16053694019309,NA,NA,0.457833411709717,0.136484172941513,NA,NA,NA,NA,NA,NA,NA,NA,-0.454343020156137,0.291674106025841,NA,NA,0.444291404971931,0.297510867769985,NA,NA,-3.4242658074298,2.28537283288697,0,848.246515966069,64.4201220647282,5,98,138.840244129456,3.00593701931805,0.0678981976483563,NA,0.530254490490542
"5","3/6/9","~1 ~ Species_Abie_Bal_v1_500 + Species_Pinu_Ban_v1_500 + Species_Sali_Spp_v1_500 + 1",0.0539279453592686,2.53167466515077,NA,NA,0.570689385702479,0.157052959950454,NA,NA,NA,NA,0.361118735307952,0.285753053831355,0.385508939808318,0.18858489465181,NA,NA,NA,NA,NA,NA,NA,NA,-3.48109912410826,2.68081590607951,0,1136.41001437056,64.4711766151323,5,98,138.942353230265,3.1080461201262,0.0645186893762548,NA,0.594773179866796
"6","3","~1 ~ Species_Abie_Bal_v1_500 + 1",-0.600379041757953,1.00507809960903,NA,NA,0.425851740290818,0.140120627955301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.61017383355365,1.11624823442236,0,156.148586486036,66.517996254089,3,98,139.035992508178,3.20168539803976,0.0615675718330774,NA,0.656340751699874
"7","3/14","~1 ~ Species_Abie_Bal_v1_500 + Structure_Stand_Age_v1_500 + 1",-0.619313839670111,1.04986777253491,NA,NA,0.449829769990023,0.136517259402617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40771051314793,0.345768922158045,NA,NA,-2.64993414484226,1.15440877156445,0,176.641273740509,65.6587822425797,4,98,139.317564485159,3.48325737502103,0.0534822226707238,NA,0.709822974370597
"8","3/5/14","~1 ~ Species_Abie_Bal_v1_500 + Species_Pice_Mar_v1_500 + Structure_Stand_Age_v1_500 + 1",-0.618612433821571,1.14363130255381,NA,NA,0.438930275423771,0.149504725497903,NA,NA,-0.35327208661971,0.255310532935357,NA,NA,NA,NA,NA,NA,NA,NA,0.503837166006381,0.343190380451982,NA,NA,-2.73601140452238,1.24794916442213,0,199.368438187938,64.6767429214835,5,98,139.353485842967,3.51917873282861,0.052530220536341,NA,0.762353194906938
"9","3/9/15","~1 ~ Species_Abie_Bal_v1_500 + Species_Sali_Spp_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-0.704074239543625,1.07155553535282,NA,NA,0.454220317156049,0.149483263158648,NA,NA,NA,NA,NA,NA,0.423374961653195,0.203473591650659,NA,NA,NA,NA,NA,NA,0.29136123275378,0.290140729274968,-2.61281327525088,1.17525099091843,0,175.20803212875,64.698502509487,5,98,139.397005018974,3.5626979088357,0.0513995308633195,NA,0.813752725770258
"10","3/4/9","~1 ~ Species_Abie_Bal_v1_500 + Species_Pice_Gla_v1_500 + Species_Sali_Spp_v1_500 + 1",-0.769685447527891,1.00477400022795,NA,NA,0.422787309712798,0.15874935907757,0.255824324412461,0.250637011715816,NA,NA,NA,NA,0.335726743344626,0.185736201330326,NA,NA,NA,NA,NA,NA,NA,NA,-2.54285803430181,1.10395051857358,0,157.040058400222,64.7321123397835,5,98,139.464224679567,3.62991756942864,0.0497007098128965,NA,0.863453435583154
