"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_150)","SElam(LandCover_NonVeg_v1_150)","lam(Species_Abie_Bal_v1_150)","SElam(Species_Abie_Bal_v1_150)","lam(Species_Pice_Gla_v1_150)","SElam(Species_Pice_Gla_v1_150)","lam(Species_Pice_Mar_v1_150)","SElam(Species_Pice_Mar_v1_150)","lam(Species_Pinu_Ban_v1_150)","SElam(Species_Pinu_Ban_v1_150)","lam(Species_Popu_Bal_v1_150)","SElam(Species_Popu_Bal_v1_150)","lam(Species_Popu_Tre_v1_150)","SElam(Species_Popu_Tre_v1_150)","lam(Species_Sali_Spp_v1_150)","SElam(Species_Sali_Spp_v1_150)","lam(SpeciesGroups_Broadleaf_Spp_v1_150)","SElam(SpeciesGroups_Broadleaf_Spp_v1_150)","lam(SpeciesGroups_Needleleaf_Spp_v1_150)","SElam(SpeciesGroups_Needleleaf_Spp_v1_150)","lam(Structure_Biomass_TotalDead_v1_150)","SElam(Structure_Biomass_TotalDead_v1_150)","lam(Structure_Biomass_TotalLiveAboveGround_v1_150)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_150)","lam(Structure_Stand_Age_v1_150)","SElam(Structure_Stand_Age_v1_150)","lam(Structure_Stand_CrownClosure_v1_150)","SElam(Structure_Stand_CrownClosure_v1_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1","~Julian + 1 ~ 1",3.05559270810895,22.4522478615855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.49907123631103,22.4940130801983,0.528745724615079,0.318129420216102,0,32290.3292084366,60.214900931306,3,98,126.429801862612,0,0.0145655235253138,NA,0.0145655235253138
"2","1/9","~Julian + 1 ~ Species_Sali_Spp_v1_150 + 1",-2.60087484774366,24.9082058870211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.4448817592058,104.5325941057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.41724664967404,7.78268327879577,0.478154028028638,0.32325846540891,1,376755.352638595,59.217895386749,4,98,126.435790773498,0.00598891088615972,0.0145219729517804,NA,0.0290874964770942
"3","1/2","~Julian + 1 ~ LandCover_NonVeg_v1_150 + 1",3.70416570126757,5.36078552470186,-1.09799585419674,1.25959914337707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.34670456930599,5.35737301699676,0.460329998833126,0.321953096955733,0,1905.64302895019,59.3005023140955,4,98,126.601004628191,0.17120276557911,0.0133705690383398,NA,0.042458065515434
"4","9","~1 ~ Species_Sali_Spp_v1_150 + 1",-10.382377309326,46.7602163276562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-52.5545922313566,204.94816490377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.72962041073476,5.97373440907028,NA,NA,0,1225749.75834218,60.4382619159519,3,98,126.876523831904,0.4467219692919,0.0116498854714314,NA,0.0541079509868654
"5","2","~1 ~ LandCover_NonVeg_v1_150 + 1",1.69016690015776,10.2784740801501,-1.53960289439279,1.44952384256022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.31829616914634,10.3546350232829,NA,NA,0,6058.68842178762,60.4543888173632,3,98,126.908777634726,0.478975772114467,0.0114635157393172,NA,0.0655714667261826
"6","1/2/12","~Julian + 1 ~ LandCover_NonVeg_v1_150 + Structure_Biomass_TotalDead_v1_150 + 1",3.25207607065756,1.85607346805017,-1.0826424289846,1.16682574509413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.397932833418237,0.361393276886288,NA,NA,NA,NA,NA,NA,-6.92468156887251,1.82032690439183,0.447462155325441,0.317453815309596,0,231.210195272331,58.5777387600364,5,98,127.155477520073,0.72567565746084,0.0101332237455377,NA,0.0757046904717203
"7","2/9","~1 ~ LandCover_NonVeg_v1_150 + Species_Sali_Spp_v1_150 + 1",-6.02879576546436,48.7157816635301,-0.981656522818488,1.33161479355674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-39.404584541179,114.764983356232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.32382873287135,41.6011205708453,NA,NA,1,409070.828574186,59.6609631707061,4,98,127.321926341412,0.892124478800355,0.00932403145230341,NA,0.0850287219240237
"8","2/12","~1 ~ LandCover_NonVeg_v1_150 + Structure_Biomass_TotalDead_v1_150 + 1",3.11430617334866,2.21854593249495,-1.44340182334222,1.33939792500049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.394619363727443,0.347809070321139,NA,NA,NA,NA,NA,NA,-6.75778515964889,2.17762372561396,NA,NA,0,289.923579461287,59.7019240005753,4,98,127.403848001151,0.97404613853864,0.00894982755552103,NA,0.0939785494795447
"9","1/2/9","~Julian + 1 ~ LandCover_NonVeg_v1_150 + Species_Sali_Spp_v1_150 + 1",-0.768149271705002,15.4618816191467,-0.696453001532795,1.08417173372155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.7084578295574,67.9891872818548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.40196238705754,1.40080214650426,0.433251986869088,0.325828744090286,1,165764.571346106,58.7023814998022,5,98,127.404762999604,0.974961136992405,0.00894573395281508,NA,0.10292428343236
"10","1/14","~Julian + 1 ~ Structure_Stand_Age_v1_150 + 1",3.69749602981421,2.29949135817336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.324254518808209,0.341385983566705,NA,NA,-7.18355809356703,2.30362918135685,0.491967471809493,0.320050733934451,0,358.797868294314,59.7262264748766,4,98,127.452452949753,1.02265108714126,0.00873494625086507,NA,0.111659229683225
