"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_150)","SElam(LandCover_NonVeg_v1_150)","lam(Species_Abie_Bal_v1_150)","SElam(Species_Abie_Bal_v1_150)","lam(Species_Pice_Gla_v1_150)","SElam(Species_Pice_Gla_v1_150)","lam(Species_Pice_Mar_v1_150)","SElam(Species_Pice_Mar_v1_150)","lam(Species_Pinu_Ban_v1_150)","SElam(Species_Pinu_Ban_v1_150)","lam(Species_Popu_Bal_v1_150)","SElam(Species_Popu_Bal_v1_150)","lam(Species_Popu_Tre_v1_150)","SElam(Species_Popu_Tre_v1_150)","lam(Species_Sali_Spp_v1_150)","SElam(Species_Sali_Spp_v1_150)","lam(SpeciesGroups_Broadleaf_Spp_v1_150)","SElam(SpeciesGroups_Broadleaf_Spp_v1_150)","lam(SpeciesGroups_Needleleaf_Spp_v1_150)","SElam(SpeciesGroups_Needleleaf_Spp_v1_150)","lam(Structure_Biomass_TotalDead_v1_150)","SElam(Structure_Biomass_TotalDead_v1_150)","lam(Structure_Biomass_TotalLiveAboveGround_v1_150)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_150)","lam(Structure_Stand_Age_v1_150)","SElam(Structure_Stand_Age_v1_150)","lam(Structure_Stand_CrownClosure_v1_150)","SElam(Structure_Stand_CrownClosure_v1_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","2/11/12","~1 ~ LandCover_NonVeg_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + Structure_Biomass_TotalDead_v1_150 + 1",0.914149889123781,0.366612329153852,0.443411338006576,0.113669427961916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.396261652031674,0.152472697402204,0.190122535494986,0.0863246939394108,NA,NA,NA,NA,NA,NA,-1.89712417376455,0.426726615511359,NA,NA,0,105.602292228614,283.460216539372,5,98,576.920433078743,0,0.0401956760913834,NA,0.0401956760913834
"2","10/15","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",0.883278172318798,0.351763788438073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.325922685159598,0.127374504860256,NA,NA,NA,NA,NA,NA,NA,NA,-0.22990421836991,0.0887862731937597,-1.85328220783172,0.412214769417713,NA,NA,0,57.7467895924129,284.517515098185,4,98,577.03503019637,0.114597117626772,0.0379572630827995,NA,0.0781529391741829
"3","8/15","~1 ~ Species_Popu_Tre_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",0.893144530744837,0.355057346895021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.320005870076676,0.127766878424777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.221791831317466,0.0887881286144336,-1.86303932755591,0.415947272332929,NA,NA,0,59.5034238434896,284.665155436218,4,98,577.330310872436,0.409877793693227,0.0327473005613858,NA,0.110900239735569
"4","4/10/15","~1 ~ Species_Pice_Gla_v1_150 + SpeciesGroups_Broadleaf_Spp_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",0.867158730940137,0.348043988123403,NA,NA,NA,NA,0.14480962187691,0.116629914321287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.362707161624821,0.132493999885162,NA,NA,NA,NA,NA,NA,NA,NA,-0.291336272111066,0.100741244874464,-1.84445260787165,0.407194865678699,NA,NA,0,62.4800528584082,283.77700969946,5,98,577.554019398921,0.633586320177415,0.0292818031396544,NA,0.140182042875223
"5","4/8/15","~1 ~ Species_Pice_Gla_v1_150 + Species_Popu_Tre_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",0.878476588375482,0.352487951713656,NA,NA,NA,NA,0.158623003946535,0.117077345799623,NA,NA,NA,NA,NA,NA,-0.369079320673183,0.135781937433572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.28860334496418,0.100357454003992,-1.85862820088867,0.412032073671819,NA,NA,0,65.6972769482053,283.786754943766,5,98,577.573509887532,0.653076808789024,0.0289978307518877,NA,0.169179873627111
"6","1/10/15","~Julian + 1 ~ SpeciesGroups_Broadleaf_Spp_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",0.869919338277259,0.342193720338779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.326011512212329,0.125957834909498,NA,NA,NA,NA,NA,NA,NA,NA,-0.214413870664727,0.0906657593199035,-1.83739430574191,0.40295502906485,-0.127050814421199,0.121730765149639,0,54.6259541495612,283.964233229521,5,98,577.928466459042,1.00803338029846,0.0242821798004533,NA,0.193462053427564
"7","2/10/12","~1 ~ LandCover_NonVeg_v1_150 + SpeciesGroups_Broadleaf_Spp_v1_150 + Structure_Biomass_TotalDead_v1_150 + 1",0.894029853792652,0.354313444981286,0.195196589403136,0.0703804713085807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.299314479592849,0.125394794602193,NA,NA,0.170908475195183,0.0886931118113768,NA,NA,NA,NA,NA,NA,-1.8617735796101,0.413990242655931,NA,NA,0,88.3642067969598,284.02782996512,5,98,578.05565993024,1.13522685149633,0.022785992979636,NA,0.2162480464072
"8","2/8/12","~1 ~ LandCover_NonVeg_v1_150 + Species_Popu_Tre_v1_150 + Structure_Biomass_TotalDead_v1_150 + 1",0.909554919578156,0.361182737574265,0.191687896169009,0.0711230135706084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.300496650971991,0.126231512036245,NA,NA,NA,NA,NA,NA,0.176815573762303,0.0881145609190171,NA,NA,NA,NA,NA,NA,-1.88114319757602,0.421450434627318,NA,NA,0,91.1500268419806,284.034326647762,5,98,578.068653295524,1.1482202167806,0.0226384394378093,NA,0.238886485845009
"9","7/10/15","~1 ~ Species_Popu_Bal_v1_150 + SpeciesGroups_Broadleaf_Spp_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",0.888403309953318,0.353706710100381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102965611378885,0.0987260647075665,NA,NA,NA,NA,-0.37138424364253,0.135738603693078,NA,NA,NA,NA,NA,NA,NA,NA,-0.212888648785044,0.090104824869183,-1.86354222711136,0.41341009108725,NA,NA,0,59.2366807639278,284.039529428799,5,98,578.079058857599,1.15862577885571,0.0225209624628691,NA,0.261407448307878
"10","1/8/15","~Julian + 1 ~ Species_Popu_Tre_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",0.874787703468957,0.343316975794345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.321739857066454,0.126903746056569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.206753209196253,0.0906700378101257,-1.84200160595908,0.40440816777534,-0.126723246712851,0.121539688924098,0,55.5042638915991,284.109196049271,5,98,578.218392098542,1.29795901979833,0.0210054078245126,NA,0.282412856132391
"11","10/12/15","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_150 + Structure_Biomass_TotalDead_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",0.909466984133562,0.365439880459703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.311133601526905,0.127680066065376,NA,NA,0.0690271159857258,0.0855030301327572,NA,NA,NA,NA,-0.2297061282504,0.0924890783875141,-1.88755745658965,0.426838087045101,NA,NA,0,65.5291267116019,284.203378976667,5,98,578.406757953335,1.48632487459133,0.0191173632471281,NA,0.301530219379519
"12","8/12/15","~1 ~ Species_Popu_Tre_v1_150 + Structure_Biomass_TotalDead_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",0.924433798431562,0.371753072023826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.307610792152907,0.12736154383159,NA,NA,NA,NA,NA,NA,0.0787000677012953,0.0847304597083755,NA,NA,NA,NA,-0.222152269445288,0.0928511984638642,-1.90454556211829,0.433726197556683,NA,NA,0,68.2731460656266,284.252810095529,5,98,578.505620191059,1.58518711231534,0.0181953464852685,NA,0.319725565864788
"13","10/13","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_150 + Structure_Biomass_TotalLiveAboveGround_v1_150 + 1",0.861352953852521,0.339993281544625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.299479151897662,0.130068905067271,NA,NA,NA,NA,-0.207369360947738,0.101136587163503,NA,NA,NA,NA,-1.8203883284062,0.400241095477282,NA,NA,0,52.7181460242907,285.345357057318,4,98,578.690714114635,1.77028103589191,0.0165869942933149,NA,0.336312560158103
"14","5/10/15","~1 ~ Species_Pice_Mar_v1_150 + SpeciesGroups_Broadleaf_Spp_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",0.874138641320202,0.348820118386753,NA,NA,NA,NA,NA,NA,-0.0400232189020559,0.104543408754698,NA,NA,NA,NA,NA,NA,NA,NA,-0.347008479801695,0.138455525543008,NA,NA,NA,NA,NA,NA,NA,NA,-0.22083268278558,0.0910758694732924,-1.84164652821532,0.40942253484446,NA,NA,0,57.0934938091899,284.444541847395,5,98,578.88908369479,1.9686506160466,0.0150207731828841,NA,0.351333333340987
"15","10/13/15","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_150 + Structure_Biomass_TotalLiveAboveGround_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",0.888296858179087,0.354181431533648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.317739580727405,0.129584096949687,NA,NA,NA,NA,-0.0562866660985411,0.151804859238861,NA,NA,-0.189175106519149,0.140916776349217,-1.86006516044366,0.414732897896733,NA,NA,0,75.0831232767249,284.44879308593,5,98,578.89758617186,1.97715309311627,0.0149570518363977,NA,0.366290385177384
"16","10/11/15","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",0.890795558037725,0.357055782284541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.29255721444277,0.165348110855358,0.0485914488088525,0.150553835731852,NA,NA,NA,NA,NA,NA,-0.260636880517074,0.129385530969156,-1.86580936501156,0.418717812005345,NA,NA,0,60.6593191567485,284.46366198825,5,98,578.9273239765,2.00689089775631,0.0147363021136879,NA,0.381026687291072
"17","6/10/15","~1 ~ Species_Pinu_Ban_v1_150 + SpeciesGroups_Broadleaf_Spp_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",0.888453233891415,0.354286096860588,NA,NA,NA,NA,NA,NA,NA,NA,-0.0301473625448138,0.116476668315454,NA,NA,NA,NA,NA,NA,-0.336390743310676,0.133213574621267,NA,NA,NA,NA,NA,NA,NA,NA,-0.217888071017616,0.0995120898665634,-1.85879423406088,0.414728684409776,NA,NA,0,60.2175456866677,284.484081718433,5,98,578.968163436866,2.04773035812309,0.0144384422592542,NA,0.395465129550327
