"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_500)","SElam(LandCover_NonVeg_v1_500)","lam(Species_Abie_Bal_v1_500)","SElam(Species_Abie_Bal_v1_500)","lam(Species_Pice_Gla_v1_500)","SElam(Species_Pice_Gla_v1_500)","lam(Species_Pice_Mar_v1_500)","SElam(Species_Pice_Mar_v1_500)","lam(Species_Pinu_Ban_v1_500)","SElam(Species_Pinu_Ban_v1_500)","lam(Species_Popu_Bal_v1_500)","SElam(Species_Popu_Bal_v1_500)","lam(Species_Popu_Tre_v1_500)","SElam(Species_Popu_Tre_v1_500)","lam(Species_Sali_Spp_v1_500)","SElam(Species_Sali_Spp_v1_500)","lam(SpeciesGroups_Broadleaf_Spp_v1_500)","SElam(SpeciesGroups_Broadleaf_Spp_v1_500)","lam(SpeciesGroups_Needleleaf_Spp_v1_500)","SElam(SpeciesGroups_Needleleaf_Spp_v1_500)","lam(Structure_Biomass_TotalDead_v1_500)","SElam(Structure_Biomass_TotalDead_v1_500)","lam(Structure_Biomass_TotalLiveAboveGround_v1_500)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_500)","lam(Structure_Stand_Age_v1_500)","SElam(Structure_Stand_Age_v1_500)","lam(Structure_Stand_CrownClosure_v1_500)","SElam(Structure_Stand_CrownClosure_v1_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/5/11","~Julian + 1 ~ Species_Pice_Mar_v1_500 + SpeciesGroups_Needleleaf_Spp_v1_500 + 1",0.197636550632915,0.305923638405518,NA,NA,NA,NA,NA,NA,-0.425601817669526,0.172736903063859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.585350770592792,0.20677518005219,NA,NA,NA,NA,NA,NA,NA,NA,-1.56926554823139,0.361205429720577,0.253340812248483,0.165143535732892,0,22.6097707593801,216.497557066125,5,98,442.995114132249,0,0.058133767387097,NA,0.058133767387097
"2","5/11","~1 ~ Species_Pice_Mar_v1_500 + SpeciesGroups_Needleleaf_Spp_v1_500 + 1",0.131708641408722,0.291360302018884,NA,NA,NA,NA,NA,NA,-0.445357221668939,0.173088274952527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.614679651212976,0.206124207242703,NA,NA,NA,NA,NA,NA,NA,NA,-1.46235325971981,0.347367612257431,NA,NA,0,19.9571791004894,217.652057908044,4,98,443.304115816088,0.309001683838915,0.0498114983220492,NA,0.107945265709146
"3","5/9/11","~1 ~ Species_Pice_Mar_v1_500 + Species_Sali_Spp_v1_500 + SpeciesGroups_Needleleaf_Spp_v1_500 + 1",0.103383683219728,0.290031160871531,NA,NA,NA,NA,NA,NA,-0.430225975016081,0.175456189834771,NA,NA,NA,NA,NA,NA,0.173711601369389,0.120899371561076,NA,NA,0.674947382718646,0.215179766558142,NA,NA,NA,NA,NA,NA,NA,NA,-1.45145718542519,0.343030325205584,NA,NA,0,20.0019866730203,216.723191960993,5,98,443.446383921986,0.451269789736443,0.046391293170271,NA,0.154336558879417
"4","1/6","~Julian + 1 ~ Species_Pinu_Ban_v1_500 + 1",0.245650390343401,0.307666655413834,NA,NA,NA,NA,NA,NA,NA,NA,0.333126618539266,0.131365242449548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.59305929217759,0.367118827823807,0.262788087029334,0.164423568807859,0,25.321000520065,217.851552533923,4,98,443.703105067846,0.707990935597138,0.0408028210132495,NA,0.195139379892667
"5","5/11/15","~1 ~ Species_Pice_Mar_v1_500 + SpeciesGroups_Needleleaf_Spp_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",0.13270432776502,0.296261390258617,NA,NA,NA,NA,NA,NA,-0.524705978549096,0.190149547943919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74696635333122,0.242205603047852,NA,NA,NA,NA,NA,NA,-0.200327994141726,0.173291301981504,-1.48196605801471,0.351828108520477,NA,NA,0,21.0051375865077,216.96195185934,5,98,443.923903718679,0.928789586430071,0.0365379664278285,NA,0.231677346320495
"6","1/6/9","~Julian + 1 ~ Species_Pinu_Ban_v1_500 + Species_Sali_Spp_v1_500 + 1",0.231275768861413,0.305517967424613,NA,NA,NA,NA,NA,NA,NA,NA,0.35309514771007,0.135137032325347,NA,NA,NA,NA,0.147743204927236,0.107419104146236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.59385019315755,0.362533008550173,0.276012710556699,0.163951219190584,0,24.8732749478862,217.025802544176,5,98,444.051605088353,1.05649095610363,0.034277913012071,NA,0.265955259332566
"7","6","~1 ~ Species_Pinu_Ban_v1_500 + 1",0.173952965629951,0.292312736037689,NA,NA,NA,NA,NA,NA,NA,NA,0.359335386366645,0.132010297236373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.47978240302362,0.352770776056163,NA,NA,0,22.3441996710823,219.103083953951,3,98,444.206167907901,1.21105377565209,0.0317286418543051,NA,0.297683901186871
"8","5/11/13","~1 ~ Species_Pice_Mar_v1_500 + SpeciesGroups_Needleleaf_Spp_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",0.128400719870597,0.291653860092429,NA,NA,NA,NA,NA,NA,-0.520209020327352,0.201679547177628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.696564892104788,0.233016244582199,NA,NA,-0.129870943133366,0.165838323583657,NA,NA,NA,NA,-1.46660906980136,0.346924013559875,NA,NA,0,20.3862823576821,217.327877040744,5,98,444.655754081489,1.66063994923945,0.0253410779811396,NA,0.323024979168011
"9","5/11/14","~1 ~ Species_Pice_Mar_v1_500 + SpeciesGroups_Needleleaf_Spp_v1_500 + Structure_Stand_Age_v1_500 + 1",0.127431063851626,0.290856959734926,NA,NA,NA,NA,NA,NA,-0.514875808493025,0.199203617128583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.783085565183064,0.304983573369603,NA,NA,NA,NA,-0.183928644298195,0.241869865552574,NA,NA,-1.46216918231324,0.346502451902489,NA,NA,0,22.2306978606499,217.366830794821,5,98,444.733661589641,1.7385474573922,0.024372926841345,NA,0.347397906009356
"10","6/9","~1 ~ Species_Pinu_Ban_v1_500 + Species_Sali_Spp_v1_500 + 1",0.156418863429812,0.290841209312894,NA,NA,NA,NA,NA,NA,NA,NA,0.379524635889346,0.135747787037687,NA,NA,NA,NA,0.137954711241788,0.110734228301362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.47504712762804,0.349254246148701,NA,NA,0,22.0426974025791,218.413828549977,4,98,444.827657099955,1.83254296770531,0.0232539545431482,NA,0.370651860552504
"11","4/5/11","~1 ~ Species_Pice_Gla_v1_500 + Species_Pice_Mar_v1_500 + SpeciesGroups_Needleleaf_Spp_v1_500 + 1",0.138680613055835,0.294969201829914,NA,NA,NA,NA,-0.0900173938415782,0.148454368151395,-0.512210198175403,0.206889062350775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.652514170380122,0.216370406326992,NA,NA,NA,NA,NA,NA,NA,NA,-1.47537724746522,0.351402651265686,NA,NA,0,20.770101634531,217.467977105608,5,98,444.935954211217,1.94084007896737,0.0220282704706112,NA,0.392680131023115
"12","5/11/12","~1 ~ Species_Pice_Mar_v1_500 + SpeciesGroups_Needleleaf_Spp_v1_500 + Structure_Biomass_TotalDead_v1_500 + 1",0.123577004872192,0.290440804364236,NA,NA,NA,NA,NA,NA,-0.507215253153654,0.20927968887961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.647553971236789,0.217600315819578,0.093516042755395,0.173586395034439,NA,NA,NA,NA,NA,NA,-1.45781660409101,0.345183837618959,NA,NA,0,19.8821474942848,217.504856683264,5,98,445.009713366528,2.0145992342791,0.0212306750492666,NA,0.413910806072382
"13","2/5/11","~1 ~ LandCover_NonVeg_v1_500 + Species_Pice_Mar_v1_500 + SpeciesGroups_Needleleaf_Spp_v1_500 + 1",0.13655785448233,0.292746335574784,0.0849437756194887,0.234487427661942,NA,NA,NA,NA,-0.457261919475682,0.176812080198859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6675736061173,0.255506069261379,NA,NA,NA,NA,NA,NA,NA,NA,-1.46853149892837,0.349240621329362,NA,NA,0,21.1334732945114,217.587619615682,5,98,445.175239231365,2.18012509911534,0.0195443089107414,NA,0.433455114983123
"14","5/7/11","~1 ~ Species_Pice_Mar_v1_500 + Species_Popu_Bal_v1_500 + SpeciesGroups_Needleleaf_Spp_v1_500 + 1",0.132801393206658,0.291869712882762,NA,NA,NA,NA,NA,NA,-0.433642410672032,0.177148100922374,NA,NA,-0.0634634852467773,0.180897002776685,NA,NA,NA,NA,NA,NA,0.566471727584961,0.244487685456362,NA,NA,NA,NA,NA,NA,NA,NA,-1.46326868967658,0.348006938706947,NA,NA,0,21.8338896332174,217.589361195255,5,98,445.178722390511,2.18360825826176,0.0195103005642866,NA,0.45296541554741
"15","3/5/11","~1 ~ Species_Abie_Bal_v1_500 + Species_Pice_Mar_v1_500 + SpeciesGroups_Needleleaf_Spp_v1_500 + 1",0.135486828012204,0.293126445351631,NA,NA,0.050560325495735,0.139557570703544,NA,NA,-0.4404550178327,0.172096802893594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.630486034528627,0.211468928251171,NA,NA,NA,NA,NA,NA,NA,NA,-1.46939772319475,0.349461883845009,NA,NA,0,20.3914321232743,217.589731768482,5,98,445.179463536963,2.18434940471423,0.0195030719087176,NA,0.472468487456127
