"","model","formula","lam(Int)","SElam(Int)","lam(Species_Pice_Mar_v1_150)","SElam(Species_Pice_Mar_v1_150)","lam(Species_Pinu_Ban_v1_150)","SElam(Species_Pinu_Ban_v1_150)","lam(Species_Popu_Bal_v1_150)","SElam(Species_Popu_Bal_v1_150)","lam(Species_Popu_Tre_v1_150)","SElam(Species_Popu_Tre_v1_150)","lam(SpeciesGroups_Broadleaf_Spp_v1_150)","SElam(SpeciesGroups_Broadleaf_Spp_v1_150)","lam(SpeciesGroups_Needleleaf_Spp_v1_150)","SElam(SpeciesGroups_Needleleaf_Spp_v1_150)","lam(Structure_Biomass_TotalDead_v1_150)","SElam(Structure_Biomass_TotalDead_v1_150)","lam(Structure_Biomass_TotalLiveAboveGround_v1_150)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_150)","lam(Structure_Stand_Age_v1_150)","SElam(Structure_Stand_Age_v1_150)","lam(Structure_Stand_CrownClosure_v1_150)","SElam(Structure_Stand_CrownClosure_v1_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/6/15","~Julian + 1 ~ Species_Pinu_Ban_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",1.21750495100952,0.611567616527047,NA,NA,0.386497424263746,0.126229604504559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.421763600616206,0.125392612067833,-2.6747419431255,0.662776048938504,0.279761037287441,0.128661132488693,0,134.840715359642,226.01038308137,5,98,462.02076616274,0,0.188667364031567,NA,0.188667364031567
"2","6/11/15","~1 ~ Species_Pinu_Ban_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",1.01044112752267,0.556159378495387,NA,NA,0.314792726987639,0.133104351306364,NA,NA,NA,NA,NA,NA,0.307100758238563,0.158355634923634,NA,NA,NA,NA,NA,NA,-0.515317592807109,0.151556528724696,-2.46485570636235,0.611006460983578,NA,NA,0,113.068200026147,226.299506112261,5,98,462.599012224522,0.578246061782124,0.141296773483426,NA,0.329964137514994
"3","5/6/15","~1 ~ Species_Pice_Mar_v1_150 + Species_Pinu_Ban_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",1.06163816955213,0.589353827354344,0.248343568290539,0.12926727748315,0.509016864673176,0.144491219181625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.457849514251996,0.14049886014454,-2.5153119229025,0.646591102415461,NA,NA,0,122.061323425618,226.440082003783,5,98,462.880164007566,0.859397844826162,0.122766792946077,NA,0.452730930461071
"4","6/7/15","~1 ~ Species_Pinu_Ban_v1_150 + Species_Popu_Bal_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",1.05870260282866,0.574948804723159,NA,NA,0.477245105100539,0.132209908346857,0.21087457520838,0.09901589475847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.393172590809358,0.123167491147774,-2.48813675137882,0.629968901177518,NA,NA,0,128.828223386926,226.559592125569,5,98,463.119184251139,1.09841808839866,0.108937730765717,NA,0.561668661226788
"5","1/11/15","~Julian + 1 ~ SpeciesGroups_Needleleaf_Spp_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",1.24069041909982,0.622435285477049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.398425181346273,0.151816501560899,NA,NA,NA,NA,NA,NA,-0.444459436862188,0.130604766187307,-2.69510345842082,0.674296578864075,0.28089199348154,0.128087256826017,0,137.849760828859,226.786017263002,5,98,463.572034526005,1.5512683632644,0.0868646625154132,NA,0.648533323742201
"6","11/13/15","~1 ~ SpeciesGroups_Needleleaf_Spp_v1_150 + Structure_Biomass_TotalLiveAboveGround_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",1.05655921805093,0.575057560520978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.501512406410411,0.160353185702972,NA,NA,0.373823634169539,0.175621731807756,NA,NA,-0.756775676189437,0.214544877191899,-2.50457316042957,0.630708325436999,NA,NA,0,128.60238151595,226.895938144148,5,98,463.791876288295,1.77111012555537,0.0778224868147624,NA,0.726355810556963
"7","6/15","~1 ~ Species_Pinu_Ban_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",0.954105424108498,0.504408520978792,NA,NA,0.398461933882879,0.126015786817429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.381482231599288,0.12651608915882,-2.35054144684259,0.559611576478146,NA,NA,0,86.9264188351467,228.325551619534,4,98,464.651103239068,2.63033707632809,0.0506438067421852,NA,0.776999617299149
"8","5/11/15","~1 ~ Species_Pice_Mar_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",0.942577628358752,0.508537497600283,-0.282219963065674,0.151008244950796,NA,NA,NA,NA,NA,NA,NA,NA,0.643207003229394,0.19906845206297,NA,NA,NA,NA,NA,NA,-0.527694386034473,0.155236933682216,-2.36925310280865,0.562263090559377,NA,NA,0,87.802999536209,227.383831409714,5,98,464.767662819429,2.7468966566887,0.0477766562607792,NA,0.824776273559928
"9","6/8/15","~1 ~ Species_Pinu_Ban_v1_150 + Species_Popu_Tre_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",0.972507838453966,0.525658635816511,NA,NA,0.348656059998082,0.131964286195889,NA,NA,-0.189066751494133,0.15204671710242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.360921203644979,0.125966742651611,-2.39248784548126,0.58061226714185,NA,NA,0,100.224329432967,227.510255354985,5,98,465.020510709971,2.99974454723082,0.042102756440589,NA,0.866879030000517
"10","11/12/15","~1 ~ SpeciesGroups_Needleleaf_Spp_v1_150 + Structure_Biomass_TotalDead_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",1.0589794983821,0.574237278178219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.533881826506901,0.173462819161615,-0.201233748701522,0.118793215834572,NA,NA,NA,NA,-0.504115501562472,0.140764824578711,-2.49610588567503,0.630164871844089,NA,NA,0,114.111352911227,227.643409150518,5,98,465.286818301036,3.266052138296,0.0368538251557502,NA,0.903732855156267
"11","7/11/15","~1 ~ Species_Popu_Bal_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",1.02729714416405,0.541786359633826,NA,NA,NA,NA,0.185398975591625,0.0978923352263537,NA,NA,NA,NA,0.47658898216237,0.157999481674844,NA,NA,NA,NA,NA,NA,-0.380708190655924,0.127265426138199,-2.43525708507388,0.595417976903838,NA,NA,0,118.117822611668,227.654423005062,5,98,465.308846010125,3.28807984738461,0.0364501495787745,NA,0.940183004735042
"12","6/10/15","~1 ~ Species_Pinu_Ban_v1_150 + SpeciesGroups_Broadleaf_Spp_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",0.952388295743148,0.510573359369035,NA,NA,0.354823807586279,0.133773463993434,NA,NA,NA,NA,-0.142997375913056,0.149603752472601,NA,NA,NA,NA,NA,NA,NA,NA,-0.365358538423127,0.126409688679884,-2.36197769514312,0.56514009392749,NA,NA,0,93.8968165321049,227.850732104776,5,98,465.701464209552,3.68069804681221,0.029953208950237,NA,0.970136213685279
"13","6/14/15","~1 ~ Species_Pinu_Ban_v1_150 + Structure_Stand_Age_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",1.00610676607102,0.540675680282586,NA,NA,0.383233497683396,0.125940618357796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13184285150668,0.137565068965224,-0.485431300186595,0.169388504497445,-2.42116134060169,0.598000431894606,NA,NA,0,114.971416381698,227.853721980872,5,98,465.707443961744,3.68667779900369,0.0298637863147212,NA,1
