"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_50)","SElam(LandCover_NonVeg_v1_50)","lam(Species_Abie_Bal_v1_50)","SElam(Species_Abie_Bal_v1_50)","lam(Species_Pice_Gla_v1_50)","SElam(Species_Pice_Gla_v1_50)","lam(Species_Pice_Mar_v1_50)","SElam(Species_Pice_Mar_v1_50)","lam(Species_Pinu_Ban_v1_50)","SElam(Species_Pinu_Ban_v1_50)","lam(Species_Popu_Bal_v1_50)","SElam(Species_Popu_Bal_v1_50)","lam(Species_Popu_Tre_v1_50)","SElam(Species_Popu_Tre_v1_50)","lam(Species_Sali_Spp_v1_50)","SElam(Species_Sali_Spp_v1_50)","lam(SpeciesGroups_Broadleaf_Spp_v1_50)","SElam(SpeciesGroups_Broadleaf_Spp_v1_50)","lam(SpeciesGroups_Needleleaf_Spp_v1_50)","SElam(SpeciesGroups_Needleleaf_Spp_v1_50)","lam(Structure_Biomass_TotalDead_v1_50)","SElam(Structure_Biomass_TotalDead_v1_50)","lam(Structure_Biomass_TotalLiveAboveGround_v1_50)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_50)","lam(Structure_Stand_Age_v1_50)","SElam(Structure_Stand_Age_v1_50)","lam(Structure_Stand_CrownClosure_v1_50)","SElam(Structure_Stand_CrownClosure_v1_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/5/11","~Julian + 1 ~ Species_Pice_Mar_v1_50 + SpeciesGroups_Needleleaf_Spp_v1_50 + 1",0.873396244563555,0.235720707457032,NA,NA,NA,NA,NA,NA,-0.255545708809657,0.112042743135468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.373834936668205,0.130488156589576,NA,NA,NA,NA,NA,NA,NA,NA,-1.43089604892731,0.297290486869382,0.303172511920541,0.114570361470111,0,29.0125339723217,342.065253592312,5,98,694.130507184625,0,0.145125948113798,NA,0.145125948113798
"2","1/6/13","~Julian + 1 ~ Species_Pinu_Ban_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",0.86523813981068,0.230575859885509,NA,NA,NA,NA,NA,NA,NA,NA,0.275878137991158,0.0972138370864495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.169540962639803,0.103302937089582,NA,NA,NA,NA,-1.41415975581133,0.29098934471082,0.329000809413074,0.114707033089123,0,28.8657590371256,342.384131242282,5,98,694.768262484565,0.637755299940295,0.105501410564931,NA,0.250627358678729
"3","1/6/12","~Julian + 1 ~ Species_Pinu_Ban_v1_50 + Structure_Biomass_TotalDead_v1_50 + 1",0.869644783824574,0.234650052460273,NA,NA,NA,NA,NA,NA,NA,NA,0.283542120114278,0.101753037330399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.160895201302311,0.0972675142799451,NA,NA,NA,NA,NA,NA,-1.42067366648268,0.296522472867291,0.322993096286243,0.114249027236508,0,30.1555582689798,342.493402113688,5,98,694.986804227377,0.856297042751976,0.0945807012649577,NA,0.345208059943687
"4","1/6/9","~Julian + 1 ~ Species_Pinu_Ban_v1_50 + Species_Sali_Spp_v1_50 + 1",0.853502967172156,0.231302737608561,NA,NA,NA,NA,NA,NA,NA,NA,0.225324788244266,0.0911349379029832,NA,NA,NA,NA,-0.256882449081048,0.225538283376002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.40637197125312,0.291615429937735,0.296119281221065,0.116129373825168,0,29.1947975870507,342.637980922117,5,98,695.275961844234,1.14545465960975,0.0818488818923212,NA,0.427056941836008
"5","5/11/13","~1 ~ Species_Pice_Mar_v1_50 + SpeciesGroups_Needleleaf_Spp_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",0.786495959022701,0.219005160243941,NA,NA,NA,NA,NA,NA,-0.436384620959962,0.129935526407401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.534273915138843,0.136278858130146,NA,NA,-0.262923442918929,0.117924245160246,NA,NA,NA,NA,-1.31450868289572,0.278063621594227,NA,NA,0,24.4389700508676,342.772591694221,5,98,695.545183388442,1.41467620381718,0.0715405106072068,NA,0.498597452443215
"6","1/6","~Julian + 1 ~ Species_Pinu_Ban_v1_50 + 1",0.86473191365352,0.225460238847138,NA,NA,NA,NA,NA,NA,NA,NA,0.223337007396036,0.0922339562293513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.39719595872046,0.286109082401567,0.326582743893297,0.115071377715287,0,27.3147743603778,343.794084077062,4,98,695.588168154124,1.4576609694991,0.0700193399108841,NA,0.568616792354099
"7","1/6/11","~Julian + 1 ~ Species_Pinu_Ban_v1_50 + SpeciesGroups_Needleleaf_Spp_v1_50 + 1",0.856154255409978,0.227175102933605,NA,NA,NA,NA,NA,NA,NA,NA,0.173448378669586,0.104110428623175,NA,NA,NA,NA,NA,NA,NA,NA,0.12421891811502,0.123105380358714,NA,NA,NA,NA,NA,NA,NA,NA,-1.39585434369405,0.287883886468181,0.31763544121061,0.115235566297325,0,30.087539129114,343.2621132148,5,98,696.5242264296,2.39371924497505,0.0438485806762991,NA,0.612465373030398
"8","1/6/8","~Julian + 1 ~ Species_Pinu_Ban_v1_50 + Species_Popu_Tre_v1_50 + 1",0.854422530004082,0.225726645666629,NA,NA,NA,NA,NA,NA,NA,NA,0.196109497440661,0.0973352726332709,NA,NA,-0.0948635883366455,0.112777029233912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.39113651633983,0.286114016596317,0.323169813578528,0.115194220091755,0,28.7115282778923,343.427567615322,5,98,696.855135230644,2.72462804601946,0.0371620451986928,NA,0.649627418229091
"9","1/6/10","~Julian + 1 ~ Species_Pinu_Ban_v1_50 + SpeciesGroups_Broadleaf_Spp_v1_50 + 1",0.858693875571589,0.225741583178065,NA,NA,NA,NA,NA,NA,NA,NA,0.20034098492402,0.0995935993547903,NA,NA,NA,NA,NA,NA,-0.0673719474731631,0.112821203722304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.39347584534266,0.286324193612991,0.323495912103113,0.115208521775499,0,29.0480105860578,343.611534092817,5,98,697.223068185634,3.09256100100902,0.0309174723579745,NA,0.680544890587065
"10","1/11","~Julian + 1 ~ SpeciesGroups_Needleleaf_Spp_v1_50 + 1",0.809327011124692,0.209130003423118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212386182697966,0.111647044115924,NA,NA,NA,NA,NA,NA,NA,NA,-1.32253967345335,0.266598291166853,0.336769578650935,0.116595139527615,0,21.5459269045538,344.630215103695,4,98,697.26043020739,3.12992302276564,0.0303452640757792,NA,0.710890154662844
