"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_150)","SElam(LandCover_NonVeg_v1_150)","lam(Species_Abie_Bal_v1_150)","SElam(Species_Abie_Bal_v1_150)","lam(Species_Pice_Gla_v1_150)","SElam(Species_Pice_Gla_v1_150)","lam(Species_Pice_Mar_v1_150)","SElam(Species_Pice_Mar_v1_150)","lam(Species_Pinu_Ban_v1_150)","SElam(Species_Pinu_Ban_v1_150)","lam(Species_Popu_Bal_v1_150)","SElam(Species_Popu_Bal_v1_150)","lam(Species_Popu_Tre_v1_150)","SElam(Species_Popu_Tre_v1_150)","lam(Species_Sali_Spp_v1_150)","SElam(Species_Sali_Spp_v1_150)","lam(SpeciesGroups_Broadleaf_Spp_v1_150)","SElam(SpeciesGroups_Broadleaf_Spp_v1_150)","lam(SpeciesGroups_Needleleaf_Spp_v1_150)","SElam(SpeciesGroups_Needleleaf_Spp_v1_150)","lam(Structure_Biomass_TotalDead_v1_150)","SElam(Structure_Biomass_TotalDead_v1_150)","lam(Structure_Biomass_TotalLiveAboveGround_v1_150)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_150)","lam(Structure_Stand_Age_v1_150)","SElam(Structure_Stand_Age_v1_150)","lam(Structure_Stand_CrownClosure_v1_150)","SElam(Structure_Stand_CrownClosure_v1_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","8/11/15","~1 ~ Species_Popu_Tre_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",-2.0695347314287,0.368055841271555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.72174052976155,0.611108740527271,NA,NA,NA,NA,2.16026715514023,0.744459043314163,NA,NA,NA,NA,NA,NA,-1.94720742070437,0.416249682971821,0.261589679186165,0.242547420040186,NA,NA,0,78.6472896408364,115.468107472307,5,98,240.936214944614,0,0.123467486100271,NA,0.123467486100271
"2","1/2/15","~Julian + 1 ~ LandCover_NonVeg_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",-1.91034971305569,0.330615007911905,-0.787452446707499,0.217746470738741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.80890661818777,0.35034333956364,0.0544012269394946,0.289241870776747,-0.390191243859041,0.251764960211006,0,23.2013718224624,115.563007925385,5,98,241.126015850771,0.189800906157018,0.112289167631022,NA,0.235756653731293
"3","2/6/15","~1 ~ LandCover_NonVeg_v1_150 + Species_Pinu_Ban_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",-1.99467577193623,0.344127658276313,-0.845594181246885,0.230696954577585,NA,NA,NA,NA,NA,NA,-0.398365848831661,0.265405537483077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.71992042570462,0.362014950723879,0.244844745813012,0.246545434069968,NA,NA,0,27.1046404923127,115.667668181292,5,98,241.335336362584,0.399121417970207,0.101131044077977,NA,0.33688769780927
"4","2/4/15","~1 ~ LandCover_NonVeg_v1_150 + Species_Pice_Gla_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",-2.01385538312975,0.344937359007133,-0.920555427642172,0.254053495661414,NA,NA,0.401035519865412,0.263793310834208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.12121321025547,0.43512233913494,0.246513431608988,0.246070940548705,NA,NA,0,33.4776878769381,115.750101094231,5,98,241.500202188463,0.5639872438488,0.0931288696419662,NA,0.430016567451237
"5","2/15","~1 ~ LandCover_NonVeg_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",-1.94507373320528,0.32871678601752,-0.783036525658878,0.219392232107311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.80071795872961,0.35340483286337,0.253291766151663,0.244339914986249,NA,NA,0,23.4943244253508,116.799014840152,4,98,241.598029680305,0.661814735690996,0.0886832012611894,NA,0.518699768712426
"6","10/11/15","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",-2.08049429948255,0.370450625649479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33208188182338,0.864989760105061,2.79704940407896,1.01440139154262,NA,NA,NA,NA,NA,NA,-2.04332624287129,0.452491237143907,0.236163427864438,0.249198460431475,NA,NA,0,137.442627939499,115.903527927187,5,98,241.807055854373,0.87084090975938,0.0798825472169742,NA,0.5985823159294
"7","2/7/15","~1 ~ LandCover_NonVeg_v1_150 + Species_Popu_Bal_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",-1.94081521623183,0.328449021082557,-0.851865030037773,0.243531080810026,NA,NA,NA,NA,NA,NA,NA,NA,0.177472285543784,0.171075889897545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.81968442278392,0.352641822591801,0.23375556566494,0.250410774867326,NA,NA,0,25.6993856630131,116.313386673061,5,98,242.626773346122,1.69055840150847,0.0530215614274235,NA,0.651603877356824
"8","2/13/15","~1 ~ LandCover_NonVeg_v1_150 + Structure_Biomass_TotalLiveAboveGround_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",-1.94492931178469,0.32679345788349,-0.808410895869345,0.222773793718489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.256616414851165,0.343133731340915,NA,NA,-1.99521383274646,0.438792886839738,0.246026912634992,0.246318280265969,NA,NA,0,36.5411510008398,116.519974391535,5,98,243.03994878307,2.10373383845649,0.0431253474329322,NA,0.694729224789756
"9","2/8/15","~1 ~ LandCover_NonVeg_v1_150 + Species_Popu_Tre_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",-1.94170396891087,0.326080140557957,-0.785880703752516,0.221620714772012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150062268586476,0.201336770252859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.80203405831063,0.348700396121833,0.248320901981385,0.245141467632178,NA,NA,0,22.3019831554976,116.532998640381,5,98,243.065997280762,2.12978233614839,0.0425673140475293,NA,0.737296538837285
"10","2/10/15","~1 ~ LandCover_NonVeg_v1_150 + SpeciesGroups_Broadleaf_Spp_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",-1.94299715954962,0.326384311896398,-0.794048534451024,0.223023168018103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.152776267328334,0.21131944356957,NA,NA,NA,NA,NA,NA,NA,NA,-1.8073496944055,0.349377299407581,0.247854070025341,0.245433582788425,NA,NA,0,22.330775315781,116.548607646187,5,98,243.097215292374,2.16100034775991,0.0419080392926433,NA,0.779204578129928
"11","2/12/15","~1 ~ LandCover_NonVeg_v1_150 + Structure_Biomass_TotalDead_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",-1.9482955529638,0.327306176334638,-0.928729462587906,0.310192222637989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.167711233906153,0.248744567176106,NA,NA,NA,NA,-1.93004817079132,0.401037631660723,0.253399007647076,0.244404874073894,NA,NA,0,30.8169921020875,116.550871359427,5,98,243.101742718855,2.1655277742409,0.0418132788049645,NA,0.821017856934893
"12","2/14/15","~1 ~ LandCover_NonVeg_v1_150 + Structure_Stand_Age_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",-1.9771839113605,0.338801483629967,-0.74386111669413,0.233915576755844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.160418939820179,0.25532923564952,-1.89163836452359,0.391230183648736,0.250253233190916,0.245539665910311,NA,NA,0,31.6902602350618,116.600411936776,5,98,243.200823873553,2.26460892893891,0.0397922984185422,NA,0.860810155353435
"13","2/9/15","~1 ~ LandCover_NonVeg_v1_150 + Species_Sali_Spp_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",-1.93463369703402,0.326863329840489,-0.760854538587678,0.220117007622365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.147326260908542,0.307359896092981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.76693643169877,0.3546953284049,0.25250569603507,0.244574348815733,NA,NA,0,24.2133533090203,116.646254821101,5,98,243.292509642202,2.356294697588,0.0380092861472783,NA,0.898819441500713
