"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_50)","SElam(LandCover_NonVeg_v1_50)","lam(Species_Abie_Bal_v1_50)","SElam(Species_Abie_Bal_v1_50)","lam(Species_Pice_Gla_v1_50)","SElam(Species_Pice_Gla_v1_50)","lam(Species_Pice_Mar_v1_50)","SElam(Species_Pice_Mar_v1_50)","lam(Species_Pinu_Ban_v1_50)","SElam(Species_Pinu_Ban_v1_50)","lam(Species_Popu_Bal_v1_50)","SElam(Species_Popu_Bal_v1_50)","lam(Species_Popu_Tre_v1_50)","SElam(Species_Popu_Tre_v1_50)","lam(Species_Sali_Spp_v1_50)","SElam(Species_Sali_Spp_v1_50)","lam(SpeciesGroups_Broadleaf_Spp_v1_50)","SElam(SpeciesGroups_Broadleaf_Spp_v1_50)","lam(SpeciesGroups_Needleleaf_Spp_v1_50)","SElam(SpeciesGroups_Needleleaf_Spp_v1_50)","lam(Structure_Biomass_TotalDead_v1_50)","SElam(Structure_Biomass_TotalDead_v1_50)","lam(Structure_Biomass_TotalLiveAboveGround_v1_50)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_50)","lam(Structure_Stand_Age_v1_50)","SElam(Structure_Stand_Age_v1_50)","lam(Structure_Stand_CrownClosure_v1_50)","SElam(Structure_Stand_CrownClosure_v1_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","2/12/15","~1 ~ LandCover_NonVeg_v1_50 + Structure_Biomass_TotalDead_v1_50 + Structure_Stand_CrownClosure_v1_50 + 1",-2.24195300148971,0.440840232560701,-1.02187552516462,0.475905820924147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.13390311094141,0.536183331855787,NA,NA,NA,NA,-1.83183788437926,0.632160740395153,-0.678932332617663,0.392450478652717,NA,NA,0,91.9186136735896,71.6651368442609,5,98,153.330273688522,0,0.0966849661763918,NA,0.0966849661763918
"2","1/15","~Julian + 1 ~ Structure_Stand_CrownClosure_v1_50 + 1",-1.86669877754429,0.327428317575042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.647606590938186,0.193542953876901,-0.636439818332724,0.352969166728831,-0.558558709749769,0.324076739480408,0,7.47995110431303,73.3135073605351,4,98,154.62701472107,1.2967410325484,0.0505562918409321,NA,0.147241258017324
"3","1/9/15","~Julian + 1 ~ Species_Sali_Spp_v1_50 + Structure_Stand_CrownClosure_v1_50 + 1",-1.99142611746037,0.443360408044699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.17082095385972,1.8563555402302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.643036571310444,0.188168909691472,-0.658514513472698,0.358246695680559,-0.574378881413996,0.324068297224885,0,163.110924095497,72.502001224622,5,98,155.004002449244,1.67372876072216,0.041871003270701,NA,0.189112261288025
"4","1/13/15","~Julian + 1 ~ Structure_Biomass_TotalLiveAboveGround_v1_50 + Structure_Stand_CrownClosure_v1_50 + 1",-1.91326412187265,0.339787164529179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.518064510368745,0.438968320564985,NA,NA,-1.0111172255011,0.376159798382071,-0.642778005067406,0.355557067999704,-0.555088886883083,0.325460338723368,0,21.0600549366282,72.615108644336,5,98,155.230217288672,1.89994360015024,0.0373930972393868,NA,0.226505358527412
"5","1/11/15","~Julian + 1 ~ SpeciesGroups_Needleleaf_Spp_v1_50 + Structure_Stand_CrownClosure_v1_50 + 1",-1.94079259647823,0.352302619459614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.306118922387068,0.274254103417858,NA,NA,NA,NA,NA,NA,-0.887531898101926,0.293579097401512,-0.694842968844177,0.367953899615461,-0.615836991925311,0.329867253640191,0,10.2764442569629,72.632073924728,5,98,155.264147849456,1.93387416093427,0.0367640638115673,NA,0.263269422338979
"6","1/4/15","~Julian + 1 ~ Species_Pice_Gla_v1_50 + Structure_Stand_CrownClosure_v1_50 + 1",-1.89477904931855,0.333755962588163,NA,NA,NA,NA,0.340040753603093,0.268791735921353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.777545775412255,0.221180555149798,-0.646380189437679,0.357336105777714,-0.547869633705735,0.32722922696375,0,9.04088169515416,72.6360088634072,5,98,155.272017726814,1.94174403829265,0.0366196837245605,NA,0.29988910606354
"7","1/5/15","~Julian + 1 ~ Species_Pice_Mar_v1_50 + Structure_Stand_CrownClosure_v1_50 + 1",-1.91170008082928,0.340861405999859,NA,NA,NA,NA,NA,NA,0.238004795410192,0.225822458749557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.70934884602054,0.211131127139851,-0.68109078991486,0.36402648986937,-0.601588343990237,0.327767943008611,0,7.66555103245001,72.7564999181643,5,98,155.512999836329,2.18272614780676,0.0324628009539999,NA,0.332351907017539
"8","8/11/15","~1 ~ Species_Popu_Tre_v1_50 + SpeciesGroups_Needleleaf_Spp_v1_50 + Structure_Stand_CrownClosure_v1_50 + 1",-2.08627070413892,0.383242047469804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.822469439842017,0.543529895333934,NA,NA,NA,NA,0.823487865051511,0.613311996501945,NA,NA,NA,NA,NA,NA,-1.2224751318475,0.382690626898947,-0.632622394749495,0.377087502263051,NA,NA,0,30.1852797099378,72.771796041892,5,98,155.543592083784,2.21331839526221,0.0319700243281112,NA,0.364321931345651
"9","15","~1 ~ Structure_Stand_CrownClosure_v1_50 + 1",-1.8936345170396,0.32769060867905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.648494239359756,0.192968138266819,-0.581586964742314,0.359553735590021,NA,NA,0,7.3826552760906,74.8221861590256,3,98,155.644372318051,2.31409862952938,0.030398966371747,NA,0.394720897717398
"10","1/12/15","~Julian + 1 ~ Structure_Biomass_TotalDead_v1_50 + Structure_Stand_CrownClosure_v1_50 + 1",-1.8399244061761,0.323047180357023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248679387586137,0.267502779139576,NA,NA,NA,NA,-0.564691954196514,0.197133176429351,-0.653906531396064,0.356689125973959,-0.565677241102924,0.326580701907651,0,9.47475232792899,72.8337683331674,5,98,155.667536666335,2.33726297781305,0.03004891136176,NA,0.424769809079158
