"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_500)","SElam(LandCover_NonVeg_v1_500)","lam(Species_Abie_Bal_v1_500)","SElam(Species_Abie_Bal_v1_500)","lam(Species_Pice_Gla_v1_500)","SElam(Species_Pice_Gla_v1_500)","lam(Species_Pice_Mar_v1_500)","SElam(Species_Pice_Mar_v1_500)","lam(Species_Pinu_Ban_v1_500)","SElam(Species_Pinu_Ban_v1_500)","lam(Species_Popu_Bal_v1_500)","SElam(Species_Popu_Bal_v1_500)","lam(Species_Popu_Tre_v1_500)","SElam(Species_Popu_Tre_v1_500)","lam(Species_Sali_Spp_v1_500)","SElam(Species_Sali_Spp_v1_500)","lam(SpeciesGroups_Broadleaf_Spp_v1_500)","SElam(SpeciesGroups_Broadleaf_Spp_v1_500)","lam(SpeciesGroups_Needleleaf_Spp_v1_500)","SElam(SpeciesGroups_Needleleaf_Spp_v1_500)","lam(Structure_Biomass_TotalDead_v1_500)","SElam(Structure_Biomass_TotalDead_v1_500)","lam(Structure_Biomass_TotalLiveAboveGround_v1_500)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_500)","lam(Structure_Stand_Age_v1_500)","SElam(Structure_Stand_Age_v1_500)","lam(Structure_Stand_CrownClosure_v1_500)","SElam(Structure_Stand_CrownClosure_v1_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","4/11/15","~1 ~ Species_Pice_Gla_v1_500 + SpeciesGroups_Needleleaf_Spp_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-0.0628471494480161,1.38317094211096,NA,NA,NA,NA,0.648549246206584,0.32456155987883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.962211649742123,0.395514203463171,NA,NA,NA,NA,NA,NA,-1.58941200488026,0.397655441883905,-3.2808718471885,1.44565119979494,NA,NA,0,230.285920064657,77.164135440428,5,98,164.328270880856,0,0.136944090481129,NA,0.136944090481129
"2","9/11/15","~1 ~ Species_Sali_Spp_v1_500 + SpeciesGroups_Needleleaf_Spp_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-0.155304665685783,1.36182371768996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34329392267317,0.189204217477457,NA,NA,0.845998502428624,0.359163246963195,NA,NA,NA,NA,NA,NA,-1.15782286311255,0.348768912835649,-3.24999640113138,1.41634376872012,NA,NA,0,265.332165765826,77.538913586018,5,98,165.077827172036,0.749556291180056,0.0941410884804883,NA,0.231085178961618
"3","14/15","~1 ~ Structure_Stand_Age_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-0.0104807688281149,1.35561501474534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.744278904411557,0.362228481107622,-1.33472133179321,0.385785445769222,-3.24236635047534,1.419430892203,NA,NA,0,223.408934041333,79.0078296903264,4,98,166.015659380653,1.68738849979684,0.0589022030955329,NA,0.289987382057151
"4","11/15","~1 ~ SpeciesGroups_Needleleaf_Spp_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-0.0603514453136914,1.35652278579236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65218902184126,0.295586822371004,NA,NA,NA,NA,NA,NA,-1.13513853968015,0.334381830565,-3.22525986385723,1.42010674336133,NA,NA,0,204.806734305298,79.0342333544477,4,98,166.068466708895,1.74019582803928,0.0573673215273277,NA,0.347354703584478
"5","9/14/15","~1 ~ Species_Sali_Spp_v1_500 + Structure_Stand_Age_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-0.0626710041871559,1.32026293024055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254323444260076,0.189654469655396,NA,NA,NA,NA,NA,NA,NA,NA,0.863610393370332,0.434261566367306,-1.3019612629167,0.390413659969372,-3.22761609206821,1.38197624831072,NA,NA,0,273.143867525523,78.1750277848033,5,98,166.350055569607,2.02178468875059,0.0498331487169916,NA,0.39718785230147
"6","11/14/15","~1 ~ SpeciesGroups_Needleleaf_Spp_v1_500 + Structure_Stand_Age_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",0.0563517470924359,1.56274151166908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.398962122856712,0.39806029496569,NA,NA,NA,NA,0.466757973931683,0.46589603653253,-1.36844574432167,0.407384894884902,-3.38408691896802,1.63343958399384,NA,NA,0,303.659454425419,78.5077017013476,5,98,167.015403402695,2.68713252183917,0.0357305649279374,NA,0.432918417229407
"7","11/12/15","~1 ~ SpeciesGroups_Needleleaf_Spp_v1_500 + Structure_Biomass_TotalDead_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-0.243928078758006,1.25156365248924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.938149624892763,0.44229806872532,-0.276497696869999,0.279620266824453,NA,NA,NA,NA,-1.26715044246485,0.367791138125881,-3.10282358899835,1.30410315975443,NA,NA,0,176.241502946615,78.5238439504186,5,98,167.047687900837,2.71941701998111,0.0351584234977845,NA,0.468076840727192
"8","4/14/15","~1 ~ Species_Pice_Gla_v1_500 + Structure_Stand_Age_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-0.0458004222687612,1.25690930209817,NA,NA,NA,NA,0.28986960359744,0.298304025373212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766971691027004,0.376873347553343,-1.44800531374949,0.386495061663994,-3.17554840404442,1.32099760094749,NA,NA,0,207.790369515749,78.5523203757843,5,98,167.104640751569,2.77636987071264,0.0341713580238293,NA,0.502248198751021
"9","5/11/15","~1 ~ Species_Pice_Mar_v1_500 + SpeciesGroups_Needleleaf_Spp_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-0.142146287090307,1.3491644399862,NA,NA,NA,NA,NA,NA,-0.323284411232023,0.391202716170834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.970691604679558,0.502230407193955,NA,NA,NA,NA,NA,NA,-1.2672739487939,0.378953723705386,-3.18591174319848,1.40989729948047,NA,NA,0,198.892378608627,78.677485209684,5,98,167.354970419368,3.02669953851196,0.0301511472723254,NA,0.532399346023346
"10","8/14/15","~1 ~ Species_Popu_Tre_v1_500 + Structure_Stand_Age_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",0.119239434322852,1.64446480209774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.225870149316599,0.283752484877538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.746731009667663,0.341570868790001,-1.38186326361921,0.405361180242949,-3.44608400240057,1.72239136214003,NA,NA,0,343.07046786802,78.682693361479,5,98,167.365386722958,3.03711584210191,0.0299945237341516,NA,0.562393869757498
