"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_150)","SElam(LandCover_NonVeg_v1_150)","lam(Species_Abie_Bal_v1_150)","SElam(Species_Abie_Bal_v1_150)","lam(Species_Pice_Gla_v1_150)","SElam(Species_Pice_Gla_v1_150)","lam(Species_Pice_Mar_v1_150)","SElam(Species_Pice_Mar_v1_150)","lam(Species_Pinu_Ban_v1_150)","SElam(Species_Pinu_Ban_v1_150)","lam(Species_Popu_Bal_v1_150)","SElam(Species_Popu_Bal_v1_150)","lam(Species_Popu_Tre_v1_150)","SElam(Species_Popu_Tre_v1_150)","lam(Species_Sali_Spp_v1_150)","SElam(Species_Sali_Spp_v1_150)","lam(SpeciesGroups_Broadleaf_Spp_v1_150)","SElam(SpeciesGroups_Broadleaf_Spp_v1_150)","lam(SpeciesGroups_Needleleaf_Spp_v1_150)","SElam(SpeciesGroups_Needleleaf_Spp_v1_150)","lam(Structure_Biomass_TotalDead_v1_150)","SElam(Structure_Biomass_TotalDead_v1_150)","lam(Structure_Biomass_TotalLiveAboveGround_v1_150)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_150)","lam(Structure_Stand_Age_v1_150)","SElam(Structure_Stand_Age_v1_150)","lam(Structure_Stand_CrownClosure_v1_150)","SElam(Structure_Stand_CrownClosure_v1_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/6/12","~Julian + 1 ~ Species_Pinu_Ban_v1_150 + Structure_Biomass_TotalDead_v1_150 + 1",0.144129645253339,0.245982388715176,NA,NA,NA,NA,NA,NA,NA,NA,0.296992936686586,0.154461303509139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.275339919978605,0.143472637710095,NA,NA,NA,NA,NA,NA,-1.83583165942968,0.315360848676542,-1.00781705778491,0.192691777553851,0,12.2692838592165,176.417181259644,5,98,362.834362519288,0,0.0452802039482749,NA,0.0452802039482749
"2","1/3/6","~Julian + 1 ~ Species_Abie_Bal_v1_150 + Species_Pinu_Ban_v1_150 + 1",0.176415318004753,0.240523464074089,NA,NA,0.183364499991365,0.0829771310191308,NA,NA,NA,NA,0.241279611466408,0.142780400517035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.85994668079726,0.311908993009734,-1.03913995621427,0.193526439218334,0,22.8723694964181,176.749880336518,5,98,363.499760673037,0.665398153748981,0.0324652686557347,NA,0.0777454726040096
"3","1/11","~Julian + 1 ~ SpeciesGroups_Needleleaf_Spp_v1_150 + 1",0.134172343281206,0.231001441981366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.247758494052015,0.158955581895284,NA,NA,NA,NA,NA,NA,NA,NA,-1.78419096274247,0.298106507694346,-1.0235251828259,0.193343953065699,0,9.91285443630376,177.863013431253,4,98,363.726026862505,0.891664343217599,0.0289925171225487,NA,0.106737989726558
"4","1/3/11","~Julian + 1 ~ Species_Abie_Bal_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + 1",0.154077232522138,0.234615141244047,NA,NA,0.145838391839757,0.0816859560180165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.238480533133193,0.158828383225626,NA,NA,NA,NA,NA,NA,NA,NA,-1.83057620768216,0.303383610375061,-1.04457487763646,0.194580137148215,0,21.2818045743929,176.889288788382,5,98,363.778577576764,0.944215057476356,0.0282406494336987,NA,0.134978639160257
"5","1/6","~Julian + 1 ~ Species_Pinu_Ban_v1_150 + 1",0.147456494097936,0.23404639675031,NA,NA,NA,NA,NA,NA,NA,NA,0.213744897816511,0.141081214249783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.79436066447754,0.30323325696468,-1.01361582387357,0.192389867495007,0,10.4481107120618,178.107373175885,4,98,364.214746351769,1.38038383248136,0.022707108421801,NA,0.157685747582058
"6","1/3","~Julian + 1 ~ Species_Abie_Bal_v1_150 + 1",0.134001182888547,0.227646930372596,NA,NA,0.157479772566839,0.0819383323478628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.77852438014526,0.295856829854035,-1.02379966092948,0.194476127238513,0,19.703267036592,178.169379416919,4,98,364.338758833839,1.504396314551,0.0213418894182698,NA,0.179027637000328
"7","1","~Julian + 1 ~ 1",0.112849826909209,0.223712819702678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.72790695085389,0.290079634450714,-1.00081745274634,0.193228771944905,0,8.85253065799121,179.24865341619,3,98,364.49730683238,1.66294431309251,0.0197153551525004,NA,0.198742992152828
"8","1/11/12","~Julian + 1 ~ SpeciesGroups_Needleleaf_Spp_v1_150 + Structure_Biomass_TotalDead_v1_150 + 1",0.123727692210951,0.233982287959909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22162504175751,0.162938705008083,0.145085188415325,0.130632544478987,NA,NA,NA,NA,NA,NA,-1.78950118547486,0.300622912315102,-1.01810029846799,0.193723191550732,0,11.4612721205789,177.285219400568,5,98,364.570438801136,1.73607628184828,0.0190074650071905,NA,0.217750457160019
"9","1/12","~Julian + 1 ~ Structure_Biomass_TotalDead_v1_150 + 1",0.103826379437993,0.228481508268051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.185966487435434,0.129071118999188,NA,NA,NA,NA,NA,NA,-1.74345326056733,0.294410034512016,-0.997923024343179,0.19375990807395,0,10.2957354398829,178.302522813528,4,98,364.605045627056,1.77068310776809,0.0186814001438392,NA,0.236431857303858
"10","1/8","~Julian + 1 ~ Species_Popu_Tre_v1_150 + 1",0.124704186652011,0.231124925984601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.198390216835911,0.151355876721659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.76729667378795,0.298503470034687,-1.00816263900397,0.193174227982593,0,9.95170940049518,178.312157829145,4,98,364.62431565829,1.78995313900242,0.0185022689135831,NA,0.254934126217441
