"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_150)","SElam(LandCover_NonVeg_v1_150)","lam(Species_Abie_Bal_v1_150)","SElam(Species_Abie_Bal_v1_150)","lam(Species_Pice_Gla_v1_150)","SElam(Species_Pice_Gla_v1_150)","lam(Species_Pice_Mar_v1_150)","SElam(Species_Pice_Mar_v1_150)","lam(Species_Pinu_Ban_v1_150)","SElam(Species_Pinu_Ban_v1_150)","lam(Species_Popu_Bal_v1_150)","SElam(Species_Popu_Bal_v1_150)","lam(Species_Popu_Tre_v1_150)","SElam(Species_Popu_Tre_v1_150)","lam(Species_Sali_Spp_v1_150)","SElam(Species_Sali_Spp_v1_150)","lam(SpeciesGroups_Broadleaf_Spp_v1_150)","SElam(SpeciesGroups_Broadleaf_Spp_v1_150)","lam(SpeciesGroups_Needleleaf_Spp_v1_150)","SElam(SpeciesGroups_Needleleaf_Spp_v1_150)","lam(Structure_Biomass_TotalDead_v1_150)","SElam(Structure_Biomass_TotalDead_v1_150)","lam(Structure_Biomass_TotalLiveAboveGround_v1_150)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_150)","lam(Structure_Stand_Age_v1_150)","SElam(Structure_Stand_Age_v1_150)","lam(Structure_Stand_CrownClosure_v1_150)","SElam(Structure_Stand_CrownClosure_v1_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","2/7/9","~1 ~ LandCover_NonVeg_v1_150 + Species_Popu_Bal_v1_150 + Species_Sali_Spp_v1_150 + 1",-10.5697680464355,21.5497800527666,-0.794425559707632,0.539229387694507,NA,NA,NA,NA,NA,NA,NA,NA,0.342390363417817,0.12323917613626,NA,NA,-44.251056272955,95.1735143540372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.34514161245064,0.373797581743098,NA,NA,0,769368.860391767,138.478191137171,5,98,286.956382274342,0,0.0656842593611328,NA,0.0656842593611328
"2","2/7/13","~1 ~ LandCover_NonVeg_v1_150 + Species_Popu_Bal_v1_150 + Structure_Biomass_TotalLiveAboveGround_v1_150 + 1",-0.795282413610598,0.348932702763646,-1.41784994354393,0.661992404470691,NA,NA,NA,NA,NA,NA,NA,NA,0.481685503278165,0.14851316565497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.403690074417815,0.204308996080982,NA,NA,NA,NA,-1.33258101578188,0.369759366826525,NA,NA,0,38.1136012513837,138.585900016318,5,98,287.171800032635,0.215417758293484,0.0589771708389894,NA,0.124661430200122
"3","10/11/13","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + Structure_Biomass_TotalLiveAboveGround_v1_150 + 1",-1.02361536451966,0.380180539715962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.88654877444107,1.7426291856552,5.43065234539693,2.01035392133978,NA,NA,-0.608036179153177,0.24016805899008,NA,NA,NA,NA,-1.33312639816864,0.365222512582833,NA,NA,0,472.267804092351,138.962374714632,5,98,287.924749429265,0.96836715492276,0.0404746452874116,NA,0.165136075487534
"4","1/2/6","~Julian + 1 ~ LandCover_NonVeg_v1_150 + Species_Pinu_Ban_v1_150 + 1",-0.38751140380488,0.374476756859225,-0.827020861469991,0.580942920124907,NA,NA,NA,NA,NA,NA,-0.447228375841649,0.189297243356231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.78133817631431,0.410277489287417,0.555596150888641,0.232354258266659,0,27.2102500336782,138.969012009215,5,98,287.93802401843,0.981641744087938,0.0402068927028592,NA,0.205342968190393
"5","7/9/14","~1 ~ Species_Popu_Bal_v1_150 + Species_Sali_Spp_v1_150 + Structure_Stand_Age_v1_150 + 1",-11.7601549616594,25.6384755964149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.275061386232602,0.122570671678921,NA,NA,-49.8154790095142,113.225018159795,NA,NA,NA,NA,NA,NA,NA,NA,0.416002586446617,0.233332521802821,NA,NA,-1.32287775720056,0.364216796017033,NA,NA,0,1121742.25813389,139.230480731754,5,98,288.460961463509,1.50457918916703,0.0309560890682702,NA,0.236299057258663
"6","1/6/9","~Julian + 1 ~ Species_Pinu_Ban_v1_150 + Species_Sali_Spp_v1_150 + 1",-11.5375565241642,33.2449647510947,NA,NA,NA,NA,NA,NA,NA,NA,-0.299024558058395,0.181140443904312,NA,NA,NA,NA,-50.279295622209,146.800142332671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.79113654681422,0.415193357487438,0.547119933754546,0.232909819029739,0,1457771.80467324,139.246094937633,5,98,288.492189875267,1.53580760092484,0.0304764883564646,NA,0.266775545615128
"7","1/2/7","~Julian + 1 ~ LandCover_NonVeg_v1_150 + Species_Popu_Bal_v1_150 + 1",-0.450586396014412,0.373888285654049,-0.88165167209911,0.555703118428484,NA,NA,NA,NA,NA,NA,NA,NA,0.332158745335769,0.121679571366209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.68960383739695,0.413663503511416,0.439349684045445,0.242298438409119,0,34.3307598513543,139.251020546298,5,98,288.502041092595,1.5456588182534,0.0303267421995999,NA,0.297102287814728
"8","1/6/14","~Julian + 1 ~ Species_Pinu_Ban_v1_150 + Structure_Stand_Age_v1_150 + 1",-0.307409890860916,0.332073295915009,NA,NA,NA,NA,NA,NA,NA,NA,-0.430418277833257,0.180206591211182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.455797042231659,0.222829839713608,NA,NA,-1.8105589963738,0.400728563136948,0.574163384824629,0.228013279146032,0,16.6939612857316,139.369183277885,5,98,288.738366555771,1.78198428142878,0.0269468706175897,NA,0.324049158432317
"9","2/6/9","~1 ~ LandCover_NonVeg_v1_150 + Species_Pinu_Ban_v1_150 + Species_Sali_Spp_v1_150 + 1",-10.808584166568,21.1799578298618,-0.81492725413089,0.664808122322211,NA,NA,NA,NA,NA,NA,-0.333795710709436,0.184347889412945,NA,NA,NA,NA,-45.1048187389896,93.5414928952586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.28479758571592,0.353985930764578,NA,NA,0,531735.391432048,139.404551244973,5,98,288.809102489945,1.85272021560371,0.0260104714609873,NA,0.350059629893305
"10","2/7/14","~1 ~ LandCover_NonVeg_v1_150 + Species_Popu_Bal_v1_150 + Structure_Stand_Age_v1_150 + 1",-0.744665020810325,0.330959432016637,-0.895881133817354,0.5579872216022,NA,NA,NA,NA,NA,NA,NA,NA,0.437007563894998,0.132445590802869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.407249935153503,0.261010588342203,NA,NA,-1.33584657312634,0.367002778758407,NA,NA,0,28.6854042854495,139.431027583056,5,98,288.862055166112,1.90567289177062,0.0253308461207983,NA,0.375390476014103
