"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_50)","SElam(LandCover_NonVeg_v1_50)","lam(Species_Pinu_Ban_v1_50)","SElam(Species_Pinu_Ban_v1_50)","lam(Species_Popu_Bal_v1_50)","SElam(Species_Popu_Bal_v1_50)","lam(Species_Sali_Spp_v1_50)","SElam(Species_Sali_Spp_v1_50)","lam(SpeciesGroups_Broadleaf_Spp_v1_50)","SElam(SpeciesGroups_Broadleaf_Spp_v1_50)","lam(SpeciesGroups_Needleleaf_Spp_v1_50)","SElam(SpeciesGroups_Needleleaf_Spp_v1_50)","lam(Structure_Biomass_TotalDead_v1_50)","SElam(Structure_Biomass_TotalDead_v1_50)","lam(Structure_Biomass_TotalLiveAboveGround_v1_50)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_50)","lam(Structure_Stand_Age_v1_50)","SElam(Structure_Stand_Age_v1_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/2/6","~Julian + 1 ~ LandCover_NonVeg_v1_50 + Species_Pinu_Ban_v1_50 + 1",-0.376062425860321,0.37495178866086,-0.794942642819451,0.571144759821674,-0.515021535684761,0.191302798972518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.81273057636839,0.411654480203917,0.575083969567294,0.230218877608118,0,27.3314118534445,138.236334048647,5,98,286.472668097293,0,0.241925554101362,NA,0.241925554101362
"2","1/6/14","~Julian + 1 ~ Species_Pinu_Ban_v1_50 + Structure_Stand_Age_v1_50 + 1",-0.299886000050282,0.334021097283586,NA,NA,-0.481153855309401,0.184861770306643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4011381903872,0.212199882512168,-1.82898889973605,0.402950518508337,0.587009327845429,0.227312967463868,0,17.2447338500766,139.006013517685,5,98,288.012027035371,1.53935893807767,0.112050603039427,NA,0.353976157140789
"3","1/6/9","~Julian + 1 ~ Species_Pinu_Ban_v1_50 + Species_Sali_Spp_v1_50 + 1",-6.69253097203739,17.4882628914794,NA,NA,-0.383562680009137,0.183122390916633,NA,NA,-37.100434631144,99.6416006912217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.80964419310669,0.414587037025234,0.560668474675525,0.231535240015292,0,672043.54655379,139.308056365177,5,98,288.616112730353,2.14344463306003,0.0828397264703817,NA,0.436815883611171
"4","2/6/9","~1 ~ LandCover_NonVeg_v1_50 + Species_Pinu_Ban_v1_50 + Species_Sali_Spp_v1_50 + 1",-8.12793743273291,18.2707807202135,-0.89166082084324,0.71195666680141,-0.412124410659465,0.186789895543011,NA,NA,-42.6546113309414,104.122264517907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.28565709702746,0.353258601747566,NA,NA,0,655482.144585128,139.314135930554,5,98,288.628271861107,2.1556037638141,0.0823376247640829,NA,0.519153508375253
"5","2/7/13","~1 ~ LandCover_NonVeg_v1_50 + Species_Popu_Bal_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-0.802402333468669,0.340419647661314,-1.38572491737618,0.690261437157792,NA,NA,0.435960083704275,0.152606249891793,NA,NA,NA,NA,NA,NA,NA,NA,-0.37743970925168,0.198920508045831,NA,NA,-1.28700438370647,0.355802371522888,NA,NA,0,35.4695896386274,139.60954058856,5,98,289.21908117712,2.74641307982739,0.0612781607576238,NA,0.580431669132877
"6","2/7/9","~1 ~ LandCover_NonVeg_v1_50 + Species_Popu_Bal_v1_50 + Species_Sali_Spp_v1_50 + 1",-7.3459377957345,15.2531813544873,-0.822683293382496,0.587235416327394,NA,NA,0.317798694418447,0.131254247289411,-38.4695307222903,86.9269917726635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.29956866491281,0.359871077524303,NA,NA,0,551741.927830838,139.767584034517,5,98,289.535168069034,3.06249997174132,0.0523200710573921,NA,0.632751740190269
"7","6/9/14","~1 ~ Species_Pinu_Ban_v1_50 + Species_Sali_Spp_v1_50 + Structure_Stand_Age_v1_50 + 1",-8.33121929750342,18.7362768175493,NA,NA,-0.372830380220892,0.177884062694522,NA,NA,-44.4779627837457,106.772472593524,NA,NA,NA,NA,NA,NA,NA,NA,0.397663666557424,0.214446096317439,-1.30495375426037,0.351640803400312,NA,NA,0,713482.879732805,139.782248637823,5,98,289.564497275646,3.0918291783525,0.0515584163023111,NA,0.68431015649258
"8","2/6","~1 ~ LandCover_NonVeg_v1_50 + Species_Pinu_Ban_v1_50 + 1",-0.780975165746385,0.34481486940768,-1.17974481921362,0.772978247474209,-0.445145408599866,0.188706091392248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.26026956341207,0.346214494944826,NA,NA,0,37.1327878139829,140.831592776089,4,98,289.663185552178,3.19051745488446,0.0490760592238776,NA,0.733386215716458
"9","2/6/7","~1 ~ LandCover_NonVeg_v1_50 + Species_Pinu_Ban_v1_50 + Species_Popu_Bal_v1_50 + 1",-0.75819436086425,0.343829592599197,-1.20180347719201,0.707429718754043,-0.34900280008882,0.201627656738823,0.221973457119363,0.153435826855027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.30655627358099,0.360197965499956,NA,NA,0,41.4986213716458,139.974185332539,5,98,289.948370665079,3.47570256778562,0.0425542089238409,NA,0.775940424640299
"10","1/2/7","~Julian + 1 ~ LandCover_NonVeg_v1_50 + Species_Popu_Bal_v1_50 + 1",-0.450489734231071,0.364663385201795,-0.839678393551261,0.562411374215131,NA,NA,0.304005407871727,0.129244282641152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.66803226345263,0.403542970105906,0.458260379552089,0.242303876848408,0,30.3198978829255,139.981395173554,5,98,289.962790347107,3.49012224981414,0.0422485032120622,NA,0.818188927852361
"11","1/6","~Julian + 1 ~ Species_Pinu_Ban_v1_50 + 1",-0.221523014504732,0.327549704430074,NA,NA,-0.409273250662234,0.185520583622818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.84690140016379,0.403855120688337,0.621504502585015,0.225189306744446,0,16.3207838648241,141.048464091506,4,98,290.096928183011,3.62426008571811,0.039507874571952,NA,0.857696802424313
"12","10/11/13","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_50 + SpeciesGroups_Needleleaf_Spp_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-0.883864867432478,0.352151207532797,NA,NA,NA,NA,NA,NA,NA,NA,4.12662122595286,1.61217297463769,4.43088773115432,1.81016335880075,NA,NA,-0.559467087403771,0.237819614933936,NA,NA,-1.33101080582098,0.365995573878405,NA,NA,0,398.511535311425,140.07710176644,5,98,290.154203532879,3.68153543558611,0.038392507883459,NA,0.896089310307772
"13","1/9/12","~Julian + 1 ~ Species_Sali_Spp_v1_50 + Structure_Biomass_TotalDead_v1_50 + 1",-7.39293458854878,20.6951175496898,NA,NA,NA,NA,NA,NA,-40.6316269917055,117.92056216675,NA,NA,NA,NA,0.241937733105266,0.132166359089922,NA,NA,NA,NA,-1.66707166803826,0.393367332178157,0.484700057551201,0.238839110660818,0,1044573.1013202,140.117085731406,5,98,290.234171462813,3.76150336551945,0.0368877076078785,NA,0.932977017915651
"14","2/6/14","~1 ~ LandCover_NonVeg_v1_50 + Species_Pinu_Ban_v1_50 + Structure_Stand_Age_v1_50 + 1",-0.780677123613179,0.338259320679104,-0.958428373818148,0.751919802652452,-0.463396771368195,0.186349971293916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.274666400287329,0.24583538426623,-1.26781691873051,0.345425630742351,NA,NA,0,36.6894240152991,140.205072155131,5,98,290.410144310262,3.93747621296887,0.0337807780733338,NA,0.966757795988984
"15","10/11/12","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_50 + SpeciesGroups_Needleleaf_Spp_v1_50 + Structure_Biomass_TotalDead_v1_50 + 1",-0.913244389541754,0.368826239368071,NA,NA,NA,NA,NA,NA,NA,NA,3.84766972372079,1.72787243821085,4.20000989708576,1.96733958615404,0.40148798706866,0.150998650393671,NA,NA,NA,NA,-1.32969657005409,0.370059191236481,NA,NA,0,570.69850302205,140.221143826019,5,98,290.442287652039,3.96961955474586,0.0332422040110155,NA,1
