"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_50)","SElam(LandCover_NonVeg_v1_50)","lam(Species_Pice_Mar_v1_50)","SElam(Species_Pice_Mar_v1_50)","lam(Species_Pinu_Ban_v1_50)","SElam(Species_Pinu_Ban_v1_50)","lam(Species_Popu_Bal_v1_50)","SElam(Species_Popu_Bal_v1_50)","lam(Species_Popu_Tre_v1_50)","SElam(Species_Popu_Tre_v1_50)","lam(Species_Sali_Spp_v1_50)","SElam(Species_Sali_Spp_v1_50)","lam(SpeciesGroups_Broadleaf_Spp_v1_50)","SElam(SpeciesGroups_Broadleaf_Spp_v1_50)","lam(Structure_Biomass_TotalDead_v1_50)","SElam(Structure_Biomass_TotalDead_v1_50)","lam(Structure_Biomass_TotalLiveAboveGround_v1_50)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_50)","lam(Structure_Stand_CrownClosure_v1_50)","SElam(Structure_Stand_CrownClosure_v1_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","5/7/12","~1 ~ Species_Pice_Mar_v1_50 + Species_Popu_Bal_v1_50 + Structure_Biomass_TotalDead_v1_50 + 1",-1.47006109430878,1.1232528428576,NA,NA,-0.858755567179562,0.383220739582612,NA,NA,-2.65512549755038,1.77860952933041,NA,NA,NA,NA,NA,NA,0.730952143565943,0.307490823823176,NA,NA,NA,NA,-2.48388013961641,0.957787365544394,NA,NA,0,136.107125932204,66.6559635669874,5,98,143.311927133975,0,0.179937298961311,NA,0.179937298961311
"2","2/13/15","~1 ~ LandCover_NonVeg_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + Structure_Stand_CrownClosure_v1_50 + 1",-0.975036176770298,0.901282859850453,-1.17437016081685,0.792654921999479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.892363114574329,0.412119180273123,-1.73575100581473,0.558251641501951,-2.44234572621921,0.940351704960583,NA,NA,0,52.9496120678836,66.9307377850184,5,98,143.861475570037,0.549548436061968,0.136706218534398,NA,0.316643517495709
"3","2/7/15","~1 ~ LandCover_NonVeg_v1_50 + Species_Popu_Bal_v1_50 + Structure_Stand_CrownClosure_v1_50 + 1",-1.238481503742,1.0930061098649,-0.602893391261964,0.437871027618676,NA,NA,NA,NA,-1.93842127168484,1.50282285979859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.910982415572295,0.387893912989094,-2.54170085000697,1.02419315602432,NA,NA,0,93.8361588066262,67.3127470371952,5,98,144.62549407439,1.31356694041571,0.0933004546558396,NA,0.409943972151548
"4","7/13/15","~1 ~ Species_Popu_Bal_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + Structure_Stand_CrownClosure_v1_50 + 1",-1.24109356161406,1.14070276204987,NA,NA,NA,NA,NA,NA,-2.09717627589551,1.6819988217073,NA,NA,NA,NA,NA,NA,NA,NA,0.734196835602566,0.428931039795413,-0.979761440672513,0.415025392576217,-2.56184509106525,1.03076474324469,NA,NA,0,152.382130560934,67.3636846657938,5,98,144.727369331588,1.41544219761295,0.0886669621206438,NA,0.498610934272192
"5","7/15","~1 ~ Species_Popu_Bal_v1_50 + Structure_Stand_CrownClosure_v1_50 + 1",-1.15093476895343,1.0537298177213,NA,NA,NA,NA,NA,NA,-2.02699367300426,1.57867199807785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.403482501753062,0.230796587967478,-2.49678773819367,0.964730528728679,NA,NA,0,104.614985305458,68.8725165781043,4,98,145.745033156209,2.43310602223383,0.0533063488778562,NA,0.551917283150049
"6","2/5/15","~1 ~ LandCover_NonVeg_v1_50 + Species_Pice_Mar_v1_50 + Structure_Stand_CrownClosure_v1_50 + 1",-0.936807418309532,0.842820955793896,-1.15187746077183,0.775960198958595,-0.479854059961299,0.304824088244898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.07988710807732,0.386508212362932,-2.37912343018445,0.889598936789702,NA,NA,0,46.1762695069417,67.9651560762763,5,98,145.930312152553,2.61838501857781,0.0485899122171669,NA,0.600507195367215
"7","5/7/15","~1 ~ Species_Pice_Mar_v1_50 + Species_Popu_Bal_v1_50 + Structure_Stand_CrownClosure_v1_50 + 1",-1.34004188365568,1.13069098885586,NA,NA,-0.313822413937673,0.267556901311881,NA,NA,-2.47218632500469,1.89418444720711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.379958618390018,0.229397624852667,-2.4741245918189,0.953345023249362,NA,NA,0,157.287400438644,68.1552207678629,5,98,146.310441535726,2.99851440175107,0.0401792723805356,NA,0.640686467747751
"8","7","~1 ~ Species_Popu_Bal_v1_50 + 1",-1.11942462124099,0.906187685532394,NA,NA,NA,NA,NA,NA,-1.7288077061819,1.40393847473813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.33475505685161,0.831261773620188,NA,NA,0,67.9553008839926,70.1823136429166,3,98,146.364627285833,3.0527001518584,0.0391053143710296,NA,0.679791782118781
"9","2/15","~1 ~ LandCover_NonVeg_v1_50 + Structure_Stand_CrownClosure_v1_50 + 1",-0.798990500139278,0.834543012487171,-0.827777788360844,0.575316213719172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.907638162146343,0.375040152095628,-2.40595178577367,0.910351676592662,NA,NA,0,44.5410394851783,69.3043010386544,4,98,146.608602077309,3.2966749433341,0.0346144415020446,NA,0.714406223620825
"10","7/9/15","~1 ~ Species_Popu_Bal_v1_50 + Species_Sali_Spp_v1_50 + Structure_Stand_CrownClosure_v1_50 + 1",-1.36739434340628,1.2037898659691,NA,NA,NA,NA,NA,NA,-2.00235343286832,1.61741423695879,NA,NA,-1.69623746641817,3.05812977099144,NA,NA,NA,NA,NA,NA,-0.412770644104269,0.225884469753957,-2.53104543691138,0.994200651372291,NA,NA,0,340.372594588905,68.3183416108527,5,98,146.636683221705,3.32475608773069,0.0341318309296913,NA,0.748538054550517
