"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_500)","SElam(LandCover_NonVeg_v1_500)","lam(Species_Abie_Bal_v1_500)","SElam(Species_Abie_Bal_v1_500)","lam(Species_Pice_Gla_v1_500)","SElam(Species_Pice_Gla_v1_500)","lam(Species_Pice_Mar_v1_500)","SElam(Species_Pice_Mar_v1_500)","lam(Species_Pinu_Ban_v1_500)","SElam(Species_Pinu_Ban_v1_500)","lam(Species_Popu_Bal_v1_500)","SElam(Species_Popu_Bal_v1_500)","lam(Species_Popu_Tre_v1_500)","SElam(Species_Popu_Tre_v1_500)","lam(Species_Sali_Spp_v1_500)","SElam(Species_Sali_Spp_v1_500)","lam(SpeciesGroups_Broadleaf_Spp_v1_500)","SElam(SpeciesGroups_Broadleaf_Spp_v1_500)","lam(SpeciesGroups_Needleleaf_Spp_v1_500)","SElam(SpeciesGroups_Needleleaf_Spp_v1_500)","lam(Structure_Biomass_TotalDead_v1_500)","SElam(Structure_Biomass_TotalDead_v1_500)","lam(Structure_Biomass_TotalLiveAboveGround_v1_500)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_500)","lam(Structure_Stand_Age_v1_500)","SElam(Structure_Stand_Age_v1_500)","lam(Structure_Stand_CrownClosure_v1_500)","SElam(Structure_Stand_CrownClosure_v1_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","14/15","~1 ~ Structure_Stand_Age_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-0.484259067826308,1.49803462530662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.987714134499408,0.454481739855697,-1.54108680002478,0.455392010411801,-3.06644342255926,1.60312999048623,NA,NA,0,208.728958301256,65.8862554265314,4,98,139.772510853063,0,0.0561354868080729,NA,0.0561354868080729
"2","2/15","~1 ~ LandCover_NonVeg_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-0.730900706509835,1.17024008137234,-0.846080209370059,0.373867982889118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.49096256421546,0.438616444162179,-2.76978033814792,1.26343684570365,NA,NA,0,116.241322945651,65.8928426507365,4,98,139.785685301473,0.0131744484100409,0.0557669250029359,NA,0.111902411811009
"3","2/14/15","~1 ~ LandCover_NonVeg_v1_500 + Structure_Stand_Age_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-0.669902310471401,1.43147199941787,-0.57324913053599,0.443509003910322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.701537342911536,0.533772204184119,-1.82262764358424,0.534336664788018,-2.97265947810565,1.53002956691357,NA,NA,0,187.342970950339,64.9826251894183,5,98,139.965250378837,0.192739525773703,0.0509782164517345,NA,0.162880628262743
"4","2/13/15","~1 ~ LandCover_NonVeg_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-1.02468501626144,0.959085409281536,-1.17506278659453,0.568458864813159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.826231631877447,0.665591587370385,NA,NA,-2.28168953686955,0.797223690714766,-2.49547882735462,1.01216588908906,NA,NA,0,90.8094385665522,65.06652524446,5,98,140.13305048892,0.360539635857037,0.0468756503365146,NA,0.209756278599258
"5","12/14/15","~1 ~ Structure_Biomass_TotalDead_v1_500 + Structure_Stand_Age_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-0.246902481709883,2.08710364819626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.259256546183402,0.219185825214256,NA,NA,0.85262030380931,0.463015643791646,-1.53801246386979,0.471977429275535,-3.39145162463192,2.21874558759376,NA,NA,0,429.586720456439,65.2091372734787,5,98,140.418274546957,0.645763693894565,0.0406454268488241,NA,0.250401705448082
"6","2/5/15","~1 ~ LandCover_NonVeg_v1_500 + Species_Pice_Mar_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-0.992435899542437,1.0059378756813,-1.25320343788767,0.604938575083056,NA,NA,NA,NA,-0.418642585846014,0.405472431390692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.73565420951202,0.513146876684028,-2.55698038651746,1.0575810144463,NA,NA,0,79.4183600293456,65.3082137729329,5,98,140.616427545866,0.843916692802878,0.0368114828167686,NA,0.287213188264851
"7","12/13/15","~1 ~ Structure_Biomass_TotalDead_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-0.571168280869368,1.42895221170246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.933034539144707,0.340087200003843,1.54956789236802,0.750186417135329,NA,NA,-2.10025733058219,0.71286735489267,-2.98327603045144,1.53437930300121,NA,NA,0,230.736011651816,65.3296293513066,5,98,140.659258702613,0.886747849550346,0.0360315250536674,NA,0.323244713318518
"8","4/14/15","~1 ~ Species_Pice_Gla_v1_500 + Structure_Stand_Age_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-0.532806883395147,1.62611228408085,NA,NA,NA,NA,-0.336326227600567,0.388248613674357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.950069678520641,0.440515343485442,-1.42986305982689,0.503133020511044,-3.12041651240307,1.74096453286776,NA,NA,0,282.1306544045,65.4913058121383,5,98,140.982611624277,1.21010077121369,0.0306526092836296,NA,0.353897322602148
"9","2/6/15","~1 ~ LandCover_NonVeg_v1_500 + Species_Pinu_Ban_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-1.03954919902623,0.999482123823234,-0.822599269628064,0.402924292502093,NA,NA,NA,NA,NA,NA,0.32055159715351,0.38992831287495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.59555415623235,0.476711448794268,-2.51208055984333,1.03796754167319,NA,NA,0,75.3433598789496,65.5332296620588,5,98,141.066459324118,1.29394847105468,0.0293940990155214,NA,0.383291421617669
"10","10/11/15","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_500 + SpeciesGroups_Needleleaf_Spp_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-0.810407665489028,1.26091123219281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39254921114103,1.4903993879985,2.17831538908084,1.90164468149693,NA,NA,NA,NA,NA,NA,-1.58258220631407,0.572162499513329,-2.78934581266429,1.29628459607595,NA,NA,0,251.600732566324,65.6311509587928,5,98,141.262301917586,1.48979106452265,0.0266522251838827,NA,0.409943646801552
