"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_50)","SElam(LandCover_NonVeg_v1_50)","lam(Species_Abie_Bal_v1_50)","SElam(Species_Abie_Bal_v1_50)","lam(Species_Pice_Gla_v1_50)","SElam(Species_Pice_Gla_v1_50)","lam(Species_Pice_Mar_v1_50)","SElam(Species_Pice_Mar_v1_50)","lam(Species_Pinu_Ban_v1_50)","SElam(Species_Pinu_Ban_v1_50)","lam(Species_Popu_Bal_v1_50)","SElam(Species_Popu_Bal_v1_50)","lam(Species_Popu_Tre_v1_50)","SElam(Species_Popu_Tre_v1_50)","lam(Species_Sali_Spp_v1_50)","SElam(Species_Sali_Spp_v1_50)","lam(SpeciesGroups_Broadleaf_Spp_v1_50)","SElam(SpeciesGroups_Broadleaf_Spp_v1_50)","lam(SpeciesGroups_Needleleaf_Spp_v1_50)","SElam(SpeciesGroups_Needleleaf_Spp_v1_50)","lam(Structure_Biomass_TotalDead_v1_50)","SElam(Structure_Biomass_TotalDead_v1_50)","lam(Structure_Biomass_TotalLiveAboveGround_v1_50)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_50)","lam(Structure_Stand_Age_v1_50)","SElam(Structure_Stand_Age_v1_50)","lam(Structure_Stand_CrownClosure_v1_50)","SElam(Structure_Stand_CrownClosure_v1_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","10/11/13","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_50 + SpeciesGroups_Needleleaf_Spp_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-0.963415533203789,0.224663045368419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11237293977175,1.15172351800752,1.90681047219555,1.27891764000509,NA,NA,-0.389197819786686,0.235935407288393,NA,NA,NA,NA,-0.460217954724683,0.234997440247288,NA,NA,0,355.273777965614,158.878253521826,5,98,327.756507043651,0,0.0170297991630276,NA,0.0170297991630276
"2","8","~1 ~ Species_Popu_Tre_v1_50 + 1",-0.828587571713275,0.189103478676118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.354279907827725,0.130665908097683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.438411536245182,0.229761671944062,NA,NA,0,4.78537223494266,161.024370509284,3,98,328.048741018568,0.29223397491694,0.0147147105931261,NA,0.0317445097561538
"3","10","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_50 + 1",-0.83005285505076,0.188976772853848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.352020250535825,0.129893786660892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.435463982526381,0.229131057468263,NA,NA,0,4.79856167292052,161.035910370599,3,98,328.071820741198,0.315313697547253,0.0145458808828709,NA,0.0462903906390247
"4","8/13/15","~1 ~ Species_Popu_Tre_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + Structure_Stand_CrownClosure_v1_50 + 1",-0.868436306912936,0.197230067595097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444308782981862,0.151155685215033,NA,NA,NA,NA,NA,NA,NA,NA,-0.456660924749855,0.253228441078057,NA,NA,0.368710472992232,0.209880728809778,-0.462214357208182,0.234618104625095,NA,NA,0,8.44014440197713,159.114014202623,5,98,328.228028405246,0.471521361594796,0.0134530254420162,NA,0.0597434160810409
"5","3/10","~1 ~ Species_Abie_Bal_v1_50 + SpeciesGroups_Broadleaf_Spp_v1_50 + 1",-0.832536061357309,0.192241604745517,NA,NA,0.162266728217115,0.0967549506573958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.366806032735849,0.13032410476095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.464625680863408,0.23571384905091,NA,NA,0,7.73480377755267,160.188136715224,4,98,328.376273430447,0.619766386796016,0.0124919134139767,NA,0.0722353294950176
"6","3/8","~1 ~ Species_Abie_Bal_v1_50 + Species_Popu_Tre_v1_50 + 1",-0.830748014444683,0.192355328025576,NA,NA,0.160248525054252,0.0966056319117791,NA,NA,NA,NA,NA,NA,NA,NA,0.368413023515157,0.131182447042993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.467656970939508,0.236389646391889,NA,NA,0,7.77329908892678,160.191853431002,4,98,328.383706862004,0.627199818352437,0.0124455706969927,NA,0.0846809001920103
"7","6/10/12","~1 ~ Species_Pinu_Ban_v1_50 + SpeciesGroups_Broadleaf_Spp_v1_50 + Structure_Biomass_TotalDead_v1_50 + 1",-0.877548445079095,0.198134856852236,NA,NA,NA,NA,NA,NA,NA,NA,0.317590266891089,0.227989795753876,NA,NA,NA,NA,NA,NA,0.515272691198908,0.166457615151436,NA,NA,0.342620403762307,0.196244796065248,NA,NA,NA,NA,NA,NA,-0.445641228018442,0.231917882484088,NA,NA,0,8.48304270978337,159.230993011563,5,98,328.461986023126,0.70547897947506,0.0119678658455428,NA,0.0966487660375531
"8","10/12","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_50 + Structure_Biomass_TotalDead_v1_50 + 1",-0.842841183812287,0.192380039668963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.372446518241416,0.130013195034158,NA,NA,0.208557197472737,0.158201319322641,NA,NA,NA,NA,NA,NA,-0.449238865623583,0.232266620412888,NA,NA,0,5.08744489541353,160.242145754351,4,98,328.484291508702,0.727784465051002,0.0118351328602837,NA,0.108483898897837
"9","10/13/15","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + Structure_Stand_CrownClosure_v1_50 + 1",-0.865972899961135,0.196360717872334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425773721235497,0.148624989715478,NA,NA,NA,NA,-0.423959353872136,0.248852496518751,NA,NA,0.35298027015814,0.209500752681566,-0.456863459052211,0.233507559457701,NA,NA,0,8.27268242313306,159.30950837292,5,98,328.619016745841,0.862509702189755,0.0110641466655727,NA,0.119548045563409
"10","8/12","~1 ~ Species_Popu_Tre_v1_50 + Structure_Biomass_TotalDead_v1_50 + 1",-0.839527744403234,0.192159923989476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.367889101927177,0.130358292035858,NA,NA,NA,NA,NA,NA,0.194791557586314,0.158681828715039,NA,NA,NA,NA,NA,NA,-0.451178170535206,0.232721250333432,NA,NA,0,5.02430094424687,160.333762289055,4,98,328.667524578111,0.911017534459688,0.0107990258851956,NA,0.130347071448605
