"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_500)","SElam(LandCover_NonVeg_v1_500)","lam(Species_Abie_Bal_v1_500)","SElam(Species_Abie_Bal_v1_500)","lam(Species_Pice_Gla_v1_500)","SElam(Species_Pice_Gla_v1_500)","lam(Species_Pice_Mar_v1_500)","SElam(Species_Pice_Mar_v1_500)","lam(Species_Pinu_Ban_v1_500)","SElam(Species_Pinu_Ban_v1_500)","lam(Species_Popu_Bal_v1_500)","SElam(Species_Popu_Bal_v1_500)","lam(Species_Popu_Tre_v1_500)","SElam(Species_Popu_Tre_v1_500)","lam(Species_Sali_Spp_v1_500)","SElam(Species_Sali_Spp_v1_500)","lam(SpeciesGroups_Broadleaf_Spp_v1_500)","SElam(SpeciesGroups_Broadleaf_Spp_v1_500)","lam(SpeciesGroups_Needleleaf_Spp_v1_500)","SElam(SpeciesGroups_Needleleaf_Spp_v1_500)","lam(Structure_Biomass_TotalDead_v1_500)","SElam(Structure_Biomass_TotalDead_v1_500)","lam(Structure_Biomass_TotalLiveAboveGround_v1_500)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_500)","lam(Structure_Stand_Age_v1_500)","SElam(Structure_Stand_Age_v1_500)","lam(Structure_Stand_CrownClosure_v1_500)","SElam(Structure_Stand_CrownClosure_v1_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","13","~1 ~ Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-0.360228488643068,0.414013958453891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.434623299549955,0.156876186700692,NA,NA,NA,NA,-1.75305289906253,0.499234795189321,NA,NA,0,28.0065257538651,131.709029938481,3,98,269.418059876963,0,0.0182032926220816,NA,0.0182032926220816
"2","12/13","~1 ~ Structure_Biomass_TotalDead_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-0.390472948876149,0.419026999436066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.298276201513595,0.221899704248564,0.328185288559257,0.165631568137796,NA,NA,NA,NA,-1.76120497561109,0.500741596915641,NA,NA,0,33.0144361667927,130.83083352884,4,98,269.66166705768,0.243607180717788,0.0161157797495013,NA,0.0343190723715829
"3","12/15","~1 ~ Structure_Biomass_TotalDead_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-0.386273699333589,0.426789874828557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.442085513832291,0.209071025681466,NA,NA,NA,NA,0.326396933320491,0.171505032753518,-1.77633062168613,0.511205852810732,NA,NA,0,28.529909641661,130.882637582799,4,98,269.765275165598,0.347215288635539,0.0153021730343672,NA,0.0496212454059502
"4","11/13/14","~1 ~ SpeciesGroups_Needleleaf_Spp_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + Structure_Stand_Age_v1_500 + 1",-0.382708119796831,0.413983630787482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.407199005397914,0.273032643376855,NA,NA,0.5572897574632,0.167582782047552,-0.591888959796164,0.309359109541476,NA,NA,-1.76238656998394,0.493107853562482,NA,NA,0,41.4377143105758,129.998343266197,5,98,269.996686532394,0.578626655431549,0.0136302169585722,NA,0.0632514623645224
"5","2/7/15","~1 ~ LandCover_NonVeg_v1_500 + Species_Popu_Bal_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-0.353522962763279,0.4468311027234,0.652944276439866,0.264580719012436,NA,NA,NA,NA,NA,NA,NA,NA,-0.343793723703943,0.19539771160006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82476189375685,0.268495274112103,-1.8325387971223,0.532163516579389,NA,NA,0,38.687973257577,130.019492801841,5,98,270.038985603683,0.620925726719975,0.0133449712389487,NA,0.0765964336034711
"6","2/13","~1 ~ LandCover_NonVeg_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-0.388021315381645,0.40826490821286,0.246672737714973,0.197089023902343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.525291792810056,0.173827598530841,NA,NA,NA,NA,-1.73956296533888,0.489440575972529,NA,NA,0,30.7067492116236,131.067653318138,4,98,270.135306636275,0.717246759312673,0.0127175014453437,NA,0.0893139350488148
"7","4/5/12","~1 ~ Species_Pice_Gla_v1_500 + Species_Pice_Mar_v1_500 + Structure_Biomass_TotalDead_v1_500 + 1",-0.395258765159006,0.421977797015769,NA,NA,NA,NA,0.359335941131507,0.18198254672206,0.300504067414816,0.181663550385456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.470476450838832,0.207238180010757,NA,NA,NA,NA,NA,NA,-1.78198924841862,0.503058697540718,NA,NA,0,29.3359430239825,130.145939887795,5,98,270.291879775589,0.873819898626834,0.0117598659277937,NA,0.101073800976609
"8","13/14","~1 ~ Structure_Biomass_TotalLiveAboveGround_v1_500 + Structure_Stand_Age_v1_500 + 1",-0.375450767158683,0.411246877347856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53005940395095,0.177235795834123,-0.23504433214131,0.206625779155673,NA,NA,-1.74621867160635,0.49374426062464,NA,NA,0,31.2651736248594,131.147665801043,4,98,270.295331602085,0.877271725122682,0.0117395869243294,NA,0.112813387900938
"9","8/13","~1 ~ Species_Popu_Tre_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-0.359286207948454,0.41639093389053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.156916936541472,0.183223505563161,NA,NA,NA,NA,NA,NA,NA,NA,0.423269066456831,0.151367161322689,NA,NA,NA,NA,-1.76392263868002,0.50060108278676,NA,NA,0,29.9261945985851,131.315430400451,4,98,270.630860800902,1.21280092393982,0.0099264412392267,NA,0.122739829140165
"10","8/13/14","~1 ~ Species_Popu_Tre_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + Structure_Stand_Age_v1_500 + 1",-0.375226950789097,0.415544324431448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.211183615733655,0.17606415993403,NA,NA,NA,NA,NA,NA,NA,NA,0.547562631817295,0.170217198279487,-0.286011417377458,0.185385138452816,NA,NA,-1.76474333431074,0.496383689053063,NA,NA,0,37.8746197350489,130.376079654728,5,98,270.752159309456,1.33409943249342,0.0093423028042991,NA,0.132082131944464
