"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_50)","SElam(LandCover_NonVeg_v1_50)","lam(Species_Abie_Bal_v1_50)","SElam(Species_Abie_Bal_v1_50)","lam(Species_Pice_Gla_v1_50)","SElam(Species_Pice_Gla_v1_50)","lam(Species_Pice_Mar_v1_50)","SElam(Species_Pice_Mar_v1_50)","lam(Species_Popu_Bal_v1_50)","SElam(Species_Popu_Bal_v1_50)","lam(Species_Popu_Tre_v1_50)","SElam(Species_Popu_Tre_v1_50)","lam(Species_Sali_Spp_v1_50)","SElam(Species_Sali_Spp_v1_50)","lam(SpeciesGroups_Broadleaf_Spp_v1_50)","SElam(SpeciesGroups_Broadleaf_Spp_v1_50)","lam(SpeciesGroups_Needleleaf_Spp_v1_50)","SElam(SpeciesGroups_Needleleaf_Spp_v1_50)","lam(Structure_Biomass_TotalLiveAboveGround_v1_50)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_50)","lam(Structure_Stand_Age_v1_50)","SElam(Structure_Stand_Age_v1_50)","lam(Structure_Stand_CrownClosure_v1_50)","SElam(Structure_Stand_CrownClosure_v1_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","4/9/11","~1 ~ Species_Pice_Gla_v1_50 + Species_Sali_Spp_v1_50 + SpeciesGroups_Needleleaf_Spp_v1_50 + 1",-8.15588178673582,22.1463686380702,NA,NA,NA,NA,-0.420242520560546,0.200640475781182,NA,NA,NA,NA,NA,NA,-43.1387188259983,126.211731810339,NA,NA,-0.312822912107087,0.114299354249341,NA,NA,NA,NA,NA,NA,-0.960385687168562,0.282942405875313,NA,NA,0,1578361.48351204,158.699700148283,5,98,327.399400296566,0,0.15377028178654,NA,0.15377028178654
"2","4/5/9","~1 ~ Species_Pice_Gla_v1_50 + Species_Pice_Mar_v1_50 + Species_Sali_Spp_v1_50 + 1",-6.69590650577665,15.3206320065043,NA,NA,NA,NA,-0.537110100779995,0.20495236722308,-0.359364757633444,0.158890743396424,NA,NA,NA,NA,-34.8421310393214,87.3248458497486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.965346026993064,0.283649016801999,NA,NA,0,500238.850159483,159.257785901035,5,98,328.51557180207,1.11617150550364,0.0880032776048007,NA,0.241773559391341
"3","2/4/9","~1 ~ LandCover_NonVeg_v1_50 + Species_Pice_Gla_v1_50 + Species_Sali_Spp_v1_50 + 1",-6.65123004770705,13.6051381623806,0.212107408598314,0.0861919622777403,NA,NA,-0.328231796242266,0.206393160726537,NA,NA,NA,NA,NA,NA,-34.9023371881679,77.5463216357213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.99682806439297,0.294537413616472,NA,NA,1,1065001.64204095,159.502782398362,5,98,329.005564796724,1.60616450015777,0.068880806027949,NA,0.31065436541929
"4","4/7/9","~1 ~ Species_Pice_Gla_v1_50 + Species_Popu_Bal_v1_50 + Species_Sali_Spp_v1_50 + 1",-6.88985481327184,15.7082687364151,NA,NA,NA,NA,-0.456834046211182,0.200718460591853,NA,NA,0.23545677804366,0.103307016391751,NA,NA,-36.2740784673057,89.5293141494703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.02538936119206,0.298838358592761,NA,NA,0,847159.423085285,159.844635974756,5,98,329.689271949512,2.28987165294586,0.0489365218382943,NA,0.359590887257584
"5","2/9","~1 ~ LandCover_NonVeg_v1_50 + Species_Sali_Spp_v1_50 + 1",-6.87039380024866,12.5822806528727,0.261370781618985,0.0818856067106389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-36.3260133233126,71.7128191584476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.973007139409895,0.286634331159543,NA,NA,0,872675.186965295,160.932040124537,4,98,329.864080249074,2.46467995250845,0.044840862621714,NA,0.404431749879298
"6","4/9/14","~1 ~ Species_Pice_Gla_v1_50 + Species_Sali_Spp_v1_50 + Structure_Stand_Age_v1_50 + 1",-7.7146457563397,19.0417013084539,NA,NA,NA,NA,-0.309609789605644,0.207342543670931,NA,NA,NA,NA,NA,NA,-40.864199160232,108.52137797665,NA,NA,NA,NA,NA,NA,-0.238325530418054,0.112502141069568,NA,NA,-0.978711039389432,0.287728000678983,NA,NA,0,1376722.57912657,159.955472292802,5,98,329.910944585605,2.51154428903885,0.0438023586998018,NA,0.4482341085791
"7","1/4/11","~Julian + 1 ~ Species_Pice_Gla_v1_50 + SpeciesGroups_Needleleaf_Spp_v1_50 + 1",-0.601450680434761,0.239690157034874,NA,NA,NA,NA,-0.458409419868093,0.205278528357547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.353512054929866,0.120102514217347,NA,NA,NA,NA,NA,NA,-1.10819300513567,0.292828606285213,0.415059022146472,0.21673720716981,0,11.8755460394188,160.008500369691,5,98,330.017000739382,2.61760044281635,0.0415401151569068,NA,0.489774223736007
"8","1/2/9","~Julian + 1 ~ LandCover_NonVeg_v1_50 + Species_Sali_Spp_v1_50 + 1",-7.02437027004317,14.4574585454845,0.275001571022801,0.082648151096834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-37.3541607964177,82.3910379570635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.05442919478969,0.293168589414893,0.284280481174397,0.214412900247225,0,1159704.14603811,160.065564836975,5,98,330.13112967395,2.73172937738366,0.0392360168970511,NA,0.529010240633058
"9","7/9/14","~1 ~ Species_Popu_Bal_v1_50 + Species_Sali_Spp_v1_50 + Structure_Stand_Age_v1_50 + 1",-8.60759158543252,22.7836512833473,NA,NA,NA,NA,NA,NA,NA,NA,0.193522052685638,0.114986108498525,NA,NA,-46.0209802889786,129.839558294731,NA,NA,NA,NA,NA,NA,-0.297745905442977,0.10657260075221,NA,NA,-0.964683761817216,0.283965941015961,NA,NA,0,1874097.98645441,160.066790370085,5,98,330.133580740169,2.73418044360324,0.0391879613121174,NA,0.568198201945175
"10","9/11/13","~1 ~ Species_Sali_Spp_v1_50 + SpeciesGroups_Needleleaf_Spp_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-6.85366821367599,14.3763397571115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-35.9754206576738,81.9380986721576,NA,NA,-0.29109814761681,0.117429197039286,-0.239194543222375,0.156141113047327,NA,NA,NA,NA,-0.95453905651794,0.281266793917454,NA,NA,0,705625.030174952,160.127603642378,5,98,330.255207284756,2.85580698818961,0.0368758298181828,NA,0.605074031763358
