"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_500)","SElam(LandCover_NonVeg_v1_500)","lam(Species_Abie_Bal_v1_500)","SElam(Species_Abie_Bal_v1_500)","lam(Species_Pice_Gla_v1_500)","SElam(Species_Pice_Gla_v1_500)","lam(Species_Pinu_Ban_v1_500)","SElam(Species_Pinu_Ban_v1_500)","lam(Species_Popu_Bal_v1_500)","SElam(Species_Popu_Bal_v1_500)","lam(Species_Popu_Tre_v1_500)","SElam(Species_Popu_Tre_v1_500)","lam(Species_Sali_Spp_v1_500)","SElam(Species_Sali_Spp_v1_500)","lam(SpeciesGroups_Broadleaf_Spp_v1_500)","SElam(SpeciesGroups_Broadleaf_Spp_v1_500)","lam(SpeciesGroups_Needleleaf_Spp_v1_500)","SElam(SpeciesGroups_Needleleaf_Spp_v1_500)","lam(Structure_Biomass_TotalDead_v1_500)","SElam(Structure_Biomass_TotalDead_v1_500)","lam(Structure_Biomass_TotalLiveAboveGround_v1_500)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_500)","lam(Structure_Stand_Age_v1_500)","SElam(Structure_Stand_Age_v1_500)","lam(Structure_Stand_CrownClosure_v1_500)","SElam(Structure_Stand_CrownClosure_v1_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","2/7/9","~1 ~ LandCover_NonVeg_v1_500 + Species_Popu_Bal_v1_500 + Species_Sali_Spp_v1_500 + 1",-1.98505259499402,1.46060812966496,0.234378360155234,0.0789459941119461,NA,NA,NA,NA,NA,NA,0.309330496250615,0.130175313698747,NA,NA,-3.88935336322597,3.43310402287124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.08287001074726,0.313820409108917,NA,NA,0,2962.57750863098,151.142403268034,5,98,312.284806536068,0,0.168822888625108,NA,0.168822888625108
"2","4/7/9","~1 ~ Species_Pice_Gla_v1_500 + Species_Popu_Bal_v1_500 + Species_Sali_Spp_v1_500 + 1",-1.84659521878398,1.30682245181657,NA,NA,NA,NA,-0.392042687764495,0.16284851134767,NA,NA,0.570566454691045,0.147115004290225,NA,NA,-3.31484041106303,3.06791912228705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.08176710605785,0.313634358958492,NA,NA,0,1174.84085580284,151.553837169399,5,98,313.107674338798,0.822867802730286,0.111878814010145,NA,0.280701702635253
"3","7/9/15","~1 ~ Species_Popu_Bal_v1_500 + Species_Sali_Spp_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-2.1224078551569,1.60729055337273,NA,NA,NA,NA,NA,NA,NA,NA,0.423780600197555,0.126514607308913,NA,NA,-4.16230868237882,3.78541294344539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.28715179347844,0.115029604376018,-1.07848774067761,0.3126067894598,NA,NA,0,1710.30908567036,151.686348669424,5,98,313.372697338848,1.08789080278058,0.097993854517537,NA,0.37869555715279
"4","7/9/12","~1 ~ Species_Popu_Bal_v1_500 + Species_Sali_Spp_v1_500 + Structure_Biomass_TotalDead_v1_500 + 1",-2.0701196758829,1.51696587798049,NA,NA,NA,NA,NA,NA,NA,NA,0.366112300576729,0.114701147812183,NA,NA,-4.04670742256072,3.56467765687656,NA,NA,NA,NA,-0.346487591387391,0.149568077681209,NA,NA,NA,NA,NA,NA,-1.08487272016523,0.315349307753428,NA,NA,0,1670.9113971136,151.753989178614,5,98,313.507978357227,1.22317182115944,0.0915847028710782,NA,0.470280260023869
"5","1/2/9","~Julian + 1 ~ LandCover_NonVeg_v1_500 + Species_Sali_Spp_v1_500 + 1",-1.91626345897212,1.47730616780401,0.334023807748866,0.0771476632743373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.00392792081438,3.45846814987163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.17910825992511,0.319816177074798,0.351808340843191,0.217428727022715,0,2844.58589482495,152.195196694268,5,98,314.390393388536,2.10558685246798,0.058912703284177,NA,0.529192963308046
"6","8/9/10","~1 ~ Species_Popu_Tre_v1_500 + Species_Sali_Spp_v1_500 + SpeciesGroups_Broadleaf_Spp_v1_500 + 1",-1.99335891662863,1.27512833193966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.71023677034165,1.22080174119559,-4.04077349424452,2.98275830848101,4.73533892543582,1.2241604840645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.05209029086311,0.304701234334403,NA,NA,0,1034.30070284343,152.195428670607,5,98,314.390857341214,2.10605080514597,0.0588990385159616,NA,0.588092001824007
"7","6/9/12","~1 ~ Species_Pinu_Ban_v1_500 + Species_Sali_Spp_v1_500 + Structure_Biomass_TotalDead_v1_500 + 1",-2.03427911474912,1.49828222232261,NA,NA,NA,NA,NA,NA,-0.370898995656656,0.133352354200628,NA,NA,NA,NA,-4.04560606963055,3.51983823359066,NA,NA,NA,NA,-0.360293471864997,0.134008344801952,NA,NA,NA,NA,NA,NA,-1.06377644022843,0.3118103431137,NA,NA,0,1340.75194509877,152.216187724296,5,98,314.432375448592,2.14756891252404,0.0576889537758973,NA,0.645780955599904
"8","7/9/13","~1 ~ Species_Popu_Bal_v1_500 + Species_Sali_Spp_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-1.9793166052751,1.43457941897196,NA,NA,NA,NA,NA,NA,NA,NA,0.402635523976238,0.125808693036021,NA,NA,-3.80158393762905,3.36929071035376,NA,NA,NA,NA,NA,NA,-0.30276521356665,0.151430041294998,NA,NA,NA,NA,-1.09566408171794,0.316112755157061,NA,NA,0,1356.0925846349,152.378759770799,5,98,314.757519541598,2.47271300553018,0.0490330061538925,NA,0.694813961753797
"9","2/9","~1 ~ LandCover_NonVeg_v1_500 + Species_Sali_Spp_v1_500 + 1",-2.06711074382038,1.55243951160929,0.30389422886101,0.0749822783410806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.23383118715166,3.65096382007265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.05001542768832,0.307581240561304,NA,NA,0,3053.3688944671,153.471025089223,4,98,314.942050178446,2.65724364237866,0.0447113930804408,NA,0.739525354834238
"10","7/9/14","~1 ~ Species_Popu_Bal_v1_500 + Species_Sali_Spp_v1_500 + Structure_Stand_Age_v1_500 + 1",-1.98924891512482,1.44200519075826,NA,NA,NA,NA,NA,NA,NA,NA,0.29375949480441,0.130772526278121,NA,NA,-3.84840208915991,3.39055666556755,NA,NA,NA,NA,NA,NA,NA,NA,-0.202183578241004,0.0929395507134712,NA,NA,-1.0513879839815,0.305600854081743,NA,NA,0,2405.05401299599,152.5261661388,5,98,315.0523322776,2.76752574153261,0.0423127008854618,NA,0.7818380557197
"11","2/3/9","~1 ~ LandCover_NonVeg_v1_500 + Species_Abie_Bal_v1_500 + Species_Sali_Spp_v1_500 + 1",-1.98385427213424,1.48424588800127,0.274968445228156,0.080796676373908,0.141798921767457,0.11145327241738,NA,NA,NA,NA,NA,NA,NA,NA,-3.97565338241197,3.4904701799671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.06368140795791,0.311227693420962,NA,NA,0,3018.64766518998,152.767542966625,5,98,315.535085933249,3.25027939718132,0.0332385541084649,NA,0.815076609828164
"12","2/6/9","~1 ~ LandCover_NonVeg_v1_500 + Species_Pinu_Ban_v1_500 + Species_Sali_Spp_v1_500 + 1",-1.98701386843254,1.48052293045395,0.239727599196584,0.0933303516511624,NA,NA,NA,NA,-0.178982673381785,0.163991785201655,NA,NA,NA,NA,-3.99368022611603,3.48235665853714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.05233184710771,0.307781122085047,NA,NA,0,3299.9547114298,152.880948656629,5,98,315.761897313258,3.47709077718969,0.0296749952519787,NA,0.844751605080143
"13","9/12/13","~1 ~ Species_Sali_Spp_v1_500 + Structure_Biomass_TotalDead_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-2.17323435733168,1.65753008609714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.51024327548849,3.89849548981467,NA,NA,NA,NA,-0.368104847460269,0.133507502954399,-0.334250226643343,0.137051392713112,NA,NA,NA,NA,-1.08466523406238,0.318372762244857,NA,NA,0,1546.28536158429,152.921838933712,5,98,315.843677867424,3.55887133135593,0.0284860502749711,NA,0.873237655355114
