"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_500)","SElam(LandCover_NonVeg_v1_500)","lam(Species_Abie_Bal_v1_500)","SElam(Species_Abie_Bal_v1_500)","lam(Species_Pice_Gla_v1_500)","SElam(Species_Pice_Gla_v1_500)","lam(Species_Pice_Mar_v1_500)","SElam(Species_Pice_Mar_v1_500)","lam(Species_Pinu_Ban_v1_500)","SElam(Species_Pinu_Ban_v1_500)","lam(Species_Popu_Bal_v1_500)","SElam(Species_Popu_Bal_v1_500)","lam(Species_Popu_Tre_v1_500)","SElam(Species_Popu_Tre_v1_500)","lam(Species_Sali_Spp_v1_500)","SElam(Species_Sali_Spp_v1_500)","lam(SpeciesGroups_Broadleaf_Spp_v1_500)","SElam(SpeciesGroups_Broadleaf_Spp_v1_500)","lam(SpeciesGroups_Needleleaf_Spp_v1_500)","SElam(SpeciesGroups_Needleleaf_Spp_v1_500)","lam(Structure_Biomass_TotalDead_v1_500)","SElam(Structure_Biomass_TotalDead_v1_500)","lam(Structure_Biomass_TotalLiveAboveGround_v1_500)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_500)","lam(Structure_Stand_Age_v1_500)","SElam(Structure_Stand_Age_v1_500)","lam(Structure_Stand_CrownClosure_v1_500)","SElam(Structure_Stand_CrownClosure_v1_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/13","~Julian + 1 ~ Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",0.748886014581721,0.197044488135438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.152879546592298,0.0919018095387522,NA,NA,NA,NA,-1.18308188191382,0.258676669237711,-0.322503682779668,0.118474524469828,0,18.4382359246372,337.678252706422,4,98,683.356505412843,0,0.0416293688215286,NA,0.0416293688215286
"2","1/15","~Julian + 1 ~ Structure_Stand_CrownClosure_v1_500 + 1",0.756185715707432,0.199298761742284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153568238756264,0.0999581712211761,-1.19097733402735,0.261786574783073,-0.323115077246863,0.118649148917498,0,18.7286140386113,337.803683292017,4,98,683.607366584034,0.250861171190309,0.0367219736839685,NA,0.0783513425054971
"3","1/4/9","~Julian + 1 ~ Species_Pice_Gla_v1_500 + Species_Sali_Spp_v1_500 + 1",0.76204242039724,0.202992170268158,NA,NA,NA,NA,0.141958820294329,0.0907729104216863,NA,NA,NA,NA,NA,NA,NA,NA,-0.145933686183308,0.107419614310305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.20842251427859,0.265914000777563,-0.319978082342819,0.117142360802452,0,19.8846010575881,336.913664175353,5,98,683.827328350705,0.470822937861612,0.0328974264246076,NA,0.111248768930105
"4","1/4","~Julian + 1 ~ Species_Pice_Gla_v1_500 + 1",0.739111398140806,0.196729883259086,NA,NA,NA,NA,0.13468056280397,0.0912327993177896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.16856867584538,0.258687553344219,-0.303742880713913,0.117384901280265,0,18.1786178118901,337.961030319619,4,98,683.922060639238,0.565555226394054,0.0313755298911214,NA,0.142624298821226
"5","1","~Julian + 1 ~ 1",0.710569864133971,0.188208404657862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.12066734328334,0.248289395355682,-0.289712892363508,0.118148038851281,0,15.7770446243203,339.00739706067,3,98,684.01479412134,0.658288708496684,0.0299539602704742,NA,0.1725782590917
"6","1/9/13","~Julian + 1 ~ Species_Sali_Spp_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",0.761965752616225,0.200566547241835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.118360582633521,0.107868148817565,NA,NA,NA,NA,NA,NA,0.137164869749666,0.0922113009558102,NA,NA,NA,NA,-1.20639186017904,0.26268409502631,-0.332199964258469,0.118447754992543,0,19.6950234733864,337.014230499955,5,98,684.028460999911,0.671955587067487,0.029749969474761,NA,0.202328228566461
"7","1/9","~Julian + 1 ~ Species_Sali_Spp_v1_500 + 1",0.728549221043648,0.19289398997066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.136854506859192,0.106955985288892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.1533941388911,0.253744002069537,-0.303377925037609,0.11789443853026,0,17.0381980847244,338.08559321583,4,98,684.171186431659,0.814681018815804,0.0277009134742279,NA,0.230029142040689
"8","1/7/13","~Julian + 1 ~ Species_Popu_Bal_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",0.758266970606174,0.199654280845878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0838041852592069,0.0881216395319929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166453805479065,0.0926056569464667,NA,NA,NA,NA,-1.19967934195133,0.261882859172161,-0.329676506545441,0.118772203279777,0,19.1586492379308,337.253249501446,5,98,684.506499002892,1.14999359004901,0.0234251235980614,NA,0.253454265638751
"9","1/9/15","~Julian + 1 ~ Species_Sali_Spp_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",0.762968060104256,0.20143596433138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.103700720944537,0.1101221513445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126104047499787,0.103219383214866,-1.20459420393017,0.264159617168421,-0.328598079888943,0.11866397985672,0,19.7063550103135,337.324139256696,5,98,684.648278513391,1.29177310054786,0.0218220155800312,NA,0.275276281218782
"10","1/2/15","~Julian + 1 ~ LandCover_NonVeg_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",0.766457526435068,0.203107109502231,0.134029363625481,0.135835780804589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.246207884305336,0.138309793302596,-1.20915301615511,0.266329117268443,-0.329322811450359,0.118632285393684,0,23.3147472644731,337.351500463159,5,98,684.703000926319,1.34649551347502,0.0212330332833743,NA,0.296509314502156
