SS,LandCover_NonVeg_v1_50,LandCover_Veg_v1_50,LandCover_VegNonTreed_v1_50,LandCover_VegTreed_v1_50,Species_Abie_Bal_v1_50,Species_Abie_Las_v1_50,Species_Acer_Neg_v1_50,Species_Alnu_Spp_v1_50,Species_Betu_Pap_v1_50,Species_Frax_Pen_v1_50,Species_Lari_Lar_v1_50,Species_Lari_Lya_v1_50,Species_Pice_Eng_v1_50,Species_Pice_Gla_v1_50,Species_Pice_Mar_v1_50,Species_Pinu_Alb_v1_50,Species_Pinu_Ban_v1_50,Species_Pinu_Con_v1_50,Species_Pinu_Pon_v1_50,Species_Pinu_Syl_v1_50,Species_Popu_Bal_v1_50,Species_Popu_Tre_v1_50,Species_Popu_Tri_v1_50,Species_Prun_Pen_v1_50,Species_Pseu_Men_v1_50,Species_Sali_Spp_v1_50,SpeciesGroups_Broadleaf_Spp_v1_50,SpeciesGroups_Needleleaf_Spp_v1_50,SpeciesGroups_Unknown_Spp_v1_50,Structure_Biomass_Branch_v1_50,Structure_Biomass_Foliage_v1_50,Structure_Biomass_StemBark_v1_50,Structure_Biomass_StemWood_v1_50,Structure_Biomass_TotalDead_v1_50,Structure_Biomass_TotalLiveAboveGround_v1_50,Structure_Stand_Age_v1_50,Structure_Stand_CrownClosure_v1_50,Structure_Stand_Height_v1_50,Structure_Volume_Merch_v1_50,Structure_Volume_Total_v1_50,LandCover_NonVeg_v1_150,LandCover_Veg_v1_150,LandCover_VegNonTreed_v1_150,LandCover_VegTreed_v1_150,Species_Abie_Bal_v1_150,Species_Abie_Las_v1_150,Species_Acer_Neg_v1_150,Species_Alnu_Spp_v1_150,Species_Betu_Pap_v1_150,Species_Frax_Pen_v1_150,Species_Lari_Lar_v1_150,Species_Lari_Lya_v1_150,Species_Pice_Eng_v1_150,Species_Pice_Gla_v1_150,Species_Pice_Mar_v1_150,Species_Pinu_Alb_v1_150,Species_Pinu_Ban_v1_150,Species_Pinu_Con_v1_150,Species_Pinu_Pon_v1_150,Species_Pinu_Syl_v1_150,Species_Popu_Bal_v1_150,Species_Popu_Tre_v1_150,Species_Popu_Tri_v1_150,Species_Prun_Pen_v1_150,Species_Pseu_Men_v1_150,Species_Sali_Spp_v1_150,SpeciesGroups_Broadleaf_Spp_v1_150,SpeciesGroups_Needleleaf_Spp_v1_150,SpeciesGroups_Unknown_Spp_v1_150,Structure_Biomass_Branch_v1_150,Structure_Biomass_Foliage_v1_150,Structure_Biomass_StemBark_v1_150,Structure_Biomass_StemWood_v1_150,Structure_Biomass_TotalDead_v1_150,Structure_Biomass_TotalLiveAboveGround_v1_150,Structure_Stand_Age_v1_150,Structure_Stand_CrownClosure_v1_150,Structure_Stand_Height_v1_150,Structure_Volume_Merch_v1_150,Structure_Volume_Total_v1_150,LandCover_NonVeg_v1_500,LandCover_Veg_v1_500,LandCover_VegNonTreed_v1_500,LandCover_VegTreed_v1_500,Species_Abie_Bal_v1_500,Species_Abie_Las_v1_500,Species_Acer_Neg_v1_500,Species_Alnu_Spp_v1_500,Species_Betu_Pap_v1_500,Species_Frax_Pen_v1_500,Species_Lari_Lar_v1_500,Species_Lari_Lya_v1_500,Species_Pice_Eng_v1_500,Species_Pice_Gla_v1_500,Species_Pice_Mar_v1_500,Species_Pinu_Alb_v1_500,Species_Pinu_Ban_v1_500,Species_Pinu_Con_v1_500,Species_Pinu_Pon_v1_500,Species_Pinu_Syl_v1_500,Species_Popu_Bal_v1_500,Species_Popu_Tre_v1_500,Species_Popu_Tri_v1_500,Species_Prun_Pen_v1_500,Species_Pseu_Men_v1_500,Species_Sali_Spp_v1_500,SpeciesGroups_Broadleaf_Spp_v1_500,SpeciesGroups_Needleleaf_Spp_v1_500,SpeciesGroups_Unknown_Spp_v1_500,Structure_Biomass_Branch_v1_500,Structure_Biomass_Foliage_v1_500,Structure_Biomass_StemBark_v1_500,Structure_Biomass_StemWood_v1_500,Structure_Biomass_TotalDead_v1_500,Structure_Biomass_TotalLiveAboveGround_v1_500,Structure_Stand_Age_v1_500,Structure_Stand_CrownClosure_v1_500,Structure_Stand_Height_v1_500,Structure_Volume_Merch_v1_500,Structure_Volume_Total_v1_500,EASTING,NORTHING
BG_15_1,0,100,5.573461056,94.42654419,0,0,0,0,0,0,0.819386244,0,0,14.91236401,31.23726273,0,40.61223221,0.087889194,0,0,0.064063393,11.35186577,0,0,0,0,11.41592979,88.05506134,0.529478788,4.283893585,3.663439274,4.469713211,29.16402435,8.552867889,41.57784653,86.97753906,54.01540375,14.7988596,39.33579254,80.7148056,0,100,5.573461056,94.42654419,0,0,0,0,0,0,0.819386244,0,0,14.91236401,31.23726273,0,40.61223221,0.087889194,0,0,0.064063393,11.35186577,0,0,0,0,11.41592979,88.05506134,0.529478788,4.283893585,3.663439274,4.469713211,29.16402435,8.552867889,41.57784653,86.97753906,54.01540375,14.7988596,39.33579254,80.7148056,0.359129677,99.64087105,3.440546455,96.20032374,0,0,0,0,0,0,1.241161868,0,0,13.51173735,37.38912328,0,31.59112859,0.060985976,0,0,0.207613713,14.44535271,0,0,0,0,14.65296642,85.04483096,0.302733837,4.345633964,3.824637552,4.543813785,28.16048574,11.17845571,40.872914,83.320467,53.01586501,14.24705267,35.84637674,75.9791797,489545,6131573
BG_15_10,1.107914567,98.89208984,8.862029076,90.03005219,0,0,0,0,0,0,5.920280457,0,0,1.697529078,40.81520081,0,38.5128212,0,0,0,0,4.185780048,0,0,0,0,12.12731171,86.9458313,0.929071665,3.266206741,2.856116295,3.456679583,24.04950333,12.15347672,33.62896347,76.0276413,47.9538765,12.89948082,30.44993401,68.35135651,1.107914567,98.89208984,8.862029076,90.03005219,0,0,0,0,0,0,5.920280457,0,0,1.697529078,40.81520081,0,38.5128212,0,0,0,0,4.185780048,0,0,0,0,12.12731171,86.9458313,0.929071665,3.266206741,2.856116295,3.456679583,24.04950333,12.15347672,33.62896347,76.0276413,47.9538765,12.89948082,30.44993401,68.35135651,0.52789767,99.47210312,5.268825352,94.20327759,0,0,0,0,0,0,1.882324215,0,0,10.9736738,40.20054356,0,34.41147661,0.042496872,0,0,0.181318633,9.065475067,0,0,0,0,11.23387531,88.25723457,0.508730437,3.88177222,3.256688575,4.053665141,26.763285,11.94458644,37.95495017,79.09210714,53.01157633,13.31162167,36.0040981,74.1110541,494935,6131575
BG_15_100,0.095303573,99.9046936,0.590411246,99.31428528,0,0,0,0,0.240852788,0,0,0,0,19.01871872,21.81748581,0,0.568687022,0.398149371,0,0,4.43657589,50.41066742,0,0,0,0,55.08809662,44.84188843,0.070018321,4.846432686,3.138828039,7.390073299,31.78914642,15.43079185,47.16225815,63.3154068,71.61547852,13.19488239,32.27118683,81.07299042,0.095303573,99.9046936,0.590411246,99.31428528,0,0,0,0,0.240852788,0,0,0,0,19.01871872,21.81748581,0,0.568687022,0.398149371,0,0,4.43657589,50.41066742,0,0,0,0,55.08809662,44.84188843,0.070018321,4.846432686,3.138828039,7.390073299,31.78914642,15.43079185,47.16225815,63.3154068,71.61547852,13.19488239,32.27118683,81.07299042,0.754728792,99.24527095,2.851067362,96.39420377,0.081041235,0,0,0,0.318838862,0,0.748526262,0,0,17.90217601,32.58409419,0,10.20601422,0.173899811,0,0,3.082552056,31.3348442,0,0,0,0,34.73623483,64.97244233,0.290713874,4.959345304,3.44593171,6.209896693,31.1413407,14.22003049,45.75568478,70.2266787,64.426624,12.79874119,39.31742125,82.21472168,494943,6136970
BG_15_11,0,100,8.52203846,91.47796631,0,0,0,0,0,0,0,0,0,11.28627682,26.41225433,0,53.71352386,0.102036916,0,0,0,7.680111408,0,0,0,0,7.680111408,91.51409149,0.8057971,3.79842186,3.160452604,4.100009918,28.96495628,8.644234657,40.01895523,87.09632111,51.27363205,14.23066521,37.35961151,81.31518555,0,100,8.668990135,91.33101273,0,0,0,0,0,0,0.010236229,0,0,8.419402599,28.47104454,0,53.72306252,0.057847334,0,0,0,8.49424243,0,0,0,0,8.49424243,90.68159103,0.824166328,4.305763006,3.758885026,4.618544579,31.54762173,8.991359234,44.22654343,87.11933517,50.50725937,14.40607309,38.73638725,86.74045181,0.307825438,99.69217518,6.932162055,92.76001358,0,0,0,0,0,0,0.982680401,0,0,7.766582722,38.88676957,0,40.07127217,0.045733616,0,0,0.049115966,10.9208303,0,0,0,0,10.9699463,88.04891804,0.98190819,3.654379708,3.316168036,3.899760434,25.00848825,11.5929965,35.87674986,81.26583372,48.26816586,13.36586148,28.55310045,68.19406482,489535,6132175
BG_15_12,0,100,2.400626421,97.59937286,0,0,0,0,0,0,3.822026968,0,0,14.64239502,51.42619324,0,18.33821106,0,0,0,0,10.93520069,0,0,0,0,10.93520069,88.2288208,0.833480656,3.606095791,3.143143177,3.65755415,20.45332336,13.60961723,30.86053658,61.39810181,56.49398422,9.391139984,24.65585327,53.85625076,0,100,2.400626421,97.59937286,0,0,0,0,0,0,3.822026968,0,0,14.64239502,51.42619324,0,18.33821106,0,0,0,0,10.93520069,0,0,0,0,10.93520069,88.2288208,0.833480656,3.606095791,3.143143177,3.65755415,20.45332336,13.60961723,30.86053658,61.39810181,56.49398422,9.391139984,24.65585327,53.85625076,0,100,3.456655074,96.54334536,0,0,0,0,0,0,2.178745677,0,0,10.70576252,49.041034,0,29.06359187,0.005993496,0,0,0.009358458,8.166096557,0,0,0,0,8.17545505,91.05150257,0.772150117,4.414652066,4.048081658,4.447413206,27.12669685,11.52032271,40.03697326,72.04485876,54.49396515,11.83093288,32.79877576,70.5102487,490129,6132179
BG_15_13,0,100,0.375881314,99.62411499,0,0,0,0,1.080671668,0,2.128806591,0,0,5.728556156,62.58614731,0,23.784729,0,0,0,0,4.668091774,0,0,0,0,5.748763561,94.22823334,0.023849022,7.663505077,7.819522858,7.042813301,43.24063873,8.473079681,65.76860046,68.87892151,69.05148315,11.11018181,61.31984329,103.4713821,0,100,0.375881314,99.62411499,0,0,0,0,1.080671668,0,2.128806591,0,0,5.728556156,62.58614731,0,23.784729,0,0,0,0,4.668091774,0,0,0,0,5.748763561,94.22823334,0.023849022,7.663505077,7.819522858,7.042813301,43.24063873,8.473079681,65.76860046,68.87892151,69.05148315,11.11018181,61.31984329,103.4713821,0,100,0.809479154,99.19052124,0,0,0,0,0.231845434,0,1.593801193,0,0,7.640574336,60.77739389,0,23.73777376,0,0,0,0,5.969005602,0,0,0,0,6.200851098,93.74954224,0.050539612,6.888585772,6.834291645,6.577598061,40.36628028,8.715906416,60.66784913,77.40727506,61.37407303,13.47474991,52.12406976,97.23354939,490733,6132185
BG_15_14,0.548113406,99.45188904,1.544683099,97.90720367,0,0,0,0,0,0,1.24202168,0,0,13.08346176,61.00793457,0,18.18776321,0,0,0,0,5.996823311,0,0,0,0,5.996823311,93.5211792,0.485329479,5.152360439,4.469566822,5.029275417,31.50388145,6.586137295,46.15838623,87.13893127,57.68740082,14.41607571,49.79063034,82.81734467,0.548113406,99.45188904,1.544683099,97.90720367,0,0,0,0,0,0,1.24202168,0,0,13.08346176,61.00793457,0,18.18776321,0,0,0,0,5.996823311,0,0,0,0,5.996823311,93.5211792,0.485329479,5.152360439,4.469566822,5.029275417,31.50388145,6.586137295,46.15838623,87.13893127,57.68740082,14.41607571,49.79063034,82.81734467,0.589458245,99.41054217,2.234796745,97.17574437,0,0,0,0,0.07294816,0,1.550493444,0,0,10.97122341,56.11627579,0,24.26616224,0,0,0,0,6.46626093,0,0,0,0,6.539209147,92.90415573,0.558608613,6.034169912,5.523194532,5.86964337,37.09997257,8.032518188,54.52844938,83.56770261,58.60471121,14.13578892,53.35638173,95.28992907,491338,6132174
BG_15_15,0,100,0.884299755,99.11569977,0,0,0,0,0,0,1.769923449,0,0,11.43493366,55.05069733,0,26.48468018,0,0,0,0,5.215202808,0,0,0,0,5.215202808,94.74023438,0.046867885,7.645761967,7.146432877,7.378397942,47.26581192,10.07496738,69.43927002,85.27857208,62.92871475,15.36480141,64.56156158,114.3522797,0,100,0.884299755,99.11569977,0,0,0,0,0,0,1.769923449,0,0,11.43493366,55.05069733,0,26.48468018,0,0,0,0,5.215202808,0,0,0,0,5.215202808,94.74023438,0.046867885,7.645761967,7.146432877,7.378397942,47.26581192,10.07496738,69.43927002,85.27857208,62.92871475,15.36480141,64.56156158,114.3522797,0.842469273,99.15753115,4.060420277,95.09710987,0,0,0,0,0,0,2.674487682,0,0,13.05746387,45.04986866,0,28.03102614,0,0,0,0.027486751,8.705041757,0,0,0,0,10.4608018,88.81284567,0.726759763,5.726591532,4.974616986,5.724967443,36.87625225,8.565851487,53.3032206,81.03866577,57.67681679,14.09645565,52.743091,97.44810486,491935,6132175
BG_15_16,0.204626873,99.79537201,6.970206261,92.82516479,0,0,0,0,0,0,1.244917512,0,0,30.33946228,37.22655487,0,18.40158653,0.002124647,0,0,0,10.4521513,0,0,0,0,11.9189167,87.21463776,0.86174798,5.443171978,4.436393261,5.268722534,31.76838112,13.35575008,46.91666794,80.42340088,54.28160858,14.10469723,47.60409546,86.52284241,0.204626873,99.79537201,6.970206261,92.82516479,0,0,0,0,0,0,1.244917512,0,0,30.33946228,37.22655487,0,18.40158653,0.002124647,0,0,0,10.4521513,0,0,0,0,11.9189167,87.21463776,0.86174798,5.443171978,4.436393261,5.268722534,31.76838112,13.35575008,46.91666794,80.42340088,54.28160858,14.10469723,47.60409546,86.52284241,0.645601599,99.35439845,6.768926535,92.58547047,0,0,0,0,0.149772785,0,2.434149508,0,0,18.46923545,36.19542285,0,30.76272985,0.009136544,0,0,0.020223725,8.684908901,0,0,0,0.13375839,11.24936567,87.87067195,0.878350859,4.937938554,4.065994518,4.968679343,32.08610017,10.0193678,46.05947944,78.839471,54.59160696,13.6858934,47.03107125,88.13773319,492535,6132175
BG_15_17,14.94675732,85.05324554,28.35286903,56.7003746,0,0,0,0,0,0,0.005308005,0,0,12.32564259,24.63905334,0,22.72571754,0,0,0,0.341606498,35.49146652,0,0,0,0,35.83307266,59.69572067,4.471184731,3.63277936,2.664496899,4.280067921,23.58571434,13.08833122,34.16744995,60.55873871,30.02864838,13.73582268,34.47428513,57.63065338,14.94675732,85.05324554,28.35286903,56.7003746,0,0,0,0,0,0,0.005308005,0,0,12.32564259,24.63905334,0,22.72571754,0,0,0,0.341606498,35.49146652,0,0,0,0,35.83307266,59.69572067,4.471184731,3.63277936,2.664496899,4.280067921,23.58571434,13.08833122,34.16744995,60.55873871,30.02864838,13.73582268,34.47428513,57.63065338,16.70866803,83.29133259,17.31735854,65.97397249,0,0,0,0,0.479737325,0,0.73062411,0,0,13.43634462,30.05696227,0,20.7094802,0.821260976,0,0,0.12163488,28.22017054,0,0,0,0.43168591,29.26091021,65.75467474,4.984915338,3.642897021,2.86701236,4.116115429,22.99366691,9.278610056,33.62112106,68.06520393,37.51432289,13.57751144,31.86192721,58.94097727,493135,6132175
