SS,data_set,site,station,latitude,longitude
BG_15_100,BG,15,100,55.378997,-111.079809
BG_15_11,BG,15,11,55.335824,-111.164977
BG_15_12,BG,15,12,55.335872,-111.155613
BG_15_13,BG,15,13,55.335938,-111.146091
BG_15_14,BG,15,14,55.33585,-111.136553
BG_15_15,BG,15,15,55.335869,-111.127142
BG_15_16,BG,15,16,55.335879,-111.117683
BG_15_2,BG,15,2,55.330445,-111.155497
BG_15_21,BG,15,21,55.341179,-111.165157
BG_15_22,BG,15,22,55.341228,-111.155539
BG_15_23,BG,15,23,55.34124,-111.146079
BG_15_24,BG,15,24,55.341241,-111.136603
BG_15_26,BG,15,26,55.341279,-111.117715
BG_15_27,BG,15,27,55.341279,-111.108239
BG_15_28,BG,15,28,55.341251,-111.099205
BG_15_29,BG,15,29,55.341294,-111.089319
BG_15_3,BG,15,3,55.330394,-111.145882
BG_15_30,BG,15,30,55.341301,-111.079859
BG_15_31,BG,15,31,55.346607,-111.165022
BG_15_32,BG,15,32,55.346664,-111.155545
BG_15_33,BG,15,33,55.346739,-111.145926
BG_15_34,BG,15,34,55.346642,-111.136638
BG_15_35,BG,15,35,55.34667,-111.127382
BG_15_36,BG,15,36,55.346536,-111.117794
BG_15_37,BG,15,37,55.346679,-111.108254
BG_15_38,BG,15,38,55.346624,-111.098934
BG_15_39,BG,15,39,55.346686,-111.089331
BG_15_4,BG,15,4,55.330476,-111.136614
BG_15_40,BG,15,40,55.346692,-111.07987
BG_15_41,BG,15,41,55.351594,-111.164916
BG_15_42,BG,15,42,55.352011,-111.155582
BG_15_43,BG,15,43,55.352014,-111.146119
BG_15_44,BG,15,44,55.352133,-111.136531
BG_15_45,BG,15,45,55.352044,-111.127194
BG_15_46,BG,15,46,55.352053,-111.117731
BG_15_47,BG,15,47,55.35208,-111.108095
BG_15_48,BG,15,48,55.35207,-111.09879
BG_15_49,BG,15,49,55.352077,-111.089343
BG_15_5,BG,15,5,55.331115,-111.127269
BG_15_50,BG,15,50,55.352084,-111.079881
BG_15_51,BG,15,51,55.35739,-111.165067
BG_15_52,BG,15,52,55.357402,-111.155603
BG_15_53,BG,15,53,55.357504,-111.145997
BG_15_54,BG,15,54,55.357371,-111.136722
BG_15_55,BG,15,55,55.357435,-111.127211
BG_15_56,BG,15,56,55.357445,-111.117747
BG_15_57,BG,15,57,55.357463,-111.107826
BG_15_58,BG,15,58,55.357462,-111.098819
BG_15_59,BG,15,59,55.357473,-111.089349
BG_15_6,BG,15,6,55.330487,-111.117667
BG_15_60,BG,15,60,55.357403,-111.080081
BG_15_61,BG,15,61,55.362836,-111.164995
BG_15_62,BG,15,62,55.362866,-111.155624
BG_15_63,BG,15,63,55.362806,-111.146159
BG_15_64,BG,15,64,55.362817,-111.136693
BG_15_65,BG,15,65,55.362827,-111.127228
BG_15_66,BG,15,66,55.362836,-111.117763
BG_15_67,BG,15,67,55.362845,-111.108298
BG_15_68,BG,15,68,55.362853,-111.098833
BG_15_69,BG,15,69,55.36295,-111.089368
BG_15_70,BG,15,70,55.362867,-111.079902
BG_15_71,BG,15,71,55.368146,-111.165032
BG_15_72,BG,15,72,55.368204,-111.15555
BG_15_73,BG,15,73,55.368197,-111.146179
BG_15_74,BG,15,74,55.368208,-111.136712
BG_15_75,BG,15,75,55.368228,-111.117779
BG_15_77,BG,15,77,55.368237,-111.108313
BG_15_78,BG,15,78,55.368254,-111.098846
BG_15_79,BG,15,79,55.368252,-111.08938
BG_15_80,BG,15,80,55.368258,-111.079913
BG_15_81,BG,15,81,55.373573,-111.165166
BG_15_82,BG,15,82,55.37364,-111.155619
BG_15_83,BG,15,83,55.373616,-111.146135
BG_15_85,BG,15,85,55.37361,-111.127263
BG_15_86,BG,15,86,55.373619,-111.117795
BG_15_87,BG,15,87,55.373664,-111.108391
BG_15_88,BG,15,88,55.373636,-111.09886
BG_15_89,BG,15,89,55.37367,-111.089439
BG_15_90,BG,15,90,55.37365,-111.079908
BG_15_91,BG,15,91,55.378884,-111.165172
BG_15_92,BG,15,92,55.378968,-111.155735
BG_15_93,BG,15,93,55.378926,-111.146187
BG_15_94,BG,15,94,55.378021,-111.136793
BG_15_95,BG,15,95,55.379163,-111.127391
BG_15_96,BG,15,96,55.379011,-111.117811
BG_15_97,BG,15,97,55.37902,-111.108342
BG_15_98,BG,15,98,55.37909,-111.098905
BG_15_99,BG,15,99,55.379035,-111.089404
BG_15_1,BG,15,1,55.330415,-111.164797
BG_15_10,BG,15,10,55.330518,-111.079837
BG_15_17,BG,15,17,55.335888,-111.108224
BG_15_18,BG,15,18,55.3358955,-111.0987655
BG_15_19,BG,15,19,55.335903,-111.089307
BG_15_20,BG,15,20,55.335909,-111.079848
BG_15_7,BG,15,7,55.330496,-111.10821
BG_15_8,BG,15,8,55.330504,-111.098752
BG_15_84,BG,15,84,55.373591,-111.136699
BG_15_9,BG,15,9,55.330511,-111.089295
