"","model","formula","lam(Blackspruce_500)","SElam(Blackspruce_500)","lam(Int)","SElam(Int)","lam(S150.sd_PercCanopyDensity)","SElam(S150.sd_PercCanopyDensity)","lam(S150.VPD__100.150cm_Grid.1x1m.mean)","SElam(S150.VPD__100.150cm_Grid.1x1m.mean)","lam(S150.VPD__150.200cm_Grid.1x1m.mean)","SElam(S150.VPD__150.200cm_Grid.1x1m.mean)","lam(Species_Popu_Tre_v1_50)","SElam(Species_Popu_Tre_v1_50)","lam(Structure_Biomass_TotalLiveAboveGround_v1_50)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"1","136","~Julian + 1 ~ S150.sd_PercCanopyDensity + Species_Popu_Tre_v1_50 + 1",NA,NA,-3.10022790852684,0.602741349227081,2.00518662704815,0.393584387044014,NA,NA,NA,NA,1.47245430825623,0.357393609478443,NA,NA,-0.535577865803105,0.42089766998193,0.726190497484345,0.353616040757261,0,25.5532264336924,63.0534804655854,5,98,136.106960931171,0,0.499123758861154,NA,0.499123758861154,0.359016187125155
"2","36","~1 ~ S150.sd_PercCanopyDensity + Species_Popu_Tre_v1_50 + 1",NA,NA,-2.98827343732763,0.644222051556466,2.02874166397527,0.406727219550692,NA,NA,NA,NA,1.46336967740489,0.352671125108673,NA,NA,-1.02846208423727,0.471794703916116,NA,NA,0,29.4570677855499,65.1293433554794,4,98,138.258686710959,2.15172577978805,0.170202888781068,NA,0.669326647642222,0.331277783150139
"3","367","~1 ~ S150.sd_PercCanopyDensity + Species_Popu_Tre_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",NA,NA,-3.02571616216445,0.655708306720916,1.78048915449698,0.450716426197495,NA,NA,NA,NA,1.56651144753079,0.386299989446996,-0.509654935353388,0.537965244376148,-1.0098546657308,0.463353364892165,NA,NA,0,34.6392258937999,64.6594056879166,5,98,139.318811375833,3.21185044466242,0.100176021779951,NA,0.769502669422173,0.337660550704123
"4","356","~1 ~ S150.sd_PercCanopyDensity + S150.VPD__150.200cm_Grid.1x1m.mean + Species_Popu_Tre_v1_50 + 1",NA,NA,-3.04046990884756,0.666756792523398,2.00553650193525,0.415936418357866,NA,NA,-0.235123431747039,0.334126102820114,1.45227948340471,0.365334376185073,NA,NA,-1.02920456386697,0.470746322107961,NA,NA,0,33.5000251919446,64.8739552268605,5,98,139.747910453721,3.64094952255033,0.0808325165785776,NA,0.850335186000751,0.334754097949248
"5","236","~1 ~ Blackspruce_500 + S150.sd_PercCanopyDensity + Species_Popu_Tre_v1_50 + 1",-0.194925073569714,0.350845006454152,-2.96187020128423,0.638221116689303,1.93326420556838,0.432854539918016,NA,NA,NA,NA,1.39434419515639,0.367602270786259,NA,NA,-1.00751039466886,0.465014953992399,NA,NA,0,33.5966118169538,64.9683989270408,5,98,139.936797854082,3.82983692291077,0.0735478060544753,NA,0.923882992055226,0.333470651586758
"6","346","~1 ~ S150.sd_PercCanopyDensity + S150.VPD__100.150cm_Grid.1x1m.mean + Species_Popu_Tre_v1_50 + 1",NA,NA,-2.99413793018215,0.646684087373326,2.05958607071383,0.414664685101195,0.15524928712002,0.337301531576399,NA,NA,1.46526105921694,0.347737902763601,NA,NA,-1.04111448405708,0.480154230873987,NA,NA,0,29.8763233470304,65.0235647099056,5,98,140.047129419811,3.94016848864035,0.0696003665904607,NA,0.993483358645687,0.332719828744175
"7","345","~1 ~ S150.sd_PercCanopyDensity + S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__150.200cm_Grid.1x1m.mean + 1",NA,NA,-2.95612563206957,0.657979629486464,1.61537277220976,0.452438212110943,2.63590368716536,0.738494348548889,-2.69024083450924,0.677809889983974,NA,NA,NA,NA,-0.878990008557379,0.41312996494258,NA,NA,0,57.5959244756285,67.4976676787369,5,98,144.995335357474,8.88837442630296,0.00586303193946806,NA,0.999346390585155,0.298162495679716
"8","123","~Julian + 1 ~ Blackspruce_500 + S150.sd_PercCanopyDensity + 1",-0.523399656698042,0.304385483950826,-2.30724149423818,0.409876443761285,1.13711413225397,0.295033480168207,NA,NA,NA,NA,NA,NA,NA,NA,-0.437696760248364,0.375057885743522,0.720541728685902,0.33106226969231,0,11.1904092565278,71.0838964628219,5,98,152.167792925644,16.060831994473,0.000162421264873799,NA,0.999508811850029,0.244869754900544
"9","135","~Julian + 1 ~ S150.sd_PercCanopyDensity + S150.VPD__150.200cm_Grid.1x1m.mean + 1",NA,NA,-2.29479059278825,0.414775328057474,1.17133192163305,0.306974153600686,NA,NA,-0.496931845498465,0.334777700427042,NA,NA,NA,NA,-0.426586060446879,0.373057120938732,0.710407440283012,0.33213591203108,0,10.8615032685735,71.4747009702747,5,98,152.949401940549,16.8424410093785,0.000109879999100829,NA,0.99961869184913,0.238823055479841
"10","13","~Julian + 1 ~ S150.sd_PercCanopyDensity + 1",NA,NA,-2.3166739004968,0.411394944900234,1.31033111711859,0.305734616616338,NA,NA,NA,NA,NA,NA,NA,NA,-0.411588685956369,0.374635978308922,0.673589300420371,0.332281920625018,0,9.91369073715092,72.6632730792823,4,98,153.326546158565,17.2195852273938,9.09961086974634e-05,NA,0.999709687957827,0.220133758062837
