"","model","formula","lam(Int)","SElam(Int)","lam(S150.VPD__3.4m_Grid.1x1m.mean)","SElam(S150.VPD__3.4m_Grid.1x1m.mean)","lam(Species_Abie_Bal_v1_500)","SElam(Species_Abie_Bal_v1_500)","lam(Species_Sali_Spp_v1_500)","SElam(Species_Sali_Spp_v1_500)","lam(Structure_Stand_Age_v1_500)","SElam(Structure_Stand_Age_v1_500)","lam(Tremblingaspen_50)","SElam(Tremblingaspen_50)","lam(Water_50)","SElam(Water_50)","lam(wtage_50)","SElam(wtage_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"1","268","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Tremblingaspen_50 + wtage_50 + 1",-2.32481138826299,4.25977517710338,0.910566246269374,0.270111880419592,NA,NA,NA,NA,NA,NA,-6.3596368692601,7.55246920401993,NA,NA,0.709534696981967,0.228697393952966,-4.81342900530565,0.744952526854248,NA,NA,0,6960.14969214997,54.3203550057769,5,98,118.640710011554,0,0.356163770122906,NA,0.356163770122906,0.266176927813712
"2","238","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Species_Abie_Bal_v1_500 + wtage_50 + 1",0.650370817584005,0.831025715671884,1.02104849885958,0.263121020140842,0.287785226201605,0.147323924388773,NA,NA,NA,NA,NA,NA,NA,NA,0.58862929521187,0.248347977376104,-4.69567889876223,0.70544201459852,NA,NA,0,206.860942493653,55.5656260920034,5,98,121.131252184007,2.49054217245303,0.102526322171118,NA,0.458690092294024,0.247288779351752
"3","236","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Species_Abie_Bal_v1_500 + Tremblingaspen_50 + 1",-1.36547951830068,3.27069479351887,0.816976541953312,0.239929195488059,0.383643626679264,0.139427311572337,NA,NA,NA,NA,-4.95471668863811,5.64732180429413,NA,NA,NA,NA,-4.83041751407431,1.0251220403531,NA,NA,0,4640.57879257487,55.5688955271717,5,98,121.137791054343,2.49708104278963,0.102191666373553,NA,0.560881758667576,0.247238554399934
"4","234","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Species_Abie_Bal_v1_500 + Species_Sali_Spp_v1_500 + 1",0.612764011854979,0.978029117918176,1.09324633214653,0.258759754910063,0.516519144424397,0.152839298521574,0.485469411699527,0.189859010792606,NA,NA,NA,NA,NA,NA,NA,NA,-4.70906168115634,0.82093856309612,NA,NA,0,181.060959760241,55.6132275372891,5,98,121.226455074578,2.58574506302445,0.0977602567739191,NA,0.658642015441495,0.246557196670876
"5","28","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + wtage_50 + 1",0.826508563477093,0.945979455857825,1.08430135162817,0.266361412892139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.733597569772043,0.229819408497242,-4.86368540700691,0.803796117666859,NA,NA,0,126.07363013904,57.3419329331827,4,98,122.683865866365,4.04315585481164,0.0471725769110956,NA,0.705814592352591,0.219501506990777
"6","248","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Species_Sali_Spp_v1_500 + wtage_50 + 1",0.559298896398446,0.996362285976782,1.11579508829996,0.274572002892917,NA,NA,0.256865278153416,0.198739178529152,NA,NA,NA,NA,NA,NA,0.660435282087343,0.239378600126225,-4.62437981619282,0.86068603258047,NA,NA,0,148.432203820076,56.6330937900919,5,98,123.266187580184,4.62547756863012,0.035256569094668,NA,0.741071161447259,0.230711005737913
"7","246","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Species_Sali_Spp_v1_500 + Tremblingaspen_50 + 1",-3.46064502694486,3.0994523074059,1.0190614759111,0.291840946448074,NA,NA,0.354624590093733,0.196169599993221,NA,NA,-4.97756795234334,5.32692496466032,NA,NA,NA,NA,-2.76043908354697,1.17903777090943,NA,NA,0,2147.54971869031,56.701626493575,5,98,123.40325298715,4.76254297559625,0.0329212769882593,NA,0.773992438435518,0.229634304910454
"8","278","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Water_50 + wtage_50 + 1",-4.8552180640491,14.9145400743914,1.06282472009602,0.269440186809206,NA,NA,NA,NA,NA,NA,NA,NA,-34.1937950241283,88.8107581247285,0.726188109636055,0.228636092863727,-4.85541394234932,0.831266898934331,NA,NA,1,680491.310822253,56.8260652729991,5,98,123.652130545998,5.01142053444445,0.0290692346467869,NA,0.803061673082305,0.227675423366901
"9","26","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Tremblingaspen_50 + 1",-3.4601687927157,3.276581919843,0.885357755645927,0.262094744395128,NA,NA,NA,NA,NA,NA,-5.31196614124421,5.65523066775223,NA,NA,NA,NA,-2.73727960625357,1.22914451419132,NA,NA,0,2363.26404640513,58.0269816315571,4,98,124.053963263114,5.41325325156053,0.0237780771428503,NA,0.826839750225156,0.208513047364789
"10","23","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Species_Abie_Bal_v1_500 + 1",0.882134912502544,1.23489276030318,0.960882216151053,0.232230760390279,0.437455655173601,0.141825904872874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.72257432474169,1.15810635926147,NA,NA,0,293.508703266171,58.1087663747605,4,98,124.217532749521,5.57682273796732,0.0219107916426595,NA,0.848750541867815,0.207190892095511
"11","128","~Julian + 1 ~ S150.VPD__3.4m_Grid.1x1m.mean + wtage_50 + 1",0.81106333562739,0.947779969436842,1.07631754827773,0.269999074559168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.746880482321657,0.238521142575371,-4.86096920082927,0.799306221024708,0.0533293308965734,0.265753218060666,0,126.794905451599,57.321495896483,5,98,124.642991792966,6.00228178141228,0.0177121308360888,NA,0.866462672703904,0.219826971283667
"12","258","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Structure_Stand_Age_v1_500 + wtage_50 + 1",0.818617788363274,0.943737618145148,1.09931838609423,0.280269841120444,NA,NA,NA,NA,-0.0599293742899255,0.333281324192235,NA,NA,NA,NA,0.731415158398291,0.229869485740982,-4.85770562652445,0.800197720003702,NA,NA,0,127.599430938069,57.3265094467705,5,98,124.653018893541,6.01230888198729,0.0176235524091818,NA,0.884086225113086,0.219747141960745
"13","267","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Tremblingaspen_50 + Water_50 + 1",-9.30982454155972,14.731260585579,0.858379782215497,0.266455434040729,NA,NA,NA,NA,NA,NA,-5.51937649835089,5.82431981058606,-34.8507947167195,85.5678320585043,NA,NA,-2.7750302574494,1.26961328705734,NA,NA,0,430002.958452543,57.3995325678743,5,98,124.799065135749,6.15835512419493,0.0163824901619438,NA,0.900468715275029,0.218583489406416
"14","237","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Species_Abie_Bal_v1_500 + Water_50 + 1",-2.85574398462992,10.0187711161185,0.93043636366177,0.237384520895936,0.44069537265758,0.141743628097226,NA,NA,NA,NA,NA,NA,-22.7885392697192,59.4252798827988,NA,NA,-4.74482331690515,1.0447230066593,NA,NA,0,392344.645959281,57.6158876310139,5,98,125.231775262028,6.59106525047403,0.0131952646721105,NA,0.91366397994714,0.215125587150466
"15","123","~Julian + 1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Species_Abie_Bal_v1_500 + 1",0.671099054717333,1.04825425930551,1.02814554809013,0.251212446490302,0.465314696183268,0.148298551076522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.54040974238082,0.928660956331776,-0.237292388464905,0.302369110222892,0,218.986288650632,57.8058166613063,5,98,125.611633322613,6.97092331105875,0.0109127190904039,NA,0.924576699037544,0.212077429682519
"16","126","~Julian + 1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Tremblingaspen_50 + 1",-3.46786103244687,3.27001298455362,0.898329644886949,0.275234054873808,NA,NA,NA,NA,NA,NA,-5.28587087076601,5.64619283420589,NA,NA,NA,NA,-2.71647182625049,1.23891300099231,-0.049565024077946,0.307597631648067,0,2419.41755450883,58.0140267346591,5,98,126.028053469318,7.38734345776446,0.00886152546897328,NA,0.933438224506517,0.208722277498062
"17","256","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Structure_Stand_Age_v1_500 + Tremblingaspen_50 + 1",-3.46647896044438,3.28630253436525,0.884882070887424,0.277321344992477,NA,NA,NA,NA,0.00207212016211072,0.39862337879375,-5.32201509933006,5.67173294091512,NA,NA,NA,NA,-2.73633860424053,1.23100121279645,NA,NA,0,2437.27045647508,58.0269663782479,5,98,126.053932756496,7.41322274494199,0.00874759916026099,NA,0.942185823666778,0.208513293748327
"18","235","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Species_Abie_Bal_v1_500 + Structure_Stand_Age_v1_500 + 1",0.888302730927416,1.2037819395468,0.956428421906896,0.243367660542675,0.438292608271151,0.142273047685793,NA,NA,0.0254557599897372,0.390322692556947,NA,NA,NA,NA,NA,NA,-4.73017880313243,1.12355726946726,NA,NA,0,281.234433224911,58.1066018927898,5,98,126.21320378558,7.57249377402582,0.00807799555186983,NA,0.950263819218648,0.207225912159182
"19","24","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Species_Sali_Spp_v1_500 + 1",-1.22693337203084,1.01687111191773,1.19177495768701,0.289673033089904,NA,NA,0.409234720619557,0.194054047560962,NA,NA,NA,NA,NA,NA,NA,NA,-2.63165467707169,1.04936747419505,NA,NA,0,107.831474429873,59.2249238184773,4,98,126.449847636955,7.80913762540081,0.00717657206517315,NA,0.957440391283821,0.188924459576666
"20","678","~1 ~ Tremblingaspen_50 + Water_50 + wtage_50 + 1",-8.27037464665867,10.3623444540629,NA,NA,NA,NA,NA,NA,NA,NA,-11.2604654545316,10.6697202578389,-25.9256894806371,49.9142052361495,0.861070756857404,0.245820446412797,-5.23335405459961,0.932281757778963,NA,NA,1,150213.494510473,58.4622903428787,5,98,126.924580685757,8.28387067420365,0.00566017786370773,NA,0.963100569147529,0.201450269125589
"21","247","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Species_Sali_Spp_v1_500 + Water_50 + 1",-7.96753381502941,23.6103484774364,1.17665317377408,0.289703160543108,NA,NA,0.396606604150594,0.194224870599313,NA,NA,NA,NA,-40.5797579165579,140.764204855986,NA,NA,-2.64875667971106,1.06573475617117,NA,NA,0,1092571.86417129,58.8608908075239,5,98,127.721781615048,9.08107160349395,0.00379944442372114,NA,0.96690001357125,0.194927810782464
"22","368","~1 ~ Species_Abie_Bal_v1_500 + Tremblingaspen_50 + wtage_50 + 1",-2.16523567309256,4.62420863478155,NA,NA,0.269217938875775,0.133345833739417,NA,NA,NA,NA,-7.23762712653873,8.19701979284405,NA,NA,0.609246288803446,0.254197554601702,-4.89180987241031,0.818036247076155,NA,NA,0,13219.0499464662,58.8980958003239,5,98,127.796191600648,9.15548158909412,0.003660683428059,NA,0.970560696999309,0.194316298961846
"23","2","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + 1",-1.07220096584701,0.99744392857837,1.05180013549811,0.257925973124114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.574161476694,1.06466228073181,NA,NA,0,105.959919188404,60.9655093833609,3,98,127.931018766722,9.29030875516803,0.0034220379859593,NA,0.973982734985268,0.159595478652168
"24","245","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Species_Sali_Spp_v1_500 + Structure_Stand_Age_v1_500 + 1",-1.30841714422815,0.988967215707136,1.14836006037033,0.295986133061174,NA,NA,0.48988677853791,0.23004065100483,0.332705967102575,0.505495160142538,NA,NA,NA,NA,NA,NA,-2.59161104916441,1.00603375445054,NA,NA,0,101.286382311842,58.9912629554242,5,98,127.982525910848,9.3418158992946,0.00333503343184716,NA,0.977317768417115,0.192782938449212
"25","568","~1 ~ Structure_Stand_Age_v1_500 + Tremblingaspen_50 + wtage_50 + 1",-4.61376030187628,6.09732214696785,NA,NA,NA,NA,NA,NA,0.443262294266178,0.333286807785942,-12.3515987907527,10.6246782282812,NA,NA,0.889662411125493,0.253906816404362,-5.29761500927357,0.956173660781002,NA,NA,0,8683.55629922676,59.110049041448,5,98,128.220098082896,9.57938807134225,0.00296150213553993,NA,0.980279270552655,0.190823704302767
"26","124","~Julian + 1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Species_Sali_Spp_v1_500 + 1",-1.21372781151429,1.02096909058123,1.18504834116522,0.293617730951524,NA,NA,0.415249157914182,0.197212912968166,NA,NA,NA,NA,NA,NA,NA,NA,-2.64980784102154,1.05371646249622,0.0430239527633554,0.30340491645812,0,110.911204695426,59.2148722893444,5,98,128.429744578689,9.78903456713506,0.00266678431440114,NA,0.982946054867057,0.18909082107261
"27","367","~1 ~ Species_Abie_Bal_v1_500 + Tremblingaspen_50 + Water_50 + 1",-6.20905427862246,8.81333779732553,NA,NA,0.414232724639399,0.127339644257112,NA,NA,NA,NA,-6.04486085199783,6.15838771208588,-20.9276440679242,46.8201408590512,NA,NA,-3.40519593467184,2.42786171532426,NA,NA,1,200523.252776092,59.4132415865992,5,98,128.826483173198,10.1857731616446,0.00218694167565198,NA,0.985132996542709,0.185801320423916
"28","27","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Water_50 + 1",-6.24475345637715,13.3816664219561,1.03996053404774,0.258304890495284,NA,NA,NA,NA,NA,NA,NA,NA,-31.3511762188437,79.6665874049928,NA,NA,-2.61717474349937,1.10600629502324,NA,NA,1,342068.567933417,60.5170694157473,4,98,129.034138831495,10.3934288199408,0.00197126652750433,NA,0.987104263070213,0.167251635682714
"29","68","~1 ~ Tremblingaspen_50 + wtage_50 + 1",-2.63933453961898,5.47422873743138,NA,NA,NA,NA,NA,NA,NA,NA,-9.2191630136235,9.48692431741972,NA,NA,0.781076528323549,0.24208061363078,-5.46594054196315,1.2281772422351,NA,NA,0,6595.24747650538,60.6395296769838,4,98,129.279059353968,10.6383493424139,0.00174406044252889,NA,0.988848323512742,0.16516783730844
"30","168","~Julian + 1 ~ Tremblingaspen_50 + wtage_50 + 1",-3.65535758348993,5.87043914802605,NA,NA,NA,NA,NA,NA,NA,NA,-10.8941395794871,10.2686160204054,NA,NA,0.832581465275975,0.247413183899599,-5.44139981073055,0.927666121863711,0.347887597676337,0.273093488938641,0,8197.01594966474,59.780700564879,5,98,129.561401129758,10.9206911182042,0.00151443903187841,NA,0.99036276254462,0.179672560393728
