"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_500)","SElam(LandCover_NonVeg_v1_500)","lam(S150.mean_MaxHeight)","SElam(S150.mean_MaxHeight)","lam(S150.VPD__100.150cm_Grid.1x1m.mean)","SElam(S150.VPD__100.150cm_Grid.1x1m.mean)","lam(S150.VPD__150.200cm_Grid.1x1m.mean)","SElam(S150.VPD__150.200cm_Grid.1x1m.mean)","lam(Shrub_50)","SElam(Shrub_50)","lam(SpeciesGroups_Needleleaf_Spp_v1_500)","SElam(SpeciesGroups_Needleleaf_Spp_v1_500)","lam(Structure_Stand_CrownClosure_v1_500)","SElam(Structure_Stand_CrownClosure_v1_500)","lam(Tremblingaspen_50)","SElam(Tremblingaspen_50)","lam(Whitespruce_50)","SElam(Whitespruce_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"1","4/5/9","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__150.200cm_Grid.1x1m.mean + Tremblingaspen_50 + 1",-34.8269290277014,72.2795873880398,NA,NA,NA,NA,3.2292270420824,0.701445799983495,-3.31137182489655,0.67387443849445,NA,NA,NA,NA,NA,NA,-59.2008441831792,130.423727924354,NA,NA,-0.902906644395493,0.590619337158735,NA,NA,0,624248.81766298,49.3397186326848,5,98,108.67943726537,0,0.300652405486272,NA,0.300652405486272,0.273372541178419
"2","6/9/10","~1 ~ Shrub_50 + Tremblingaspen_50 + Whitespruce_50 + 1",-37.8688967145734,38.4016716460475,NA,NA,NA,NA,NA,NA,NA,NA,0.321143851844095,0.113933033873772,NA,NA,NA,NA,-65.2238263429278,69.2762710252355,0.841075903621272,0.145254176845172,-0.930328990981395,0.53799179863695,NA,NA,1,609743.577633029,49.749709219578,5,98,109.499418439156,0.819981173786388,0.19952992229268,NA,0.500182327778952,0.267267230301704
"3","5/9/10","~1 ~ S150.VPD__150.200cm_Grid.1x1m.mean + Tremblingaspen_50 + Whitespruce_50 + 1",-40.9251471908303,39.8186253132606,NA,NA,NA,NA,NA,NA,-0.580795850709045,0.286407530391425,NA,NA,NA,NA,NA,NA,-70.8801660526304,71.8271797027714,0.910902873501274,0.164667325960427,-0.864529121252496,0.524207984292552,NA,NA,1,566802.401301126,50.1280729977002,5,98,110.2561459954,1.57670873003077,0.136674260400177,NA,0.636856588179129,0.261587379666816
"4","4/5/8","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__150.200cm_Grid.1x1m.mean + Structure_Stand_CrownClosure_v1_500 + 1",-2.77751929959445,0.556599921072902,NA,NA,NA,NA,3.20113038930724,0.644224521673113,-2.9799807752322,0.702888478596132,NA,NA,NA,NA,-0.753966015490354,0.255178832742609,NA,NA,NA,NA,-1.00075639953576,0.59974158116573,NA,NA,0,42.3326111357246,50.4352870183048,5,98,110.87057403661,2.19113677124,0.100522985499428,NA,0.737379573678557,0.256943229901877
"5","9/10","~1 ~ Tremblingaspen_50 + Whitespruce_50 + 1",-35.0583383427082,30.4456881958229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-60.4218184051382,54.9247437425394,0.785409223716942,0.139921942627536,-0.898000541566735,0.520609274950715,NA,NA,1,354191.237489899,52.1777016666952,4,98,112.35540333339,3.67596606802086,0.0478452461710093,NA,0.785224819849566,0.23004510823258
"6","3/9/10","~1 ~ S150.mean_MaxHeight + Tremblingaspen_50 + Whitespruce_50 + 1",-35.1457022563857,46.5663941665589,NA,NA,-0.624671240685375,0.506502468269731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-59.8087461644662,84.062813132665,0.754466887221829,0.147113585050419,-0.884434157978057,0.526681528429114,NA,NA,1,839316.738404126,51.4018009100663,5,98,112.803601820133,4.1241645547631,0.0382396341535898,NA,0.823464454003156,0.242141099139779
"7","8/9/10","~1 ~ Structure_Stand_CrownClosure_v1_500 + Tremblingaspen_50 + Whitespruce_50 + 1",-39.7116573467704,67.5744512994308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.22400172411576,0.219270837786118,-68.6109066966231,121.927945321759,0.717671626423819,0.166884742143072,-0.857199629336993,0.520045547657936,NA,NA,1,2084773.47021422,51.668147292699,5,98,113.336294585398,4.65685732002839,0.0292982016905864,NA,0.852762655693742,0.238010434400106
"8","4/9/10","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + Tremblingaspen_50 + Whitespruce_50 + 1",-40.0904118034646,38.8482791563989,NA,NA,NA,NA,-0.268757417124123,0.272168316144731,NA,NA,NA,NA,NA,NA,NA,NA,-69.4898872363703,70.080525896845,0.893729122131238,0.179472100931712,-0.855841032765261,0.51558492410788,NA,NA,1,627707.217082513,51.6840345386515,5,98,113.368069077303,4.68863181193343,0.0288364119510597,NA,0.881599067644802,0.23776333484089
"9","3/4/5","~1 ~ S150.mean_MaxHeight + S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__150.200cm_Grid.1x1m.mean + 1",-2.78653962029497,0.530496714905537,NA,NA,-0.83757739716218,0.400582992563003,2.90753966098986,0.740810215959627,-2.837688365368,0.71350319125476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.811835010086401,0.552715330779862,NA,NA,0,34.2751872813988,51.7896751279097,5,98,113.579350255819,4.89991299044995,0.0259455030877955,NA,0.907544570732597,0.23611823292239
"10","7/9/10","~1 ~ SpeciesGroups_Needleleaf_Spp_v1_500 + Tremblingaspen_50 + Whitespruce_50 + 1",-39.2254694380071,54.6640609163815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0748639707277598,0.169715659198056,NA,NA,-67.8803139377833,98.6285886319505,0.768220723249471,0.15664787635308,-0.889075818649438,0.521396212156026,NA,NA,1,1368200.89576379,52.0658508032247,5,98,114.131701606449,5.4522643410799,0.019684324884386,NA,0.927228895616983,0.231800657258871
"11","2/9/10","~1 ~ LandCover_NonVeg_v1_500 + Tremblingaspen_50 + Whitespruce_50 + 1",-37.4485657872812,40.1157143453492,0.00164034478733632,0.14459290286451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-64.7262504697783,72.3783344755577,0.791556277081067,0.142011701979761,-0.904182567598397,0.52478539729321,NA,NA,1,702346.711478154,52.1669746900567,5,98,114.333949380113,5.65451211474378,0.0177911072726029,NA,0.945020002889586,0.230213646684615
"12","4/5/7","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__150.200cm_Grid.1x1m.mean + SpeciesGroups_Needleleaf_Spp_v1_500 + 1",-2.79660437591561,0.541546688488999,NA,NA,NA,NA,3.55031723394912,0.719611997096137,-3.43348384360263,0.770608930796806,NA,NA,-0.50962095499407,0.195067115951175,NA,NA,NA,NA,NA,NA,-0.855701858466294,0.555286586405057,NA,NA,0,49.8385975757615,52.2768313585939,5,98,114.553662717188,5.87422545181835,0.0159401657630659,NA,0.960960168652652,0.228485870507756
"13","4/5/10","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__150.200cm_Grid.1x1m.mean + Whitespruce_50 + 1",-2.63577844096807,0.520491631532355,NA,NA,NA,NA,3.16229686531475,0.684779713172845,-3.37562807258083,0.773532432408775,NA,NA,NA,NA,NA,NA,NA,NA,0.261428552439026,0.11937188373778,-0.888035691949306,0.561020130959852,NA,NA,0,142.014178625795,53.1080253518673,5,98,116.216050703735,7.53661343836514,0.00694240377084354,NA,0.967902572423496,0.215286935001403
