"","p.Int.","lam.Int.","p.Julian.","lam.Blackspruce_150.","lam.Jackpine_150.","lam.S150.VPD__100.150cm_Grid.1x1m.mean.","lam.S150.VPD__3.4m_Grid.1x1m.mean.","lam.Species_Pice_Mar_v1_50.","lam.SpeciesGroups_Needleleaf_Spp_v1_50.","lam.Structure_Biomass_TotalDead_v1_50.","lam.Tamarack_150.","R.2","df","logLik","AIC","delta","weight"
"274",-2.69613628112599,1.00579607024418,NA,0.358715354953087,NA,NA,0.501081554318316,NA,NA,NA,0.421247686956655,0.320785317053615,5,-204.02237031962,418.044740639241,0,0.27728488324117
"280",-2.49753334840753,0.839535048649327,NA,NA,NA,0.308625837339169,0.473327811307946,NA,NA,NA,0.226594497122878,0.31513038601951,5,-204.428640238082,418.857280476164,0.812539836922895,0.184707874182456
"336",-2.36075293457714,0.716360220221869,NA,NA,NA,NA,0.624529600519679,NA,0.238645572555618,NA,0.26443063358522,0.299067153288526,5,-205.564637149551,421.129274299102,3.08453365986168,0.0593100404054422
"272",-2.35688978585951,0.750173841793567,NA,NA,NA,NA,0.643340573765363,NA,NA,NA,0.268120535453787,0.282645519857124,4,-206.699380418828,421.398760837655,3.35402019841484,0.0518334315514326
"262",-2.01623986143065,0.346036740742777,NA,1.21428011352166,0.716565214092723,NA,NA,NA,NA,NA,0.876935534607698,0.292797543630585,5,-206.000977183985,422.001954367971,3.95721372872993,0.038337885034433
"24",-2.15575892321271,0.563606136799861,NA,NA,NA,0.369826987969065,0.404784097939537,NA,NA,NA,NA,0.278070075314932,4,-207.010920705173,422.021841410345,3.97710077110452,0.037958560498524
"88",-2.14778182897732,0.527183493732524,NA,NA,NA,0.347499954838284,0.398218076646138,NA,0.212466146888339,NA,NA,0.29055715510033,5,-206.155961821856,422.311923643711,4.26718300447072,0.0328336510070381
"273",-2.44222878745304,0.82387696957682,0.130688272761216,NA,NA,NA,0.61130653698796,NA,NA,NA,0.273085803522801,0.288748567404741,5,-206.280718916131,422.561437832263,4.51669719302191,0.0289826345071201
"304",-2.38277088624353,0.770570845447716,NA,NA,NA,NA,0.628479540194462,-0.107982187569915,NA,NA,0.269904818457027,0.288612148734282,5,-206.290116259434,422.580232518867,4.53549187962676,0.0287115504706762
"104",-2.07448746640882,0.478485110557132,NA,NA,NA,0.522097567814057,NA,-0.36281051712356,0.478554811332604,NA,NA,0.285361091467506,5,-206.513537146831,423.027074293661,4.98233365442042,0.0229628710606556
