"","model","formula","lam(Int)","SElam(Int)","lam(S500.sd_PercCanopyDensity)","SElam(S500.sd_PercCanopyDensity)","lam(S500.VPD__2.3m_Grid.1x1m.mean)","SElam(S500.VPD__2.3m_Grid.1x1m.mean)","lam(Shrub_150)","SElam(Shrub_150)","lam(Species_Pinu_Ban_v1_500)","SElam(Species_Pinu_Ban_v1_500)","lam(Structure_Biomass_TotalLiveAboveGround_v1_500)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_500)","lam(Tremblingaspen_150)","SElam(Tremblingaspen_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"1","356","~1 ~ S500.VPD__2.3m_Grid.1x1m.mean + Species_Pinu_Ban_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",0.96227553788513,0.300244781601491,NA,NA,0.510646371759153,0.0928789448124212,NA,NA,0.207463551789095,0.103944736121391,-0.361606199452508,0.105716062089332,NA,NA,-1.63862060447337,0.362461978076767,NA,NA,0,67.9204398729008,331.949530245322,5,98,673.899060490645,0,0.218710597081679,NA,0.218710597081679,0.330692789996594
"2","367","~1 ~ S500.VPD__2.3m_Grid.1x1m.mean + Structure_Biomass_TotalLiveAboveGround_v1_500 + Tremblingaspen_150 + 1",0.992678808798347,0.313081639545084,NA,NA,0.501202570686426,0.0910154641680216,NA,NA,NA,NA,-0.261567641761916,0.094849714340544,-0.209522340422975,0.113800785978631,-1.66715341169721,0.377898969477487,NA,NA,0,73.6304732299125,332.126104169156,5,98,674.252208338312,0.353147847667401,0.183309404027385,NA,0.402020001109063,0.328276557465356
"3","136","~Julian + 1 ~ S500.VPD__2.3m_Grid.1x1m.mean + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",1.03240207424166,0.322138913289545,NA,NA,0.503091230475959,0.0919937446580067,NA,NA,NA,NA,-0.30693924575546,0.0944588427122501,NA,NA,-1.70680025372538,0.386226574531853,0.208505215628443,0.114675181139856,0,73.3525535451206,332.338036889372,5,98,674.676073778744,0.777013288099624,0.148300813901179,NA,0.550320815010242,0.325364955713499
"4","36","~1 ~ S500.VPD__2.3m_Grid.1x1m.mean + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",0.950623262397746,0.287174757702149,NA,NA,0.56045636516058,0.0869297759395147,NA,NA,NA,NA,-0.292751148592177,0.0937908226511283,NA,NA,-1.59179059346074,0.349991580180691,NA,NA,0,55.6226810643258,333.963579617891,4,98,675.927159235782,2.02809874513753,0.0793366355579734,NA,0.629657450568215,0.302609012664636
"5","236","~1 ~ S500.sd_PercCanopyDensity + S500.VPD__2.3m_Grid.1x1m.mean + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",0.969390636377342,0.29769446708989,0.157384213049553,0.115552488508262,0.581641219252694,0.0872785105338545,NA,NA,NA,NA,-0.206958849411787,0.110578973519461,NA,NA,-1.62305103404283,0.361167242569592,NA,NA,0,60.5244199744864,333.045884945929,5,98,676.091769891859,2.19270940121407,0.0730683044285707,NA,0.702725754996786,0.315548526933583
"6","123","~Julian + 1 ~ S500.sd_PercCanopyDensity + S500.VPD__2.3m_Grid.1x1m.mean + 1",1.04150238510246,0.326082487880918,0.299362712247636,0.0967309885428996,0.509120829447457,0.0959936251632166,NA,NA,NA,NA,NA,NA,NA,NA,-1.72421743565738,0.391549299644835,0.216819924632405,0.114246974682753,0,75.2428519555754,333.092169772017,5,98,676.184339544034,2.28527905338888,0.0697634235623547,NA,0.772489178559141,0.3149016966427
"7","346","~1 ~ S500.VPD__2.3m_Grid.1x1m.mean + Shrub_150 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",0.960058662849539,0.293819583365577,NA,NA,0.540419003986116,0.08889214387816,-0.130311876075007,0.141193100965203,NA,NA,-0.307456532047886,0.0951957702292631,NA,NA,-1.60949029153576,0.357334047447623,NA,NA,0,59.2606979566857,333.432737932537,5,98,676.865475865075,2.96641537442997,0.0496273302047128,NA,0.822116508763853,0.310123423371764
"8","237","~1 ~ S500.sd_PercCanopyDensity + S500.VPD__2.3m_Grid.1x1m.mean + Tremblingaspen_150 + 1",0.990223666608978,0.309784893374448,0.229107489756177,0.103033957010058,0.506154774996471,0.0985903931333722,NA,NA,NA,NA,NA,NA,-0.182727690943381,0.118903914467853,-1.66263642000928,0.375346172151822,NA,NA,0,71.4648042118068,333.608957474433,5,98,677.217914948867,3.31885445822195,0.041609235601377,NA,0.86372574436523,0.307637941774831
"9","235","~1 ~ S500.sd_PercCanopyDensity + S500.VPD__2.3m_Grid.1x1m.mean + Species_Pinu_Ban_v1_500 + 1",0.975217118752082,0.302765816853199,0.303541383751522,0.098735001185254,0.525421337456807,0.0978056753853378,NA,NA,0.157773704608615,0.103817703616274,NA,NA,NA,NA,-1.64885238799345,0.367214756876729,NA,NA,0,69.1250898492813,333.705709555545,5,98,677.411419111089,3.51235862044439,0.0377720749307766,NA,0.901497819296007,0.306269499978383
"10","23","~1 ~ S500.sd_PercCanopyDensity + S500.VPD__2.3m_Grid.1x1m.mean + 1",0.964163163366988,0.292898495392964,0.278058634551021,0.0961569186726016,0.567229116605549,0.0911722947416307,NA,NA,NA,NA,NA,NA,NA,NA,-1.6135248057282,0.357043039295636,NA,NA,0,57.9318625597975,334.872469266409,4,98,677.744938532818,3.84587804217279,0.0319703963418372,NA,0.933468215637844,0.289552552517744
